'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'ONE-USDT','5m','ONE-USDT','2021-08-05','2021-11-19','42','-0.9','-6.09',-3,'83','-0.03','-0.18','-0.5','11','2',47,-341,'35','7','204.62'
'LRC-USDT','5m','LRC-USDT','2021-08-05','2021-11-19','27','-1.5','-10.11',-5,'81','-0.07','-0.13','-0.5','7','2',48,-422,'22','5','775.82'
'KNC-USDT','5m','KNC-USDT','2021-08-05','2021-11-19','44','-1.25','-7.22',-4,'82','-0.02','-0.22','-0.58','8','2',48,-579,'36','8','-1.22'
'DOGE-USDT','5m','DOGE-USDT','2021-08-05','2021-11-19','27','-1.53','-7.35',-5,'81','-0.03','-0.42','-0.7','7','1',48,-339,'22','5','9.64'
'ZIL-USDT','5m','ZIL-USDT','2021-08-05','2021-11-19','49','-2.02','-9.65',-7,'82','-0.03','-0.41','-0.7','13','3',48,-358,'40','9','7.1'
'IOTA-USDT','5m','IOTA-USDT','2021-08-05','2021-11-19','36','-1.75','-8.0',-6,'81','-0.04','-0.5','-0.73','8','2',49,-315,'29','7','42.35'
'CHR-USDT','5m','CHR-USDT','2021-08-05','2021-11-19','38','-1.93','-6.77',-6,'84','-0.07','-0.39','-0.95','8','1',48,-438,'32','6','262.01'
'KEEP-USDT','5m','KEEP-USDT','2021-08-05','2021-11-19','54','-2.21','-6.98',-7,'81','-0.06','-0.49','-1.05','6','2',48,-339,'44','10','120.84'
'EOS-USDT','5m','EOS-USDT','2021-08-05','2021-11-19','46','-3.41','-10.21',-11,'80','-0.04','-0.73','-1.09','9','2',49,-475,'37','9','-0.87'
'NEO-USDT','5m','NEO-USDT','2021-08-05','2021-11-19','40','-2.26','-6.52',-8,'80','-0.07','-0.54','-1.15','7','2',49,-308,'32','8','-8.96'
'SNX-USDT','5m','SNX-USDT','2021-08-05','2021-11-19','50','-2.89','-8.18',-10,'80','-0.06','-0.62','-1.16','17','3',47,-398,'40','10','-15.25'
'BAND-USDT','5m','BAND-USDT','2021-08-05','2021-11-19','56','-4.21','-11.68',-14,'80','-0.05','-0.78','-1.17','10','2',49,-516,'45','11','10.62'
'MKR-USDT','5m','MKR-USDT','2021-08-05','2021-11-19','33','-1.51','-4.3',-5,'70','-0.08','-0.58','-1.18','5','2',48,-154,'23','10','-5.53'
'ADA-USDT','5m','ADA-USDT','2021-08-05','2021-11-19','47','-6.48','-17.06',-20,'83','-0.07','-0.98','-1.2','15','4',51,-1469,'39','8','29.65'
'OMG-USDT','5m','OMG-USDT','2021-08-05','2021-11-19','48','-2.86','-7.81',-9,'81','-0.06','-0.54','-1.21','11','2',46,-413,'39','9','108.9'
'TRB-USDT','5m','TRB-USDT','2021-08-05','2021-11-19','55','-6.63','-16.37',-21,'87','-0.03','-0.99','-1.27','15','2',49,-1231,'48','7','16.46'
'RVN-USDT','5m','RVN-USDT','2021-08-05','2021-11-19','41','-4.05','-10.14',-13,'80','-0.05','-1.01','-1.3','10','2',49,-397,'33','8','55.9'
'SOL-USDT','5m','SOL-USDT','2021-08-05','2021-11-19','39','-4.54','-10.94',-15,'82','-0.06','-0.97','-1.34','10','1',49,-394,'32','7','445.17'
'SAND-USDT','5m','SAND-USDT','2021-08-05','2021-11-19','45','-5.26','-12.49',-17,'78','-0.04','-1.22','-1.35','18','3',50,-383,'35','10','566.49'
'AXS-USDT','5m','AXS-USDT','2021-08-05','2021-11-19','35','-2.26','-5.35',-8,'80','-0.11','-0.5','-1.4','9','2',47,-318,'28','7','183.45'
'AAVE-USDT','5m','AAVE-USDT','2021-08-05','2021-11-19','37','-2.54','-5.92',-8,'78','-0.09','-0.77','-1.42','13','3',47,-341,'29','8','-22.71'
'GRT-USDT','5m','GRT-USDT','2021-08-05','2021-11-19','52','-5.1','-11.34',-16,'83','-0.07','-0.89','-1.44','13','2',46,-406,'43','9','29.43'
'TLM-USDT','5m','TLM-USDT','2021-08-05','2021-11-19','43','-6.83','-13.96',-21,'81','-0.05','-1.22','-1.54','11','2',49,-585,'35','8','-0.9'
'ALICE-USDT','5m','ALICE-USDT','2021-08-05','2021-11-19','48','-6.91','-13.69',-22,'83','-0.09','-1.01','-1.58','16','3',48,-642,'40','8','31.58'
'LUNA-USDT','5m','LUNA-USDT','2021-08-05','2021-11-19','52','-5.53','-10.37',-18,'81','-0.1','-0.99','-1.7','27','2',48,-505,'42','10','177.07'
'LTC-USDT','5m','LTC-USDT','2021-08-05','2021-11-19','48','-4.27','-8.05',-14,'75','-0.06','-1.08','-1.72','10','2',47,-269,'36','12','43.07'
'MTL-USDT','5m','MTL-USDT','2021-08-05','2021-11-19','52','-6.03','-11.05',-19,'79','-0.08','-1.23','-1.73','8','2',49,-473,'41','11','46.19'
'NEAR-USDT','5m','NEAR-USDT','2021-08-05','2021-11-19','36','-3.98','-7.38',-13,'81','-0.13','-1.01','-1.75','14','1',46,-337,'29','7','256.93'
'TRX-USDT','5m','TRX-USDT','2021-08-05','2021-11-19','37','-8.12','-14.36',-25,'78','-0.05','-1.85','-1.75','10','2',49,-629,'29','8','48.84'
'ALPHA-USDT','5m','ALPHA-USDT','2021-08-05','2021-11-19','61','-9.29','-15.99',-28,'79','-0.07','-1.64','-1.77','21','2',50,-577,'48','13','18.9'
'BTC-USDT','5m','BTC-USDT','2021-08-05','2021-11-19','27','-7.18','-12.25',-22,'67','-0.18','-1.6','-1.83','6','2',47,-522,'18','9','43.2'
'HNT-USDT','5m','HNT-USDT','2021-08-05','2021-11-19','39','-5.24','-9.15',-17,'79','-0.08','-1.14','-1.83','7','2',47,-513,'31','8','196.21'
'ENJ-USDT','5m','ENJ-USDT','2021-08-05','2021-11-19','43','-4.83','-8.46',-16,'79','-0.1','-1.04','-1.84','12','2',47,-423,'34','9','115.34'
'AKRO-USDT','5m','AKRO-USDT','2021-08-05','2021-11-19','54','-4.99','-8.62',-16,'81','-0.11','-1.17','-1.86','11','2',47,-416,'44','10','13.16'
'ANKR-USDT','5m','ANKR-USDT','2021-08-05','2021-11-19','46','-7.93','-12.95',-25,'80','-0.08','-1.37','-1.9','18','2',47,-800,'37','9','26.77'
'OGN-USDT','5m','OGN-USDT','2021-08-05','2021-11-19','48','-6.13','-10.17',-19,'77','-0.08','-1.44','-1.91','9','3',47,-407,'37','11','18.75'
'MATIC-USDT','5m','MATIC-USDT','2021-08-05','2021-11-19','53','-13.22','-19.53',-38,'81','-0.13','-1.49','-1.96','12','4',49,-1387,'43','10','41.64'
'DEFI-USDT','5m','DEFI-USDT','2021-08-05','2021-11-19','43','-6.11','-9.79',-19,'74','-0.07','-1.51','-1.97','11','3',48,-341,'32','11','36.67'
