iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.risk_reward,parameters.chop_rsi_len,parameters.chop_bandwidth
60,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
60,?2_b[,0.2165956045214832,47,136,19.61,39,23,10.29,23,189,59,37,165
60,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
60,PIHAE,0.5531093327029586,39,101,45.9,50,14,4.01,39,392,38,17,98
60,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
60,V?uEb,0.45865011614015494,43,102,42.69,68,16,19.21,45,304,78,20,186
60,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
60,VH7Mj,0.42954538698102074,37,72,30.8,22,9,-4.21,45,384,23,24,211
60,n2mIZ,0.41672043682758503,50,122,41.58,61,13,10.34,67,189,71,22,162
60,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
60,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
60,;IQYL,0.38580923277398865,40,122,56.17,47,19,3.16,20,392,46,32,119
60,*Vjdg,0.37616352601913877,42,52,22.09,22,9,-0.87,4,508,68,38,201
60,B<Tl@,0.3760638560257399,47,155,59.44,38,21,6.57,26,277,49,43,83
60,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
60,-[gh1,0.3524532769489856,36,148,41.23,31,29,2.24,7,552,66,41,37
60,d1[.Y,0.3411304864624646,51,129,39.72,47,17,2.97,57,180,55,6,159
60,VLoI(,0.34087758340784263,36,85,32.74,30,13,-1.04,45,419,73,22,10
60,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
60,<gZ)D,0.33704520299741897,34,86,50.64,25,8,-1.7,20,658,54,3,95
60,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
60,"hHT,j",0.2705245249881533,39,68,32.36,57,14,16.54,61,384,49,4,211
60,")nO,5",0.2590258247576336,23,178,39.77,36,25,7.12,3,720,45,4,49
60,8nscK,0.25424935446279573,36,86,40.88,50,8,9.9,17,720,76,38,116
60,Q]1]i,0.24497361628062897,45,44,24.92,60,5,11.01,40,570,18,34,207
60,L`auf,0.23638146773293744,41,34,23.97,25,4,2.45,35,596,61,49,198
60,/EAmi,0.23242614045421695,43,23,12.6,33,6,1.93,8,357,32,44,207
60,oY^QO,0.22119307988436576,36,68,29.22,33,9,-4.37,68,534,58,27,128
60,VVCq=,0.220503600414308,36,76,25.42,36,11,2.68,45,508,34,46,74
60,<cJ77,0.2201971936671187,30,93,31.13,36,11,9.35,20,623,40,11,56
60,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
60,?2_b[,0.2165956045214832,47,136,19.61,39,23,10.29,23,189,59,37,165
120,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
120,PIHAE,0.5531093327029586,39,101,45.9,50,14,4.01,39,392,38,17,98
120,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
120,V?uEb,0.45865011614015494,43,102,42.69,68,16,19.21,45,304,78,20,186
120,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
120,VH7Mj,0.42954538698102074,37,72,30.8,22,9,-4.21,45,384,23,24,211
120,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
120,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
120,;IQYL,0.38580923277398865,40,122,56.17,47,19,3.16,20,392,46,32,119
120,B<Tl@,0.3760638560257399,47,155,59.44,38,21,6.57,26,277,49,43,83
120,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
120,-[gh1,0.3524532769489856,36,148,41.23,31,29,2.24,7,552,66,41,37
120,d1[.Y,0.3411304864624646,51,129,39.72,47,17,2.97,57,180,55,6,159
120,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
120,<gZ)D,0.33704520299741897,34,86,50.64,25,8,-1.7,20,658,54,3,95
120,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
120,"hHT,j",0.2705245249881533,39,68,32.36,57,14,16.54,61,384,49,4,211
120,")nO,5",0.2590258247576336,23,178,39.77,36,25,7.12,3,720,45,4,49
120,8nscK,0.25424935446279573,36,86,40.88,50,8,9.9,17,720,76,38,116
120,Q]1]i,0.24497361628062897,45,44,24.92,60,5,11.01,40,570,18,34,207
120,L`auf,0.23638146773293744,41,34,23.97,25,4,2.45,35,596,61,49,198
120,/EAmi,0.23242614045421695,43,23,12.6,33,6,1.93,8,357,32,44,207
120,oY^QO,0.22119307988436576,36,68,29.22,33,9,-4.37,68,534,58,27,128
120,VVCq=,0.220503600414308,36,76,25.42,36,11,2.68,45,508,34,46,74
120,<cJ77,0.2201971936671187,30,93,31.13,36,11,9.35,20,623,40,11,56
120,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
120,?2_b[,0.2165956045214832,47,136,19.61,39,23,10.29,23,189,59,37,165
120,L5-)=,0.2124311259139097,46,154,32.6,59,22,14.36,35,215,14,3,74
120,O3;8],0.21150978419133112,46,156,26.5,61,18,27.45,38,197,27,12,171
120,"8X+,h",0.20565960522647064,40,105,37.14,28,21,1.82,17,525,13,4,204
180,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
180,PIHAE,0.5531093327029586,39,101,45.9,50,14,4.01,39,392,38,17,98
180,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
180,V?uEb,0.45865011614015494,43,102,42.69,68,16,19.21,45,304,78,20,186
180,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
180,VH7Mj,0.42954538698102074,37,72,30.8,22,9,-4.21,45,384,23,24,211
180,1;jOa,0.4012323684466916,41,157,32.39,29,24,9.1,10,268,68,26,183
180,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
180,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
180,;IQYL,0.38580923277398865,40,122,56.17,47,19,3.16,20,392,46,32,119
180,B<Tl@,0.3760638560257399,47,155,59.44,38,21,6.57,26,277,49,43,83
180,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
180,d1[.Y,0.3411304864624646,51,129,39.72,47,17,2.97,57,180,55,6,159
180,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
180,<gZ)D,0.33704520299741897,34,86,50.64,25,8,-1.7,20,658,54,3,95
180,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
180,"hHT,j",0.2705245249881533,39,68,32.36,57,14,16.54,61,384,49,4,211
180,L`auf,0.23638146773293744,41,34,23.97,25,4,2.45,35,596,61,49,198
180,oY^QO,0.22119307988436576,36,68,29.22,33,9,-4.37,68,534,58,27,128
180,VVCq=,0.220503600414308,36,76,25.42,36,11,2.68,45,508,34,46,74
180,<cJ77,0.2201971936671187,30,93,31.13,36,11,9.35,20,623,40,11,56
180,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
180,?2_b[,0.2165956045214832,47,136,19.61,39,23,10.29,23,189,59,37,165
180,O3;8],0.21150978419133112,46,156,26.5,61,18,27.45,38,197,27,12,171
180,"8X+,h",0.20565960522647064,40,105,37.14,28,21,1.82,17,525,13,4,204
180,\4>=b,0.20298778080458177,48,128,27.51,53,15,14.74,50,206,29,15,186
180,n>dER,0.20236927651311667,38,95,27.25,60,15,14.27,67,295,63,20,138
180,1<jOa,0.2017464541292799,41,160,21.93,29,24,8.46,10,277,68,26,183
180,v-+9P,0.20091216535461612,54,137,32.48,62,16,3.58,74,144,13,12,132
180,EAnK*,0.19339581621126514,40,133,29.11,64,14,9.67,29,322,72,23,16
240,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
240,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
240,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
240,VH7Mj,0.42954538698102074,37,72,30.8,22,9,-4.21,45,384,23,24,211
240,1;jOa,0.4012323684466916,41,157,32.39,29,24,9.1,10,268,68,26,183
240,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
240,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
240,B<Tl@,0.3760638560257399,47,155,59.44,38,21,6.57,26,277,49,43,83
240,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
240,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
240,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
240,"hHT,j",0.2705245249881533,39,68,32.36,57,14,16.54,61,384,49,4,211
240,oY^QO,0.22119307988436576,36,68,29.22,33,9,-4.37,68,534,58,27,128
240,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
240,?2_b[,0.2165956045214832,47,136,19.61,39,23,10.29,23,189,59,37,165
240,O3;8],0.21150978419133112,46,156,26.5,61,18,27.45,38,197,27,12,171
240,"8X+,h",0.20565960522647064,40,105,37.14,28,21,1.82,17,525,13,4,204
240,\4>=b,0.20298778080458177,48,128,27.51,53,15,14.74,50,206,29,15,186
240,n>dER,0.20236927651311667,38,95,27.25,60,15,14.27,67,295,63,20,138
240,EAnK*,0.19339581621126514,40,133,29.11,64,14,9.67,29,322,72,23,16
240,v_cMk,0.19130880904035494,37,43,27.24,50,6,2.34,74,587,62,24,214
240,HpXDG,0.19058176089318765,30,69,30.39,50,8,7.64,32,738,53,19,104
240,1CjOa,0.18589557583772717,40,133,21.89,21,23,-2.32,10,339,68,26,183
240,p59K_,0.18287302201065395,44,102,21.77,50,14,15.95,69,215,25,23,177
240,"_9,\i",0.17738653164772653,50,59,19.4,60,10,9.51,53,251,14,34,207
240,woUa<,0.1709502501936477,41,48,20.98,33,6,6.38,75,729,50,37,71
240,8XYA:,0.17090131493251304,36,103,29.6,40,20,4.07,17,525,53,17,65
240,2CnJa,0.1699552438259814,39,138,22.2,25,27,-2.38,11,339,72,23,183
240,O9HR;,0.1687977621697327,43,151,32.52,50,20,24.83,38,251,38,28,68
240,K3v5u,0.16877753903280296,51,140,30.99,61,18,9.1,34,197,79,10,244
300,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
300,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
300,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
300,VH7Mj,0.42954538698102074,37,72,30.8,22,9,-4.21,45,384,23,24,211
300,1;jOa,0.4012323684466916,41,157,32.39,29,24,9.1,10,268,68,26,183
300,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
300,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
300,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
300,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
300,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
300,VH:OV,0.2539529503645594,36,93,29.6,41,12,1.49,45,384,26,26,150
300,VG:OV,0.25081674309132324,33,98,26.14,41,12,2.13,45,375,26,26,150
300,oY^QO,0.22119307988436576,36,68,29.22,33,9,-4.37,68,534,58,27,128
300,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
300,?2_b[,0.2165956045214832,47,136,19.61,39,23,10.29,23,189,59,37,165
300,O3;8],0.21150978419133112,46,156,26.5,61,18,27.45,38,197,27,12,171
300,\4>=b,0.20298778080458177,48,128,27.51,53,15,14.74,50,206,29,15,186
300,n>dER,0.20236927651311667,38,95,27.25,60,15,14.27,67,295,63,20,138
300,EAnK*,0.19339581621126514,40,133,29.11,64,14,9.67,29,322,72,23,16
300,v_cMk,0.19130880904035494,37,43,27.24,50,6,2.34,74,587,62,24,214
300,HpXDG,0.19058176089318765,30,69,30.39,50,8,7.64,32,738,53,19,104
300,1CjOa,0.18589557583772717,40,133,21.89,21,23,-2.32,10,339,68,26,183
300,p59K_,0.18287302201065395,44,102,21.77,50,14,15.95,69,215,25,23,177
300,"_9,\i",0.17738653164772653,50,59,19.4,60,10,9.51,53,251,14,34,207
300,woUa<,0.1709502501936477,41,48,20.98,33,6,6.38,75,729,50,37,71
300,8XYA:,0.17090131493251304,36,103,29.6,40,20,4.07,17,525,53,17,65
300,2CnJa,0.1699552438259814,39,138,22.2,25,27,-2.38,11,339,72,23,183
300,O9HR;,0.1687977621697327,43,151,32.52,50,20,24.83,38,251,38,28,68
300,K3v5u,0.16877753903280296,51,140,30.99,61,18,9.1,34,197,79,10,244
300,Ebeis,0.16111208476965377,46,13,9.74,50,4,2.67,29,614,64,41,238
360,VL:OV,0.6366461131351439,38,83,48.61,30,13,3.2,45,419,26,26,150
360,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
360,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
360,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
360,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
360,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
360,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
360,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
360,no:OV,0.305147286690224,38,55,46.96,16,6,-1.54,67,729,26,26,150
360,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
360,VG:OV,0.25081674309132324,33,98,26.14,41,12,2.13,45,375,26,26,150
360,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
360,O3;8],0.21150978419133112,46,156,26.5,61,18,27.45,38,197,27,12,171
360,\4>=b,0.20298778080458177,48,128,27.51,53,15,14.74,50,206,29,15,186
360,n>dER,0.20236927651311667,38,95,27.25,60,15,14.27,67,295,63,20,138
360,EAnK*,0.19339581621126514,40,133,29.11,64,14,9.67,29,322,72,23,16
360,v_cMk,0.19130880904035494,37,43,27.24,50,6,2.34,74,587,62,24,214
360,HpXDG,0.19058176089318765,30,69,30.39,50,8,7.64,32,738,53,19,104
360,1CjOa,0.18589557583772717,40,133,21.89,21,23,-2.32,10,339,68,26,183
360,p59K_,0.18287302201065395,44,102,21.77,50,14,15.95,69,215,25,23,177
360,"_9,\i",0.17738653164772653,50,59,19.4,60,10,9.51,53,251,14,34,207
360,Go:OV,0.1743460288115486,34,69,29.02,33,9,6.5,31,729,26,26,150
360,woUa<,0.1709502501936477,41,48,20.98,33,6,6.38,75,729,50,37,71
360,8XYA:,0.17090131493251304,36,103,29.6,40,20,4.07,17,525,53,17,65
360,2CnJa,0.1699552438259814,39,138,22.2,25,27,-2.38,11,339,72,23,183
360,O9HR;,0.1687977621697327,43,151,32.52,50,20,24.83,38,251,38,28,68
360,K3v5u,0.16877753903280296,51,140,30.99,61,18,9.1,34,197,79,10,244
360,Ebeis,0.16111208476965377,46,13,9.74,50,4,2.67,29,614,64,41,238
360,8fPio,0.16096658520081913,37,29,14.31,25,4,2.74,17,649,45,41,226
360,t=<]1,0.16038919766104165,40,104,22.03,44,18,24.57,72,286,28,34,37
420,VLPOp,0.7494660789086843,50,52,50.94,50,8,8.37,45,419,45,26,229
420,VL:OV,0.6366461131351439,38,83,48.61,30,13,3.2,45,419,26,26,150
420,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
420,VoPsp,0.5581550884977056,64,17,48.3,50,2,1.01,45,729,45,48,229
420,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
420,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
420,VMPOp,0.4531728498988354,45,53,37.84,50,8,8.04,45,428,45,26,229
420,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
420,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
420,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
420,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
420,no:OV,0.305147286690224,38,55,46.96,16,6,-1.54,67,729,26,26,150
420,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
420,VG:OV,0.25081674309132324,33,98,26.14,41,12,2.13,45,375,26,26,150
420,VAPOp,0.2412778888017988,38,59,27.49,50,8,7.84,45,322,45,26,229
420,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
420,O3;8],0.21150978419133112,46,156,26.5,61,18,27.45,38,197,27,12,171
420,V4POp,0.20824422833286776,52,67,20.09,50,8,1.0,45,206,45,26,229
420,\4>=b,0.20298778080458177,48,128,27.51,53,15,14.74,50,206,29,15,186
420,n>dER,0.20236927651311667,38,95,27.25,60,15,14.27,67,295,63,20,138
420,V6POp,0.1996069577868903,50,67,23.56,50,8,11.62,45,224,45,26,229
420,EAnK*,0.19339581621126514,40,133,29.11,64,14,9.67,29,322,72,23,16
420,v_cMk,0.19130880904035494,37,43,27.24,50,6,2.34,74,587,62,24,214
420,HpXDG,0.19058176089318765,30,69,30.39,50,8,7.64,32,738,53,19,104
420,1CjOa,0.18589557583772717,40,133,21.89,21,23,-2.32,10,339,68,26,183
420,p59K_,0.18287302201065395,44,102,21.77,50,14,15.95,69,215,25,23,177
420,"_9,\i",0.17738653164772653,50,59,19.4,60,10,9.51,53,251,14,34,207
420,Go:OV,0.1743460288115486,34,69,29.02,33,9,6.5,31,729,26,26,150
420,woUa<,0.1709502501936477,41,48,20.98,33,6,6.38,75,729,50,37,71
420,2CnJa,0.1699552438259814,39,138,22.2,25,27,-2.38,11,339,72,23,183
480,VLPOp,0.7494660789086843,50,52,50.94,50,8,8.37,45,419,45,26,229
480,VL:OV,0.6366461131351439,38,83,48.61,30,13,3.2,45,419,26,26,150
480,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
480,VoPsp,0.5581550884977056,64,17,48.3,50,2,1.01,45,729,45,48,229
480,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
480,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
480,VMPOp,0.4531728498988354,45,53,37.84,50,8,8.04,45,428,45,26,229
480,\VPOp,0.41969782042584863,44,45,42.74,57,7,9.62,50,508,45,26,229
480,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
480,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
480,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
480,no:OV,0.305147286690224,38,55,46.96,16,6,-1.54,67,729,26,26,150
480,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
480,VG:OV,0.25081674309132324,33,98,26.14,41,12,2.13,45,375,26,26,150
480,VAPOp,0.2412778888017988,38,59,27.49,50,8,7.84,45,322,45,26,229
480,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
480,\PPOp,0.21369280339199362,40,52,32.4,50,10,8.79,50,454,45,26,229
480,O3;8],0.21150978419133112,46,156,26.5,61,18,27.45,38,197,27,12,171
480,V4POp,0.20824422833286776,52,67,20.09,50,8,1.0,45,206,45,26,229
480,\GPOp,0.20475464605554466,40,50,30.01,25,8,-2.19,50,375,45,26,229
480,\4>=b,0.20298778080458177,48,128,27.51,53,15,14.74,50,206,29,15,186
480,n>dER,0.20236927651311667,38,95,27.25,60,15,14.27,67,295,63,20,138
480,V6POp,0.1996069577868903,50,67,23.56,50,8,11.62,45,224,45,26,229
480,\6POp,0.19600643534134748,51,70,18.48,62,8,16.36,50,224,45,26,229
480,EAnK*,0.19339581621126514,40,133,29.11,64,14,9.67,29,322,72,23,16
480,v_cMk,0.19130880904035494,37,43,27.24,50,6,2.34,74,587,62,24,214
480,HpXDG,0.19058176089318765,30,69,30.39,50,8,7.64,32,738,53,19,104
480,\oP@p,0.19038197665415174,40,45,26.21,33,6,2.65,50,729,45,17,229
480,1CjOa,0.18589557583772717,40,133,21.89,21,23,-2.32,10,339,68,26,183
480,p59K_,0.18287302201065395,44,102,21.77,50,14,15.95,69,215,25,23,177
540,VLPOp,0.7494660789086843,50,52,50.94,50,8,8.37,45,419,45,26,229
540,VL:OV,0.6366461131351439,38,83,48.61,30,13,3.2,45,419,26,26,150
540,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
540,VoPsp,0.5581550884977056,64,17,48.3,50,2,1.01,45,729,45,48,229
540,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
540,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
540,VMPOp,0.4531728498988354,45,53,37.84,50,8,8.04,45,428,45,26,229
540,\VPOp,0.41969782042584863,44,45,42.74,57,7,9.62,50,508,45,26,229
540,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
540,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
540,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
540,no:OV,0.305147286690224,38,55,46.96,16,6,-1.54,67,729,26,26,150
540,VG:OV,0.25081674309132324,33,98,26.14,41,12,2.13,45,375,26,26,150
540,VAPOp,0.2412778888017988,38,59,27.49,50,8,7.84,45,322,45,26,229
540,\PPOp,0.21369280339199362,40,52,32.4,50,10,8.79,50,454,45,26,229
540,O3;8],0.21150978419133112,46,156,26.5,61,18,27.45,38,197,27,12,171
540,V4POp,0.20824422833286776,52,67,20.09,50,8,1.0,45,206,45,26,229
540,\GPOp,0.20475464605554466,40,50,30.01,25,8,-2.19,50,375,45,26,229
