'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','15m','86lZ6^AX3','2021-05-01','2021-08-25','68','43.44','-4.16',208,'47','4.39','50.06','5','4',694,-177,'32','36','14.59'
'ETH-USDT','15m','CTf:1Zgbf','2021-05-01','2021-08-25','45','81.34','-7.59',540,'60','4.17','71.17','6','5',1169,-258,'27','18','14.59'
'ETH-USDT','15m','r42OV8u?a','2021-05-01','2021-08-25','64','78.91','-5.68',514,'56','4.16','90.49','8','4',1199,-334,'36','28','14.59'
'ETH-USDT','15m','>ff:R)^qv','2021-05-01','2021-08-25','41','71.58','-8.67',439,'46','4.02','50.59','7','5',2351,-259,'19','22','14.59'
'ETH-USDT','15m','7/iQn3;(A','2021-05-01','2021-08-25','75','45.03','-6.95',219,'40','3.95','31.49','4','5',687,-164,'30','45','14.59'
'ETH-USDT','15m','`H;i4UbTQ','2021-05-01','2021-08-25','67','69.43','-9.86',418,'52','3.82','42.42','5','3',1305,-306,'35','32','14.59'
'ETH-USDT','15m','=9DfF2I@a','2021-05-01','2021-08-25','56','64.61','-7.8',373,'61','3.77','47.89','8','3',1191,-205,'34','22','14.59'
'ETH-USDT','15m','aUf=S?7PP','2021-05-01','2021-08-25','63','68.32','-7.26',408,'51','3.75','56.13','5','4',1361,-300,'32','31','14.59'
'ETH-USDT','15m','bcCna)MgD','2021-05-01','2021-08-25','82','63.45','-7.11',363,'45','3.67','51.09','4','4',1060,-345,'37','45','14.59'
'ETH-USDT','15m','RL-a^5inH','2021-05-01','2021-08-25','70','65.55','-8.45',382,'47','3.64','45.21','6','7',1316,-411,'33','37','14.59'
'ETH-USDT','15m','H2W>p8v2','2021-05-01','2021-08-25','53','31.46','-4.05',135,'43','3.61','33.27','4','4',610,-223,'23','30','14.59'
'ETH-USDT','15m','crBrEQmL`','2021-05-01','2021-08-25','49','62.86','-9.24',358,'61','3.59','38.72','8','6',1115,-267,'30','19','14.59'
'ETH-USDT','15m','5Z6>ujW>','2021-05-01','2021-08-25','47','43.26','-6.91',207,'47','3.56','29.95','5','5',694,-152,'22','25','14.59'
'ETH-USDT','15m','(OTB;^v14','2021-05-01','2021-08-25','87','32.08','-3.86',138,'38','3.51','35.79','3','7',497,-72,'33','54','14.59'
'ETH-USDT','15m','7c7lc2wgE','2021-05-01','2021-08-25','83','59.5','-7.46',329,'46','3.5','44.12','4','4',972,-181,'38','45','14.59'
'ETH-USDT','15m','t25e6_QfD','2021-05-01','2021-08-25','64','45.83','-8.8',224,'41','3.49','25.52','4','6',630,-198,'26','38','14.59'
'ETH-USDT','15m','Z5>+li-`','2021-05-01','2021-08-25','57','61.25','-6.38',344,'54','3.47','53.93','5','5',1128,-398,'31','26','14.59'
'ETH-USDT','15m','G6GY58f2^','2021-05-01','2021-08-25','59','60.13','-8.29',334,'51','3.45','40.32','5','6',1133,-270,'30','29','14.59'
'ETH-USDT','15m','Nl9d-Ri0','2021-05-01','2021-08-25','132','48.21','-7.53',241,'35','3.44','32.04','4','8',788,-307,'46','86','14.59'
'ETH-USDT','15m','L@XDd,WW4','2021-05-01','2021-08-25','105','52.69','-8.55',274,'38','3.42','32.11','3','7',1195,-240,'40','65','14.59'
'ETH-USDT','15m','GsBV@eL0v','2021-05-01','2021-08-25','36','59.95','-12.15',333,'56','3.41','27.39','5','6',1049,-266,'20','16','14.59'
'ETH-USDT','15m','f.@t<.;\\\\,','2021-05-01','2021-08-25','87','38.37','-8.94',175,'40','3.41','19.62','4','6',628,-409,'35','52','14.59'
'ETH-USDT','15m','>+okl(8qr','2021-05-01','2021-08-25','37','51.28','-7.04',264,'49','3.4','37.47','4','3',1603,-209,'18','19','14.59'
'ETH-USDT','15m','NsJKt+v;F','2021-05-01','2021-08-25','81','57.81','-8.85',315,'40','3.36','35.61','4','7',932,-286,'32','49','14.59'
'ETH-USDT','15m','p3?mA.OVL','2021-05-01','2021-08-25','69','56.83','-9.09',307,'45','3.34','33.8','4','4',1330,-224,'31','38','14.59'
'ETH-USDT','15m','<6<jFo7T1','2021-05-01','2021-08-25','31','23.79','-4.21',95,'58','3.32','22.46','3','3',548,-167,'18','13','14.59'
'ETH-USDT','15m',';OMH-RHR-','2021-05-01','2021-08-25','122','39.25','-8.98',181,'38','3.31','20.14','4','6',639,-195,'46','76','14.59'
'ETH-USDT','15m','pONvgE9*E','2021-05-01','2021-08-25','74','37.73','-8.56',172,'39','3.31','20.03','3','6',806,-199,'29','45','14.59'
'ETH-USDT','15m','wHBjFMR@r','2021-05-01','2021-08-25','56','54.13','-11.84',286,'50','3.29','24.12','4','5',1159,-264,'28','28','14.59'
'ETH-USDT','15m','h07GsSU/','2021-05-01','2021-08-25','17','18.8','-2.02',71,'71','3.28','35.26','5','1',539,-145,'12','5','14.59'
'ETH-USDT','15m','._;27jX.i','2021-05-01','2021-08-25','76','54.47','-10.13',288,'38','3.26','28.46','4','9',1200,-123,'29','47','14.59'
'ETH-USDT','15m','fd`7BpA4X','2021-05-01','2021-08-25','43','48.96','-6.18',247,'51','3.25','39.94','5','4',1153,-350,'22','21','14.59'
'ETH-USDT','15m','M*Ov0Dmt4','2021-05-01','2021-08-25','51','31.24','-4.08',134,'47','3.23','32.71','4','5',684,-245,'24','27','14.59'
'ETH-USDT','15m','WXKD?.iIZ','2021-05-01','2021-08-25','70','58.32','-10.55',319,'53','3.23','30.25','4','4',1155,-367,'37','33','14.59'
'ETH-USDT','15m','=`8O8WNrk','2021-05-01','2021-08-25','53','57.58','-10.2',313,'47','3.19','30.71','4','6',1054,-235,'25','28','14.59'
'ETH-USDT','15m',';B-G7cBD','2021-05-01','2021-08-25','99','53.14','-7.56',278,'38','3.19','36.79','3','7',963,-215,'38','61','14.59'
'ETH-USDT','15m','cnpbHBd-j','2021-05-01','2021-08-25','46','52.78','-8.44',275,'52','3.15','32.6','5','5',1033,-294,'24','22','14.59'
'ETH-USDT','15m','K27<C=Qce','2021-05-01','2021-08-25','54','48.09','-9.66',240,'50','3.14','24.9','7','5',1072,-291,'27','27','14.59'
'ETH-USDT','15m','^W>wV+`fG','2021-05-01','2021-08-25','77','52.32','-10.09',272,'44','3.13','26.93','3','4',1139,-368,'34','43','14.59'
'ETH-USDT','15m','.o/wr4QSK','2021-05-01','2021-08-25','77','40.04','-6.67',186,'35','3.11','27.87','3','5',1130,-111,'27','50','14.59'
'ETH-USDT','15m','=bdOSb@l3','2021-05-01','2021-08-25','37','23.69','-3.99',94,'49','3.1','23.61','3','6',634,-156,'18','19','14.59'
'ETH-USDT','15m','5)nT-+8RN','2021-05-01','2021-08-25','53','37.59','-7.28',171,'49','3.08','23.43','5','4',1125,-158,'26','27','14.59'
'ETH-USDT','15m','=I/_6>tRo','2021-05-01','2021-08-25','57','56.34','-11.31',303,'47','3.05','26.8','4','6',1109,-227,'27','30','14.59'
'ETH-USDT','15m','JTuh(?\\\\82','2021-05-01','2021-08-25','62','28.27','-4.35',117,'48','3.03','26.97','4','3',647,-234,'30','32','14.59'
'ETH-USDT','15m','S>Jr8\\\\8_R','2021-05-01','2021-08-25','57','47.83','-7.67',239,'49','3.01','31.1','4','4',1229,-319,'28','29','14.59'
'ETH-USDT','15m','=qYI+TQ@T','2021-05-01','2021-08-25','59','38.67','-8.27',177,'41','2.97','21.44','4','6',1117,-188,'24','35','14.59'
'ETH-USDT','15m','*_4H:v7HI','2021-05-01','2021-08-25','79','37.81','-10.48',172,'27','2.95','16.4','3','11',1220,-90,'21','58','14.59'
