'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','15m','<WSK/,ru','2021-05-15','2021-05-21','1','15.39','-2.9',174602,'100','10.33','60293.96','1','0',1539,0,'1','0','-32.08'
'ETH-USDT','15m','M*Ov0Dmt4','2021-05-15','2021-05-21','2','3.6','0.0',532,'100','10.4','nan','2','0',350,0,'2','0','-32.08'
'ETH-USDT','15m','L@XDd,WW4','2021-05-15','2021-05-21','3','14.46','-2.03',114337,'67','8.41','56203.7','1','1',1128,-27,'2','1','-32.08'
'ETH-USDT','15m','>+okl(8qr','2021-05-15','2021-05-21','1','15.03','-2.93',148077,'100','10.06','50583.26','1','0',1503,0,'1','0','-32.08'
'ETH-USDT','15m','bcCna)MgD','2021-05-15','2021-05-21','3','14.15','-2.85',99256,'67','7.75','34809.07','1','1',1040,-54,'2','1','-32.08'
'ETH-USDT','15m','>ff:R)^qv','2021-05-15','2021-05-21','1','13.35','-3.11',68608,'100','8.46','22080.91','1','0',1335,0,'1','0','-32.08'
'ETH-USDT','15m','RL-a^5inH','2021-05-15','2021-05-21','2','13.4','-3.43',70405,'100','7.19','20514.78','2','0',962,0,'2','0','-32.08'
'ETH-USDT','15m','GT1c-L(+\\\\','2021-05-15','2021-05-21','3','14.15','-5.25',98987,'67','7.17','18850.39','2','1',778,-10,'2','1','-32.08'
'ETH-USDT','15m','85bY@Y?wq','2021-05-15','2021-05-21','1','13.01','-3.16',58725,'100','8.13','18572.27','1','0',1301,0,'1','0','-32.08'
'ETH-USDT','15m','hmd=I_?Tw','2021-05-15','2021-05-21','1','13.01','-3.16',58725,'100','8.13','18572.27','1','0',1301,0,'1','0','-32.08'
