'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'CHR-USD','15m','CHR-USD','2021-09-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TLM-USD','15m','TLM-USD','2021-09-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'REN-USD','15m','REN-USD','2021-09-01','2021-09-25','12','-0.16','-14.64',-2,'25','0.31','-0.16','2','7',1109,-276,'3','9','46.05'
'RAY-USD','15m','RAY-USD','2021-09-01','2021-09-25','14','-0.11','-6.6',-2,'36','0.26','-0.25','1','3',519,-255,'5','9','-15.68'
'1INCH-USD','15m','1INCH-USD','2021-09-01','2021-09-25','14','-0.23','-9.84',-3,'43','0.15','-0.34','2','4',641,-268,'6','8','-16.4'
'DEFI-USD','15m','DEFI-USD','2021-09-01','2021-09-25','17','-0.83','-12.82',-12,'35','0.16','-0.9','2','6',1302,-275,'6','11','-10.39'
'XEM-USD','15m','XEM-USD','2021-09-01','2021-09-25','23','-1.51','-18.56',-20,'22','0.07','-1.08','2','10',1130,-248,'5','18','-22.47'
'ZIL-USD','15m','ZIL-USD','2021-09-01','2021-09-25','12','-1.05','-7.29',-14,'42','-0.26','-1.97','3','3',415,-268,'5','7','-21.33'
'SC-USD','15m','SC-USD','2021-09-01','2021-09-25','11','-1.45','-7.3',-19,'36','-0.23','-2.64','2','4',470,-251,'4','7','-24.08'
'DAWN-USD','15m','DAWN-USD','2021-09-01','2021-09-25','10','-1.88','-8.19',-24,'30','-0.78','-2.95','2','4',386,-266,'3','7','-30.02'
'CAKE-USD','15m','CAKE-USD','2021-09-01','2021-09-25','23','-2.67','-10.86',-33,'26','-0.24','-3.0','2','6',1141,-255,'6','17','-17.27'
'AUDIO-USD','15m','AUDIO-USD','2021-09-01','2021-09-25','17','-4.93','-17.31',-52,'24','-0.55','-3.02','3','10',727,-252,'4','13','-13.48'
'STX-USD','15m','STX-USD','2021-09-01','2021-09-25','16','-3.18','-12.16',-38,'19','-0.18','-3.1','1','7',1857,-274,'3','13','-10.86'
'LUNA-USD','15m','LUNA-USD','2021-09-01','2021-09-25','15','-2.48','-9.58',-31,'27','-0.25','-3.21','2','5',1393,-269,'4','11','27.62'
'AXS-USD','15m','AXS-USD','2021-09-01','2021-09-25','21','-3.81','-13.15',-43,'29','-0.33','-3.29','3','5',1279,-259,'6','15','-5.22'
'DASH-USD','15m','DASH-USD','2021-09-01','2021-09-25','16','-5.3','-16.4',-55,'38','-1.23','-3.35','2','8',507,-269,'6','10','-25.9'
'MTA-USD','15m','MTA-USD','2021-09-01','2021-09-25','13','-5.69','-17.0',-58,'15','-1.36','-3.38','1','6',1165,-249,'2','11','-35.84'
'AMPL-USD','15m','AMPL-USD','2021-09-01','2021-09-25','31','-28.72','-28.72',-99,'13','-12.17','-3.46','2','15',286,-251,'4','27','-4.54'
'BAND-USD','15m','BAND-USD','2021-09-01','2021-09-25','17','-24.49','-27.79',-98,'12','-9.89','-3.54','1','10',366,-261,'2','15','-19.81'
