'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','15m','=qYI+TQ@T','2021-05-16','2021-05-22','3','8.25','-3.52',6128,'67','8.16','1739.21','1','1',570,-114,'2','1','-33.65'
'ETH-USDT','15m','5Z6>ujW>','2021-05-16','2021-05-22','4','6.74','-1.8',2893,'50','8.02','1610.1','1','2',590,-117,'2','2','-33.65'
'ETH-USDT','15m',';OMH-RHR-','2021-05-16','2021-05-22','6','6.59','-2.05',2683,'33','7.66','1310.3','1','4',598,-80,'2','4','-33.65'
'ETH-USDT','15m','GT1c-L(+\\\\','2021-05-16','2021-05-22','7','8.47','-5.56',6837,'43','4.29','1230.07','2','3',694,-189,'3','4','-33.65'
'ETH-USDT','15m','8IhSF=``','2021-05-16','2021-05-22','3','7.55','-4.18',4358,'67','7.09','1042.27','1','1',567,-128,'2','1','-33.65'
'ETH-USDT','15m','bg6vgBtDY','2021-05-16','2021-05-22','1','7.38','-5.15',4001,'100','4.19','777.3','1','0',738,0,'1','0','-33.65'
'ETH-USDT','15m','7vPCW5Ks','2021-05-16','2021-05-22','1','6.91','-5.57',3156,'100','3.91','567.06','1','0',691,0,'1','0','-33.65'
'ETH-USDT','15m','E?an;w;uU','2021-05-16','2021-05-22','1','3.39','-2.72',470,'100','4.95','172.58','1','0',339,0,'1','0','-33.65'
'ETH-USDT','15m','X<qN7n:Xi','2021-05-16','2021-05-22','1','2.93','-2.76',350,'100','4.4','126.98','1','0',293,0,'1','0','-33.65'
'ETH-USDT','15m','=bdOSb@l3','2021-05-16','2021-05-22','2','1.67','-1.49',137,'50','4.4','91.56','1','1',321,-154,'1','1','-33.65'
'ETH-USDT','15m','\\+,(Z94So','2021-05-16','2021-05-22','2','3.56','-5.75',518,'50','2.21','90.18','1','1',638,-283,'1','1','-33.65'
'ETH-USDT','15m',',-FjC\\8R','2021-05-16','2021-05-22','2','2.67','-3.44',294,'50','3.61','85.54','1','1',343,-77,'1','1','-33.65'
'ETH-USDT','15m','1qlJTheS','2021-05-16','2021-05-22','2','2.12','-3.52',199,'50','2.96','56.47','1','1',309,-97,'1','1','-33.65'
'ETH-USDT','15m',')eYta=8Sj','2021-05-16','2021-05-22','4','1.36','-4.14',102,'25','1.96','24.61','1','2',316,-61,'1','3','-33.65'
'ETH-USDT','15m','(DQ8d)(q','2021-05-16','2021-05-22','6','0.55','-4.95',33,'17','0.88','6.64','1','4',328,-55,'1','5','-33.65'
'ETH-USDT','15m','j^:gu7(-8','2021-05-16','2021-05-22','7','-0.65','-2.75',-29,'29','-1.42','-10.42','1','2',348,-119,'2','5','-33.65'
'ETH-USDT','15m','<WSK/,ru','2021-05-16','2021-05-22','5','-6.97','-6.97',-98,'0','-7.54','-14.01','0','5',0,-144,'0','5','-33.65'
'ETH-USDT','15m','(OTB;^v14','2021-05-16','2021-05-22','3','-1.61','-1.61',-57,'0','-17.44','-35.49','0','3',0,-54,'0','3','-33.65'
'ETH-USDT','15m','pONvgE9*E','2021-05-16','2021-05-22','2','-1.4','-1.4',-52,'0','-11.14','-37.19','0','2',0,-97,'0','2','-33.65'
'ETH-USDT','15m','(iDLRUK`r','2021-05-16','2021-05-22','2','-1.08','-1.08',-43,'0','-12.33','-40.06','0','2',0,-54,'0','2','-33.65'
'ETH-USDT','15m','*i<qCq:U^','2021-05-16','2021-05-22','1','-0.64','-0.64',-28,'0','-7.8','-44.45','0','1',0,-64,'0','1','-33.65'
