'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'MAPS-USD','5m','MAPS-USD','2021-06-01','2021-09-25','41','25.18','-15.92',102,'37','2.05','6.38','4','6',1204,-603,'15','26','10.46'
'SRN-USD','5m','SRN-USD','2021-06-01','2021-09-25','35','22.2','-13.9',87,'43','1.51','6.26','2','7',2206,-622,'15','20','-7.82'
'ATOM-USD','5m','ATOM-USD','2021-06-01','2021-09-25','26','14.65','-9.6',53,'46','1.21','5.54','5','4',718,-484,'12','14','205.99'
'LRC-USD','5m','LRC-USD','2021-06-01','2021-09-25','34','15.06','-10.03',55,'38','1.43','5.47','2','5',1163,-417,'13','21','3.63'
'NEAR-USD','5m','NEAR-USD','2021-06-01','2021-09-25','30','17.38','-12.27',65,'47','1.24','5.28','3','4',2130,-575,'14','16','139.22'
'TRU-USD','5m','TRU-USD','2021-06-01','2021-09-25','39','25.11','-19.52',101,'38','1.5','5.18','4','7',1947,-589,'15','24','34.25'
'BTC-USD','5m','BTC-USD','2021-06-01','2021-09-25','26','9.51','-6.43',33,'42','1.56','5.09','3','4',984,-189,'11','15','15.3'
'SOL-USD','5m','SOL-USD','2021-06-01','2021-09-25','24','20.85','-16.25',81,'38','1.76','4.96','3','7',1618,-401,'9','15','327.25'
'BNT-USD','5m','BNT-USD','2021-06-01','2021-09-25','48','11.46','-8.12',40,'33','1.31','4.96','2','6',1413,-279,'16','32','-27.35'
'KSM-USD','5m','KSM-USD','2021-06-01','2021-09-25','28','11.85','-8.7',42,'25','0.99','4.81','1','6',1714,-438,'7','21','-9.38'
'COMP-USD','5m','COMP-USD','2021-06-01','2021-09-25','36','20.82','-17.07',80,'42','1.65','4.71','3','6',2235,-440,'15','21','-21.32'
'DODO-USD','5m','DODO-USD','2021-06-01','2021-09-25','44','21.61','-18.57',84,'43','1.4','4.53','4','6',1767,-568,'19','25','-16.49'
'ROOK-USD','5m','ROOK-USD','2021-06-01','2021-09-25','73','30.06','-29.13',127,'44','1.78','4.36','8','6',1833,-532,'32','41','-24.88'
'ALGO-USD','5m','ALGO-USD','2021-06-01','2021-09-25','35','12.05','-10.55',43,'40','1.16','4.04','3','4',800,-450,'14','21','92.32'
'STMX-USD','5m','STMX-USD','2021-06-01','2021-09-25','43','19.76','-19.52',76,'33','1.44','3.87','3','11',1527,-449,'14','29','4.31'
'CRO-USD','5m','CRO-USD','2021-06-01','2021-09-25','41','12.67','-11.67',45,'34','1.43','3.86','2','9',954,-315,'14','27','27.87'
'GRT-USD','5m','GRT-USD','2021-06-01','2021-09-25','38','11.86','-11.28',42,'42','1.11','3.71','4','5',1160,-409,'16','22','-12.31'
'LINA-USD','5m','LINA-USD','2021-06-01','2021-09-25','35','11.97','-11.96',42,'49','1.0','3.54','3','5',829,-402,'17','18','-15.75'
'BAO-USD','5m','BAO-USD','2021-06-01','2021-09-25','47','16.33','-17.05',60,'28','1.39','3.54','2','10',2200,-796,'13','34','-45.21'
'NEO-USD','5m','NEO-USD','2021-06-01','2021-09-25','28','9.7','-10.49',34,'36','0.95','3.19','2','5',1058,-365,'10','18','-28.29'
'MID-USD','5m','MID-USD','2021-06-01','2021-09-25','33','12.03','-13.48',43,'36','1.19','3.16','5','7',929,-235,'12','21','-13.51'
'LINK-USD','5m','LINK-USD','2021-06-01','2021-09-25','34','8.85','-9.74',30,'38','0.99','3.11','3','5',826,-318,'13','21','-26.84'
'ZRX-USD','5m','ZRX-USD','2021-06-01','2021-09-25','40','8.2','-9.18',28,'38','0.9','3.03','3','4',692,-298,'15','25','-9.4'
'ADA-USD','5m','ADA-USD','2021-06-01','2021-09-25','29','7.23','-8.13',24,'38','0.82','2.99','4','5',800,-364,'11','18','31.89'
'LTC-USD','5m','LTC-USD','2021-06-01','2021-09-25','34','11.58','-14.13',41,'35','1.3','2.88','2','9',859,-320,'12','22','-18.79'
'EXCH-USD','5m','EXCH-USD','2021-06-01','2021-09-25','45','11.95','-15.28',42,'38','1.36','2.76','4','8',1185,-268,'17','28','14.82'
'HOT-USD','5m','HOT-USD','2021-06-01','2021-09-25','34','10.1','-12.67',35,'38','0.97','2.76','3','6',901,-330,'13','21','-8.58'
'ALT-USD','5m','ALT-USD','2021-06-01','2021-09-25','30','9.48','-12.4',33,'30','1.16','2.63','4','6',866,-488,'9','21','6.45'
'RAY-USD','5m','RAY-USD','2021-06-01','2021-09-25','44','14.82','-20.97',54,'34','1.03','2.57','3','8',2909,-970,'15','29','94.59'
'BAT-USD','5m','BAT-USD','2021-06-01','2021-09-25','31','10.5','-14.58',37,'39','1.27','2.51','7','9',1114,-300,'12','19','-14.26'
'REN-USD','5m','REN-USD','2021-06-01','2021-09-25','28','7.74','-10.49',26,'32','0.93','2.5','2','6',930,-339,'9','19','101.49'
'BTT-USD','5m','BTT-USD','2021-06-01','2021-09-25','37','11.67','-17.75',41,'32','1.01','2.32','4','7',2125,-517,'12','25','-13.85'
'ZIL-USD','5m','ZIL-USD','2021-06-01','2021-09-25','24','5.27','-8.6',17,'33','0.64','2.02','2','4',950,-320,'8','16','-26.61'
'RSR-USD','5m','RSR-USD','2021-06-01','2021-09-25','33','9.53','-16.46',33,'36','1.01','2.0','3','9',1866,-401,'12','21','-18.97'
'IOTA-USD','5m','IOTA-USD','2021-06-01','2021-09-25','29','8.11','-14.37',28,'48','0.94','1.92','3','5',765,-564,'14','15','14.46'
'HT-USD','5m','HT-USD','2021-06-01','2021-09-25','31','9.95','-19.03',34,'32','0.98','1.81','4','6',803,-556,'10','21','-37.69'
'ALPHA-USD','5m','ALPHA-USD','2021-06-01','2021-09-25','31','9.25','-18.21',32,'29','0.83','1.74','1','6',2242,-450,'9','22','0.54'
'DEFI-USD','5m','DEFI-USD','2021-06-01','2021-09-25','34','5.89','-11.29',20,'32','0.72','1.73','2','6',637,-424,'11','23','2.91'
'CRV-USD','5m','CRV-USD','2021-06-01','2021-09-25','36','6.21','-12.94',21,'42','0.7','1.6','2','3',783,-410,'15','21','24.21'
'VET-USD','5m','VET-USD','2021-06-01','2021-09-25','28','5.67','-12.26',19,'36','0.67','1.53','2','7',1170,-277,'10','18','-25.83'
'OKB-USD','5m','OKB-USD','2021-06-01','2021-09-25','35','6.59','-15.46',22,'31','0.72','1.43','3','4',1757,-449,'11','24','1.7'
