'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'OXY-USD','5m','OXY-USD','2021-08-01','2021-09-26','60','58.1','-2.49',1779,'45','10.28','713.11','7','4',931,-194,'27','33','43.26'
'ASD-USD','5m','ASD-USD','2021-08-01','2021-09-26','53','50.75','-1.93',1285,'53','10.33','666.48','4','5',716,-119,'28','25','14.59'
'CONV-USD','5m','CONV-USD','2021-08-01','2021-09-26','105','27.3','-7.44',369,'42','4.02','49.6','4','9',677,-229,'44','61','22.2'
'OKB-USD','5m','OKB-USD','2021-08-01','2021-09-26','74','20.76','-6.24',235,'45','3.93','37.62','5','4',912,-323,'33','41','-32.97'
'STEP-USD','5m','STEP-USD','2021-08-01','2021-09-26','95','29.21','-11.14',416,'56','3.0','37.34','6','5',961,-590,'53','42','295.41'
'ALCX-USD','5m','ALCX-USD','2021-08-01','2021-09-26','99','27.49','-10.07',374,'43','3.82','37.1','7','7',774,-334,'43','56','-29.71'
'BCH-USD','5m','BCH-USD','2021-08-01','2021-09-26','68','19.94','-6.69',220,'43','3.47','32.96','2','5',935,-395,'29','39','-5.43'
'RAMP-USD','5m','RAMP-USD','2021-08-01','2021-09-26','91','24.26','-10.14',302,'35','2.72','29.76','4','8',1452,-371,'32','59','22.22'
'ETH-USD','5m','ETH-USD','2021-08-01','2021-09-26','63','16.02','-5.83',159,'40','3.14','27.25','2','5',759,-279,'25','38','15.37'
'FTT-USD','5m','FTT-USD','2021-08-01','2021-09-26','100','22.33','-12.91',264,'49','2.98','20.41','6','4',775,-365,'49','51','55.68'
'BAO-USD','5m','BAO-USD','2021-08-01','2021-09-26','83','26.13','-17.35',342,'39','2.24','19.71','4','6',2072,-340,'32','51','-61.98'
'OMG-USD','5m','OMG-USD','2021-08-01','2021-09-26','84','17.49','-12.13',181,'35','1.84','14.91','4','8',1315,-250,'29','55','99.41'
'ADA-USD','5m','ADA-USD','2021-08-01','2021-09-26','65','10.74','-7.35',92,'38','1.9','12.54','4','7',669,-226,'25','40','74.32'
'MEDIA-USD','5m','MEDIA-USD','2021-08-01','2021-09-26','62','7.49','-6.11',59,'29','1.85','9.61','2','5',564,-170,'18','44','13.21'
'AAVE-USD','5m','AAVE-USD','2021-08-01','2021-09-26','77','7.93','-7.15',63,'40','1.38','8.81','3','5',786,-229,'31','46','-17.14'
'XTZ-USD','5m','XTZ-USD','2021-08-01','2021-09-26','69','12.46','-13.06',112,'41','1.67','8.58','2','5',1380,-828,'28','41','124.59'
'MID-USD','5m','MID-USD','2021-08-01','2021-09-26','77','7.38','-8.0',58,'35','1.48','7.21','2','6',854,-186,'27','50','8.12'
'MKR-USD','5m','MKR-USD','2021-08-01','2021-09-26','88','7.32','-8.06',57,'44','1.26','7.1','4','6',1034,-251,'39','49','-24.33'
'PERP-USD','5m','PERP-USD','2021-08-01','2021-09-26','72','8.76','-10.51',71,'42','1.52','6.78','5','8',772,-252,'30','42','-19.51'
'REN-USD','5m','REN-USD','2021-08-01','2021-09-26','82','8.82','-13.05',72,'37','1.48','5.5','3','11',1180,-391,'30','52','132.25'
'MAPS-USD','5m','MAPS-USD','2021-08-01','2021-09-26','61','8.04','-12.36',64,'48','1.44','5.18','5','6',547,-316,'29','32','72.27'
'C98-USD','5m','C98-USD','2021-08-01','2021-09-26','60','9.32','-16.03',77,'37','1.33','4.8','5','5',875,-328,'22','38','143.55'
'BTC-USD','5m','BTC-USD','2021-08-01','2021-09-26','63','5.34','-9.32',40,'35','1.35','4.24','4','9',638,-196,'22','41','2.93'
'KIN-USD','5m','KIN-USD','2021-08-01','2021-09-26','80','14.5','-33.76',138,'44','1.68','4.09','4','7',1571,-891,'35','45','49.93'
'PAXG-USD','5m','PAXG-USD','2021-08-01','2021-09-26','13','1.01','-1.83',7,'31','1.1','3.65','3','6',171,-32,'4','9','-3.65'
'XLM-USD','5m','XLM-USD','2021-08-01','2021-09-26','67','2.59','-6.84',18,'40','0.66','2.6','4','4',818,-290,'27','40','-3.01'
'FIL-USD','5m','FIL-USD','2021-08-01','2021-09-26','62','3.78','-11.24',27,'35','0.74','2.39','3','8',1037,-235,'22','40','16.28'
'CAKE-USD','5m','CAKE-USD','2021-08-01','2021-09-26','71','1.97','-8.35',13,'38','0.51','1.6','4','5',735,-211,'27','44','15.59'
'IOTA-USD','5m','IOTA-USD','2021-08-01','2021-09-26','67','2.54','-13.63',17,'43','0.61','1.28','4','5',808,-306,'29','38','33.19'
'LTC-USD','5m','LTC-USD','2021-08-01','2021-09-26','68','1.37','-11.62',9,'34','0.42','0.79','2','8',902,-253,'23','45','4.47'
'LRC-USD','5m','LRC-USD','2021-08-01','2021-09-26','69','1.36','-13.15',9,'30','0.45','0.69','3','8',1548,-280,'21','48','52.72'
'DOGE-USD','5m','DOGE-USD','2021-08-01','2021-09-26','65','0.51','-12.71',3,'32','0.3','0.26','3','7',760,-338,'21','44','0.43'
'SLP-USD','5m','SLP-USD','2021-08-01','2021-09-26','69','0.12','-13.36',1,'35','0.27','0.06','3','7',1557,-337,'24','45','-69.69'
'BADGER-USD','5m','BADGER-USD','2021-08-01','2021-09-26','74','0.11','-13.22',1,'41','0.25','0.05','4','6',920,-405,'30','44','46.24'
'DYDX-USD','5m','DYDX-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AGLD-USD','5m','AGLD-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CVC-USD','5m','CVC-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATLAS-USD','5m','ATLAS-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ONE-USD','5m','ONE-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALICE-USD','5m','ALICE-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'POLIS-USD','5m','POLIS-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MNGO-USD','5m','MNGO-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TULIP-USD','5m','TULIP-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MANA-USD','5m','MANA-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'EDEN-USD','5m','EDEN-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHR-USD','5m','CHR-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TLM-USD','5m','TLM-USD','2021-08-01','2021-09-26',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'EXCH-USD','5m','EXCH-USD','2021-08-01','2021-09-26','86','-0.15','-11.48',-1,'34','0.15','-0.08','3','7',652,-246,'29','57','12.64'
'ICP-USD','5m','ICP-USD','2021-08-01','2021-09-26','68','-0.22','-13.18',-1,'40','0.22','-0.11','3','7',1055,-323,'27','41','9.34'
'ICX-USD','5m','ICX-USD','2021-08-01','2021-09-26','85','-0.48','-21.39',-3,'32','0.19','-0.14','3','6',1172,-350,'27','58','53.96'
'BNB-USD','5m','BNB-USD','2021-08-01','2021-09-26','72','-0.57','-11.25',-4,'35','0.06','-0.32','3','6',559,-167,'25','47','5.02'
'CRV-USD','5m','CRV-USD','2021-08-01','2021-09-26','71','-0.5','-8.08',-3,'41','0.06','-0.39','3','5',843,-257,'29','42','35.13'
'RUNE-USD','5m','RUNE-USD','2021-08-01','2021-09-26','72','-0.88','-13.29',-6,'40','0.12','-0.42','3','5',1027,-330,'29','43','12.91'
'DASH-USD','5m','DASH-USD','2021-08-01','2021-09-26','78','-0.99','-12.31',-6,'37','0.03','-0.5','4','5',527,-181,'29','49','-0.02'
'AVAX-USD','5m','AVAX-USD','2021-08-01','2021-09-26','68','-1.78','-18.49',-11,'41','0.11','-0.59','3','7',1036,-713,'28','40','402.64'
'BAL-USD','5m','BAL-USD','2021-08-01','2021-09-26','62','-1.87','-15.03',-11,'35','-0.18','-0.76','3','10',844,-249,'22','40','-6.1'
'DRGN-USD','5m','DRGN-USD','2021-08-01','2021-09-26','81','-3.24','-21.27',-19,'37','-0.49','-0.89','4','7',473,-217,'30','51','26.52'
'XEM-USD','5m','XEM-USD','2021-08-01','2021-09-26','79','-2.5','-14.92',-15,'34','-0.17','-1.0','3','13',801,-329,'27','52','-16.59'
'STX-USD','5m','STX-USD','2021-08-01','2021-09-26','82','-3.17','-17.35',-19,'33','-0.49','-1.07','4','9',503,-190,'27','55','-1.61'
'XMR-USD','5m','XMR-USD','2021-08-01','2021-09-26','71','-2.72','-11.08',-16,'34','-0.28','-1.46','4','11',804,-232,'24','47','-1.82'
'CRO-USD','5m','CRO-USD','2021-08-01','2021-09-26','79','-3.53','-12.35',-21,'28','-0.46','-1.67','3','7',770,-217,'22','57','21.8'
'XRP-USD','5m','XRP-USD','2021-08-01','2021-09-26','65','-4.11','-13.87',-24,'31','-0.57','-1.7','3','8',795,-339,'20','45','25.94'
'BAT-USD','5m','BAT-USD','2021-08-01','2021-09-26','77','-5.33','-17.16',-30,'30','-0.82','-1.72','3','5',622,-193,'23','54','-8.58'
'LINA-USD','5m','LINA-USD','2021-08-01','2021-09-26','66','-5.42','-17.29',-30,'33','-0.58','-1.73','3','6',853,-257,'22','44','-11.02'
'HT-USD','5m','HT-USD','2021-08-01','2021-09-26','73','-7.12','-21.02',-38,'36','-0.94','-1.79','3','9',709,-280,'26','47','-17.11'
'MTL-USD','5m','MTL-USD','2021-08-01','2021-09-26','87','-54.23','-55.45',-99,'18','-9.13','-1.79','2','14',559,-302,'16','71','29.69'
'KAVA-USD','5m','KAVA-USD','2021-08-01','2021-09-26','85','-52.19','-52.63',-99,'16','-13.17','-1.88','2','14',202,-277,'14','71','12.59'
'TRU-USD','5m','TRU-USD','2021-08-01','2021-09-26','75','-36.36','-49.42',-94,'37','-4.32','-1.91','3','10',548,-601,'28','47','173.86'
'SRN-USD','5m','SRN-USD','2021-08-01','2021-09-26','87','-51.6','-51.87',-99,'29','-8.04','-1.91','3','14',470,-405,'25','62','-4.16'
'CLV-USD','5m','CLV-USD','2021-08-01','2021-09-26','86','-48.41','-49.72',-99,'27','-7.57','-1.98','3','9',614,-556,'23','63','-6.37'
'NEAR-USD','5m','NEAR-USD','2021-08-01','2021-09-26','66','-6.85','-17.97',-37,'39','-0.54','-2.03','4','8',715,-806,'26','40','216.17'
'SHIT-USD','5m','SHIT-USD','2021-08-01','2021-09-26','86','-5.51','-14.89',-30,'34','-0.64','-2.04','3','7',1020,-208,'29','57','9.75'
'BAND-USD','5m','BAND-USD','2021-08-01','2021-09-26','87','-44.11','-47.9',-98,'30','-9.04','-2.04','3','7',330,-314,'26','61','14.75'
'QTUM-USD','5m','QTUM-USD','2021-08-01','2021-09-26','69','-12.54','-26.26',-58,'32','-1.85','-2.19','2','7',820,-292,'22','47','21.92'
'LINK-USD','5m','LINK-USD','2021-08-01','2021-09-26','69','-8.08','-18.65',-42,'32','-1.11','-2.24','2','8',761,-306,'22','47','7.93'
'ONT-USD','5m','ONT-USD','2021-08-01','2021-09-26','72','-7.64','-17.68',-40,'35','-1.3','-2.26','5','10',613,-214,'25','47','-5.46'
'PRIV-USD','5m','PRIV-USD','2021-08-01','2021-09-26','99','-7.72','-17.69',-40,'28','-1.04','-2.27','4','10',536,-188,'28','71','-10.17'
'SOL-USD','5m','SOL-USD','2021-08-01','2021-09-26','64','-9.9','-20.79',-49,'34','-1.51','-2.34','5','10',417,-334,'22','42','270.31'
'ZRX-USD','5m','ZRX-USD','2021-08-01','2021-09-26','76','-8.72','-18.94',-44,'36','-1.33','-2.34','2','5',802,-202,'27','49','9.79'
'AXS-USD','5m','AXS-USD','2021-08-01','2021-09-26','68','-40.51','-40.51',-96,'22','-6.95','-2.38','3','14',667,-264,'15','53','53.96'
'SRM-USD','5m','SRM-USD','2021-08-01','2021-09-26','73','-29.09','-36.87',-89,'36','-4.81','-2.41','4','5',502,-412,'26','47','87.06'
