'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','5m','N3WVI','2021-02-01','2021-08-01','307','53.43','-14.85',136,'41','1.96','9.15','6','7',1456,-478,'127','180','93.52'
'ETH-USD','5m','qc3KB','2021-02-01','2021-08-01','137','52.8','-14.65',134,'34','1.97','9.15','2','7',1765,-910,'47','90','93.52'
'ETH-USD','5m','Fj:VV','2021-02-01','2021-08-01','158','62.06','-17.91',163,'31','2.07','9.12','3','7',1937,-433,'49','109','93.52'
'ETH-USD','5m','<cJ77','2021-02-01','2021-08-01','245','66.52','-19.56',178,'28','1.95','9.1','4','13',1966,-382,'68','177','93.52'
'ETH-USD','5m','\\T<UI','2021-02-01','2021-08-01','177','50.48','-13.96',127,'34','1.82','9.1','4','9',1603,-928,'60','117','93.52'
'ETH-USD','5m','(XwVk','2021-02-01','2021-08-01','77','24.36','-6.04',55,'27','2.41','9.07','3','8',570,-358,'21','56','93.52'
'ETH-USD','5m','<cJgI','2021-02-01','2021-08-01','230','62.25','-18.16',164,'28','1.85','9.03','4','12',1840,-353,'65','165','93.52'
'ETH-USD','5m','N45LY','2021-02-01','2021-08-01','260','42.25','-11.53',103,'42','2.02','8.91','6','11',573,-413,'109','151','93.52'
'ETH-USD','5m','*Vjdg','2021-02-01','2021-08-01','68','24.19','-6.16',54,'35','2.33','8.83','4','9',573,-177,'24','44','93.52'
'ETH-USD','5m','<cLkI','2021-02-01','2021-08-01','229','59.81','-17.87',156,'28','1.8','8.73','4','12',1900,-357,'65','164','93.52'
'ETH-USD','5m','VLPOp','2021-02-01','2021-08-01','75','50.58','-14.58',127,'45','2.2','8.73','4','3',1658,-411,'34','41','93.52'
'ETH-USD','5m','ko:Op','2021-02-01','2021-08-01','53','53.89','-15.82',137,'40','2.35','8.68','3','6',2274,-1423,'21','32','93.52'
'ETH-USD','5m','VPPOm','2021-02-01','2021-08-01','97','45.75','-13.17',113,'41','1.85','8.57','2','5',1950,-487,'40','57','93.52'
'ETH-USD','5m','-fj>L','2021-02-01','2021-08-01','335','66.11','-20.9',177,'25','2.01','8.45','3','10',1682,-380,'84','251','93.52'
'ETH-USD','5m','K7L:I','2021-02-01','2021-08-01','295','57.26','-17.66',148,'40','2.1','8.38','6','10',1444,-478,'119','176','93.52'
'ETH-USD','5m','N5VVI','2021-02-01','2021-08-01','304','52.79','-16.01',134,'38','1.96','8.37','6','8',1392,-430,'117','187','93.52'
'ETH-USD','5m','(WwVk','2021-02-01','2021-08-01','74','24.33','-6.55',55,'28','2.46','8.36','3','9',582,-350,'21','53','93.52'
'ETH-USD','5m','hHT,j','2021-02-01','2021-08-01','106','54.98','-16.96',141,'43','1.88','8.3','4','7',2383,-1145,'46','60','93.52'
'ETH-USD','5m','VSOD_','2021-02-01','2021-08-01','156','62.58','-19.88',165,'38','1.95','8.3','5','7',1982,-445,'59','97','93.52'
'ETH-USD','5m','N6LsI','2021-02-01','2021-08-01','291','45.95','-13.69',113,'37','1.76','8.29','6','11',1523,-404,'109','182','93.52'
'ETH-USD','5m','@dCUI','2021-02-01','2021-08-01','220','60.52','-19.23',158,'29','1.91','8.23','4','11',1816,-655,'63','157','93.52'
'ETH-USD','5m','Cl<KI','2021-02-01','2021-08-01','181','50.65','-15.66',127,'29','1.74','8.14','3','7',1713,-509,'52','129','93.52'
'ETH-USD','5m','=Lj:/','2021-02-01','2021-08-01','281','67.72','-22.6',182,'33','1.95','8.06','5','9',2604,-597,'93','188','93.52'
'ETH-USD','5m','\\LPVp','2021-02-01','2021-08-01','59','35.55','-10.62',84,'41','1.76','7.91','3','4',1801,-556,'24','35','93.52'
'ETH-USD','5m','r>WgI','2021-02-01','2021-08-01','189','45.49','-14.21',112,'40','1.69','7.89','4','9',1713,-1027,'76','113','93.52'
'ETH-USD','5m','=)jUu','2021-02-01','2021-08-01','27','14.49','-3.98',31,'41','1.52','7.84','3','3',871,-183,'11','16','93.52'
'ETH-USD','5m','d1.Y','2021-02-01','2021-08-01','197','52.35','-17.09',133,'46','2.0','7.76','6','7',1693,-601,'91','106','93.52'
'ETH-USD','5m','n>dER','2021-02-01','2021-08-01','178','49.73','-16.07',125,'41','1.77','7.76','4','8',2319,-1180,'73','105','93.52'
'ETH-USD','5m','r9WgI','2021-02-01','2021-08-01','201','57.93','-19.39',150,'41','1.86','7.74','5','6',1739,-1020,'83','118','93.52'
'ETH-USD','5m','+SWVm','2021-02-01','2021-08-01','76','36.22','-11.14',86,'37','2.96','7.71','3','8',580,-205,'28','48','93.52'
'ETH-USD','5m','G<v<v','2021-02-01','2021-08-01','166','51.09','-16.74',129,'41','2.15','7.69','6','10',1125,-379,'68','98','93.52'
'ETH-USD','5m','=c>k6','2021-02-01','2021-08-01','238','51.71','-17.18',131,'27','1.81','7.6','3','13',1981,-438,'65','173','93.52'
'ETH-USD','5m',',R4<a','2021-02-01','2021-08-01','386','59.44','-20.36',155,'29','2.26','7.6','4','17',1094,-280,'111','275','93.52'
'ETH-USD','5m','N6LnI','2021-02-01','2021-08-01','292','42.66','-13.75',104,'37','1.68','7.56','6','11',1486,-395,'109','183','93.52'
'ETH-USD','5m','=Mj:/','2021-02-01','2021-08-01','273','64.49','-22.85',171,'33','1.88','7.5','5','9',2529,-574,'91','182','93.52'
'ETH-USD','5m','<IW9\\','2021-02-01','2021-08-01','274','54.58','-18.59',140,'36','1.76','7.5','5','9',1482,-388,'99','175','93.52'
'ETH-USD','5m','r=WUI','2021-02-01','2021-08-01','195','40.65','-13.25',98,'39','1.55','7.41','4','9',1715,-978,'77','118','93.52'
'ETH-USD','5m',')nO,5','2021-02-01','2021-08-01','481','70.05','-25.66',190,'21','2.03','7.4','4','13',1949,-483,'102','379','93.52'
'ETH-USD','5m','=)jUv','2021-02-01','2021-08-01','23','13.2','-3.85',28,'35','1.4','7.34','2','3',871,-183,'8','15','93.52'
