'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'LRC-USDT','5m','LRC-USDT','2021-07-01','2021-09-27','118','2.08','-20.25',9,'42','0.43','0.44','4','6',745,-701,'49','69','38.11'
'QTUM-USDT','5m','QTUM-USDT','2021-07-01','2021-09-27','113','1.79','-19.55',8,'42','0.39','0.38','4','9',1476,-419,'48','65','24.4'
'COTI-USDT','5m','COTI-USDT','2021-07-01','2021-09-27','150','1.11','-33.69',5,'44','0.45','0.14','5','7',1278,-389,'66','84','242.21'
'DYDX-USDT','5m','DYDX-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GALA-USDT','5m','GALA-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'IOTX-USDT','5m','IOTX-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C98-USDT','5m','C98-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TLM-USDT','5m','TLM-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RAY-USDT','5m','RAY-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MASK-USDT','5m','MASK-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1000XEC-USDT','5m','1000XEC-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CTK-USDT','5m','CTK-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LINA-USDT','5m','LINA-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALPHA-USDT','5m','ALPHA-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SFP-USDT','5m','SFP-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'OGN-USDT','5m','OGN-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BEL-USDT','5m','BEL-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KEEP-USDT','5m','KEEP-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AUDIO-USDT','5m','AUDIO-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAND-USDT','5m','BAND-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'STMX-USDT','5m','STMX-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LIT-USDT','5m','LIT-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SKL-USDT','5m','SKL-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'REEF-USDT','5m','REEF-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HNT-USDT','5m','HNT-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TRB-USDT','5m','TRB-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'FLM-USDT','5m','FLM-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTS-USDT','5m','BTS-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MTL-USDT','5m','MTL-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'YFII-USDT','5m','YFII-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RSR-USDT','5m','RSR-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'NKN-USDT','5m','NKN-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATA-USDT','5m','ATA-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GTC-USDT','5m','GTC-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KNC-USDT','5m','KNC-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'OCEAN-USDT','5m','OCEAN-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CELO-USDT','5m','CELO-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'UNFI-USDT','5m','UNFI-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ANKR-USDT','5m','ANKR-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DEFI-USDT','5m','DEFI-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTCDOM-USDT','5m','BTCDOM-USDT','2021-07-01','2021-09-27',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'STORJ-USDT','5m','STORJ-USDT','2021-07-01','2021-09-27','127','-1.08','-27.35',-4,'43','0.22','-0.16','5','6',914,-490,'55','72','28.79'
'SRM-USDT','5m','SRM-USDT','2021-07-01','2021-09-27','131','-1.47','-26.11',-6,'43','0.22','-0.23','3','5',863,-370,'56','75','115.22'
'MANA-USDT','5m','MANA-USDT','2021-07-01','2021-09-27','109','-1.61','-24.51',-6,'44','0.13','-0.26','3','6',1054,-323,'48','61','22.79'
'TRX-USDT','5m','TRX-USDT','2021-07-01','2021-09-27','104','-0.86','-12.03',-3,'39','0.05','-0.29','5','5',771,-254,'41','63','28.61'
'SNX-USDT','5m','SNX-USDT','2021-07-01','2021-09-27','128','-3.71','-29.91',-14,'45','-0.02','-0.48','4','6',929,-343,'57','71','42.55'
'DODO-USDT','5m','DODO-USDT','2021-07-01','2021-09-27','141','-5.02','-38.83',-19,'40','-0.03','-0.49','5','10',1216,-470,'57','84','27.59'
'DENT-USDT','5m','DENT-USDT','2021-07-01','2021-09-27','123','-3.42','-26.84',-13,'37','0.09','-0.5','4','7',1339,-479,'46','77','51.05'
'SC-USDT','5m','SC-USDT','2021-07-01','2021-09-27','104','-2.99','-20.15',-12,'47','-0.11','-0.58','5','5',678,-289,'49','55','13.0'
'BTC-USDT','5m','BTC-USDT','2021-07-01','2021-09-27','86','-3.95','-22.9',-15,'37','0.01','-0.67','4','7',1461,-387,'32','54','23.41'
'EGLD-USDT','5m','EGLD-USDT','2021-07-01','2021-09-27','122','-5.02','-24.9',-19,'43','-0.17','-0.76','6','8',821,-386,'52','70','163.0'
