'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'BAT-USDT','5m','BAT-USDT','2021-10-01','2021-11-15','85','-26.35','-70.6',-91,'36','-0.14','1.3','-1.29','3','6',2447,-4986,'31','54','82.02'
'ANKR-USDT','5m','ANKR-USDT','2021-10-01','2021-11-15','95','-56.58','-76.57',-100,'28','-0.2','-0.34','-1.3','3','9',2269,-1432,'27','68','73.71'
'DEFI-USDT','5m','DEFI-USDT','2021-10-01','2021-11-15','81','-64.57','-76.85',-100,'26','-0.16','-2.75','-1.3','3','8',2830,-1348,'21','60','44.63'
'FIL-USDT','5m','FIL-USDT','2021-10-01','2021-11-15','86','-68.39','-75.58',-100,'24','-0.21','-2.21','-1.32','2','12',2269,-1491,'21','65','4.09'
'XRP-USDT','5m','XRP-USDT','2021-10-01','2021-11-15','77','-74.49','-75.97',-100,'25','-0.23','-2.29','-1.32','2','11',1818,-1243,'19','58','24.72'
'ZEC-USDT','5m','ZEC-USDT','2021-10-01','2021-11-15','95','-67.91','-75.0',-100,'29','-0.27','-1.65','-1.33','3','8',2269,-2054,'28','67','88.7'
'BLZ-USDT','5m','BLZ-USDT','2021-10-01','2021-11-15','96','-62.59','-75.15',-100,'31','-0.22','-1.29','-1.33','2','8',2269,-1913,'30','66','69.6'
'GRT-USDT','5m','GRT-USDT','2021-10-01','2021-11-15','113','-70.07','-74.44',-100,'27','-0.32','-1.32','-1.34','3','8',2165,-2001,'31','82','65.47'
'LINA-USDT','5m','LINA-USDT','2021-10-01','2021-11-15','97','-65.83','-74.31',-100,'33','-0.28','-1.09','-1.35','2','7',1796,-2297,'32','65','81.08'
'AAVE-USDT','5m','AAVE-USDT','2021-10-01','2021-11-15','68','-19.24','-60.15',-82,'37','-0.12','0.54','-1.36','3','8',2747,-4053,'25','43','14.19'
'SFP-USDT','5m','SFP-USDT','2021-10-01','2021-11-15','90','-37.16','-71.87',-97,'38','-0.27','0.81','-1.36','5','9',3437,-3718,'34','56','77.15'
'ICX-USDT','5m','ICX-USDT','2021-10-01','2021-11-15','90','-30.3','-68.67',-94,'28','-0.12','0.47','-1.37','2','8',3341,-2463,'25','65','58.08'
'SAND-USDT','5m','SAND-USDT','2021-10-01','2021-11-15','107','-46.65','-72.74',-99,'36','-0.21','0.82','-1.37','5','8',3753,-6915,'38','69','326.08'
