'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'EGLD-USD','5m','EGLD-USD','2021-08-01','2021-09-25','59','-8.35','-14.14',-43,'39','-1.47','-3.07','2','7',217,-344,'23','36','173.87'
'DRGN-USD','5m','DRGN-USD','2021-08-01','2021-09-25','65','-6.93','-12.1',-37,'35','-1.44','-3.09','3','7',206,-214,'23','42','28.06'
'NEAR-USD','5m','NEAR-USD','2021-08-01','2021-09-25','61','-10.62','-16.62',-52,'46','-1.71','-3.12','3','3',225,-609,'28','33','230.85'
'AMPL-USD','5m','AMPL-USD','2021-08-01','2021-09-25','54','-11.07','-17.09',-53,'30','-2.39','-3.13','4','8',221,-241,'16','38','-5.37'
'QTUM-USD','5m','QTUM-USD','2021-08-01','2021-09-25','66','-7.22','-12.3',-39,'38','-1.3','-3.14','3','6',217,-246,'25','41','24.86'
'CHZ-USD','5m','CHZ-USD','2021-08-01','2021-09-25','44','-11.61','-17.46',-55,'34','-2.17','-3.17','3','7',206,-374,'15','29','2.28'
'MTA-USD','5m','MTA-USD','2021-08-01','2021-09-25','49','-8.76','-14.05',-45,'37','-1.84','-3.2','3','5',212,-373,'18','31','-14.86'
'ALPHA-USD','5m','ALPHA-USD','2021-08-01','2021-09-25','61','-13.62','-19.16',-61,'38','-2.48','-3.21','2','7',210,-340,'23','38','37.12'
'SLP-USD','5m','SLP-USD','2021-08-01','2021-09-25','58','-14.56','-19.63',-64,'40','-2.26','-3.27','3','5',210,-334,'23','35','-67.51'
'C98-USD','5m','C98-USD','2021-08-01','2021-09-25','58','-10.99','-16.01',-53,'43','-1.94','-3.32','7','5',202,-373,'25','33','148.29'
'SHIB-USD','5m','SHIB-USD','2021-08-01','2021-09-25','54','-13.48','-18.23',-61,'31','-2.73','-3.35','2','11',188,-248,'17','37','17.92'
'LEO-USD','5m','LEO-USD','2021-08-01','2021-09-25','43','-22.58','-23.77',-81,'12','-7.27','-3.41','1','17',204,-174,'5','38','-3.25'
'LTC-USD','5m','LTC-USD','2021-08-01','2021-09-25','48','-12.52','-17.0',-58,'33','-2.06','-3.42','2','5',212,-1194,'16','32','5.29'
'CEL-USD','5m','CEL-USD','2021-08-01','2021-09-25','80','-23.93','-24.35',-83,'20','-5.05','-3.42','2','9',209,-322,'16','64','-19.49'
'GRT-USD','5m','GRT-USD','2021-08-01','2021-09-25','65','-16.96','-19.91',-70,'37','-3.4','-3.53','3','5',217,-344,'24','41','10.85'
'OKB-USD','5m','OKB-USD','2021-08-01','2021-09-25','35','-12.65','-16.12',-59,'26','-4.43','-3.63','3','11',216,-194,'9','26','-27.75'
'DODO-USD','5m','DODO-USD','2021-08-01','2021-09-25','55','-6.2','-8.92',-34,'40','-1.02','-3.83','4','5',209,-326,'22','33','9.87'
'BAND-USD','5m','BAND-USD','2021-08-01','2021-09-25','58','-11.23','-13.54',-54,'34','-2.57','-3.99','3','7',210,-244,'20','38','13.32'
'BRZ-USD','5m','BRZ-USD','2021-08-01','2021-09-25','5','-4.28','-4.28',-25,'0','-3.7','-5.8','0','5',0,-152,'0','5','-2.63'
'TRYB-USD','5m','TRYB-USD','2021-08-01','2021-09-25','9','-3.88','-3.89',-23,'11','-4.49','-5.84','1','6',25,-71,'1','8','-5.86'
