'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','5m','Y>lqJN','2021-08-01','2021-09-25','46','3.51','-14.19',25,'37','0.78','1.78','6','8',651,-344,'17','29','15.62'
'ETH-USD','5m','\\;TK)F','2021-08-01','2021-09-25','39','3.35','-15.02',24,'36','0.84','1.6','4','7',484,-299,'14','25','15.62'
'ETH-USD','5m','O6oK6R','2021-08-01','2021-09-25','65','2.6','-14.2',18,'34','0.63','1.28','3','6',647,-289,'22','43','15.62'
'ETH-USD','5m','\\NjC1','2021-08-01','2021-09-25','37','1.45','-8.58',10,'38','0.44','1.14','2','4',565,-302,'14','23','15.62'
'ETH-USD','5m','.;JOKM','2021-08-01','2021-09-25','68','1.7','-10.86',12,'31','0.57','1.07','2','6',454,-205,'21','47','15.62'
'ETH-USD','5m','(L1T,i','2021-08-01','2021-09-25','145','1.76','-12.71',12,'22','0.54','0.95','2','17',229,-130,'32','113','15.62'
'ETH-USD','5m','6L1T,O','2021-08-01','2021-09-25','77','1.19','-10.69',8,'30','0.42','0.75','2','10',215,-186,'23','54','15.62'
'ETH-USD','5m','0J4s.0','2021-08-01','2021-09-25','116','1.62','-16.35',11,'26','0.46','0.68','4','10',373,-157,'30','86','15.62'
'ETH-USD','5m','0QEj.a','2021-08-01','2021-09-25','73','0.69','-11.24',5,'30','0.3','0.41','2','8',575,-206,'22','51','15.62'
'ETH-USD','5m','(O1T,O','2021-08-01','2021-09-25','202','0.79','-14.82',5,'20','0.32','0.35','3','19',233,-151,'40','162','15.62'
'ETH-USD','5m','2cRD(','2021-08-01','2021-09-25','60','0.12','-10.81',1,'32','0.22','0.07','4','10',646,-265,'19','41','15.62'
'ETH-USD','5m','h)N\\7t','2021-08-01','2021-09-25','13','-0.08','-6.91',-1,'54','0.08','-0.08','3','3',568,-240,'7','6','15.62'
'ETH-USD','5m','0QEj*m','2021-08-01','2021-09-25','74','-0.31','-12.17',-2,'30','0.13','-0.16','2','8',575,-206,'22','52','15.62'
'ETH-USD','5m','0>1a@R','2021-08-01','2021-09-25','74','-0.41','-11.8',-3,'31','0.03','-0.22','4','8',279,-172,'23','51','15.62'
'ETH-USD','5m','Haju+k','2021-08-01','2021-09-25','28','-0.9','-10.29',-6,'29','-0.03','-0.56','2','6',732,-156,'8','20','15.62'
'ETH-USD','5m','(L1T,v','2021-08-01','2021-09-25','93','-1.3','-12.04',-8,'24','-0.27','-0.68','2','20',229,-127,'22','71','15.62'
'ETH-USD','5m','savRR+','2021-08-01','2021-09-25','30','-2.2','-19.09',-14,'20','-0.08','-0.71','2','8',843,-347,'6','24','15.62'
'ETH-USD','5m','0PCju;','2021-08-01','2021-09-25','88','-1.27','-10.6',-8,'30','-0.04','-0.76','4','8',537,-181,'26','62','15.62'
'ETH-USD','5m','T+Ha2Q','2021-08-01','2021-09-25','75','-2.45','-17.16',-15,'33','-0.17','-0.87','4','6',544,-229,'25','50','15.62'
'ETH-USD','5m','O@oa\\4','2021-08-01','2021-09-25','60','-2.59','-15.2',-16,'35','-0.21','-1.04','3','8',622,-329,'21','39','15.62'
'ETH-USD','5m','.4\\,iK','2021-08-01','2021-09-25','14','-0.88','-4.77',-6,'36','-0.45','-1.17','2','3',193,-206,'5','9','15.62'
'ETH-USD','5m','9<Bv.6','2021-08-01','2021-09-25','98','-3.58','-16.72',-21,'34','-0.41','-1.27','4','6',597,-225,'33','65','15.62'
'ETH-USD','5m','N6q)3n','2021-08-01','2021-09-25','33','-1.72','-8.32',-11,'33','-0.45','-1.28','3','5',200,-201,'11','22','15.62'
'ETH-USD','5m','0L1T,','2021-08-01','2021-09-25','103','-2.94','-13.69',-18,'30','-0.47','-1.29','2','7',210,-192,'31','72','15.62'
'ETH-USD','5m','^JEV;g','2021-08-01','2021-09-25','21','-2.35','-11.07',-14,'33','-0.42','-1.3','2','6',416,-255,'7','14','15.62'
'ETH-USD','5m','0V4s.0','2021-08-01','2021-09-25','97','-3.91','-16.79',-23,'27','-0.66','-1.36','2','7',383,-185,'26','71','15.62'
'ETH-USD','5m','/L1T,O','2021-08-01','2021-09-25','114','-4.52','-16.73',-26,'28','-0.82','-1.56','2','11',216,-181,'32','82','15.62'
'ETH-USD','5m','0QEj.L','2021-08-01','2021-09-25','91','-4.33','-14.95',-25,'31','-0.54','-1.68','4','8',535,-191,'28','63','15.62'
'ETH-USD','5m','0Lm.0','2021-08-01','2021-09-25','110','-4.64','-15.34',-27,'27','-0.42','-1.74','2','9',931,-264,'30','80','15.62'
'ETH-USD','5m','84/;bK','2021-08-01','2021-09-25','36','-2.89','-9.8',-17,'44','-1.06','-1.78','3','6',110,-239,'16','20','15.62'
