'Time','ETH-USDT','NEO-USDT','QTUM-USDT','LTC-USDT','ETC-USDT','TRX-USDT','FIL-USDT','LINK-USDT','ADA-USDT','Mean'
'11/08/2021',-5.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.632,-5.056,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,1.0,6.688,6.688,6.688,6.688,6.688,6.688,6.688,6.688,54.504
'12/08/2021',10.488,0.0,0.0,0.0,-5.688,-5.688,-5.688,0.0,0.0,-0.731,11.219,0.731,0.731,0.731,-4.957,-4.957,-4.957,0.731,0.731,17.176,6.688,6.688,6.688,1.0,1.0,1.0,6.688,6.688,53.616
'13/08/2021',0.284,10.488,10.488,10.488,10.488,10.488,10.488,10.488,10.488,9.354,-9.07,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.0,11.204,11.204,11.204,11.204,11.204,11.204,11.204,11.204,90.632
'14/08/2021',0.284,10.488,0.284,10.488,10.488,10.488,10.488,0.284,10.488,7.087,-6.803,3.401,-6.803,3.401,3.401,3.401,3.401,-6.803,3.401,1.0,11.204,1.0,11.204,11.204,11.204,11.204,1.0,11.204,70.224
'15/08/2021',4.375,10.488,0.284,8.24,8.24,8.24,8.24,0.284,10.488,6.542,-2.167,3.946,-6.258,1.698,1.698,1.698,1.698,-6.258,3.946,5.091,11.204,1.0,8.956,8.956,8.956,8.956,1.0,11.204,65.323
'16/08/2021',4.375,4.375,0.284,4.375,8.24,8.24,4.375,4.375,10.488,5.459,-1.084,-1.084,-5.175,-1.084,2.781,2.781,-1.084,-1.084,5.029,5.091,5.091,1.0,5.091,8.956,8.956,5.091,5.091,11.204,55.571
'17/08/2021',1.859,4.988,0.284,4.988,8.24,4.988,4.988,4.988,10.488,5.09,-3.231,-0.102,-4.806,-0.102,3.15,-0.102,-0.102,-0.102,5.398,2.575,5.704,1.0,5.704,8.956,5.704,5.704,5.704,11.204,52.255
'18/08/2021',2.607,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.942,0.665,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083,1.748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.748
'19/08/2021',2.142,2.607,2.607,2.607,2.607,1.859,2.607,2.607,2.607,2.472,-0.33,0.135,0.135,0.135,0.135,-0.613,0.135,0.135,0.135,1.283,1.748,1.748,1.748,1.748,1.0,1.748,1.748,1.748,14.519
'20/08/2021',2.261,2.142,2.142,2.142,2.142,2.142,2.142,2.142,2.607,2.207,0.054,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,0.4,1.119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.465,9.584
'21/08/2021',2.261,2.142,2.142,2.261,2.261,2.142,2.142,2.261,2.261,2.208,0.053,-0.066,-0.066,0.053,0.053,-0.066,-0.066,0.053,0.053,1.119,1.0,1.0,1.119,1.119,1.0,1.0,1.119,1.119,9.595
'22/08/2021',2.05,2.142,2.142,2.261,2.261,2.142,2.142,2.261,2.225,2.18,-0.13,-0.038,-0.038,0.081,0.081,-0.038,-0.038,0.081,0.045,1.0,1.092,1.092,1.211,1.211,1.092,1.092,1.211,1.175,10.176
'23/08/2021',1.902,2.142,2.05,2.05,2.261,2.142,2.142,2.261,2.05,2.111,-0.209,0.031,-0.061,-0.061,0.15,0.031,0.031,0.15,-0.061,1.0,1.24,1.148,1.148,1.359,1.24,1.24,1.359,1.148,10.882
