'Time','BNB-USDT','ETH-USDT','BTC-USDT','NEO-USDT','QTUM-USDT','LTC-USDT','ETC-USDT','TRX-USDT','FIL-USDT','LINK-USDT','ADA-USDT','XRP-USDT','DOGE-USDT','Mean'
'18/01/2021',6.728,6.517,6.728,6.728,6.728,7.722,6.728,6.728,6.728,9.016,6.728,6.728,6.728,6.964,-0.236,-0.447,-0.236,-0.236,-0.236,0.758,-0.236,-0.236,-0.236,2.052,-0.236,-0.236,-0.236,1.211,1.0,1.211,1.211,1.211,2.205,1.211,1.211,1.211,3.499,1.211,1.211,1.211,18.814
'19/01/2021',6.226,6.517,6.517,6.728,6.728,7.722,6.728,6.517,6.728,9.016,6.728,6.517,6.728,6.877,-0.651,-0.36,-0.36,-0.149,-0.149,0.845,-0.149,-0.36,-0.149,2.139,-0.149,-0.36,-0.149,1.0,1.291,1.291,1.502,1.502,2.496,1.502,1.291,1.502,3.79,1.502,1.291,1.502,21.462
'20/01/2021',6.118,6.517,6.226,6.728,6.226,6.226,6.226,6.226,6.728,9.016,6.728,6.226,6.226,6.571,-0.453,-0.054,-0.345,0.157,-0.345,-0.345,-0.345,-0.345,0.157,2.445,0.157,-0.345,-0.345,1.0,1.399,1.108,1.61,1.108,1.108,1.108,1.108,1.61,3.898,1.61,1.108,1.108,18.883
'21/01/2021',5.984,5.984,6.118,6.728,6.118,6.226,6.118,6.226,6.728,9.016,6.728,6.226,6.226,6.494,-0.51,-0.51,-0.376,0.234,-0.376,-0.268,-0.376,-0.268,0.234,2.522,0.234,-0.268,-0.268,1.0,1.0,1.134,1.744,1.134,1.242,1.134,1.242,1.744,4.032,1.744,1.242,1.242,19.634
'22/01/2021',5.955,5.955,5.984,6.728,5.984,6.226,6.118,5.984,6.728,5.984,5.984,6.226,5.984,6.142,-0.187,-0.187,-0.158,0.586,-0.158,0.084,-0.024,-0.158,0.586,-0.158,-0.158,0.084,-0.158,1.0,1.0,1.029,1.773,1.029,1.271,1.163,1.029,1.773,1.029,1.029,1.271,1.029,15.425
'23/01/2021',5.955,5.955,5.984,5.955,5.984,6.226,5.955,5.984,6.728,5.984,5.955,6.226,5.984,6.068,-0.113,-0.113,-0.084,-0.113,-0.084,0.158,-0.113,-0.084,0.66,-0.084,-0.113,0.158,-0.084,1.0,1.0,1.029,1.0,1.029,1.271,1.0,1.029,1.773,1.029,1.0,1.271,1.029,14.46
'24/01/2021',5.565,5.565,5.749,5.955,5.749,6.226,5.955,5.749,5.749,5.984,5.749,5.749,5.749,5.807,-0.242,-0.242,-0.058,0.148,-0.058,0.419,0.148,-0.058,-0.058,0.177,-0.058,-0.058,-0.058,1.0,1.0,1.184,1.39,1.184,1.661,1.39,1.184,1.184,1.419,1.184,1.184,1.184,16.148
'25/01/2021',5.565,5.444,5.565,5.565,5.749,6.226,5.565,5.565,5.565,5.984,5.565,5.565,5.565,5.653,-0.088,-0.209,-0.088,-0.088,0.096,0.573,-0.088,-0.088,-0.088,0.331,-0.088,-0.088,-0.088,1.121,1.0,1.121,1.121,1.305,1.782,1.121,1.121,1.121,1.54,1.121,1.121,1.121,15.716
'26/01/2021',5.354,5.354,5.444,5.565,5.749,5.444,5.444,5.444,5.565,5.444,5.444,5.444,5.444,5.472,-0.118,-0.118,-0.028,0.093,0.277,-0.028,-0.028,-0.028,0.093,-0.028,-0.028,-0.028,-0.028,1.0,1.0,1.09,1.211,1.395,1.09,1.09,1.09,1.211,1.09,1.09,1.09,1.09,14.537
'27/01/2021',5.354,5.354,5.354,5.354,5.749,5.354,5.354,5.354,5.354,5.354,5.354,5.354,5.354,5.384,-0.03,-0.03,-0.03,-0.03,0.365,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,1.0,1.0,1.0,1.0,1.395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.395
'28/01/2021',5.154,5.154,5.354,5.245,5.245,5.245,5.245,5.354,5.354,5.354,5.245,5.245,5.354,5.273,-0.119,-0.119,0.081,-0.028,-0.028,-0.028,-0.028,0.081,0.081,0.081,-0.028,-0.028,0.081,1.0,1.0,1.2,1.091,1.091,1.091,1.091,1.2,1.2,1.2,1.091,1.091,1.2,14.546
'29/01/2021',5.056,5.154,5.154,5.245,5.154,5.245,5.154,5.354,5.154,5.354,5.245,5.245,5.354,5.221,-0.165,-0.067,-0.067,0.024,-0.067,0.024,-0.067,0.133,-0.067,0.133,0.024,0.024,0.133,1.0,1.098,1.098,1.189,1.098,1.189,1.098,1.298,1.098,1.298,1.189,1.189,1.298,15.14
'30/01/2021',4.942,4.942,5.154,5.245,5.154,5.245,5.154,5.354,5.154,5.056,5.056,5.245,5.354,5.158,-0.216,-0.216,-0.004,0.087,-0.004,0.087,-0.004,0.196,-0.004,-0.102,-0.102,0.087,0.196,1.0,1.0,1.212,1.303,1.212,1.303,1.212,1.412,1.212,1.114,1.114,1.303,1.412,15.809
'31/01/2021',4.857,4.857,4.942,4.942,5.154,5.245,5.154,5.354,5.154,5.056,5.056,5.245,5.354,5.105,-0.248,-0.248,-0.163,-0.163,0.049,0.14,0.049,0.249,0.049,-0.049,-0.049,0.14,0.249,1.0,1.0,1.085,1.085,1.297,1.388,1.297,1.497,1.297,1.199,1.199,1.388,1.497,16.229
'01/02/2021',4.748,4.748,4.942,4.857,4.857,5.245,5.154,5.354,4.857,5.056,5.056,5.245,5.354,5.036,-0.288,-0.288,-0.094,-0.179,-0.179,0.209,0.118,0.318,-0.179,0.02,0.02,0.209,0.318,1.0,1.0,1.194,1.109,1.109,1.497,1.406,1.606,1.109,1.308,1.308,1.497,1.606,16.749
'02/02/2021',4.748,4.689,4.748,4.748,4.857,5.245,4.748,4.748,4.748,4.748,4.748,5.245,5.354,4.875,-0.127,-0.186,-0.127,-0.127,-0.018,0.37,-0.127,-0.127,-0.127,-0.127,-0.127,0.37,0.479,1.059,1.0,1.059,1.059,1.168,1.556,1.059,1.059,1.059,1.059,1.059,1.556,1.665,15.417
'03/02/2021',4.649,4.689,4.689,4.689,4.857,4.689,4.689,4.689,4.689,4.748,4.689,5.245,5.354,4.797,-0.148,-0.108,-0.108,-0.108,0.06,-0.108,-0.108,-0.108,-0.108,-0.049,-0.108,0.448,0.557,1.0,1.04,1.04,1.04,1.208,1.04,1.04,1.04,1.04,1.099,1.04,1.596,1.705,14.928
'04/02/2021',4.651,4.689,4.649,4.649,4.649,4.689,4.689,4.649,4.689,4.748,4.689,5.245,5.354,4.772,-0.121,-0.083,-0.123,-0.123,-0.123,-0.083,-0.083,-0.123,-0.083,-0.024,-0.083,0.473,0.582,1.002,1.04,1.0,1.0,1.0,1.04,1.04,1.0,1.04,1.099,1.04,1.596,1.705,14.602
'05/02/2021',4.544,4.544,4.651,4.649,4.651,4.689,4.689,4.651,4.651,4.748,4.689,5.245,5.354,4.75,-0.206,-0.206,-0.099,-0.101,-0.099,-0.061,-0.061,-0.099,-0.099,-0.002,-0.061,0.495,0.604,1.0,1.0,1.107,1.105,1.107,1.145,1.145,1.107,1.107,1.204,1.145,1.701,1.81,15.683
'06/02/2021',4.544,4.544,4.651,4.544,4.544,4.544,4.689,4.544,4.544,4.544,4.689,4.544,5.354,4.637,-0.093,-0.093,0.014,-0.093,-0.093,-0.093,0.052,-0.093,-0.093,-0.093,0.052,-0.093,0.717,1.0,1.0,1.107,1.0,1.0,1.0,1.145,1.0,1.0,1.0,1.145,1.0,1.81,14.207
'07/02/2021',4.544,4.462,4.651,4.544,4.544,4.544,4.689,4.553,4.544,4.553,4.689,4.544,4.553,4.57,-0.026,-0.108,0.081,-0.026,-0.026,-0.026,0.119,-0.017,-0.026,-0.017,0.119,-0.026,-0.017,1.082,1.0,1.189,1.082,1.082,1.082,1.227,1.091,1.082,1.091,1.227,1.082,1.091,14.408
'08/02/2021',4.544,4.462,4.651,4.462,4.544,4.544,4.689,4.462,4.544,4.462,4.462,4.462,4.553,4.526,0.018,-0.064,0.125,-0.064,0.018,0.018,0.163,-0.064,0.018,-0.064,-0.064,-0.064,0.027,1.082,1.0,1.189,1.0,1.082,1.082,1.227,1.0,1.082,1.0,1.0,1.0,1.091,13.835
'09/02/2021',4.544,4.388,4.651,4.377,4.544,4.544,4.377,4.377,4.544,4.462,4.462,4.462,4.553,4.484,0.06,-0.096,0.167,-0.107,0.06,0.06,-0.107,-0.107,0.06,-0.022,-0.022,-0.022,0.069,1.167,1.011,1.274,1.0,1.167,1.167,1.0,1.0,1.167,1.085,1.085,1.085,1.176,14.384
'10/02/2021',4.544,4.388,4.388,4.388,4.388,4.388,4.377,4.388,4.388,4.388,4.462,4.462,4.553,4.423,0.121,-0.035,-0.035,-0.035,-0.035,-0.035,-0.046,-0.035,-0.035,-0.035,0.039,0.039,0.13,1.167,1.011,1.011,1.011,1.011,1.011,1.0,1.011,1.011,1.011,1.085,1.085,1.176,13.601
'11/02/2021',4.374,4.374,4.474,4.388,4.388,4.388,4.377,4.388,4.388,4.388,4.462,4.462,4.553,4.416,-0.042,-0.042,0.058,-0.028,-0.028,-0.028,-0.039,-0.028,-0.028,-0.028,0.046,0.046,0.137,1.0,1.0,1.1,1.014,1.014,1.014,1.003,1.014,1.014,1.014,1.088,1.088,1.179,13.542
'12/02/2021',4.374,4.383,4.474,4.374,4.388,4.374,4.377,4.388,4.374,4.388,4.462,4.374,4.374,4.392,-0.018,-0.009,0.082,-0.018,-0.004,-0.018,-0.015,-0.004,-0.018,-0.004,0.07,-0.018,-0.018,1.0,1.009,1.1,1.0,1.014,1.0,1.003,1.014,1.0,1.014,1.088,1.0,1.0,13.242
'13/02/2021',4.374,4.322,4.474,4.374,4.388,4.374,4.377,4.388,4.374,4.388,4.462,4.374,4.383,4.389,-0.015,-0.067,0.085,-0.015,-0.001,-0.015,-0.012,-0.001,-0.015,-0.001,0.073,-0.015,-0.006,1.052,1.0,1.152,1.052,1.066,1.052,1.055,1.066,1.052,1.066,1.14,1.052,1.061,13.866
'14/02/2021',4.374,4.291,4.322,4.322,4.388,4.322,4.322,4.322,4.322,4.388,4.322,4.374,4.322,4.338,0.036,-0.047,-0.016,-0.016,0.05,-0.016,-0.016,-0.016,-0.016,0.05,-0.016,0.036,-0.016,1.083,1.0,1.031,1.031,1.097,1.031,1.031,1.031,1.031,1.097,1.031,1.083,1.031,13.608
'15/02/2021',4.201,4.201,4.291,4.322,4.291,4.322,4.291,4.322,4.291,4.291,4.322,4.374,4.291,4.293,-0.092,-0.092,-0.002,0.029,-0.002,0.029,-0.002,0.029,-0.002,-0.002,0.029,0.081,-0.002,1.0,1.0,1.09,1.121,1.09,1.121,1.09,1.121,1.09,1.09,1.121,1.173,1.09,14.197
'16/02/2021',4.201,4.163,4.291,4.201,4.201,4.322,4.291,4.201,4.291,4.201,4.201,4.201,4.291,4.235,-0.034,-0.072,0.056,-0.034,-0.034,0.087,0.056,-0.034,0.056,-0.034,-0.034,-0.034,0.056,1.038,1.0,1.128,1.038,1.038,1.159,1.128,1.038,1.128,1.038,1.038,1.038,1.128,13.937
'17/02/2021',4.116,4.116,4.163,4.201,4.163,4.322,4.291,4.163,4.291,4.201,4.163,4.201,4.291,4.206,-0.09,-0.09,-0.043,-0.005,-0.043,0.116,0.085,-0.043,0.085,-0.005,-0.043,-0.005,0.085,1.0,1.0,1.047,1.085,1.047,1.206,1.175,1.047,1.175,1.085,1.047,1.085,1.175,14.174
'18/02/2021',4.116,4.116,4.116,4.201,4.163,4.116,4.291,4.163,4.291,4.116,4.163,4.116,4.291,4.174,-0.058,-0.058,-0.058,0.027,-0.011,-0.058,0.117,-0.011,0.117,-0.058,-0.011,-0.058,0.117,1.0,1.0,1.0,1.085,1.047,1.0,1.175,1.047,1.175,1.0,1.047,1.0,1.175,13.751
'19/02/2021',4.116,4.116,4.116,4.201,4.12,4.12,4.12,4.163,4.291,4.116,4.163,4.12,4.12,4.145,-0.029,-0.029,-0.029,0.056,-0.025,-0.025,-0.025,0.018,0.146,-0.029,0.018,-0.025,-0.025,1.0,1.0,1.0,1.085,1.004,1.004,1.004,1.047,1.175,1.0,1.047,1.004,1.004,13.374
