'Time','BNB-USDT','ETH-USDT','BTC-USDT','NEO-USDT','QTUM-USDT','LTC-USDT','ETC-USDT','Mean'
'27/05/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.294,2.915,-1.716,-0.748,7.732,-1.716,-0.324,-0.748,-2.484,1.768,2.736,11.216,1.768,3.16,2.736,1.0,24.384
'28/05/2021',2.486,2.728,4.848,2.486,2.834,2.728,1.639,2.821,-1.34,-0.372,8.108,-1.34,0.052,-0.372,-4.728,4.388,5.356,13.836,4.388,5.78,5.356,1.0,40.104
'29/05/2021',2.486,2.728,4.848,2.486,2.834,2.728,1.464,2.796,-1.24,-0.272,8.208,-1.24,0.152,-0.272,-5.328,5.088,6.056,14.536,5.088,6.48,6.056,1.0,44.304
'30/05/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'31/05/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'01/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'02/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'03/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'04/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'05/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'06/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'07/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'08/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'09/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'10/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'11/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'12/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'13/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
'14/06/2021',2.486,2.728,4.848,2.486,2.834,2.728,2.114,2.889,-1.612,-0.644,7.836,-1.612,-0.22,-0.644,-3.1,2.488,3.456,11.936,2.488,3.88,3.456,1.0,28.704
