'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'AAVE-USDT','5m','2021-05-08','2021-06-07','12','9.84','-1.49',351,'58','7.66','236.02','3','2',354,-210,'7','5','-17.87'
'AAVE-USDT','5m','2021-05-05','2021-06-04','11','7.47','-1.49',249,'55','6.69','167.33','3','2',354,-210,'6','5','-10.9'
'AAVE-USDT','5m','2021-09-03','2021-10-03','8','11.92','-1.86',294,'62','6.04','157.81','2','1',354,-139,'5','3','-21.64'
'AAVE-USDT','5m','2021-02-27','2021-03-29','13','10.4','-1.97',233,'62','5.03','118.66','3','2',349,-383,'8','5','7.11'
'AAVE-USDT','5m','2021-08-22','2021-09-21','8','9.6','-2.52',205,'50','4.06','81.42','2','3',347,-120,'4','4','-27.16'
'AAVE-USDT','5m','2021-06-22','2021-07-22','30','14.18','-6.98',436,'53','4.6','62.41','6','5',364,-395,'16','14','21.6'
'AAVE-USDT','5m','2021-06-28','2021-07-28','26','10.39','-4.05',234,'46','5.04','57.9','4','5',351,-371,'12','14','48.31'
'AAVE-USDT','5m','2021-06-10','2021-07-10','29','13.4','-6.98',394,'55','4.18','56.42','6','4',364,-406,'16','13','-10.51'
'AAVE-USDT','5m','2021-06-12','2021-07-12','29','13.4','-6.98',394,'55','4.18','56.42','6','4',364,-406,'16','13','7.38'
'AAVE-USDT','5m','2021-06-20','2021-07-20','32','13.38','-6.98',393,'53','4.38','56.28','6','5',364,-406,'17','15','-6.37'
'AAVE-USDT','5m','2021-08-17','2021-09-16','8','6.64','-2.52',119,'50','4.57','47.08','2','3',331,-122,'4','4','0.41'
'AAVE-USDT','5m','2021-08-21','2021-09-20','8','6.59','-2.52',118,'50','3.01','46.66','2','3',336,-120,'4','4','-16.9'
'AAVE-USDT','5m','2021-08-11','2021-09-10','9','3.79','-1.28',57,'44','3.29','44.63','2','2',205,-58,'4','5','-13.91'
'AAVE-USDT','5m','2021-06-13','2021-07-13','30','11.49','-6.98',305,'53','4.05','43.63','6','4',375,-418,'16','14','6.09'
'AAVE-USDT','5m','2021-03-07','2021-04-06','8','5.17','-1.97',85,'62','3.38','43.02','2','2',333,-365,'5','3','2.7'
'AAVE-USDT','5m','2021-03-27','2021-04-26','9','5.09','-3.49',84,'56','3.67','24.04','3','2',348,-440,'5','4','-3.12'
'AAVE-USDT','5m','2021-01-08','2021-02-07','16','5.11','-6.83',122,'56','2.06','17.8','4','3',337,-383,'9','7','308.74'
'AAVE-USDT','5m','2021-02-02','2021-03-04','11','3.96','-6.19',61,'55','1.57','9.84','3','3',328,-432,'6','5','34.4'
'AAVE-USDT','5m','2021-06-09','2021-07-09','30','3.67','-8.87',82,'53','1.57','9.2','6','4',341,-418,'16','14','-11.74'
'AAVE-USDT','5m','2021-05-04','2021-06-03','12','1.39','-7.55',64,'50','1.62','8.43','3','3',333,-383,'6','6','-26.29'
'AAVE-USDT','5m','2021-04-01','2021-05-01','14','1.56','-6.7',22,'50','0.81','3.27','3','2',348,-440,'7','7','15.66'
'AAVE-USDT','5m','2021-06-03','2021-07-03','24','1.37','-12.28',38,'54','0.92','3.07','6','5',324,-411,'13','11','-38.94'
'AAVE-USDT','5m','2021-05-22','2021-06-21','19','-0.71','-12.28',31,'47','0.91','2.56','3','5',352,-454,'9','10','-27.07'
'AAVE-USDT','5m','2021-05-19','2021-06-18','16','-1.26','-12.28',23,'44','0.74','1.89','3','5',352,-454,'7','9','-53.39'
'AAVE-USDT','5m','2021-05-18','2021-06-17','17','-3.3','-12.28',1,'41','0.2','0.08','3','5',347,-446,'7','10','-49.63'
'AAVE-USDT','5m','2021-06-06','2021-07-06','28','-1.2','-12.28',1,'50','0.23','0.06','6','5',323,-403,'14','14','-13.66'
'AAVE-USDT','5m','2021-01-06','2021-02-05','18','-1.86','-8.99',-3,'50','0.13','-0.37','4','3',315,-370,'9','9','288.07'
'AAVE-USDT','5m','2021-01-23','2021-02-22','12','-1.79','-6.19',-8,'42','-0.03','-1.24','2','2',328,-434,'5','7','132.2'
'AAVE-USDT','5m','2021-07-04','2021-08-03','22','-0.52','-4.05',-6,'36','-0.15','-1.42','2','5',323,-342,'8','14','23.89'
'AAVE-USDT','5m','2021-05-28','2021-06-27','24','-2.95','-12.28',-18,'46','-0.25','-1.43','6','5',340,-438,'11','13','-49.26'
'AAVE-USDT','5m','2021-07-21','2021-08-20','17','-2.95','-9.12',-31,'41','-1.29','-3.35','2','4',331,-410,'7','10','82.06'
'AAVE-USDT','5m','2021-04-05','2021-05-05','18','-9.87','-17.15',-71,'39','-2.75','-4.16','3','6',348,-440,'7','11','10.49'
'AAVE-USDT','5m','2021-07-06','2021-08-05','18','-2.33','-5.79',-25,'33','-1.05','-4.25','2','5',318,-335,'6','12','10.27'
'AAVE-USDT','5m','2021-04-11','2021-05-11','17','-12.72','-17.15',-81,'35','-3.81','-4.7','2','6',337,-426,'6','11','17.18'
'AAVE-USDT','5m','2021-04-18','2021-05-18','18','-15.43','-17.16',-86,'33','-4.72','-4.99','1','7',327,-413,'6','12','33.73'
'AAVE-USDT','5m','2021-04-20','2021-05-20','18','-18.72','-18.05',-91,'28','-5.9','-5.02','1','7',312,-400,'5','13','18.69'
'AAVE-USDT','5m','2021-07-20','2021-08-19','17','-5.36','-9.12',-49,'41','-2.65','-5.35','2','3',325,-405,'7','10','59.87'
'AAVE-USDT','5m','2021-01-14','2021-02-13','17','-5.0','-6.19',-34,'47','-0.73','-5.45','4','3',326,-382,'8','9','260.56'
'AAVE-USDT','5m','2021-01-15','2021-02-14','17','-5.0','-6.19',-34,'47','-0.73','-5.45','4','3',326,-382,'8','9','235.52'
'AAVE-USDT','5m','2021-07-17','2021-08-16','16','-6.01','-9.12',-53,'38','-3.41','-5.81','2','4',329,-407,'6','10','61.81'
