['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-09-28', '2021-10-28', '9', '2.13', '-0.42', 28, '44', '5.75', '4.39', '66.63', '2', '2', 133, -46, '4', '5', '38.57']
['ETH-USDT', '5m', 'ETH-USDT', '2021-09-28', '2021-10-28', '9', '-2.09', '-2.09', -22, '44', '-0.18', '-5.29', '-10.53', '1', '2', 17, -75, '4', '5', '34.37']
['SOL-USDT', '5m', 'SOL-USDT', '2021-09-28', '2021-10-28', '10', '0.63', '-1.87', 8, '50', '0.32', '1.03', '4.09', '2', '2', 130, -104, '5', '5', '35.09']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-09-28', '2021-10-28', '12', '0.42', '-2.81', 5, '50', '0.19', '0.39', '1.81', '3', '3', 133, -154, '6', '6', '-28.37']
['FTM-USDT', '5m', 'FTM-USDT', '2021-09-28', '2021-10-28', '15', '1.15', '-1.63', 14, '27', '0.44', '1.63', '8.87', '1', '4', 131, -75, '4', '11', '141.54']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-09-28', '2021-10-28', '13', '-2.79', '-3.39', -28, '23', '-0.15', '-3.42', '-8.35', '1', '6', 127, -113, '3', '10', '-7.26']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-09-28', '2021-10-28', '12', '0.02', '-2.15', 0, '33', '0.0', '0.07', '0.09', '2', '3', 130, -76, '4', '8', '8.74']
['FIL-USDT', '5m', 'FIL-USDT', '2021-09-28', '2021-10-28', '6', '1.61', '-1.4', 21, '33', '0.76', '2.33', '14.79', '2', '3', 133, -59, '2', '4', '-6.21']
['ADA-USDT', '5m', 'ADA-USDT', '2021-09-28', '2021-10-28', '16', '-2.84', '-2.89', -29, '12', '-0.14', '-4.89', '-9.95', '1', '6', 63, -66, '2', '14', '-10.28']
['COTI-USDT', '5m', 'COTI-USDT', '2021-09-28', '2021-10-28', '13', '-1.61', '-3.77', -17, '23', '-0.15', '-1.7', '-4.6', '2', '6', 128, -82, '3', '10', '-24.61']
['XRP-USDT', '5m', 'XRP-USDT', '2021-09-28', '2021-10-28', '11', '-1.26', '-1.39', -14, '36', '-0.2', '-3.09', '-9.99', '2', '3', 43, -74, '4', '7', '7.94']
['UNI-USDT', '5m', 'UNI-USDT', '2021-09-28', '2021-10-28', '18', '-3.55', '-4.17', -35, '17', '-0.19', '-4.4', '-8.3', '1', '8', 130, -64, '3', '15', '7.85']
['DOT-USDT', '5m', 'DOT-USDT', '2021-09-28', '2021-10-28', '11', '1.31', '-1.94', 17, '45', '0.39', '1.72', '8.54', '2', '3', 131, -95, '5', '6', '45.98']
['BNB-USDT', '5m', 'BNB-USDT', '2021-09-28', '2021-10-28', '12', '0.63', '-1.04', 8, '33', '0.47', '1.01', '7.38', '1', '3', 130, -69, '4', '8', '33.82']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-09-28', '2021-10-28', '14', '-5.21', '-5.21', -47, '7', '-0.16', '-7.63', '-8.97', '1', '10', 28, -99, '1', '13', '-1.09']
