['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-09-27', '2021-10-28', '9', '6.95', '-2.36', 115, '44', '2.89', '3.43', '48.89', '2', '2', 433, -178, '4', '5', '35.58']
['ETH-USDT', '5m', 'ETH-USDT', '2021-09-27', '2021-10-28', '9', '-6.96', '-6.96', -56, '44', '-0.19', '-5.19', '-8.06', '1', '2', 54, -249, '4', '5', '28.45']
['SOL-USDT', '5m', 'SOL-USDT', '2021-09-27', '2021-10-28', '10', '1.9', '-6.15', 24, '50', '0.29', '1.0', '3.89', '2', '2', 426, -341, '5', '5', '36.23']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-09-27', '2021-10-28', '12', '0.91', '-9.12', 11, '50', '0.13', '0.45', '1.2', '3', '3', 460, -549, '6', '6', '-21.49']
['FTM-USDT', '5m', 'FTM-USDT', '2021-09-27', '2021-10-28', '15', '3.55', '-5.34', 49, '27', '0.41', '1.57', '9.13', '1', '4', 437, -251, '4', '11', '164.21']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-09-27', '2021-10-28', '13', '-9.26', '-10.97', -67, '23', '-0.15', '-3.4', '-6.11', '1', '6', 391, -370, '3', '10', '-7.44']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-09-27', '2021-10-28', '13', '-0.83', '-7.05', -9, '31', '-0.03', '-0.17', '-1.28', '2', '4', 427, -245, '4', '9', '15.35']
['FIL-USDT', '5m', 'FIL-USDT', '2021-09-27', '2021-10-28', '6', '5.32', '-4.59', 81, '33', '0.78', '2.32', '17.55', '2', '3', 455, -207, '2', '4', '-0.42']
['ADA-USDT', '5m', 'ADA-USDT', '2021-09-27', '2021-10-28', '16', '-9.25', '-9.41', -67, '12', '-0.14', '-4.79', '-7.12', '1', '6', 198, -212, '2', '14', '-13.15']
['COTI-USDT', '5m', 'COTI-USDT', '2021-09-27', '2021-10-28', '13', '-5.56', '-12.13', -48, '23', '-0.16', '-1.67', '-3.95', '2', '6', 400, -265, '3', '10', '-10.04']
['XRP-USDT', '5m', 'XRP-USDT', '2021-09-27', '2021-10-28', '11', '-4.18', '-4.6', -39, '36', '-0.2', '-3.02', '-8.39', '2', '3', 140, -244, '4', '7', '5.58']
