['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-01-01', '2021-10-25', '101', '0.51', '-3.0', 1, '37', '0.04', '0.15', '0.21', '3', '5', 133, -100, '37', '64', '110.07']
['ETH-USDT', '5m', 'ETH-USDT', '2021-01-01', '2021-10-25', '103', '17.99', '-2.79', 22, '49', '4.3', '2.35', '8.04', '6', '5', 155, -193, '50', '53', '453.7']
['SOL-USDT', '5m', 'SOL-USDT', '2021-01-01', '2021-10-25', '161', '28.08', '-4.94', 35, '47', '2.35', '2.6', '7.17', '9', '7', 171, -195, '76', '85', '13342.22']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-01-01', '2021-10-25', '162', '11.42', '-8.19', 14, '45', '0.4', '1.05', '1.73', '6', '12', 145, -216, '73', '89', '15793.98']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-01-01', '2021-10-25', '142', '-2.6', '-9.73', -3, '39', '-0.04', '-0.19', '-0.33', '3', '7', 133, -228, '55', '87', '1948.89']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FIL-USDT', '5m', 'FIL-USDT', '2021-01-01', '2021-10-25', '96', '9.41', '-5.56', 12, '40', '0.49', '1.3', '2.09', '3', '5', 143, -124, '38', '58', '155.21']
['ADA-USDT', '5m', 'ADA-USDT', '2021-01-01', '2021-10-25', '100', '5.72', '-4.91', 7, '43', '0.48', '0.83', '1.43', '4', '7', 140, -168, '43', '57', '1068.77']
['COTI-USDT', '5m', 'COTI-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XRP-USDT', '5m', 'XRP-USDT', '2021-01-01', '2021-10-25', '104', '5.71', '-8.11', 7, '38', '0.09', '0.82', '0.87', '5', '7', 138, -249, '40', '64', '393.39']
['UNI-USDT', '5m', 'UNI-USDT', '2021-01-01', '2021-10-25', '144', '-2.57', '-7.72', -3, '37', '-0.05', '-0.22', '-0.41', '4', '8', 132, -189, '53', '91', '400.04']
['DOT-USDT', '5m', 'DOT-USDT', '2021-01-01', '2021-10-25', '134', '-4.77', '-13.74', -6, '39', '-0.03', '-0.49', '-0.42', '7', '8', 134, -144, '52', '82', '354.17']
['BNB-USDT', '5m', 'BNB-USDT', '2021-01-01', '2021-10-25', '114', '7.62', '-5.87', 9, '42', '0.37', '1.08', '1.6', '6', '6', 139, -135, '48', '66', '1172.89']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-01-01', '2021-10-25', '143', '-0.41', '-9.3', 0, '40', '-0.01', '0.01', '-0.05', '5', '10', 142, -163, '57', '86', '430.77']
['CELR-USDT', '5m', 'CELR-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-01-01', '2021-10-25', '127', '-9.6', '-10.02', -12, '38', '-0.09', '-1.1', '-1.16', '4', '8', 127, -224, '48', '79', '222.17']
['LINK-USDT', '5m', 'LINK-USDT', '2021-01-01', '2021-10-25', '133', '9.08', '-5.88', 11, '41', '0.69', '1.17', '1.91', '3', '7', 149, -145, '54', '79', '164.52']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-01-01', '2021-10-25', '139', '-3.63', '-11.97', -4, '36', '-0.03', '-0.35', '-0.37', '4', '7', 140, -208, '50', '89', '266.71']
['LTC-USDT', '5m', 'LTC-USDT', '2021-01-01', '2021-10-25', '120', '6.4', '-4.69', 8, '38', '0.33', '0.88', '1.68', '3', '6', 142, -299, '45', '75', '52.8']
['EOS-USDT', '5m', 'EOS-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CRV-USDT', '5m', 'CRV-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MATIC-USDT', '5m', 'MATIC-USDT', '2021-01-01', '2021-10-25', '133', '32.27', '-5.89', 41, '50', '3.12', '2.73', '6.94', '5', '4', 171, -203, '67', '66', '8805.44']
['AXS-USDT', '5m', 'AXS-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SRM-USDT', '5m', 'SRM-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['REN-USDT', '5m', 'REN-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ONE-USDT', '5m', 'ONE-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ETC-USDT', '5m', 'ETC-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BCH-USDT', '5m', 'BCH-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ICP-USDT', '5m', 'ICP-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AAVE-USDT', '5m', 'AAVE-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1INCH-USDT', '5m', '1INCH-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALICE-USDT', '5m', 'ALICE-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEAR-USDT', '5m', 'NEAR-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BZRX-USDT', '5m', 'BZRX-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OMG-USDT', '5m', 'OMG-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TRX-USDT', '5m', 'TRX-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAKE-USDT', '5m', 'BAKE-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GALA-USDT', '5m', 'GALA-USDT', '2021-01-01', '2021-10-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
