['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', ':G<H5i', '2021-04-01', '2021-10-01', '128', '34.07', '-16.0', 79, '41', '1.12', '2.21', '5.07', '5', '8', 347, -358, '53', '75', '54.76']
['ETH-USD', '5m', 'D:eNs)', '2021-04-01', '2021-10-01', '295', '37.46', '-22.0', 89, '36', '1.07', '1.44', '4.06', '6', '7', 936, -497, '107', '188', '54.76']
['ETH-USD', '5m', 'I3Jl?o', '2021-04-01', '2021-10-01', '19', '10.76', '-4.0', 23, '53', '1.71', '1.73', '5.44', '6', '3', 712, -397, '10', '9', '54.76']
['ETH-USD', '5m', 'I8J1jX', '2021-04-01', '2021-10-01', '6', '1.49', '-4.0', 3, '67', '0.05', '0.49', '0.74', '2', '1', 174, -404, '4', '2', '54.76']
['ETH-USD', '5m', '>R/+Pa', '2021-04-01', '2021-10-01', '20', '4.32', '-2.0', 9, '85', '2.22', '1.93', '5.28', '11', '1', 48, -174, '17', '3', '54.76']
['ETH-USD', '5m', 'b3a4.o', '2021-04-01', '2021-10-01', '87', '81.46', '-6.0', 228, '52', '16.29', '4.22', '36.6', '6', '4', 541, -432, '45', '42', '54.76']
['ETH-USD', '5m', ':2b>5Z', '2021-04-01', '2021-10-01', '330', '33.88', '-15.0', 79, '36', '1.09', '1.63', '5.18', '6', '10', 572, -415, '120', '210', '54.76']
['ETH-USD', '5m', ':2b=5Z', '2021-04-01', '2021-10-01', '330', '33.88', '-15.0', 79, '36', '1.09', '1.63', '5.18', '6', '10', 572, -415, '120', '210', '54.76']
['ETH-USD', '5m', ':2_?5Z', '2021-04-01', '2021-10-01', '330', '37.53', '-15.0', 89, '36', '1.19', '1.77', '5.79', '6', '10', 583, -419, '120', '210', '54.76']
['ETH-USD', '5m', ':2DB5`', '2021-04-01', '2021-10-01', '260', '75.89', '-11.0', 208, '41', '6.64', '3.49', '18.84', '6', '7', 486, -453, '107', '153', '54.76']
['ETH-USD', '5m', ':2^?5Z', '2021-04-01', '2021-10-01', '330', '36.09', '-16.0', 85, '36', '0.99', '1.7', '5.15', '6', '10', 576, -411, '120', '210', '54.76']
['ETH-USD', '5m', 'C3<J0i', '2021-04-01', '2021-10-01', '209', '38.77', '-19.0', 92, '44', '1.05', '2.16', '4.92', '7', '10', 392, -361, '93', '116', '54.76']
['ETH-USD', '5m', 'C3<H0i', '2021-04-01', '2021-10-01', '209', '42.7', '-19.0', 103, '44', '1.05', '2.35', '5.51', '7', '10', 382, -358, '93', '116', '54.76']
['ETH-USD', '5m', ':2D?5_', '2021-04-01', '2021-10-01', '274', '87.24', '-9.0', 249, '41', '11.06', '3.91', '27.17', '6', '9', 471, -491, '113', '161', '54.76']
['ETH-USD', '5m', ':2L?5`', '2021-04-01', '2021-10-01', '260', '63.74', '-11.0', 167, '40', '5.0', '2.95', '15.57', '6', '7', 493, -450, '105', '155', '54.76']
['ETH-USD', '5m', 'i3<I5i', '2021-04-01', '2021-10-01', '72', '38.48', '-4.0', 91, '49', '6.12', '2.92', '23.08', '3', '4', 366, -403, '35', '37', '54.76']
['ETH-USD', '5m', 'p2QH5i', '2021-04-01', '2021-10-01', '62', '47.08', '-11.0', 116, '47', '4.01', '2.77', '10.98', '4', '5', 615, -706, '29', '33', '54.76']
['ETH-USD', '5m', 'q2QH5i', '2021-04-01', '2021-10-01', '62', '47.08', '-11.0', 116, '47', '4.01', '2.77', '10.98', '4', '5', 615, -706, '29', '33', '54.76']
['ETH-USD', '5m', ':2D?5l', '2021-04-01', '2021-10-01', '121', '35.27', '-6.0', 83, '45', '3.52', '2.79', '14.19', '5', '6', 350, -390, '55', '66', '54.76']
['ETH-USD', '5m', ':2<H5l', '2021-04-01', '2021-10-01', '121', '37.05', '-5.0', 88, '45', '4.28', '2.91', '16.04', '5', '6', 356, -371, '54', '67', '54.76']
['ETH-USD', '5m', '73<H5i', '2021-04-01', '2021-10-01', '163', '22.35', '-6.0', 50, '40', '1.88', '1.73', '7.9', '4', '7', 320, -512, '65', '98', '54.76']
['ETH-USD', '5m', 'C3<H5b', '2021-04-01', '2021-10-01', '188', '37.77', '-17.0', 89, '45', '0.98', '2.22', '5.18', '7', '11', 360, -344, '84', '104', '54.76']
['ETH-USD', '5m', ':G<I5i', '2021-04-01', '2021-10-01', '128', '35.6', '-15.0', 84, '41', '1.28', '2.27', '5.43', '5', '8', 361, -358, '53', '75', '54.76']
['ETH-USD', '5m', ',OM_XO', '2021-04-01', '2021-10-01', '93', '30.63', '-8.0', 70, '35', '1.64', '2.26', '8.77', '3', '9', 820, -296, '33', '60', '54.76']
['ETH-USD', '5m', ':3BH5b', '2021-04-01', '2021-10-01', '218', '22.13', '-16.0', 49, '39', '0.72', '1.37', '3.07', '6', '10', 369, -309, '85', '133', '54.76']
['ETH-USD', '5m', 'S<KTQ]', '2021-04-01', '2021-10-01', '34', '20.63', '-5.0', 45, '50', '2.17', '1.91', '8.29', '4', '3', 585, -453, '17', '17', '54.76']
['ETH-USD', '5m', ':,<H5i', '2021-04-01', '2021-10-01', '165', '14.44', '-10.0', 31, '38', '0.52', '1.17', '3.09', '4', '7', 295, -499, '62', '103', '54.76']
['ETH-USD', '5m', 'Kr-m5b', '2021-04-01', '2021-10-01', '75', '15.25', '-11.0', 33, '43', '0.62', '1.27', '2.85', '6', '4', 289, -293, '32', '43', '54.76']
['ETH-USD', '5m', ':2c95Z', '2021-04-01', '2021-10-01', '330', '51.38', '-15.0', 129, '37', '1.94', '2.24', '8.84', '6', '10', 574, -481, '122', '208', '54.76']
['ETH-USD', '5m', ':2]95Z', '2021-04-01', '2021-10-01', '330', '53.38', '-17.0', 135, '37', '1.22', '2.38', '8.03', '6', '10', 555, -475, '123', '207', '54.76']
['ETH-USD', '5m', ':2b95Z', '2021-04-01', '2021-10-01', '330', '49.51', '-16.0', 123, '37', '1.6', '2.19', '7.94', '6', '10', 567, -473, '122', '208', '54.76']
['ETH-USD', '5m', ':2b;5Z', '2021-04-01', '2021-10-01', '330', '40.35', '-16.0', 97, '37', '1.21', '1.86', '6.01', '6', '10', 571, -438, '121', '209', '54.76']
['ETH-USD', '5m', ':2O?5_', '2021-04-01', '2021-10-01', '274', '59.41', '-10.0', 153, '40', '4.32', '2.7', '15.48', '6', '9', 504, -449, '109', '165', '54.76']
['ETH-USD', '5m', ':2U?5Z', '2021-04-01', '2021-10-01', '330', '43.51', '-16.0', 106, '37', '1.07', '2.03', '6.45', '6', '10', 537, -418, '121', '209', '54.76']
['ETH-USD', '5m', ':2`85Z', '2021-04-01', '2021-10-01', '330', '55.46', '-16.0', 141, '37', '1.46', '2.44', '8.79', '6', '10', 558, -490, '123', '207', '54.76']
['ETH-USD', '5m', ':2a95Z', '2021-04-01', '2021-10-01', '330', '47.77', '-16.0', 118, '37', '1.46', '2.14', '7.43', '6', '10', 556, -466, '122', '208', '54.76']
['ETH-USD', '5m', ':2\\?5Z', '2021-04-01', '2021-10-01', '330', '35.16', '-17.0', 82, '37', '0.9', '1.66', '4.83', '6', '10', 562, -406, '121', '209', '54.76']
['ETH-USD', '5m', ':2k35`', '2021-04-01', '2021-10-01', '259', '66.34', '-14.0', 176, '40', '3.61', '2.88', '12.59', '6', '7', 569, -581, '103', '156', '54.76']
['ETH-USD', '5m', ':2QH5]', '2021-04-01', '2021-10-01', '306', '52.72', '-11.0', 133, '38', '3.03', '2.34', '12.17', '6', '10', 632, -420, '115', '191', '54.76']
