['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-09-27', '2021-10-28', '9', '34.71', '-11.68', 2892, '44', '2.93', '3.41', '247.71', '2', '2', 2597, -1095, '4', '5', '35.58']
['ETH-USDT', '5m', 'ETH-USDT', '2021-09-27', '2021-10-28', '9', '-31.55', '-31.55', -99, '44', '-0.19', '-5.16', '-3.13', '1', '2', 210, -1176, '4', '5', '28.45']
['SOL-USDT', '5m', 'SOL-USDT', '2021-09-27', '2021-10-28', '10', '3.98', '-28.63', 56, '50', '0.12', '0.92', '1.96', '2', '2', 1861, -1495, '5', '5', '36.23']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-09-27', '2021-10-28', '12', '-9.11', '-40.83', -66, '50', '-0.22', '0.83', '-1.63', '3', '3', 2812, -3914, '6', '6', '-21.49']
['FTM-USDT', '5m', 'FTM-USDT', '2021-09-27', '2021-10-28', '15', '9.19', '-24.69', 173, '27', '0.2', '1.33', '6.99', '1', '4', 2074, -1275, '4', '11', '164.21']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-09-27', '2021-10-28', '13', '-43.3', '-45.92', -100, '23', '-0.16', '-3.55', '-2.17', '1', '6', 1199, -1633, '3', '10', '-7.44']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-09-27', '2021-10-28', '13', '-11.12', '-31.64', -74, '31', '-0.1', '-0.2', '-2.34', '2', '4', 1906, -1279, '4', '9', '15.35']
['FIL-USDT', '5m', 'FIL-USDT', '2021-09-27', '2021-10-28', '6', '24.8', '-21.03', 1152, '33', '0.87', '2.46', '54.77', '2', '3', 2649, -1329, '2', '4', '-0.42']
['ADA-USDT', '5m', 'ADA-USDT', '2021-09-27', '2021-10-28', '16', '-40.05', '-40.58', -100, '12', '-0.15', '-4.67', '-2.46', '1', '6', 685, -865, '2', '14', '-13.15']
['COTI-USDT', '5m', 'COTI-USDT', '2021-09-27', '2021-10-28', '13', '-31.26', '-49.22', -99, '23', '-0.19', '-1.6', '-2.0', '2', '6', 1350, -1326, '3', '10', '-10.04']
['XRP-USDT', '5m', 'XRP-USDT', '2021-09-27', '2021-10-28', '11', '-20.26', '-22.0', -92, '36', '-0.2', '-2.93', '-4.2', '2', '3', 582, -1171, '4', '7', '5.58']
['UNI-USDT', '5m', 'UNI-USDT', '2021-09-27', '2021-10-28', '18', '-49.58', '-53.61', -100, '17', '-0.22', '-4.35', '-1.86', '1', '8', 1946, -1073, '3', '15', '0.94']
['DOT-USDT', '5m', 'DOT-USDT', '2021-09-27', '2021-10-28', '11', '14.36', '-29.27', 362, '45', '0.25', '1.7', '12.37', '2', '3', 2049, -1531, '5', '6', '40.68']
['BNB-USDT', '5m', 'BNB-USDT', '2021-09-27', '2021-10-28', '12', '4.42', '-16.28', 64, '33', '0.2', '0.97', '3.91', '1', '3', 2142, -1354, '4', '8', '30.57']
