'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'TLM-USDT','5m','TLM-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RAY-USDT','5m','RAY-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MASK-USDT','5m','MASK-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1000XEC-USDT','5m','1000XEC-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KEEP-USDT','5m','KEEP-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AUDIO-USDT','5m','AUDIO-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATA-USDT','5m','ATA-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GTC-USDT','5m','GTC-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CELO-USDT','5m','CELO-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTCDOM-USDT','5m','BTCDOM-USDT','2021-06-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CELR-USDT','5m','CELR-USDT','2021-06-01','2021-10-01','29','-3.16','-29.0',-1,'66','-0.0','0.2','-0.04','8','3',867,-3315,'19','10','201.24'
'BAKE-USDT','5m','BAKE-USDT','2021-06-01','2021-10-01','33','-2.48','-22.0',-2,'52','-0.01','0.18','-0.09','5','4',665,-684,'17','16','-58.39'
'AVAX-USDT','5m','AVAX-USDT','2021-06-01','2021-10-01','36','-2.84','-27.0',-3,'61','-0.03','0.16','-0.11','7','3',834,-1090,'22','14','270.41'
'SAND-USDT','5m','SAND-USDT','2021-06-01','2021-10-01','30','-3.09','-28.0',-3,'60','-0.01','0.13','-0.12','8','5',807,-1227,'18','12','101.83'
'ZEN-USDT','5m','ZEN-USDT','2021-06-01','2021-10-01','38','-2.61','-19.0',-3,'55','-0.01','0.12','-0.16','5','4',733,-829,'21','17','-35.58'
'CHR-USDT','5m','CHR-USDT','2021-06-01','2021-10-01','42','-5.29','-33.0',-7,'52','-0.01','0.07','-0.22','5','4',828,-891,'22','20','37.15'
'CTK-USDT','5m','CTK-USDT','2021-06-01','2021-10-01','41','-4.12','-29.0',-8,'56','-0.01','0.02','-0.28','5','5',566,-861,'23','18','13.89'
'KSM-USDT','5m','KSM-USDT','2021-06-01','2021-10-01','28','-5.7','-21.0',-7,'46','-0.04','0.02','-0.31','3','3',644,-710,'13','15','-9.83'
