'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'ICX-USDT','5m','ICX-USDT','2021-08-01','2021-10-01','24','-19.84','-16.0',-14,'75','-0.13','-0.9','6','1',163,-1291,'18','6','52.61'
'LUNA-USDT','5m','LUNA-USDT','2021-08-01','2021-10-01','24','-41.01','-20.0',-19,'67','-0.1','-0.93','6','2',146,-2025,'16','8','267.76'
'DEFI-USDT','5m','DEFI-USDT','2021-08-01','2021-10-01','19','-15.35','-17.0',-16,'68','-0.23','-0.93','5','2',139,-1059,'13','6','24.41'
'IOTA-USDT','5m','IOTA-USDT','2021-08-01','2021-10-01','18','-21.43','-19.0',-18,'83','-0.12','-0.96','7','1',165,-3198,'15','3','21.44'
'MKR-USDT','5m','MKR-USDT','2021-08-01','2021-10-01','24','-40.87','-15.0',-15,'54','-0.22','-1.01','4','3',167,-1051,'13','11','-23.31'
'STORJ-USDT','5m','STORJ-USDT','2021-08-01','2021-10-01','18','-22.4','-13.0',-13,'61','-0.27','-1.05','3','3',156,-999,'11','7','5.46'
'OCEAN-USDT','5m','OCEAN-USDT','2021-08-01','2021-10-01','23','-30.26','-27.0',-32,'70','-0.48','-1.16','4','1',156,-1339,'16','7','31.2'
'QTUM-USDT','5m','QTUM-USDT','2021-08-01','2021-10-01','23','-19.44','-24.0',-33,'78','-0.43','-1.39','9','2',173,-1975,'18','5','30.95'
'GTC-USDT','5m','GTC-USDT','2021-08-01','2021-10-01','29','-87.05','-70.0',-100,'62','-3.91','-1.43','6','4',152,-3357,'18','11','-4.79'
'VET-USDT','5m','VET-USDT','2021-08-01','2021-10-01','30','-22.52','-20.0',-30,'73','-0.47','-1.46','6','2',156,-1348,'22','8','7.1'
'CELR-USDT','5m','CELR-USDT','2021-08-01','2021-10-01','31','-84.13','-65.0',-99,'74','-2.85','-1.53','12','3',161,-3242,'23','8','323.55'
'SRM-USDT','5m','SRM-USDT','2021-08-01','2021-10-01','28','-102.34','-64.0',-100,'46','-5.28','-1.55','2','5',149,-1268,'13','15','85.41'
'FLM-USDT','5m','FLM-USDT','2021-08-01','2021-10-01','25','-46.36','-41.0',-64,'64','0.17','-1.58','5','3',151,-2103,'16','9','-9.22'
'TRB-USDT','5m','TRB-USDT','2021-08-01','2021-10-01','32','-81.28','-60.0',-99,'53','-5.43','-1.65','6','4',129,-1359,'17','15','5.81'
'ALGO-USDT','5m','ALGO-USDT','2021-08-01','2021-10-01','27','-46.3','-21.0',-36,'70','-0.72','-1.7','5','2',171,-1442,'19','8','93.4'
'MTL-USDT','5m','MTL-USDT','2021-08-01','2021-10-01','23','-75.09','-14.0',-25,'57','-0.34','-1.72','5','4',159,-1814,'13','10','29.69'
'COTI-USDT','5m','COTI-USDT','2021-08-01','2021-10-01','33','-34.19','-44.0',-77,'82','-1.34','-1.74','10','1',163,-2552,'27','6','351.08'
'XEM-USDT','5m','XEM-USDT','2021-08-01','2021-10-01','26','-28.18','-28.0',-49,'73','-1.04','-1.77','7','2',181,-1314,'19','7','-16.59'
'FTM-USDT','5m','FTM-USDT','2021-08-01','2021-10-01','31','-71.69','-55.0',-99,'74','-3.48','-1.78','9','2',119,-2732,'23','8','370.68'
'CHR-USDT','5m','CHR-USDT','2021-08-01','2021-10-01','33','-33.62','-31.0',-55,'79','-0.73','-1.8','10','3',165,-1920,'26','7','-10.13'
'LINA-USDT','5m','LINA-USDT','2021-08-01','2021-10-01','26','-30.92','-28.0',-52,'81','-0.66','-1.84','14','2',149,-1904,'21','5','-15.6'
'SKL-USDT','5m','SKL-USDT','2021-08-01','2021-10-01','36','-42.26','-36.0',-70,'78','-1.33','-1.93','9','1',144,-1627,'28','8','15.72'
'BTS-USDT','5m','BTS-USDT','2021-08-01','2021-10-01','20','-25.51','-20.0',-40,'75','-0.79','-1.96','7','2',156,-1505,'15','5','-7.06'
'DGB-USDT','5m','DGB-USDT','2021-08-01','2021-10-01','26','-56.11','-48.0',-95,'54','-3.67','-1.96','6','4',126,-1683,'14','12','-2.82'
'THETA-USDT','5m','THETA-USDT','2021-08-01','2021-10-01','19','-7.82','-19.0',-37,'84','-0.61','-1.97','10','1',168,-1281,'16','3','-17.16'
'GRT-USDT','5m','GRT-USDT','2021-08-01','2021-10-01','39','-46.89','-44.0',-89,'79','-1.9','-2.0','9','2',168,-2401,'31','8','3.6'
'SXP-USDT','5m','SXP-USDT','2021-08-01','2021-10-01','19','-54.36','-48.0',-98,'58','-4.37','-2.03','5','2',135,-1216,'11','8','1.15'
'TRX-USDT','5m','TRX-USDT','2021-08-01','2021-10-01','23','-12.55','-11.0',-23,'70','-0.45','-2.1','4','2',149,-1077,'16','7','39.72'
'AVAX-USDT','5m','AVAX-USDT','2021-08-01','2021-10-01','21','-68.95','-44.0',-94,'67','-2.22','-2.12','8','5',166,-2516,'14','7','391.15'
'NKN-USDT','5m','NKN-USDT','2021-08-01','2021-10-01','24','-73.98','-45.0',-96,'54','-3.97','-2.14','3','4',149,-1677,'13','11','12.97'
'BZRX-USDT','5m','BZRX-USDT','2021-08-01','2021-10-01','32','-78.28','-44.0',-95,'66','-3.65','-2.16','5','3',149,-1728,'21','11','8.63'
'OMG-USDT','5m','OMG-USDT','2021-08-01','2021-10-01','21','-29.17','-27.0',-59,'71','-1.56','-2.21','4','2',156,-1430,'15','6','178.38'
'BEL-USDT','5m','BEL-USDT','2021-08-01','2021-10-01','28','-59.92','-36.0',-79,'64','-1.37','-2.22','4','2',152,-1538,'18','10','-5.13'
'RVN-USDT','5m','RVN-USDT','2021-08-01','2021-10-01','17','-43.16','-36.0',-81,'65','-2.22','-2.23','9','3',119,-1680,'11','6','45.72'
'ICP-USDT','5m','ICP-USDT','2021-08-01','2021-10-01','24','-58.28','-37.0',-84,'62','-2.99','-2.26','4','4',170,-2346,'15','9','7.72'
'KSM-USDT','5m','KSM-USDT','2021-08-01','2021-10-01','32','-56.15','-25.0',-57,'66','-1.0','-2.26','7','2',149,-1722,'21','11','67.01'
'WAVES-USDT','5m','WAVES-USDT','2021-08-01','2021-10-01','23','-30.97','-39.0',-89,'83','-3.01','-2.26','7','1',151,-1965,'19','4','46.2'
