228/613 Remaining Time: 06:35:19
Pair       TF    Dna          Start Date   End Date     Total  Total Net    Max.     Annual     Win      Sharpe   Calmar       Serenity   Winning  Losing   Largest      Largest      Winning    Losing     Market
                                                        Trades Profit %     DD %     Return %   Rate %   Ratio    Ratio        Index      Streak   Streak   Win. Trade   Los. Trade   Trades     Trades     Change %
ETH-USDT   5m    F@bC<H       2021-06-01   2021-10-01   2834   92.87        -20.0    614        37       3.36     2.74         30.36      22       34       212          -362         1040       1794       52.68
ETH-USDT   5m    F@bC4l       2021-06-01   2021-10-01   1119   73.1         -14.0    416        42       3.74     3.47         29.73      16       21       202          -343         466        653        52.68
ETH-USDT   5m    F@bH(H       2021-06-01   2021-10-01   2278   74.07        -15.0    425        37       4.99     2.66         28.86      17       31       208          -334         853        1425       52.68
ETH-USDT   5m    F@bC4l       2021-06-01   2021-10-01   1119   73.1         -14.0    416        42       3.74     3.47         29.73      16       21       202          -343         466        653        52.68
ETH-USDT   5m    F@bH(H       2021-06-01   2021-10-01   2278   74.07        -15.0    425        37       4.99     2.66         28.86      17       31       208          -334         853        1425       52.68
ETH-USDT   5m    F@bC4l       2021-06-01   2021-10-01   1119   73.1         -14.0    416        42       3.74     3.47         29.73      16       21       202          -343         466        653        52.68
ETH-USDT   5m    F@bH(H       2021-06-01   2021-10-01   2278   74.07        -15.0    425        37       4.99     2.66         28.86      17       31       208          -334         853        1425       52.68
ETH-USDT   5m    F@bC4N       2021-06-01   2021-10-01   2679   88.08        -20.0    562        37       3.36     2.72         28.78      22       33       212          -362         990        1689       52.68
ETH-USDT   5m    6@EH]H       2021-06-01   2021-10-01   1994   80.25        -17.0    483        37       3.82     3.7          28.21      12       22       123          -233         747        1247       52.68
ETH-USDT   5m    F@bm<H       2021-06-01   2021-10-01   2832   83.35        -18.0    513        37       2.95     2.26         27.75      23       34       426          -369         1039       1793       52.68
ETH-USDT   5m    F@bC4M       2021-06-01   2021-10-01   2719   85.7         -20.0    537        37       3.22     2.67         27.52      22       34       205          -353         1000       1719       52.68
ETH-USDT   5m    F@bM<H       2021-06-01   2021-10-01   2834   83.93        -20.0    519        37       2.79     2.43         26.58      22       34       257          -348         1040       1794       52.68
ETH-USDT   5m    F@bk<H       2021-06-01   2021-10-01   2832   80.95        -18.0    490        37       2.86     2.24         26.54      23       34       410          -368         1039       1793       52.68
Traceback (most recent call last):
