'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BTC-USDT','1h','?)vr','2021-04-01','2021-08-01','94','31.16','-13.12',124,'41','1.68','9.42','4','4',200,-67,'39','55','-29.61'
'BTC-USDT','1h','W*/@','2021-04-01','2021-08-01','36','25.68','-10.48',97,'67','2.31','9.26','8','3',60,-63,'24','12','-29.61'
'BTC-USDT','1h','>*g=','2021-04-01','2021-08-01','80','31.53','-15.22',126,'49','2.18','8.25','7','8',128,-34,'39','41','-29.61'
'BTC-USDT','1h','?),V','2021-04-01','2021-08-01','94','29.09','-13.86',113,'41','1.51','8.18','5','5',201,-57,'39','55','-29.61'
'BTC-USDT','1h','?,<h','2021-04-01','2021-08-01','50','31.32','-15.44',124,'52','1.8','8.06','6','6',177,-69,'26','24','-29.61'
'BTC-USDT','1h','?,<g','2021-04-01','2021-08-01','50','31.32','-15.44',124,'52','1.8','8.06','6','6',177,-69,'26','24','-29.61'
'BTC-USDT','1h','>*,=','2021-04-01','2021-08-01','80','29.01','-14.09',113,'52','1.73','8.02','7','4',80,-47,'42','38','-29.61'
'BTC-USDT','1h','=)b=','2021-04-01','2021-08-01','102','29.78','-15.12',117,'38','1.91','7.72','4','8',121,-44,'39','63','-29.61'
'BTC-USDT','1h','>*7/','2021-04-01','2021-08-01','80','25.52','-12.5',96,'46','1.98','7.7','7','8',72,-28,'37','43','-29.61'
'BTC-USDT','1h','7.^g','2021-04-01','2021-08-01','52','26.94','-13.46',103,'48','1.64','7.65','6','6',183,-67,'25','27','-29.61'
'BTC-USDT','1h','7._g','2021-04-01','2021-08-01','52','26.94','-13.46',103,'48','1.64','7.65','6','6',183,-67,'25','27','-29.61'
'BTC-USDT','1h','>*lS','2021-04-01','2021-08-01','80','35.33','-19.37',145,'41','1.94','7.51','6','7',214,-52,'33','47','-29.61'
'BTC-USDT','1h','7.92','2021-04-01','2021-08-01','52','19.26','-9.15',69,'50','1.64','7.5','4','6',73,-53,'26','26','-29.61'
'BTC-USDT','1h','7.Tf','2021-04-01','2021-08-01','52','29.92','-16.28',117,'50','1.71','7.21','6','4',181,-67,'26','26','-29.61'
'BTC-USDT','1h','?)qu','2021-04-01','2021-08-01','94','24.47','-12.69',91,'41','1.4','7.21','4','4',200,-61,'39','55','-29.61'
'BTC-USDT','1h','=*tM','2021-04-01','2021-08-01','86','33.07','-18.96',133,'37','1.94','7.04','5','10',222,-46,'32','54','-29.61'
'BTC-USDT','1h','7.g','2021-04-01','2021-08-01','52','26.73','-14.63',102,'48','1.61','6.97','6','6',182,-67,'25','27','-29.61'
'BTC-USDT','1h','9.g','2021-04-01','2021-08-01','52','26.73','-14.63',102,'48','1.61','6.97','6','6',182,-67,'25','27','-29.61'
'BTC-USDT','1h','?.au','2021-04-01','2021-08-01','42','34.31','-20.46',140,'50','1.84','6.84','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.av','2021-04-01','2021-08-01','42','34.31','-20.46',140,'50','1.84','6.84','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Ns','2021-04-01','2021-08-01','42','33.75','-20.32',137,'50','1.83','6.74','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Nt','2021-04-01','2021-08-01','42','33.75','-20.32',137,'50','1.83','6.74','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?._v','2021-04-01','2021-08-01','42','33.82','-20.41',137,'50','1.82','6.73','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.^v','2021-04-01','2021-08-01','42','33.82','-20.41',137,'50','1.82','6.73','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?._u','2021-04-01','2021-08-01','42','33.82','-20.41',137,'50','1.82','6.73','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.^u','2021-04-01','2021-08-01','42','33.82','-20.41',137,'50','1.82','6.73','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.v','2021-04-01','2021-08-01','42','33.62','-20.42',136,'50','1.81','6.68','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.\\u','2021-04-01','2021-08-01','42','33.62','-20.42',136,'50','1.81','6.68','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.u','2021-04-01','2021-08-01','42','33.62','-20.42',136,'50','1.81','6.68','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Ls','2021-04-01','2021-08-01','42','33.51','-20.38',136,'50','1.82','6.66','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.v','2021-04-01','2021-08-01','42','33.47','-20.39',136,'50','1.81','6.65','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Zu','2021-04-01','2021-08-01','42','33.47','-20.39',136,'50','1.81','6.65','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.u','2021-04-01','2021-08-01','42','33.47','-20.39',136,'50','1.81','6.65','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Yu','2021-04-01','2021-08-01','42','33.1','-20.32',134,'50','1.79','6.58','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Xu','2021-04-01','2021-08-01','42','33.1','-20.32',134,'50','1.79','6.58','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Su','2021-04-01','2021-08-01','42','33.01','-20.37',133,'50','1.79','6.53','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Sv','2021-04-01','2021-08-01','42','33.01','-20.37',133,'50','1.79','6.53','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Ru','2021-04-01','2021-08-01','42','33.01','-20.37',133,'50','1.79','6.53','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Vu','2021-04-01','2021-08-01','42','32.71','-20.25',132,'50','1.78','6.5','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Wu','2021-04-01','2021-08-01','42','32.71','-20.25',132,'50','1.78','6.5','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Qv','2021-04-01','2021-08-01','42','32.92','-20.44',133,'50','1.79','6.49','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Pu','2021-04-01','2021-08-01','42','32.92','-20.44',133,'50','1.79','6.49','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','?.Qu','2021-04-01','2021-08-01','42','32.92','-20.44',133,'50','1.79','6.49','3','4',185,-106,'21','21','-29.61'
'BTC-USDT','1h','@.bs','2021-04-01','2021-08-01','42','32.62','-20.24',131,'50','1.82','6.48','3','4',185,-79,'21','21','-29.61'
'BTC-USDT','1h','?.bt','2021-04-01','2021-08-01','42','32.62','-20.24',131,'50','1.82','6.48','3','4',185,-79,'21','21','-29.61'
'BTC-USDT','1h','?.bs','2021-04-01','2021-08-01','42','32.62','-20.24',131,'50','1.82','6.48','3','4',185,-79,'21','21','-29.61'
'BTC-USDT','1h','?.as','2021-04-01','2021-08-01','42','32.44','-20.2',130,'50','1.81','6.45','3','4',185,-79,'21','21','-29.61'
'BTC-USDT','1h','?.`s','2021-04-01','2021-08-01','42','32.44','-20.2',130,'50','1.81','6.45','3','4',185,-79,'21','21','-29.61'
