iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_ubw,parameters.ott_dbw,parameters.long_tps_qty_index,parameters.short_tps_qty_index,parameters.chop_rsi_len,parameters.chop_bandwidth,parameters.max_risk
60,+:EKG-o,1.0177351085360629,56,75,38.33,46,15,-1.52,28,67,46,55,13,38,46
60,I:2ch=a,0.9871105199581102,53,56,41.3,36,11,-4.6,106,67,16,93,21,78,39
60,BHX^_sl,0.9784010908844583,62,48,44.95,57,7,-1.86,87,103,76,85,19,215,44
60,I:j*TQd,0.9664178511455702,56,57,46.03,45,11,-1.96,106,67,104,3,16,129,40
60,A>IGYCf,0.95167457634637,65,60,38.91,60,10,1.55,85,77,52,49,17,93,41
60,3:Q-9/n,0.8996663119120314,52,71,44.68,57,14,0.41,49,67,65,8,9,43,45
60,J?>6J;^,0.8899397806141816,58,48,42.17,28,7,-2.89,108,80,35,22,14,73,37
60,^>7B(Je,0.8857906959601239,72,36,48.54,50,6,-0.08,160,77,24,41,5,111,41
60,",+MRXoe",0.883378035221972,56,57,41.0,33,6,-0.85,30,28,59,66,17,205,41
60,/6s)__r,0.8587307893536185,49,69,36.74,46,13,1.61,38,56,119,2,19,164,47
60,E:_(Nta,0.8509033531535254,55,56,44.88,54,11,1.25,95,67,87,0,15,217,39
60,"a=e>,>e",0.8491651254160851,66,33,40.28,57,7,1.42,168,74,97,35,6,81,41
60,m?ovSUm,0.8296997844386989,75,32,23.35,40,5,-3.99,199,80,112,123,16,139,45
60,bA9@uWg,0.8278635080630152,75,29,38.58,50,6,-0.08,171,85,27,38,24,144,42
60,l;[/?*n,0.8211157036856697,64,34,36.81,50,8,-1.55,196,69,81,11,11,30,45
60,@@BLSnw,0.8127235737711832,55,60,33.06,54,11,-0.07,82,82,41,57,16,202,50
60,",A^W5uf",0.8006559134847753,57,59,33.19,40,10,-3.33,30,85,85,74,8,220,41
60,-489sU\,0.7982017689084803,49,67,30.89,41,12,-0.0,33,51,25,27,24,139,36
60,"CNUI*,q",0.795419379829486,48,47,31.97,57,7,1.92,90,119,71,52,6,35,47
60,"r;*4M,m",0.7902255497702134,63,33,32.53,50,8,0.21,212,69,3,19,14,35,45
60,0@Pe0-o,0.7838609336431563,50,71,32.88,40,10,-3.99,41,82,63,97,7,38,46
60,ZO(WiOd,0.7781709916818362,69,23,45.17,100,2,5.06,150,121,0,74,21,124,40
60,[Fup.5r,0.7757223317325077,68,32,29.46,33,6,-6.3,152,98,122,114,7,58,47
60,PP;l-)m,0.7687674262272387,64,31,31.12,66,3,-0.2,124,124,30,108,6,28,45
60,+6-H\Tb,0.7380881181869796,48,77,25.19,33,15,-3.19,28,56,8,51,18,136,39
60,Z=v5/ad,0.7298628750166113,59,37,40.53,57,7,0.07,150,74,123,21,7,169,40
60,"/N,g\qt",0.7270793028448478,59,44,36.9,60,5,4.12,38,119,6,100,18,210,48
60,K40Yr3`,0.7183442865862256,50,58,27.4,33,12,-2.57,111,51,13,78,24,53,38
60,Y?kCh<_,0.6961710416453816,68,35,33.92,40,5,-3.09,147,80,106,43,21,76,38
60,X.C)mLa,0.6852096130407567,46,52,34.42,44,9,3.18,145,36,43,2,22,116,39
60,+:EKG-o,1.0177351085360629,56,75,38.33,46,15,-1.52,28,67,46,55,13,38,46
60,I:2ch=a,0.9871105199581102,53,56,41.3,36,11,-4.6,106,67,16,93,21,78,39
60,BHX^_sl,0.9784010908844583,62,48,44.95,57,7,-1.86,87,103,76,85,19,215,44
60,I:j*TQd,0.9664178511455702,56,57,46.03,45,11,-1.96,106,67,104,3,16,129,40
60,A>IGYCf,0.95167457634637,65,60,38.91,60,10,1.55,85,77,52,49,17,93,41
60,3:Q-9/n,0.8996663119120314,52,71,44.68,57,14,0.41,49,67,65,8,9,43,45
60,J?>6J;^,0.8899397806141816,58,48,42.17,28,7,-2.89,108,80,35,22,14,73,37
60,^>7B(Je,0.8857906959601239,72,36,48.54,50,6,-0.08,160,77,24,41,5,111,41
60,",+MRXoe",0.883378035221972,56,57,41.0,33,6,-0.85,30,28,59,66,17,205,41
60,/6s)__r,0.8587307893536185,49,69,36.74,46,13,1.61,38,56,119,2,19,164,47
60,E:_(Nta,0.8509033531535254,55,56,44.88,54,11,1.25,95,67,87,0,15,217,39
60,"a=e>,>e",0.8491651254160851,66,33,40.28,57,7,1.42,168,74,97,35,6,81,41
60,m?ovSUm,0.8296997844386989,75,32,23.35,40,5,-3.99,199,80,112,123,16,139,45
60,bA9@uWg,0.8278635080630152,75,29,38.58,50,6,-0.08,171,85,27,38,24,144,42
60,l;[/?*n,0.8211157036856697,64,34,36.81,50,8,-1.55,196,69,81,11,11,30,45
60,@@BLSnw,0.8127235737711832,55,60,33.06,54,11,-0.07,82,82,41,57,16,202,50
60,",A^W5uf",0.8006559134847753,57,59,33.19,40,10,-3.33,30,85,85,74,8,220,41
60,-489sU\,0.7982017689084803,49,67,30.89,41,12,-0.0,33,51,25,27,24,139,36
60,"CNUI*,q",0.795419379829486,48,47,31.97,57,7,1.92,90,119,71,52,6,35,47
60,"r;*4M,m",0.7902255497702134,63,33,32.53,50,8,0.21,212,69,3,19,14,35,45
60,0@Pe0-o,0.7838609336431563,50,71,32.88,40,10,-3.99,41,82,63,97,7,38,46
60,ZO(WiOd,0.7781709916818362,69,23,45.17,100,2,5.06,150,121,0,74,21,124,40
60,[Fup.5r,0.7757223317325077,68,32,29.46,33,6,-6.3,152,98,122,114,7,58,47
60,PP;l-)m,0.7687674262272387,64,31,31.12,66,3,-0.2,124,124,30,108,6,28,45
60,+6-H\Tb,0.7380881181869796,48,77,25.19,33,15,-3.19,28,56,8,51,18,136,39
60,Z=v5/ad,0.7298628750166113,59,37,40.53,57,7,0.07,150,74,123,21,7,169,40
60,"/N,g\qt",0.7270793028448478,59,44,36.9,60,5,4.12,38,119,6,100,18,210,48
60,K40Yr3`,0.7183442865862256,50,58,27.4,33,12,-2.57,111,51,13,78,24,53,38
60,Y?kCh<_,0.6961710416453816,68,35,33.92,40,5,-3.09,147,80,106,43,21,76,38
60,X.C)mLa,0.6852096130407567,46,52,34.42,44,9,3.18,145,36,43,2,22,116,39
120,+:EKG-o,1.0177351085360629,56,75,38.33,46,15,-1.52,28,67,46,55,13,38,46
120,I:2ch=a,0.9871105199581102,53,56,41.3,36,11,-4.6,106,67,16,93,21,78,39
120,I:j*TQd,0.9664178511455702,56,57,46.03,45,11,-1.96,106,67,104,3,16,129,40
120,A>IGYCf,0.95167457634637,65,60,38.91,60,10,1.55,85,77,52,49,17,93,41
120,3:Q-9/n,0.8996663119120314,52,71,44.68,57,14,0.41,49,67,65,8,9,43,45
120,^>7B(Je,0.8857906959601239,72,36,48.54,50,6,-0.08,160,77,24,41,5,111,41
120,",+MRXoe",0.883378035221972,56,57,41.0,33,6,-0.85,30,28,59,66,17,205,41
120,/6s)__r,0.8587307893536185,49,69,36.74,46,13,1.61,38,56,119,2,19,164,47
120,E:_(Nta,0.8509033531535254,55,56,44.88,54,11,1.25,95,67,87,0,15,217,39
120,"a=e>,>e",0.8491651254160851,66,33,40.28,57,7,1.42,168,74,97,35,6,81,41
120,m?ovSUm,0.8296997844386989,75,32,23.35,40,5,-3.99,199,80,112,123,16,139,45
120,bA9@uWg,0.8278635080630152,75,29,38.58,50,6,-0.08,171,85,27,38,24,144,42
120,l;[/?*n,0.8211157036856697,64,34,36.81,50,8,-1.55,196,69,81,11,11,30,45
120,@@BLSnw,0.8127235737711832,55,60,33.06,54,11,-0.07,82,82,41,57,16,202,50
120,",A^W5uf",0.8006559134847753,57,59,33.19,40,10,-3.33,30,85,85,74,8,220,41
120,-489sU\,0.7982017689084803,49,67,30.89,41,12,-0.0,33,51,25,27,24,139,36
120,"CNUI*,q",0.795419379829486,48,47,31.97,57,7,1.92,90,119,71,52,6,35,47
120,0@Pe0-o,0.7838609336431563,50,71,32.88,40,10,-3.99,41,82,63,97,7,38,46
120,ZO(WiOd,0.7781709916818362,69,23,45.17,100,2,5.06,150,121,0,74,21,124,40
120,[Fup.5r,0.7757223317325077,68,32,29.46,33,6,-6.3,152,98,122,114,7,58,47
120,PP;l-)m,0.7687674262272387,64,31,31.12,66,3,-0.2,124,124,30,108,6,28,45
120,+6-H\Tb,0.7380881181869796,48,77,25.19,33,15,-3.19,28,56,8,51,18,136,39
120,Z=v5/ad,0.7298628750166113,59,37,40.53,57,7,0.07,150,74,123,21,7,169,40
120,"/N,g\qt",0.7270793028448478,59,44,36.9,60,5,4.12,38,119,6,100,18,210,48
120,K40Yr3`,0.7183442865862256,50,58,27.4,33,12,-2.57,111,51,13,78,24,53,38
120,Y?kCh<_,0.6961710416453816,68,35,33.92,40,5,-3.09,147,80,106,43,21,76,38
120,X.C)mLa,0.6852096130407567,46,52,34.42,44,9,3.18,145,36,43,2,22,116,39
120,bF[[u<r,0.684262827703017,72,29,29.27,33,6,-5.71,171,98,81,81,24,76,47
120,TO*r0<e,0.6809774780381143,64,28,32.5,100,2,4.56,134,121,3,117,7,76,41
120,XHm3WPs,0.6771783546509959,62,32,28.17,75,4,2.54,145,103,109,17,17,126,48
180,+:EKG-o,1.0177351085360629,56,75,38.33,46,15,-1.52,28,67,46,55,13,38,46
180,I:2ch=a,0.9871105199581102,53,56,41.3,36,11,-4.6,106,67,16,93,21,78,39
180,I:j*TQd,0.9664178511455702,56,57,46.03,45,11,-1.96,106,67,104,3,16,129,40
180,A>IGYCf,0.95167457634637,65,60,38.91,60,10,1.55,85,77,52,49,17,93,41
180,^>7B(Je,0.8857906959601239,72,36,48.54,50,6,-0.08,160,77,24,41,5,111,41
180,",+MRXoe",0.883378035221972,56,57,41.0,33,6,-0.85,30,28,59,66,17,205,41
180,/6s)__r,0.8587307893536185,49,69,36.74,46,13,1.61,38,56,119,2,19,164,47
180,E:_(Nta,0.8509033531535254,55,56,44.88,54,11,1.25,95,67,87,0,15,217,39
180,"a=e>,>e",0.8491651254160851,66,33,40.28,57,7,1.42,168,74,97,35,6,81,41
180,bA9@uWg,0.8278635080630152,75,29,38.58,50,6,-0.08,171,85,27,38,24,144,42
180,l;[/?*n,0.8211157036856697,64,34,36.81,50,8,-1.55,196,69,81,11,11,30,45
180,@@BLSnw,0.8127235737711832,55,60,33.06,54,11,-0.07,82,82,41,57,16,202,50
180,",A^W5uf",0.8006559134847753,57,59,33.19,40,10,-3.33,30,85,85,74,8,220,41
180,-489sU\,0.7982017689084803,49,67,30.89,41,12,-0.0,33,51,25,27,24,139,36
180,"CNUI*,q",0.795419379829486,48,47,31.97,57,7,1.92,90,119,71,52,6,35,47
180,0@Pe0-o,0.7838609336431563,50,71,32.88,40,10,-3.99,41,82,63,97,7,38,46
180,ZO(WiOd,0.7781709916818362,69,23,45.17,100,2,5.06,150,121,0,74,21,124,40
