iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_ubw,parameters.ott_dbw,parameters.long_tps_qty_index,parameters.short_tps_qty_index,parameters.chop_rsi_len,parameters.chop_bandwidth,parameters.max_risk
60,T:Ue*Xf,0.6574741588743328,60,105,83.62,53,13,9.22,134,67,71,97,6,147,41
60,F<kDliw,0.6011341459788934,59,142,65.99,47,23,0.16,98,72,106,44,22,190,50
60,Y<D;7Qr,0.5995354327080663,57,107,74.87,50,12,3.29,147,72,44,30,9,129,47
60,`:enfau,0.5761549150705003,62,101,59.43,50,14,3.32,165,67,97,111,21,169,49
60,^?mGjin,0.5621391716522396,67,83,58.04,45,11,0.03,160,80,109,49,22,190,45
60,"[49Y],Z",0.5549545350699752,52,102,53.25,33,15,-0.19,152,51,27,78,18,35,35
60,];@ELwq,0.5514657536094069,62,97,64.2,58,12,6.4,158,69,38,46,14,225,47
60,h(cEv0e,0.5420817615197614,46,110,52.19,27,18,-5.9,186,20,93,46,25,45,41
60,_5wGi=t,0.5410993419475014,58,124,56.06,46,15,0.19,163,54,125,49,21,78,48
60,m)BUd(d,0.5313373915678059,44,109,50.64,21,19,-3.63,199,23,41,71,20,25,40
60,[5)ZA<V,0.5257379741391479,52,87,48.73,35,14,-1.42,152,54,2,79,11,76,33
60,U:Ia@IX,0.5130062937530124,65,78,41.7,58,12,3.85,137,67,52,90,11,109,34
60,i<b^4gv,0.5126136783837376,62,94,47.04,41,12,-1.59,189,72,92,85,8,184,49
60,q<JmZ]k,0.5075344739974504,65,80,40.58,54,11,-0.75,209,72,54,109,18,159,44
60,V3JBDqF,0.48787684127545217,54,53,41.7,33,12,3.63,139,49,54,41,12,210,25
60,RN2)F-e,0.47315942400282934,61,59,60.38,83,6,17.32,129,119,16,2,13,38,41
60,d;?sahl,0.4629512488022515,61,84,32.78,53,13,5.76,176,69,36,119,19,187,44
60,";3w,AYb",0.4593466557629048,45,206,29.7,38,31,-2.98,69,49,125,6,11,149,39
60,e+FV4Xf,0.45021242341785545,44,105,36.76,26,19,-4.61,178,28,47,73,8,147,41
60,P5o79UX,0.4458986084187737,48,105,45.74,35,14,0.69,124,54,112,24,9,139,34
60,?0797hO,0.44433701448866103,44,130,47.57,34,26,-5.06,80,41,24,27,9,187,30
60,c@.T^rd,0.4411261588015825,59,57,39.63,50,10,1.98,173,82,9,70,19,212,40
60,*4Ie<^Y,0.4401455875309527,47,191,34.04,40,30,0.74,25,51,52,97,10,162,35
60,[<EcHN\,0.4345437582068163,50,77,42.49,50,12,2.93,152,72,46,93,13,121,36
60,:-eMWc`,0.4303709278815846,46,166,32.86,39,28,-4.45,67,33,97,59,17,174,38
60,a2ENg*M,0.4291284910185647,39,109,35.09,23,17,-1.96,168,46,46,60,21,30,29
60,_;HPlA],0.4254688268589554,51,76,45.33,50,12,2.9,163,69,51,63,22,88,37
60,H;T^\[h,0.42425199387469953,58,139,38.32,36,22,-3.15,103,69,70,85,18,154,42
60,D5IN-nm,0.41740156204498324,52,167,43.51,44,25,-3.95,93,54,52,60,6,202,45
60,V.oVZ4o,0.41499765735277955,47,137,39.68,38,21,2.34,139,36,112,73,18,55,46
60,T:Ue*Xf,0.6574741588743328,60,105,83.62,53,13,9.22,134,67,71,97,6,147,41
60,F<kDliw,0.6011341459788934,59,142,65.99,47,23,0.16,98,72,106,44,22,190,50
60,Y<D;7Qr,0.5995354327080663,57,107,74.87,50,12,3.29,147,72,44,30,9,129,47
60,`:enfau,0.5761549150705003,62,101,59.43,50,14,3.32,165,67,97,111,21,169,49
60,^?mGjin,0.5621391716522396,67,83,58.04,45,11,0.03,160,80,109,49,22,190,45
60,"[49Y],Z",0.5549545350699752,52,102,53.25,33,15,-0.19,152,51,27,78,18,35,35
60,];@ELwq,0.5514657536094069,62,97,64.2,58,12,6.4,158,69,38,46,14,225,47
60,h(cEv0e,0.5420817615197614,46,110,52.19,27,18,-5.9,186,20,93,46,25,45,41
60,_5wGi=t,0.5410993419475014,58,124,56.06,46,15,0.19,163,54,125,49,21,78,48
60,m)BUd(d,0.5313373915678059,44,109,50.64,21,19,-3.63,199,23,41,71,20,25,40
60,[5)ZA<V,0.5257379741391479,52,87,48.73,35,14,-1.42,152,54,2,79,11,76,33
60,U:Ia@IX,0.5130062937530124,65,78,41.7,58,12,3.85,137,67,52,90,11,109,34
60,i<b^4gv,0.5126136783837376,62,94,47.04,41,12,-1.59,189,72,92,85,8,184,49
60,q<JmZ]k,0.5075344739974504,65,80,40.58,54,11,-0.75,209,72,54,109,18,159,44
60,V3JBDqF,0.48787684127545217,54,53,41.7,33,12,3.63,139,49,54,41,12,210,25
60,RN2)F-e,0.47315942400282934,61,59,60.38,83,6,17.32,129,119,16,2,13,38,41
60,d;?sahl,0.4629512488022515,61,84,32.78,53,13,5.76,176,69,36,119,19,187,44
60,";3w,AYb",0.4593466557629048,45,206,29.7,38,31,-2.98,69,49,125,6,11,149,39
60,e+FV4Xf,0.45021242341785545,44,105,36.76,26,19,-4.61,178,28,47,73,8,147,41
60,P5o79UX,0.4458986084187737,48,105,45.74,35,14,0.69,124,54,112,24,9,139,34
60,?0797hO,0.44433701448866103,44,130,47.57,34,26,-5.06,80,41,24,27,9,187,30
60,c@.T^rd,0.4411261588015825,59,57,39.63,50,10,1.98,173,82,9,70,19,212,40
60,*4Ie<^Y,0.4401455875309527,47,191,34.04,40,30,0.74,25,51,52,97,10,162,35
60,[<EcHN\,0.4345437582068163,50,77,42.49,50,12,2.93,152,72,46,93,13,121,36
60,:-eMWc`,0.4303709278815846,46,166,32.86,39,28,-4.45,67,33,97,59,17,174,38
60,a2ENg*M,0.4291284910185647,39,109,35.09,23,17,-1.96,168,46,46,60,21,30,29
60,_;HPlA],0.4254688268589554,51,76,45.33,50,12,2.9,163,69,51,63,22,88,37
60,H;T^\[h,0.42425199387469953,58,139,38.32,36,22,-3.15,103,69,70,85,18,154,42
60,D5IN-nm,0.41740156204498324,52,167,43.51,44,25,-3.95,93,54,52,60,6,202,45
60,V.oVZ4o,0.41499765735277955,47,137,39.68,38,21,2.34,139,36,112,73,18,55,46
120,T:Ue*Xf,0.6574741588743328,60,105,83.62,53,13,9.22,134,67,71,97,6,147,41
120,F<kDliw,0.6011341459788934,59,142,65.99,47,23,0.16,98,72,106,44,22,190,50
120,Y<D;7Qr,0.5995354327080663,57,107,74.87,50,12,3.29,147,72,44,30,9,129,47
120,`:enfau,0.5761549150705003,62,101,59.43,50,14,3.32,165,67,97,111,21,169,49
120,^?mGjin,0.5621391716522396,67,83,58.04,45,11,0.03,160,80,109,49,22,190,45
120,];@ELwq,0.5514657536094069,62,97,64.2,58,12,6.4,158,69,38,46,14,225,47
120,h(cEv0e,0.5420817615197614,46,110,52.19,27,18,-5.9,186,20,93,46,25,45,41
120,_5wGi=t,0.5410993419475014,58,124,56.06,46,15,0.19,163,54,125,49,21,78,48
120,m)BUd(d,0.5313373915678059,44,109,50.64,21,19,-3.63,199,23,41,71,20,25,40
120,[5)ZA<V,0.5257379741391479,52,87,48.73,35,14,-1.42,152,54,2,79,11,76,33
120,U:Ia@IX,0.5130062937530124,65,78,41.7,58,12,3.85,137,67,52,90,11,109,34
120,i<b^4gv,0.5126136783837376,62,94,47.04,41,12,-1.59,189,72,92,85,8,184,49
120,q<JmZ]k,0.5075344739974504,65,80,40.58,54,11,-0.75,209,72,54,109,18,159,44
120,V3JBDqF,0.48787684127545217,54,53,41.7,33,12,3.63,139,49,54,41,12,210,25
120,RN2)F-e,0.47315942400282934,61,59,60.38,83,6,17.32,129,119,16,2,13,38,41
120,d;?sahl,0.4629512488022515,61,84,32.78,53,13,5.76,176,69,36,119,19,187,44
120,";3w,AYb",0.4593466557629048,45,206,29.7,38,31,-2.98,69,49,125,6,11,149,39
120,e+FV4Xf,0.45021242341785545,44,105,36.76,26,19,-4.61,178,28,47,73,8,147,41
120,P5o79UX,0.4458986084187737,48,105,45.74,35,14,0.69,124,54,112,24,9,139,34
120,?0797hO,0.44433701448866103,44,130,47.57,34,26,-5.06,80,41,24,27,9,187,30
120,c@.T^rd,0.4411261588015825,59,57,39.63,50,10,1.98,173,82,9,70,19,212,40
120,*4Ie<^Y,0.4401455875309527,47,191,34.04,40,30,0.74,25,51,52,97,10,162,35
120,[<EcHN\,0.4345437582068163,50,77,42.49,50,12,2.93,152,72,46,93,13,121,36
120,:-eMWc`,0.4303709278815846,46,166,32.86,39,28,-4.45,67,33,97,59,17,174,38
120,a2ENg*M,0.4291284910185647,39,109,35.09,23,17,-1.96,168,46,46,60,21,30,29
120,_;HPlA],0.4254688268589554,51,76,45.33,50,12,2.9,163,69,51,63,22,88,37
120,H;T^\[h,0.42425199387469953,58,139,38.32,36,22,-3.15,103,69,70,85,18,154,42
120,D5IN-nm,0.41740156204498324,52,167,43.51,44,25,-3.95,93,54,52,60,6,202,45
120,V.oVZ4o,0.41499765735277955,47,137,39.68,38,21,2.34,139,36,112,73,18,55,46
120,Q(DIs1g,0.41449892024751284,47,137,36.41,33,21,-1.0,126,20,44,52,24,48,42
180,T:Ue*Xf,0.6574741588743328,60,105,83.62,53,13,9.22,134,67,71,97,6,147,41
180,F<kDliw,0.6011341459788934,59,142,65.99,47,23,0.16,98,72,106,44,22,190,50
180,Y<D;7Qr,0.5995354327080663,57,107,74.87,50,12,3.29,147,72,44,30,9,129,47
180,`:enfau,0.5761549150705003,62,101,59.43,50,14,3.32,165,67,97,111,21,169,49
180,^?mGjin,0.5621391716522396,67,83,58.04,45,11,0.03,160,80,109,49,22,190,45
180,];@ELwq,0.5514657536094069,62,97,64.2,58,12,6.4,158,69,38,46,14,225,47
180,h(cEv0e,0.5420817615197614,46,110,52.19,27,18,-5.9,186,20,93,46,25,45,41
180,_5wGi=t,0.5410993419475014,58,124,56.06,46,15,0.19,163,54,125,49,21,78,48
180,m)BUd(d,0.5313373915678059,44,109,50.64,21,19,-3.63,199,23,41,71,20,25,40
180,U:Ia@IX,0.5130062937530124,65,78,41.7,58,12,3.85,137,67,52,90,11,109,34
180,i<b^4gv,0.5126136783837376,62,94,47.04,41,12,-1.59,189,72,92,85,8,184,49
180,q<JmZ]k,0.5075344739974504,65,80,40.58,54,11,-0.75,209,72,54,109,18,159,44
180,V3JBDqF,0.48787684127545217,54,53,41.7,33,12,3.63,139,49,54,41,12,210,25
180,d;?sahl,0.4629512488022515,61,84,32.78,53,13,5.76,176,69,36,119,19,187,44
180,";3w,AYb",0.4593466557629048,45,206,29.7,38,31,-2.98,69,49,125,6,11,149,39
180,e+FV4Xf,0.45021242341785545,44,105,36.76,26,19,-4.61,178,28,47,73,8,147,41
180,P5o79UX,0.4458986084187737,48,105,45.74,35,14,0.69,124,54,112,24,9,139,34
180,c@.T^rd,0.4411261588015825,59,57,39.63,50,10,1.98,173,82,9,70,19,212,40
180,*4Ie<^Y,0.4401455875309527,47,191,34.04,40,30,0.74,25,51,52,97,10,162,35
180,[<EcHN\,0.4345437582068163,50,77,42.49,50,12,2.93,152,72,46,93,13,121,36
180,:-eMWc`,0.4303709278815846,46,166,32.86,39,28,-4.45,67,33,97,59,17,174,38
180,a2ENg*M,0.4291284910185647,39,109,35.09,23,17,-1.96,168,46,46,60,21,30,29
180,_;HPlA],0.4254688268589554,51,76,45.33,50,12,2.9,163,69,51,63,22,88,37
180,H;T^\[h,0.42425199387469953,58,139,38.32,36,22,-3.15,103,69,70,85,18,154,42
180,D5IN-nm,0.41740156204498324,52,167,43.51,44,25,-3.95,93,54,52,60,6,202,45
180,V.oVZ4o,0.41499765735277955,47,137,39.68,38,21,2.34,139,36,112,73,18,55,46
180,Q(DIs1g,0.41449892024751284,47,137,36.41,33,21,-1.0,126,20,44,52,24,48,42
180,85iv2da,0.41177308795930023,50,202,14.81,52,25,1.13,62,54,103,123,8,177,39
180,_NYtD?e,0.41103212060481376,64,39,28.35,100,4,9.78,163,119,78,120,12,83,41
180,:5M4u*A,0.41053734034539596,44,114,34.99,30,20,-10.19,67,54,59,19,24,30,23
240,T:Ue*Xf,0.6574741588743328,60,105,83.62,53,13,9.22,134,67,71,97,6,147,41
240,F<kDliw,0.6011341459788934,59,142,65.99,47,23,0.16,98,72,106,44,22,190,50
240,Y<D;7Qr,0.5995354327080663,57,107,74.87,50,12,3.29,147,72,44,30,9,129,47
240,^?mGjin,0.5621391716522396,67,83,58.04,45,11,0.03,160,80,109,49,22,190,45
240,];@ELwq,0.5514657536094069,62,97,64.2,58,12,6.4,158,69,38,46,14,225,47
240,+<9D`i_,0.5463099577416688,54,127,52.52,50,22,6.73,28,72,27,44,19,190,38
240,+<9D`i_,0.5463099577416688,54,127,52.52,50,22,6.73,28,72,27,44,19,190,38
240,h(cEv0e,0.5420817615197614,46,110,52.19,27,18,-5.9,186,20,93,46,25,45,41
240,_5wGi=t,0.5410993419475014,58,124,56.06,46,15,0.19,163,54,125,49,21,78,48
240,m)BUd(d,0.5313373915678059,44,109,50.64,21,19,-3.63,199,23,41,71,20,25,40
240,+<9Dfi_,0.5135691566043663,55,120,50.83,50,22,6.73,28,72,27,44,21,190,38
240,U:Ia@IX,0.5130062937530124,65,78,41.7,58,12,3.85,137,67,52,90,11,109,34
240,i<b^4gv,0.5126136783837376,62,94,47.04,41,12,-1.59,189,72,92,85,8,184,49
240,q<JmZ]k,0.5075344739974504,65,80,40.58,54,11,-0.75,209,72,54,109,18,159,44
240,V3JBDqF,0.48787684127545217,54,53,41.7,33,12,3.63,139,49,54,41,12,210,25
240,J<9D?i_,0.4824283281005736,56,125,50.04,35,20,-0.44,108,72,27,44,11,190,38
240,:<9D?i_,0.4657805264571692,52,170,46.1,52,23,7.04,67,72,27,44,11,190,38
240,+<9Dki_,0.46047587507800847,55,110,38.36,50,22,6.73,28,72,27,44,22,190,38
240,";3w,AYb",0.4593466557629048,45,206,29.7,38,31,-2.98,69,49,125,6,11,149,39
240,g<9D?i_,0.4511212385051249,60,74,41.48,45,11,0.14,183,72,27,44,11,190,38
240,e+FV4Xf,0.45021242341785545,44,105,36.76,26,19,-4.61,178,28,47,73,8,147,41
240,P5o79UX,0.4458986084187737,48,105,45.74,35,14,0.69,124,54,112,24,9,139,34
240,*4Ie<^Y,0.4401455875309527,47,191,34.04,40,30,0.74,25,51,52,97,10,162,35
240,[<EcHN\,0.4345437582068163,50,77,42.49,50,12,2.93,152,72,46,93,13,121,36
240,_;HPlA],0.4254688268589554,51,76,45.33,50,12,2.9,163,69,51,63,22,88,37
240,H;T^\[h,0.42425199387469953,58,139,38.32,36,22,-3.15,103,69,70,85,18,154,42
240,B<9D?i_,0.41930604366596086,54,142,39.71,45,24,-0.03,87,72,27,44,11,190,38
240,D5IN-nm,0.41740156204498324,52,167,43.51,44,25,-3.95,93,54,52,60,6,202,45
240,V.oVZ4o,0.41499765735277955,47,137,39.68,38,21,2.34,139,36,112,73,18,55,46
240,Q(DIs1g,0.41449892024751284,47,137,36.41,33,21,-1.0,126,20,44,52,24,48,42
300,T:Ue*Xf,0.6574741588743328,60,105,83.62,53,13,9.22,134,67,71,97,6,147,41
300,F<kDliw,0.6011341459788934,59,142,65.99,47,23,0.16,98,72,106,44,22,190,50
300,Y<D;7Qr,0.5995354327080663,57,107,74.87,50,12,3.29,147,72,44,30,9,129,47
300,^?mGjin,0.5621391716522396,67,83,58.04,45,11,0.03,160,80,109,49,22,190,45
300,];@ELwq,0.5514657536094069,62,97,64.2,58,12,6.4,158,69,38,46,14,225,47
300,+<9D`i_,0.5463099577416688,54,127,52.52,50,22,6.73,28,72,27,44,19,190,38
300,+<9D`i_,0.5463099577416688,54,127,52.52,50,22,6.73,28,72,27,44,19,190,38
300,h(cEv0e,0.5420817615197614,46,110,52.19,27,18,-5.9,186,20,93,46,25,45,41
300,_5wGi=t,0.5410993419475014,58,124,56.06,46,15,0.19,163,54,125,49,21,78,48
300,m)BUd(d,0.5313373915678059,44,109,50.64,21,19,-3.63,199,23,41,71,20,25,40
300,Q<9D?ic,0.527572160413695,59,106,60.58,50,14,8.39,126,72,27,44,11,190,40
300,K<9D?ic,0.5214631771449698,59,124,58.28,36,19,1.96,111,72,27,44,11,190,40
300,+<9Dfi_,0.5135691566043663,55,120,50.83,50,22,6.73,28,72,27,44,21,190,38
300,U:Ia@IX,0.5130062937530124,65,78,41.7,58,12,3.85,137,67,52,90,11,109,34
300,i<b^4gv,0.5126136783837376,62,94,47.04,41,12,-1.59,189,72,92,85,8,184,49
300,+<9Deic,0.5077660725867569,56,124,51.4,50,22,6.75,28,72,27,44,20,190,40
300,q<JmZ]k,0.5075344739974504,65,80,40.58,54,11,-0.75,209,72,54,109,18,159,44
300,V3JBDqF,0.48787684127545217,54,53,41.7,33,12,3.63,139,49,54,41,12,210,25
300,J<9D?i_,0.4824283281005736,56,125,50.04,35,20,-0.44,108,72,27,44,11,190,38
300,:<9D?i_,0.4657805264571692,52,170,46.1,52,23,7.04,67,72,27,44,11,190,38
300,Y<9D?ic,0.460763752701276,57,90,46.22,50,12,4.54,147,72,27,44,11,190,40
300,+<9Dki_,0.46047587507800847,55,110,38.36,50,22,6.73,28,72,27,44,22,190,38
300,";3w,AYb",0.4593466557629048,45,206,29.7,38,31,-2.98,69,49,125,6,11,149,39
300,g<9D?i_,0.4511212385051249,60,74,41.48,45,11,0.14,183,72,27,44,11,190,38
300,e+FV4Xf,0.45021242341785545,44,105,36.76,26,19,-4.61,178,28,47,73,8,147,41
300,*4Ie<^Y,0.4401455875309527,47,191,34.04,40,30,0.74,25,51,52,97,10,162,35
300,[<EcHN\,0.4345437582068163,50,77,42.49,50,12,2.93,152,72,46,93,13,121,36
300,_;HPlA],0.4254688268589554,51,76,45.33,50,12,2.9,163,69,51,63,22,88,37
300,H;T^\[h,0.42425199387469953,58,139,38.32,36,22,-3.15,103,69,70,85,18,154,42
300,/<9D?ic,0.4201348348150949,50,170,36.02,50,22,9.51,38,72,27,44,11,190,40
360,T:Ue*Xf,0.6574741588743328,60,105,83.62,53,13,9.22,134,67,71,97,6,147,41
360,U<9D?ia,0.6115970433390284,62,91,72.08,53,13,9.11,137,72,27,44,11,190,39
360,Y<D;7Qr,0.5995354327080663,57,107,74.87,50,12,3.29,147,72,44,30,9,129,47
360,W<9D?ia,0.5933588736994064,62,89,71.59,53,13,9.11,142,72,27,44,11,190,39
360,^?mGjin,0.5621391716522396,67,83,58.04,45,11,0.03,160,80,109,49,22,190,45
360,];@ELwq,0.5514657536094069,62,97,64.2,58,12,6.4,158,69,38,46,14,225,47
360,+<9D`i_,0.5463099577416688,54,127,52.52,50,22,6.73,28,72,27,44,19,190,38
360,h(cEv0e,0.5420817615197614,46,110,52.19,27,18,-5.9,186,20,93,46,25,45,41
360,_5wGi=t,0.5410993419475014,58,124,56.06,46,15,0.19,163,54,125,49,21,78,48
