iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_bandwidth
300,_4<.,0.522570161538913,45,129,107.18,42,26,22.14,1945,1826,427,2639
300,YoX0,0.5162439472579993,46,121,113.07,45,24,19.78,1937,2199,604,2653
300,OPTU,0.5097101015178134,47,98,111.16,45,22,22.97,1924,2003,578,2896
300,>HjV,0.5066110262444542,48,96,120.35,39,23,18.91,1903,1953,718,2903
300,JpW=,0.5025989859781677,49,111,116.85,44,25,18.2,1918,2206,597,2738
300,K?S4,0.49423570242576603,47,121,108.84,46,26,24.96,1919,1896,572,2679
300,aC_F,0.4928411638631093,51,101,105.26,43,23,21.82,1947,1921,648,2797
300,"t,=[",0.473253125246831,52,86,103.59,43,23,14.15,1971,1775,433,2936
300,fYdW,0.46866450818172534,52,84,107.04,43,23,18.45,1953,2060,680,2909
300,EwKU,0.4678423683390602,47,100,105.73,39,23,21.88,1912,2250,522,2896
300,GJf@,0.45920728732233684,48,109,97.09,44,25,20.34,1914,1965,692,2758
300,OEu`,0.4565087361442961,50,85,101.42,45,22,18.45,1924,1934,787,2969
300,Wpd\,0.4487494686841498,50,86,104.11,45,22,18.66,1934,2206,680,2942
300,bL_?,0.444148485156725,49,108,95.11,41,24,19.31,1948,1978,648,2751
300,"Z,8W",0.4416428102902897,49,100,92.02,45,24,19.4,1938,1775,401,2909
300,<7`W,0.440078263978717,47,99,114.59,39,23,19.43,1900,1845,654,2909
300,X?O9,0.43859710503341587,45,115,90.96,33,24,14.57,1936,1896,547,2712
300,R/h>,0.43741299525069494,47,108,92.95,37,24,17.8,1928,1794,705,2745
300,Bf1c,0.4332964155074304,50,91,98.28,45,22,21.36,1908,2142,357,2988
300,jjmE,0.4260389183718424,52,95,96.08,43,23,16.91,1959,2168,737,2791
300,TYr:,0.4248502228850797,48,110,91.34,52,25,25.05,1931,2060,768,2718
300,FZh=,0.42170709549792534,48,111,103.45,42,26,20.52,1913,2066,705,2738
