['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-06-01', '2021-10-01', '75', '139.88', '-22.92', 1242, '45', '3.97', '54.18', '3', '7', 2035, -1779, '34', '41', '18.03']
['ETH-USDT', '5m', 'ETH-USDT', '2021-06-01', '2021-10-01', '88', '351.65', '-15.58', 8672, '49', '5.46', '556.76', '5', '4', 3799, -2582, '43', '45', '11.45']
['SOL-USDT', '5m', 'SOL-USDT', '2021-06-01', '2021-10-01', '110', '17.31', '-43.22', 61, '45', '1.05', '1.4', '4', '5', 1337, -1687, '50', '60', '334.37']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-06-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-06-01', '2021-10-01', '145', '-90.38', '-94.33', -100, '48', '-1.08', '-1.06', '4', '7', 1351, -10239, '69', '76', '278.81']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-06-01', '2021-10-01', '131', '105.88', '-51.97', 752, '48', '2.26', '14.48', '8', '6', 1734, -1759, '63', '68', '270.41']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-06-01', '2021-10-01', '149', '-72.92', '-78.6', -98, '40', '-1.87', '-1.25', '5', '7', 977, -1183, '60', '89', '497.74']
['FIL-USDT', '5m', 'FIL-USDT', '2021-06-01', '2021-10-01', '99', '23.51', '-42.63', 87, '38', '1.14', '2.04', '5', '5', 1053, -1106, '38', '61', '-16.85']
['ADA-USDT', '5m', 'ADA-USDT', '2021-06-01', '2021-10-01', '110', '12.93', '-49.01', 43, '41', '0.91', '0.89', '5', '6', 1156, -1174, '45', '65', '22.5']
['COTI-USDT', '5m', 'COTI-USDT', '2021-06-01', '2021-10-01', '136', '-81.3', '-89.01', -99, '41', '-2.02', '-1.12', '6', '8', 907, -1280, '56', '80', '166.57']
['XRP-USDT', '5m', 'XRP-USDT', '2021-06-01', '2021-10-01', '95', '-34.77', '-61.88', -72, '36', '-0.44', '-1.16', '5', '11', 1170, -1447, '34', '61', '-7.68']
['UNI-USDT', '5m', 'UNI-USDT', '2021-06-01', '2021-10-01', '123', '33.59', '-30.7', 136, '41', '1.33', '4.43', '4', '7', 1417, -2074, '51', '72', '-16.31']
['DOT-USDT', '5m', 'DOT-USDT', '2021-06-01', '2021-10-01', '108', '-14.97', '-48.23', -38, '44', '0.12', '-0.79', '3', '4', 952, -2020, '47', '61', '23.54']
['BNB-USDT', '5m', 'BNB-USDT', '2021-06-01', '2021-10-01', '101', '286.03', '-21.19', 5405, '47', '4.24', '255.1', '4', '5', 3106, -2059, '47', '54', '10.18']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-06-01', '2021-10-01', '125', '34.29', '-47.21', 140, '49', '1.35', '2.96', '4', '5', 1568, -2986, '61', '64', '160.28']
['CELR-USDT', '5m', 'CELR-USDT', '2021-06-01', '2021-10-01', '134', '-71.18', '-81.53', -98, '46', '-0.97', '-1.2', '4', '7', 1241, -3866, '61', '73', '201.24']
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-06-01', '2021-10-01', '126', '123.76', '-36.6', 991, '47', '2.44', '27.09', '7', '9', 2023, -3317, '59', '67', '69.61']
['LINK-USDT', '5m', 'LINK-USDT', '2021-06-01', '2021-10-01', '125', '33.37', '-44.28', 135, '42', '1.32', '3.05', '5', '7', 1839, -1888, '53', '72', '-24.63']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-06-01', '2021-10-01', '129', '-61.36', '-70.16', -94, '38', '-1.08', '-1.34', '6', '10', 889, -1224, '49', '80', '-17.99']
['LTC-USDT', '5m', 'LTC-USDT', '2021-06-01', '2021-10-01', '114', '-50.91', '-64.02', -88, '37', '-0.85', '-1.37', '3', '6', 1027, -5055, '42', '72', '-18.12']
['EOS-USDT', '5m', 'EOS-USDT', '2021-06-01', '2021-10-01', '117', '126.37', '-40.99', 1030, '44', '2.7', '25.12', '5', '9', 1842, -2199, '52', '65', '-40.14']
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-06-01', '2021-10-01', '128', '95.31', '-54.1', 629, '44', '2.22', '11.63', '6', '14', 1671, -1894, '56', '72', '75.24']
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-06-01', '2021-10-01', '97', '-62.02', '-64.78', -94, '38', '-1.67', '-1.46', '3', '6', 829, -1656, '37', '60', '-36.97']
['CRV-USDT', '5m', 'CRV-USDT', '2021-06-01', '2021-10-01', '135', '-45.59', '-78.2', -84, '40', '-0.57', '-1.07', '5', '7', 1139, -1458, '54', '81', '19.7']
['MATIC-USDT', '5m', 'MATIC-USDT', '2021-06-01', '2021-10-01', '121', '-49.02', '-68.49', -86, '41', '-0.67', '-1.26', '3', '6', 1007, -2182, '50', '71', '-39.38']
['AXS-USDT', '5m', 'AXS-USDT', '2021-06-01', '2021-10-01', '130', '-9.46', '-73.18', -26, '49', '0.65', '-0.35', '9', '9', 2205, -4184, '64', '66', '1423.59']
['SRM-USDT', '5m', 'SRM-USDT', '2021-06-01', '2021-10-01', '132', '-66.89', '-82.17', -96, '40', '-1.37', '-1.17', '4', '6', 1246, -1361, '53', '79', '57.8']
['REN-USDT', '5m', 'REN-USDT', '2021-06-01', '2021-10-01', '134', '-47.47', '-75.92', -85, '38', '-0.45', '-1.12', '6', '11', 860, -1079, '51', '83', '68.91']
['ONE-USDT', '5m', 'ONE-USDT', '2021-06-01', '2021-10-01', '130', '15.39', '-68.52', 53, '44', '1.01', '0.77', '6', '6', 1018, -1033, '57', '73', '50.01']
['ETC-USDT', '5m', 'ETC-USDT', '2021-06-01', '2021-10-01', '111', '-71.71', '-74.05', -98, '34', '-2.37', '-1.32', '3', '8', 820, -1186, '38', '73', '-32.43']
['BCH-USDT', '5m', 'BCH-USDT', '2021-06-01', '2021-10-01', '107', '185.67', '-27.6', 2153, '42', '3.51', '77.99', '5', '9', 2485, -3116, '45', '62', '-28.09']
['ICP-USDT', '5m', 'ICP-USDT', '2021-06-01', '2021-10-01', '135', '-67.53', '-88.57', -96, '42', '-1.34', '-1.09', '4', '9', 975, -1574, '57', '78', '-60.38']
['AAVE-USDT', '5m', 'AAVE-USDT', '2021-06-01', '2021-10-01', '119', '45.43', '-54.11', 204, '45', '1.52', '3.77', '7', '7', 1542, -1778, '53', '66', '-27.36']
['1INCH-USDT', '5m', '1INCH-USDT', '2021-06-01', '2021-10-01', '123', '153.72', '-26.81', 1485, '49', '2.69', '55.38', '4', '3', 2019, -1950, '60', '63', '-19.87']
['ALICE-USDT', '5m', 'ALICE-USDT', '2021-06-01', '2021-10-01', '138', '-35.57', '-66.18', -73, '46', '0.38', '-1.1', '5', '9', 919, -1781, '64', '74', '59.42']
['NEAR-USDT', '5m', 'NEAR-USDT', '2021-06-01', '2021-10-01', '141', '-23.13', '-49.25', -54, '45', '0.2', '-1.1', '5', '5', 839, -1443, '63', '78', '108.06']
['BZRX-USDT', '5m', 'BZRX-USDT', '2021-06-01', '2021-10-01', '146', '-79.64', '-89.76', -99, '41', '-1.9', '-1.1', '4', '9', 893, -2054, '60', '86', '-18.12']
['OMG-USDT', '5m', 'OMG-USDT', '2021-06-01', '2021-10-01', '105', '-33.77', '-55.85', -71, '42', '-0.19', '-1.26', '4', '6', 1021, -1795, '44', '61', '90.17']
['TRX-USDT', '5m', 'TRX-USDT', '2021-06-01', '2021-10-01', '89', '90.77', '-21.78', 580, '40', '2.8', '26.62', '3', '6', 1873, -1670, '36', '53', '17.1']
['BAKE-USDT', '5m', 'BAKE-USDT', '2021-06-01', '2021-10-01', '121', '-64.46', '-73.41', -95, '42', '-1.07', '-1.3', '3', '10', 789, -985, '51', '70', '-58.39']
['GALA-USDT', '5m', 'GALA-USDT', '2021-06-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '5m', 'THETA-USDT', '2021-06-01', '2021-10-01', '109', '-8.27', '-51.05', -23, '42', '0.45', '-0.44', '5', '6', 1384, -2168, '46', '63', '-28.28']
['EGLD-USDT', '5m', 'EGLD-USDT', '2021-06-01', '2021-10-01', '126', '-55.66', '-62.41', -91, '37', '-1.26', '-1.46', '2', '6', 939, -1376, '46', '80', '103.74']
['RUNE-USDT', '5m', 'RUNE-USDT', '2021-06-01', '2021-10-01', '135', '30.85', '-65.89', 122, '53', '1.34', '1.85', '4', '4', 973, -2440, '71', '64', '-44.34']
['IOTX-USDT', '5m', 'IOTX-USDT', '2021-06-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['C98-USDT', '5m', 'C98-USDT', '2021-06-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TLM-USDT', '5m', 'TLM-USDT', '2021-06-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['IOST-USDT', '5m', 'IOST-USDT', '2021-06-01', '2021-10-01', '108', '-78.66', '-80.92', -99, '36', '-3.04', '-1.22', '6', '5', 757, -1092, '39', '69', '68.68']
['KSM-USDT', '5m', 'KSM-USDT', '2021-06-01', '2021-10-01', '132', '-62.37', '-77.49', -94, '41', '-1.02', '-1.22', '5', '5', 1084, -1531, '54', '78', '-9.83']
