['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BEL-USDT', '5m', 'BEL-USDT', '2021-08-01', '2021-10-01', '63', '29.87', '-40.41', 366, '48', '1.74', '9.05', '5', '6', 1132, -1221, '30', '33', '-5.13']
['KEEP-USDT', '5m', 'KEEP-USDT', '2021-08-01', '2021-10-01', '70', '-53.95', '-61.53', -99, '40', '-2.06', '-1.61', '4', '7', 868, -1099, '28', '42', '21.68']
['ONT-USDT', '5m', 'ONT-USDT', '2021-08-01', '2021-10-01', '54', '132.0', '-16.92', 14080, '50', '5.17', '832.11', '5', '5', 1876, -1610, '27', '27', '-9.07']
['AUDIO-USDT', '5m', 'AUDIO-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTT-USDT', '5m', 'BTT-USDT', '2021-08-01', '2021-10-01', '50', '-25.39', '-50.95', -82, '34', '-1.1', '-1.61', '3', '10', 686, -596, '17', '33', '11.66']
['BAND-USDT', '5m', 'BAND-USDT', '2021-08-01', '2021-10-01', '70', '-16.65', '-40.11', -66, '40', '-0.36', '-1.64', '3', '7', 916, -920, '28', '42', '10.0']
['BLZ-USDT', '5m', 'BLZ-USDT', '2021-08-01', '2021-10-01', '70', '-4.81', '-35.24', -25, '44', '0.54', '-0.71', '4', '6', 1112, -1310, '31', '39', '23.81']
['STMX-USDT', '5m', 'STMX-USDT', '2021-08-01', '2021-10-01', '51', '55.27', '-38.04', 1233, '47', '2.99', '32.42', '4', '9', 1257, -1432, '24', '27', '5.87']
['LIT-USDT', '5m', 'LIT-USDT', '2021-08-01', '2021-10-01', '73', '-34.26', '-65.38', -92, '37', '-0.73', '-1.4', '4', '8', 740, -642, '27', '46', '-9.91']
['SKL-USDT', '5m', 'SKL-USDT', '2021-08-01', '2021-10-01', '70', '277.2', '-21.09', 247839, '57', '6.64', '11753.36', '6', '4', 3002, -3460, '40', '30', '15.72']
['REEF-USDT', '5m', 'REEF-USDT', '2021-08-01', '2021-10-01', '56', '-24.47', '-59.6', -81, '39', '-0.36', '-1.36', '3', '5', 690, -917, '22', '34', '23.24']
['HNT-USDT', '5m', 'HNT-USDT', '2021-08-01', '2021-10-01', '63', '-7.52', '-35.15', -37, '41', '0.29', '-1.05', '5', '7', 1122, -1267, '26', '37', '25.59']
['TRB-USDT', '5m', 'TRB-USDT', '2021-08-01', '2021-10-01', '78', '-74.37', '-82.06', -100, '36', '-4.41', '-1.22', '3', '7', 803, -956, '28', '50', '5.81']
