'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'MTL-USDT','5m','MTL-USDT','2021-10-01','2021-12-19','6','-3.97','-6.16',14,'33','0.19','0.88','2.2','2','4',243,-556,'2','4','-26.34'
'KAVA-USDT','5m','KAVA-USDT','2021-10-01','2021-12-19','8','-1.4','-6.29',14,'38','0.67','0.75','2.19','2','3',243,-396,'3','5','-29.95'
'REN-USDT','5m','REN-USDT','2021-10-01','2021-12-19','24','-4.4','-8.98',20,'50','0.13','0.86','2.18','2','2',398,-461,'12','12','-45.18'
'DYDX-USDT','5m','DYDX-USDT','2021-10-01','2021-12-19','12','-3.07','-5.44',11,'58','0.12','0.88','2.09','5','3',243,-366,'7','5','-65.77'
'CELR-USDT','5m','CELR-USDT','2021-10-01','2021-12-19','17','-4.49','-12.04',22,'47','0.13','1.07','1.85','4','5',266,-469,'8','9','-49.57'
'OCEAN-USDT','5m','OCEAN-USDT','2021-10-01','2021-12-19','18','-5.35','-7.8',14,'50','0.25','0.62','1.78','3','4',372,-546,'9','9','23.13'
'ATA-USDT','5m','ATA-USDT','2021-10-01','2021-12-19','17','-6.64','-8.79',15,'41','0.11','0.69','1.68','4','7',359,-562,'7','10','-26.13'
'XEM-USDT','5m','XEM-USDT','2021-10-01','2021-12-19','6','-1.19','-4.47',6,'50','0.17','0.54','1.45','2','1',238,-447,'3','3','-11.25'
'1INCH-USDT','5m','1INCH-USDT','2021-10-01','2021-12-19','17','-6.73','-11.04',14,'47','0.06','0.65','1.23','6','4',352,-518,'8','9','-2.92'
'AKRO-USDT','5m','AKRO-USDT','2021-10-01','2021-12-19','17','-5.25','-8.02',10,'41','0.09','0.56','1.23','2','4',375,-377,'7','10','-11.28'
'BLZ-USDT','5m','BLZ-USDT','2021-10-01','2021-12-19','27','-6.21','-11.13',10,'48','0.11','0.44','0.87','6','4',398,-658,'13','14','12.04'
'TRB-USDT','5m','TRB-USDT','2021-10-01','2021-12-19','21','-4.95','-17.57',15,'48','0.04','0.61','0.83','4','4',371,-467,'10','11','-22.76'
'LINK-USDT','5m','LINK-USDT','2021-10-01','2021-12-19','15','-2.05','-10.45',8,'40','0.03','0.48','0.72','2','5',371,-361,'6','9','-18.53'
'KEEP-USDT','5m','KEEP-USDT','2021-10-01','2021-12-19','22','-18.89','-11.49',6,'32','0.03','0.37','0.55','2','6',483,-651,'7','15','66.59'
'IOTA-USDT','5m','IOTA-USDT','2021-10-01','2021-12-19','13','-5.02','-8.51',4,'38','0.03','0.33','0.5','3','3',367,-447,'5','8','-1.28'
'UNI-USDT','5m','UNI-USDT','2021-10-01','2021-12-19','12','-6.67','-8.42',4,'33','0.02','0.32','0.46','2','4',371,-405,'4','8','-33.74'
'HBAR-USDT','5m','HBAR-USDT','2021-10-01','2021-12-19','13','-2.21','-13.24',5,'54','0.02','0.3','0.36','4','3',334,-509,'7','6','-8.85'
'KSM-USDT','5m','KSM-USDT','2021-10-01','2021-12-19','16','-9.0','-9.97',3,'38','0.02','0.27','0.35','3','4',384,-428,'6','10','-15.58'
'LRC-USDT','5m','LRC-USDT','2021-10-01','2021-12-19','28','-14.64','-10.53',2,'43','0.02','0.23','0.22','5','5',390,-687,'12','16','466.71'
'LINA-USDT','5m','LINA-USDT','2021-10-01','2021-12-19','17','-6.66','-11.27',-1,'53','-0.01','0.09','-0.11','4','3',357,-571,'9','8','10.1'
'ADA-USDT','5m','ADA-USDT','2021-10-01','2021-12-19','18','-4.05','-6.93',-1,'50','-0.01','0.08','-0.12','3','3',371,-475,'9','9','-41.29'
'ATOM-USDT','5m','ATOM-USDT','2021-10-01','2021-12-19','19','-6.86','-11.51',-2,'37','-0.01','0.05','-0.15','3','5',342,-518,'7','12','-35.89'
'MATIC-USDT','5m','MATIC-USDT','2021-10-01','2021-12-19','16','-6.52','-10.65',-2,'44','-0.01','0.05','-0.15','2','3',350,-448,'7','9','98.15'
'DASH-USDT','5m','DASH-USDT','2021-10-01','2021-12-19','14','-3.04','-10.18',-2,'57','-0.02','0.01','-0.23','3','2',358,-545,'8','6','-21.99'
'DOGE-USDT','5m','DOGE-USDT','2021-10-01','2021-12-19','6','-0.84','-12.21',-3,'67','-0.01','0.06','-0.24','3','2',316,-664,'4','2','-15.7'
'ENJ-USDT','5m','ENJ-USDT','2021-10-01','2021-12-19','18','-3.84','-14.44',-6,'56','-0.02','-0.1','-0.44','7','4',371,-488,'10','8','83.62'
'LUNA-USDT','5m','LUNA-USDT','2021-10-01','2021-12-19','20','-13.52','-7.84',-4,'40','-0.04','0.0','-0.48','2','3',360,-518,'8','12','91.96'
'LIT-USDT','5m','LIT-USDT','2021-10-01','2021-12-19','18','-13.65','-15.2',-8,'33','-0.03','-0.2','-0.5','3','8',373,-430,'6','12','-9.86'
'1000XEC-USDT','5m','1000XEC-USDT','2021-10-01','2021-12-19','13','-3.95','-13.88',-7,'46','-0.02','-0.13','-0.51','4','6',344,-354,'6','7','-54.91'
'DGB-USDT','5m','DGB-USDT','2021-10-01','2021-12-19','13','-4.65','-17.07',-11,'46','-0.04','-0.31','-0.67','3','3',396,-631,'6','7','-20.74'
'AVAX-USDT','5m','AVAX-USDT','2021-10-01','2021-12-19','21','-7.25','-7.38',-5,'48','-0.07','-0.07','-0.69','2','3',368,-525,'10','11','74.13'
'TOMO-USDT','5m','TOMO-USDT','2021-10-01','2021-12-19','16','-10.14','-12.33',-8,'44','-0.05','-0.26','-0.69','4','4',371,-561,'7','9','-8.01'
'BAL-USDT','5m','BAL-USDT','2021-10-01','2021-12-19','17','-6.02','-13.48',-9,'47','-0.08','-0.18','-0.7','2','2',371,-428,'8','9','-8.78'
'OMG-USDT','5m','OMG-USDT','2021-10-01','2021-12-19','29','-11.8','-21.98',-16,'45','-0.02','-0.35','-0.75','4','10',371,-517,'13','16','-51.47'
'ICP-USDT','5m','ICP-USDT','2021-10-01','2021-12-19','14','-5.12','-8.96',-8,'50','-0.05','-0.28','-0.87','2','2',371,-513,'7','7','-47.54'
'UNFI-USDT','5m','UNFI-USDT','2021-10-01','2021-12-19','23','-9.48','-15.24',-15,'52','-0.07','-0.3','-0.98','4','4',384,-654,'12','11','7.82'
'QTUM-USDT','5m','QTUM-USDT','2021-10-01','2021-12-19','17','-7.62','-14.31',-15,'53','-0.05','-0.48','-1.02','4','3',365,-532,'9','8','-11.02'
'ALGO-USDT','5m','ALGO-USDT','2021-10-01','2021-12-19','18','-11.68','-18.77',-20,'44','-0.04','-0.65','-1.06','4','4',331,-583,'8','10','-15.08'
'MKR-USDT','5m','MKR-USDT','2021-10-01','2021-12-19','10','-5.71','-5.16',-6,'40','-0.04','-0.28','-1.12','1','2',356,-504,'4','6','7.97'
'XRP-USDT','5m','XRP-USDT','2021-10-01','2021-12-19','12','-6.28','-12.37',-15,'50','-0.04','-0.82','-1.23','2','2',369,-486,'6','6','-13.36'
'BZRX-USDT','5m','BZRX-USDT','2021-10-01','2021-12-19','19','-8.51','-10.38',-14,'47','-0.11','-0.41','-1.37','3','3',363,-592,'9','10','-14.76'
'CELO-USDT','5m','CELO-USDT','2021-10-01','2021-12-19','13','-6.06','-9.57',-14,'46','-0.09','-0.57','-1.45','2','3',290,-461,'6','7','-29.04'
'BTCDOM-USDT','5m','BTCDOM-USDT','2021-10-01','2021-12-19','2','-2.36','-2.48',-4,'0','-0.05','-0.68','-1.47','0','2',0,-131,'0','2','-2.08'
'RLC-USDT','5m','RLC-USDT','2021-10-01','2021-12-19','17','-10.68','-10.07',-17,'47','-0.14','-0.61','-1.7','2','2',370,-549,'8','9','-19.39'
'BAND-USDT','5m','BAND-USDT','2021-10-01','2021-12-19','14','-7.61','-9.97',-17,'50','-0.13','-0.67','-1.71','3','2',371,-467,'7','7','-27.85'
