['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USDT', '5m', '2020-12-26', '2021-01-16', '51', '-0.92', '-24.4', -14, '29', '0.42', '-0.58', '2', '11', 155, -33, '15', '36', '86.0']
['ETH-USDT', '5m', '2021-03-04', '2021-03-25', '47', '6.33', '-6.6', 177, '40', '3.28', '26.8', '2', '8', 45, -17, '19', '28', '1.15']
['ETH-USDT', '5m', '2020-12-19', '2021-01-09', '64', '-3.66', '-24.38', -46, '31', '-0.15', '-1.89', '2', '11', 160, -34, '20', '44', '85.78']
['ETH-USDT', '5m', '2021-06-15', '2021-07-06', '61', '-5.93', '-11.81', -64, '33', '-1.5', '-5.4', '3', '6', 52, -28, '20', '41', '-14.94']
['ETH-USDT', '5m', '2021-04-10', '2021-05-01', '55', '0.6', '-11.23', 10, '36', '0.47', '0.93', '4', '6', 80, -29, '20', '35', '34.09']
['ETH-USDT', '5m', '2021-03-10', '2021-03-31', '42', '11.56', '-3.6', 514, '38', '5.5', '142.67', '2', '8', 44, -17, '16', '26', '-1.89']
['ETH-USDT', '5m', '2021-05-06', '2021-05-27', '47', '28.61', '-7.91', 6403, '38', '5.61', '809.67', '3', '5', 118, -32, '18', '29', '-18.28']
['ETH-USDT', '5m', '2021-04-15', '2021-05-06', '55', '7.48', '-11.32', 231, '40', '2.2', '20.4', '3', '4', 82, -30, '22', '33', '44.25']
['ETH-USDT', '5m', '2021-01-19', '2021-02-09', '58', '-0.18', '-14.49', -3, '40', '0.24', '-0.21', '4', '8', 54, -29, '23', '35', '38.08']
['ETH-USDT', '5m', '2021-05-14', '2021-06-04', '45', '23.14', '-8.07', 3059, '44', '4.66', '379.19', '4', '4', 112, -37, '20', '25', '-22.92']
['ETH-USDT', '5m', '2021-05-01', '2021-05-22', '55', '11.88', '-8.17', 544, '38', '3.13', '66.55', '3', '7', 80, -33, '21', '34', '-12.23']
['ETH-USDT', '5m', '2021-03-14', '2021-04-04', '48', '11.31', '-5.15', 492, '44', '4.54', '95.49', '3', '5', 45, -33, '21', '27', '4.71']
['ETH-USDT', '5m', '2021-02-14', '2021-03-07', '48', '18.4', '-6.33', 1547, '40', '5.76', '244.41', '3', '5', 77, -20, '19', '29', '-9.2']
['ETH-USDT', '5m', '2021-06-30', '2021-07-21', '63', '-11.15', '-14.98', -86, '25', '-3.78', '-5.74', '2', '11', 54, -29, '16', '47', '-17.59']
['ETH-USDT', '5m', '2021-02-09', '2021-03-02', '46', '5.22', '-8.76', 133, '33', '1.87', '15.14', '3', '6', 71, -26, '15', '31', '-10.87']
['ETH-USDT', '5m', '2021-02-02', '2021-02-23', '51', '-7.74', '-9.25', -74, '33', '-3.49', '-7.97', '3', '8', 41, -25, '17', '34', '29.0']
['ETH-USDT', '5m', '2021-04-04', '2021-04-25', '59', '-2.59', '-10.02', -35, '36', '-0.39', '-3.52', '4', '13', 74, -27, '21', '38', '10.52']
