'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'GRT-USD','15m','GRT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'FLOW-USD','15m','FLOW-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'COMP-USD','15m','COMP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SNX-USD','15m','SNX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALT-USD','15m','ALT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHZ-USD','15m','CHZ-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ICP-USD','15m','ICP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KSM-USD','15m','KSM-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'STEP-USD','15m','STEP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SXP-USD','15m','SXP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ENJ-USD','15m','ENJ-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AGLD-USD','15m','AGLD-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AUDIO-USD','15m','AUDIO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ZEC-USD','15m','ZEC-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALPHA-USD','15m','ALPHA-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C98-USD','15m','C98-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'YFI-USD','15m','YFI-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BSV-USD','15m','BSV-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CAKE-USD','15m','CAKE-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CVC-USD','15m','CVC-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATLAS-USD','15m','ATLAS-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CLV-USD','15m','CLV-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MID-USD','15m','MID-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'REN-USD','15m','REN-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HT-USD','15m','HT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DASH-USD','15m','DASH-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ONE-USD','15m','ONE-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MKR-USD','15m','MKR-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TRU-USD','15m','TRU-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CRO-USD','15m','CRO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'EXCH-USD','15m','EXCH-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'PERP-USD','15m','PERP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'XMR-USD','15m','XMR-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'PRIV-USD','15m','PRIV-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'WAVES-USD','15m','WAVES-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SHIT-USD','15m','SHIT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RSR-USD','15m','RSR-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ZIL-USD','15m','ZIL-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALICE-USD','15m','ALICE-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SC-USD','15m','SC-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CREAM-USD','15m','CREAM-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'POLIS-USD','15m','POLIS-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HOT-USD','15m','HOT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KIN-USD','15m','KIN-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BADGER-USD','15m','BADGER-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SHIB-USD','15m','SHIB-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'YFII-USD','15m','YFII-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RAMP-USD','15m','RAMP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MNGO-USD','15m','MNGO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KNC-USD','15m','KNC-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'STMX-USD','15m','STMX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ONT-USD','15m','ONT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ICX-USD','15m','ICX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'STX-USD','15m','STX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TOMO-USD','15m','TOMO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAT-USD','15m','BAT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAND-USD','15m','BAND-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SKL-USD','15m','SKL-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'REEF-USD','15m','REEF-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HNT-USD','15m','HNT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ZRX-USD','15m','ZRX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DRGN-USD','15m','DRGN-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAL-USD','15m','BAL-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TULIP-USD','15m','TULIP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MANA-USD','15m','MANA-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DENT-USD','15m','DENT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'XEM-USD','15m','XEM-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LINA-USD','15m','LINA-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'OKB-USD','15m','OKB-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'EDEN-USD','15m','EDEN-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHR-USD','15m','CHR-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MTL-USD','15m','MTL-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CEL-USD','15m','CEL-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DODO-USD','15m','DODO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'PROM-USD','15m','PROM-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'STORJ-USD','15m','STORJ-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MTA-USD','15m','MTA-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ROOK-USD','15m','ROOK-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'UNISWAP-USD','15m','UNISWAP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'XAUT-USD','15m','XAUT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LRC-USD','15m','LRC-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MAPS-USD','15m','MAPS-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TLM-USD','15m','TLM-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'PUNDIX-USD','15m','PUNDIX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'PAXG-USD','15m','PAXG-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'OXY-USD','15m','OXY-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'FLM-USD','15m','FLM-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'FIDA-USD','15m','FIDA-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DAWN-USD','15m','DAWN-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALCX-USD','15m','ALCX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CONV-USD','15m','CONV-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SECO-USD','15m','SECO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAO-USD','15m','BAO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MEDIA-USD','15m','MEDIA-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HOLY-USD','15m','HOLY-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BNT-USD','15m','BNT-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HUM-USD','15m','HUM-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MER-USD','15m','MER-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SRN-USD','15m','SRN-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LEO-USD','15m','LEO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ORBS-USD','15m','ORBS-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AMPL-USD','15m','AMPL-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TRYB-USD','15m','TRYB-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MVDA25-USD','15m','MVDA25-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BRZ-USD','15m','BRZ-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ASD-USD','15m','ASD-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MVDA10-USD','15m','MVDA10-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BNB-USD','15m','BNB-USD','2021-06-01','2021-09-25','59','-0.65','-10.43',-2,'29','0.04','-0.19','2','6',836,-161,'17','42','1.04'
'ALGO-USD','15m','ALGO-USD','2021-06-01','2021-09-25','42','-1.91','-17.32',-6,'33','-0.08','-0.34','4','5',733,-151,'14','28','92.32'
'KAVA-USD','15m','KAVA-USD','2021-06-01','2021-09-25','64','-3.09','-23.83',-9,'25','-0.11','-0.39','2','11',1133,-188,'16','48','77.83'
'SRM-USD','15m','SRM-USD','2021-06-01','2021-09-25','44','-9.45','-24.76',-27,'23','-1.0','-1.08','4','14',1089,-176,'10','34','65.42'
'NEAR-USD','15m','NEAR-USD','2021-06-01','2021-09-25','55','-7.04','-16.72',-20,'33','-0.61','-1.22','3','7',1001,-164,'18','37','139.22'
'LUNA-USD','15m','LUNA-USD','2021-06-01','2021-09-25','48','-14.66','-19.51',-39,'25','-1.59','-2.0','3','15',1152,-157,'12','36','519.87'
