'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','15m','(<Xt;@vYv','2021-09-01','2021-09-25','8','4.69','-3.76',95,'38','2.46','25.36','2','5',570,-56,'3','5','-14.36'
'ETH-USD','15m','<qGsF=@p','2021-09-01','2021-09-25','8','4.41','-3.88',88,'50','2.08','22.61','2','3',620,-146,'4','4','-14.36'
'ETH-USD','15m','pqGIRCi@v','2021-09-01','2021-09-25','6','5.31','-5.02',113,'67','2.35','22.46','2','1',543,-123,'4','2','-14.36'
'ETH-USD','15m','pqGI(Ca@v','2021-09-01','2021-09-25','7','5.18','-5.23',109,'57','2.17','20.84','2','2',546,-124,'4','3','-14.36'
'ETH-USD','15m','(wXq;)\\v','2021-09-01','2021-09-25','9','3.96','-3.75',76,'33','2.11','20.34','2','6',566,-57,'3','6','-14.36'
'ETH-USD','15m','pqGI>V3@v','2021-09-01','2021-09-25','8','5.19','-5.74',109,'50','2.23','19.06','2','3',625,-124,'4','4','-14.36'
'ETH-USD','15m','pqGIUV9@v','2021-09-01','2021-09-25','2','0.95','-0.84',15,'50','1.88','17.66','1','1',103,-7,'1','1','-14.36'
'ETH-USD','15m','pbGIUV9@v','2021-09-01','2021-09-25','2','0.95','-0.84',15,'50','1.88','17.66','1','1',103,-7,'1','1','-14.36'
'ETH-USD','15m','PU4aB^6v','2021-09-01','2021-09-25','7','4.25','-4.98',84,'43','1.97','16.8','1','2',555,-125,'3','4','-14.36'
'ETH-USD','15m','PU4B^6v','2021-09-01','2021-09-25','7','4.25','-4.98',84,'43','1.97','16.8','1','2',555,-125,'3','4','-14.36'
'ETH-USD','15m','wq0s*VW@v','2021-09-01','2021-09-25','8','4.47','-5.35',89,'38','1.86','16.7','2','4',539,-123,'3','5','-14.36'
'ETH-USD','15m','wq<`*W@v','2021-09-01','2021-09-25','7','4.35','-5.31',86,'43','1.81','16.24','2','3',547,-122,'3','4','-14.36'
'ETH-USD','15m','0qPIWC?@v','2021-09-01','2021-09-25','7','3.66','-4.52',69,'43','1.94','15.27','2','3',610,-95,'3','4','-14.36'
'ETH-USD','15m','wq2s*VWJv','2021-09-01','2021-09-25','8','4.09','-5.7',80,'38','1.72','13.97','2','4',535,-159,'3','5','-14.36'
'ETH-USD','15m','wq0s*VWJv','2021-09-01','2021-09-25','8','4.09','-5.7',80,'38','1.72','13.97','2','4',535,-159,'3','5','-14.36'
'ETH-USD','15m','wq<s5W@v','2021-09-01','2021-09-25','7','3.83','-5.28',73,'57','1.72','13.85','2','2',535,-173,'4','3','-14.36'
'ETH-USD','15m','wq<s6W@v','2021-09-01','2021-09-25','7','3.83','-5.28',73,'57','1.72','13.85','2','2',535,-173,'4','3','-14.36'
'ETH-USD','15m','wq<s9W@v','2021-09-01','2021-09-25','7','3.83','-5.28',73,'57','1.72','13.85','2','2',535,-173,'4','3','-14.36'
'ETH-USD','15m','mqTW;Cv@r','2021-09-01','2021-09-25','8','3.67','-5.08',69,'50','1.72','13.61','1','1',552,-164,'4','4','-14.36'
'ETH-USD','15m','pqGMUCW@v','2021-09-01','2021-09-25','6','3.55','-5.23',66,'50','1.63','12.72','2','2',535,-123,'3','3','-14.36'
'ETH-USD','15m','VbT?<;v,v','2021-09-01','2021-09-25','9','3.36','-4.93',62,'44','1.57','12.59','1','2',551,-263,'4','5','-14.36'
'ETH-USD','15m','fUTD<<v*v','2021-09-01','2021-09-25','9','3.25','-5.38',60,'44','1.51','11.07','1','2',551,-335,'4','5','-14.36'
'ETH-USD','15m','YUT@;>t6v','2021-09-01','2021-09-25','8','3.36','-5.67',62,'50','1.53','10.93','1','1',546,-273,'4','4','-14.36'
'ETH-USD','15m','YDTB;3q2v','2021-09-01','2021-09-25','8','3.35','-5.69',62,'50','1.52','10.85','1','1',546,-274,'4','4','-14.36'
'ETH-USD','15m','VUTR;Cv6r','2021-09-01','2021-09-25','9','2.61','-5.04',46,'44','1.27','9.08','2','3',553,-259,'4','5','-14.36'
'ETH-USD','15m','wq<s8VWJv','2021-09-01','2021-09-25','6','3.02','-6.02',54,'50','1.39','9.04','2','2',531,-173,'3','3','-14.36'
'ETH-USD','15m','?UTD<<vvv','2021-09-01','2021-09-25','8','2.96','-5.9',53,'62','1.35','9.02','2','1',465,-163,'5','3','-14.36'
'ETH-USD','15m','VbT?<;vGv','2021-09-01','2021-09-25','7','3.02','-6.25',54,'57','1.37','8.72','2','1',526,-263,'4','3','-14.36'
'ETH-USD','15m','fDTB<3v2v','2021-09-01','2021-09-25','8','2.74','-6.27',48,'50','1.26','7.72','1','1',546,-335,'4','4','-14.36'
'ETH-USD','15m','f^TB<3v2v','2021-09-01','2021-09-25','8','2.74','-6.27',48,'50','1.26','7.72','1','1',546,-335,'4','4','-14.36'
'ETH-USD','15m','fUTD<<v>v','2021-09-01','2021-09-25','7','2.92','-6.88',52,'57','1.32','7.59','2','1',526,-335,'4','3','-14.36'
'ETH-USD','15m','fUTD<<v?v','2021-09-01','2021-09-25','7','2.92','-6.88',52,'57','1.32','7.59','2','1',526,-335,'4','3','-14.36'
'ETH-USD','15m','gUTR<4v6v','2021-09-01','2021-09-25','8','2.22','-5.13',38,'38','1.08','7.35','1','3',548,-158,'3','5','-14.36'
'ETH-USD','15m','AQTB<3v2v','2021-09-01','2021-09-25','10','2.22','-5.14',38,'50','1.1','7.34','1','2',546,-172,'5','5','-14.36'
'ETH-USD','15m','A`TB<3v2v','2021-09-01','2021-09-25','10','2.22','-5.14',38,'50','1.1','7.34','1','2',546,-172,'5','5','-14.36'
'ETH-USD','15m','wqYI*8u@v','2021-09-01','2021-09-25','6','2.4','-6.15',41,'33','1.13','6.74','1','3',526,-172,'2','4','-14.36'
'ETH-USD','15m','1q<s*VWJv','2021-09-01','2021-09-25','10','1.94','-5.42',32,'40','0.99','5.97','1','2',531,-100,'4','6','-14.36'
'ETH-USD','15m','wq<s*8W@v','2021-09-01','2021-09-25','8','2.27','-6.72',39,'50','1.09','5.77','2','2',528,-173,'4','4','-14.36'
'ETH-USD','15m','wq<s*)W@v','2021-09-01','2021-09-25','8','2.27','-6.72',39,'50','1.09','5.77','2','2',528,-173,'4','4','-14.36'
'ETH-USD','15m','wq<s**W@v','2021-09-01','2021-09-25','8','2.27','-6.72',39,'50','1.09','5.77','2','2',528,-173,'4','4','-14.36'
'ETH-USD','15m','wq<s*7W@v','2021-09-01','2021-09-25','8','2.27','-6.72',39,'50','1.09','5.77','2','2',528,-173,'4','4','-14.36'
