iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.ott_bw,parameters.tps_qty_index,parameters.max_risk
90,Rd_:/,0.835506828607772,61,31,33.37,40,35,2.26,29,302,144,28,24
90,EmE?(,0.6388181869899614,48,29,23.84,36,25,12.47,22,325,104,36,20
90,3cXY4,0.4858340531215061,58,80,17.6,44,81,-16.57,11,299,133,78,28
90,N]^t/,0.43258957114793506,66,27,11.07,41,43,-14.93,27,284,142,120,24
90,9r^<-,0.3985797251354252,58,39,17.06,30,30,-14.89,15,337,142,32,23
90,M<dY;,0.3491480422922539,90,11,12.4,72,11,6.68,26,201,151,78,32
90,Q8q_I,0.3296565214292423,75,8,4.11,75,4,-0.39,28,191,171,87,41
90,ZVU:a,0.32897317524681213,57,68,21.84,39,74,-22.87,33,266,128,28,56
90,eIIQI,0.32058145489220785,51,66,11.79,40,64,-4.28,40,234,110,65,41
90,aWX^>,0.31677178231826036,53,52,8.06,41,58,-22.12,37,269,133,85,34
90,\IE</,0.31058232723253837,51,39,11.66,29,31,-15.55,35,234,104,32,24
90,UbCgI,0.3093308469040956,56,69,6.03,42,70,-25.92,31,297,101,100,41
90,\w5_\,0.29640433283382683,46,66,-1.0,33,71,-36.92,35,350,80,87,53
90,wYHBO,0.2927693649281553,48,56,12.22,41,48,-13.82,50,274,109,41,45
90,^\FYR,0.28847742859607345,59,64,10.01,46,64,-14.39,36,282,106,78,47
90,hu[86,0.2851078381119948,48,31,14.1,42,28,4.25,41,345,137,25,29
90,fq`e1,0.2807927421316443,50,24,6.07,53,13,5.34,40,335,145,97,26
90,Ra]Ya,0.2729146001947387,58,68,7.31,49,71,-17.77,29,294,141,78,56
90,L1<;+,0.2727053179580451,46,77,9.07,39,74,0.17,26,173,90,30,22
90,RgF8P,0.27230485530404663,49,71,13.99,40,70,-15.7,29,309,106,25,45
90,"bQS@,",0.26858472329036653,45,42,9.09,39,41,-6.27,38,254,125,38,23
