'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'SNX-USDT','5m','SNX-USDT','2021-05-10','2021-10-26','91','-1.03','-8.22',-2,'38','-0.03','-0.11','-0.27','4','9',140,-201,'35','56','-44.6'
'CHZ-USDT','5m','CHZ-USDT','2021-05-10','2021-10-26','78','-1.1','-8.15',-2,'35','-0.02','-0.14','-0.29','3','11',140,-155,'27','51','-30.57'
'WAVES-USDT','5m','WAVES-USDT','2021-05-10','2021-10-26','66','-0.75','-4.87',-2,'32','-0.04','-0.11','-0.33','3','8',131,-132,'21','45','-9.69'
'TRB-USDT','5m','TRB-USDT','2021-05-10','2021-10-26','86','-1.92','-12.29',-4,'36','-0.01','-0.31','-0.33','3','12',140,-229,'31','55','-61.47'
'OCEAN-USDT','5m','OCEAN-USDT','2021-05-10','2021-10-26','91','-1.09','-6.15',-2,'36','-0.05','-0.16','-0.38','3','6',135,-122,'33','58','-40.37'
'AVAX-USDT','5m','AVAX-USDT','2021-05-10','2021-10-26','77','-1.17','-5.76',-2,'39','-0.05','-0.16','-0.43','2','7',134,-133,'30','47','79.16'
'REN-USDT','5m','REN-USDT','2021-05-10','2021-10-26','68','-1.31','-5.58',-3,'37','-0.07','-0.22','-0.5','3','5',132,-142,'25','43','14.32'
'MTL-USDT','5m','MTL-USDT','2021-05-10','2021-10-26','82','-2.06','-8.17',-4,'37','-0.04','-0.33','-0.54','5','8',138,-189,'30','52','-16.43'
'DOGE-USDT','5m','DOGE-USDT','2021-05-10','2021-10-26','57','-2.0','-6.96',-4,'33','-0.04','-0.39','-0.61','3','5',136,-180,'19','38','-52.95'
'BTS-USDT','5m','BTS-USDT','2021-05-10','2021-10-26','71','-3.77','-12.43',-8,'32','-0.02','-0.74','-0.64','5','9',135,-130,'23','48','-61.37'
'GRT-USDT','5m','GRT-USDT','2021-05-10','2021-10-26','92','-3.97','-12.56',-8,'35','-0.04','-0.68','-0.66','6','19',140,-210,'32','60','-32.45'
'CVC-USDT','5m','CVC-USDT','2021-05-10','2021-10-26','73','-2.38','-6.23',-5,'38','-0.05','-0.42','-0.81','3','5',133,-208,'28','45','-17.96'
'ALICE-USDT','5m','ALICE-USDT','2021-05-10','2021-10-26','83','-4.6','-11.19',-10,'37','-0.04','-0.7','-0.86','4','10',130,-145,'31','52','-11.15'
'MKR-USDT','5m','MKR-USDT','2021-05-10','2021-10-26','74','-2.17','-5.18',-5,'41','-0.08','-0.41','-0.89','4','5',130,-136,'30','44','-53.08'
'SRM-USDT','5m','SRM-USDT','2021-05-10','2021-10-26','84','-5.24','-12.09',-11,'35','-0.04','-0.92','-0.9','3','12',137,-163,'29','55','-24.85'
'XTZ-USDT','5m','XTZ-USDT','2021-05-10','2021-10-26','78','-4.55','-8.37',-10,'37','-0.09','-0.8','-1.14','3','7',135,-237,'29','49','-6.69'
'LUNA-USDT','5m','LUNA-USDT','2021-05-10','2021-10-26','97','-5.05','-9.14',-11,'36','-0.06','-0.81','-1.15','5','10',134,-148,'35','62','152.27'
'BZRX-USDT','5m','BZRX-USDT','2021-05-10','2021-10-26','74','-8.63','-14.43',-18,'32','-0.05','-1.68','-1.22','4','10',136,-213,'24','50','-60.92'
'ALPHA-USDT','5m','ALPHA-USDT','2021-05-10','2021-10-26','83','-7.39','-11.99',-15,'34','-0.08','-1.38','-1.27','3','6',135,-137,'28','55','-44.17'
'NEAR-USDT','5m','NEAR-USDT','2021-05-10','2021-10-26','79','-8.2','-12.71',-17,'32','-0.08','-1.45','-1.32','3','7',130,-569,'25','54','143.01'
'ZEN-USDT','5m','ZEN-USDT','2021-05-10','2021-10-26','86','-6.58','-10.32',-14,'34','-0.08','-1.33','-1.32','4','8',134,-229,'29','57','-38.31'
'TOMO-USDT','5m','TOMO-USDT','2021-05-10','2021-10-26','82','-7.78','-11.99',-16,'35','-0.08','-1.46','-1.33','3','7',135,-159,'29','53','-6.04'
'KSM-USDT','5m','KSM-USDT','2021-05-10','2021-10-26','88','-7.94','-12.02',-16,'34','-0.05','-1.39','-1.35','2','6',134,-151,'30','58','-10.84'
'ETC-USDT','5m','ETC-USDT','2021-05-10','2021-10-26','75','-4.89','-6.62',-10,'32','-0.13','-1.07','-1.54','3','7',131,-232,'24','51','-53.02'
'ATOM-USDT','5m','ATOM-USDT','2021-05-10','2021-10-26','87','-7.19','-9.3',-15,'36','-0.12','-1.39','-1.59','5','10',132,-152,'31','56','23.29'
'XMR-USDT','5m','XMR-USDT','2021-05-10','2021-10-26','51','-2.27','-3.03',-5,'35','-0.17','-0.62','-1.59','2','5',129,-117,'18','33','-40.64'
'RLC-USDT','5m','RLC-USDT','2021-05-10','2021-10-26','83','-13.83','-15.29',-27,'30','-0.05','-2.92','-1.79','2','8',131,-214,'25','58','-56.73'
'SUSHI-USDT','5m','SUSHI-USDT','2021-05-10','2021-10-26','79','-9.14','-9.78',-19,'29','-0.07','-2.26','-1.9','2','7',129,-116,'23','56','-30.56'
'BTT-USDT','5m','BTT-USDT','2021-05-10','2021-10-26','57','-7.39','-7.73',-15,'33','-0.08','-1.83','-1.97','6','6',129,-155,'19','38','-49.77'
