['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['SRM-USDT', '5m', 'SRM-USDT', '2020-10-01', '2021-10-01', '157', '-88.04', '-86.93', -78, '55', '-0.07', '-0.74', '-0.9', '10', '8', 1930, -3866, '87', '70', '297.33']
['REN-USDT', '5m', 'REN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ONE-USDT', '5m', 'ONE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ETC-USDT', '5m', 'ETC-USDT', '2020-10-01', '2021-10-01', '114', '-93.78', '-85.44', -85, '46', '-0.06', '-1.66', '-0.99', '5', '6', 1295, -1104, '52', '62', '773.32']
['BCH-USDT', '5m', 'BCH-USDT', '2020-10-01', '2021-10-01', '99', '82.94', '-50.46', 103, '58', '0.41', '1.33', '2.05', '9', '5', 2485, -4025, '57', '42', '120.12']
['ICP-USDT', '5m', 'ICP-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AAVE-USDT', '5m', 'AAVE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1INCH-USDT', '5m', '1INCH-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALICE-USDT', '5m', 'ALICE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEAR-USDT', '5m', 'NEAR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BZRX-USDT', '5m', 'BZRX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OMG-USDT', '5m', 'OMG-USDT', '2020-10-01', '2021-10-01', '93', '-48.63', '-72.46', -33, '53', '-0.03', '-0.09', '-0.46', '5', '5', 1821, -1363, '49', '44', '209.21']
['TRX-USDT', '5m', 'TRX-USDT', '2020-10-01', '2021-10-01', '118', '44.39', '-39.35', 51, '53', '0.34', '0.9', '1.29', '8', '7', 2228, -1659, '62', '56', '241.17']
['BAKE-USDT', '5m', 'BAKE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GALA-USDT', '5m', 'GALA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '5m', 'THETA-USDT', '2020-10-01', '2021-10-01', '107', '25.85', '-61.01', 28, '54', '0.09', '0.74', '0.46', '6', '6', 2785, -3834, '58', '49', '578.4']
['EGLD-USDT', '5m', 'EGLD-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RUNE-USDT', '5m', 'RUNE-USDT', '2020-10-01', '2021-10-01', '130', '-81.98', '-85.57', -59, '55', '-0.04', '-0.34', '-0.69', '7', '5', 2590, -3456, '71', '59', '1330.21']
['IOTX-USDT', '5m', 'IOTX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['C98-USDT', '5m', 'C98-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TLM-USDT', '5m', 'TLM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['IOST-USDT', '5m', 'IOST-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KSM-USDT', '5m', 'KSM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SXP-USDT', '5m', 'SXP-USDT', '2020-10-01', '2021-10-01', '100', '-109.55', '-85.74', -81, '39', '-0.06', '-1.04', '-0.94', '4', '6', 1643, -1388, '39', '61', '26.01']
['VET-USDT', '5m', 'VET-USDT', '2020-10-01', '2021-10-01', '105', '277.7', '-44.99', 296, '61', '2.37', '1.91', '6.59', '7', '3', 6164, -5395, '64', '41', '608.11']
['XLM-USDT', '5m', 'XLM-USDT', '2020-10-01', '2021-10-01', '109', '-8.94', '-60.21', -1, '60', '-0.0', '0.42', '-0.02', '9', '5', 1320, -1500, '65', '44', '271.92']
['RAY-USDT', '5m', 'RAY-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GRT-USDT', '5m', 'GRT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KAVA-USDT', '5m', 'KAVA-USDT', '2020-10-01', '2021-10-01', '112', '-65.2', '-61.52', -51, '51', '-0.17', '0.01', '-0.82', '4', '7', 1725, -2399, '57', '55', '134.58']
['MASK-USDT', '5m', 'MASK-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DODO-USDT', '5m', 'DODO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RLC-USDT', '5m', 'RLC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1000SHIB-USDT', '5m', '1000SHIB-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['COMP-USDT', '5m', 'COMP-USDT', '2020-10-01', '2021-10-01', '119', '37.72', '-65.49', 47, '51', '0.12', '0.87', '0.72', '7', '6', 1828, -2211, '61', '58', '137.82']
['WAVES-USDT', '5m', 'WAVES-USDT', '2020-10-01', '2021-10-01', '124', '26.72', '-46.82', 43, '54', '0.24', '0.87', '0.92', '7', '6', 3411, -4041, '67', '57', '839.22']
['CHR-USDT', '5m', 'CHR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XMR-USDT', '5m', 'XMR-USDT', '2020-10-01', '2021-10-01', '109', '38.22', '-37.6', 45, '61', '0.36', '0.86', '1.2', '6', '3', 2004, -1692, '66', '43', '131.91']
['ICX-USDT', '5m', 'ICX-USDT', '2020-10-01', '2021-10-01', '120', '-88.19', '-85.8', -84, '49', '-0.07', '-1.13', '-0.98', '5', '6', 1282, -1277, '59', '61', '263.18']
['HBAR-USDT', '5m', 'HBAR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SAND-USDT', '5m', 'SAND-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DENT-USDT', '5m', 'DENT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEO-USDT', '5m', 'NEO-USDT', '2020-10-01', '2021-10-01', '102', '-81.08', '-83.74', -74, '46', '-0.06', '-1.06', '-0.89', '10', '9', 1644, -2608, '47', '55', '105.0']
['SNX-USDT', '5m', 'SNX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1000XEC-USDT', '5m', '1000XEC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZEC-USDT', '5m', 'ZEC-USDT', '2020-10-01', '2021-10-01', '97', '-56.91', '-67.77', -53, '52', '-0.07', '-0.49', '-0.79', '4', '5', 1626, -1432, '50', '47', '67.14']
['CHZ-USDT', '5m', 'CHZ-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['YFI-USDT', '5m', 'YFI-USDT', '2020-10-01', '2021-10-01', '104', '-88.13', '-82.27', -76, '52', '-0.06', '-0.97', '-0.93', '7', '5', 1859, -4447, '54', '50', '22.25']
['IOTA-USDT', '5m', 'IOTA-USDT', '2020-10-01', '2021-10-01', '122', '17.19', '-59.46', 41, '61', '0.1', '0.85', '0.69', '5', '4', 2164, -3998, '74', '48', '302.54']
['BAL-USDT', '5m', 'BAL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['QTUM-USDT', '5m', 'QTUM-USDT', '2020-10-01', '2021-10-01', '98', '-48.7', '-72.93', -42, '52', '-0.06', '-0.14', '-0.58', '7', '6', 1130, -1266, '51', '47', '326.96']
['ZEN-USDT', '5m', 'ZEN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DASH-USDT', '5m', 'DASH-USDT', '2020-10-01', '2021-10-01', '109', '-91.45', '-91.5', -86, '50', '-0.06', '-1.72', '-0.94', '5', '6', 2130, -2177, '55', '54', '139.81']
['AKRO-USDT', '5m', 'AKRO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MANA-USDT', '5m', 'MANA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MKR-USDT', '5m', 'MKR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ENJ-USDT', '5m', 'ENJ-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CTK-USDT', '5m', 'CTK-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TOMO-USDT', '5m', 'TOMO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LINA-USDT', '5m', 'LINA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['HOT-USDT', '5m', 'HOT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALPHA-USDT', '5m', 'ALPHA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SFP-USDT', '5m', 'SFP-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['STORJ-USDT', '5m', 'STORJ-USDT', '2020-10-01', '2021-10-01', '130', '48.37', '-70.3', 77, '55', '0.13', '1.08', '1.1', '9', '5', 2814, -2681, '72', '58', '113.58']
['CVC-USDT', '5m', 'CVC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OGN-USDT', '5m', 'OGN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BEL-USDT', '5m', 'BEL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KEEP-USDT', '5m', 'KEEP-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ONT-USDT', '5m', 'ONT-USDT', '2020-10-01', '2021-10-01', '108', '-60.67', '-83.32', -40, '55', '-0.03', '-0.09', '-0.48', '7', '6', 2111, -1730, '59', '49', '23.6']
['AUDIO-USDT', '5m', 'AUDIO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
