['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-06-01', '2021-09-01', '65', '61.83', '-12.99', 742, '51', '4.04', '57.13', '5', '5', 824, -1155, '33', '32', '27.07']
['ETH-USDT', '5m', 'ETH-USDT', '2021-06-01', '2021-09-01', '80', '95.34', '-12.46', 2456, '55', '5.44', '197.06', '5', '4', 1071, -1507, '44', '36', '27.47']
['SOL-USDT', '5m', 'SOL-USDT', '2021-06-01', '2021-09-01', '105', '-11.81', '-43.46', 56, '50', '0.95', '1.28', '11', '6', 647, -1052, '52', '53', '232.92']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-06-01', '2021-09-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-06-01', '2021-09-01', '123', '-72.51', '-53.65', -75, '54', '-0.25', '-1.4', '7', '6', 659, -2793, '66', '57', '126.49']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-06-01', '2021-09-01', '120', '-40.49', '-62.27', -71, '47', '-0.53', '-1.13', '5', '6', 431, -805, '56', '64', '119.74']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-06-01', '2021-09-01', '125', '-90.61', '-70.88', -99, '46', '-3.1', '-1.39', '4', '5', 521, -1414, '58', '67', '385.79']
['FIL-USDT', '5m', 'FIL-USDT', '2021-06-01', '2021-09-01', '81', '-46.24', '-54.3', -82, '38', '-1.86', '-1.51', '3', '6', 488, -840, '31', '50', '5.36']
['ADA-USDT', '5m', 'ADA-USDT', '2021-06-01', '2021-09-01', '101', '-79.06', '-72.18', -99, '38', '-3.9', '-1.37', '4', '10', 516, -965, '38', '63', '60.41']
['COTI-USDT', '5m', 'COTI-USDT', '2021-06-01', '2021-09-01', '120', '-78.89', '-61.84', -77, '49', '-0.46', '-1.25', '6', '9', 639, -1741, '59', '61', '35.26']
['XRP-USDT', '5m', 'XRP-USDT', '2021-06-01', '2021-09-01', '104', '-39.28', '-55.43', -68, '44', '-0.63', '-1.23', '4', '7', 683, -1653, '46', '58', '14.99']
['UNI-USDT', '5m', 'UNI-USDT', '2021-06-01', '2021-09-01', '110', '-8.16', '-25.5', 78, '47', '1.12', '3.07', '8', '7', 539, -1084, '52', '58', '4.68']
['DOT-USDT', '5m', 'DOT-USDT', '2021-06-01', '2021-09-01', '108', '-56.56', '-50.26', -85, '44', '-1.51', '-1.69', '4', '5', 496, -1797, '48', '60', '35.48']
['BNB-USDT', '5m', 'BNB-USDT', '2021-06-01', '2021-09-01', '99', '22.56', '-23.33', 253, '46', '2.08', '10.83', '6', '6', 856, -994, '46', '53', '32.28']
