Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
633	1.78	0.67	3.32	265	31	22	3848.85	255.05	187.7	65	58	77	1.923	1.3308	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 134, 'tps_qty_index': 109, 'max_risk_long': 52}
635	1.57	-0.25	3.39	753	124	70	11697.97	960.99	676.68	52	47	60	1.57	1.82	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 61, 'max_risk_long': 49}
637	1.53	-0.66	3.14	86	6	9	888.27	46.45	74.15	60	33	78	1.337	1.90736	{'ott_len': 42, 'ott_percent': 78, 'ott_bw_up': 143, 'tps_qty_index': 42, 'max_risk_long': 55}
645	1.67	-0.73	3.17	270	28	23	4010.43	215.96	202.47	63	50	70	1.37	1.96723	{'ott_len': 63, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 48, 'max_risk_long': 52}
647	1.0	1.78	2.94	263	26	22	2325.4	219.08	191.56	54	50	64	1.907	0.97618	{'ott_len': 31, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 65, 'max_risk_long': 52}
651	1.13	5.58	3.89	148	18	11	1444.8	162.21	93.38	65	89	91	3.533	2.24634	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 149, 'tps_qty_index': 89, 'max_risk_long': 67}
652	1.12	2.06	2.56	187	16	15	1847.93	127.95	129.36	49	44	67	1.913	0.73112	{'ott_len': 31, 'ott_percent': 103, 'ott_bw_up': 147, 'tps_qty_index': 3, 'max_risk_long': 52}
660	1.45	4.27	3.84	298	35	20	4756.41	336.45	176.61	57	71	80	3.187	1.51929	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 41, 'max_risk_long': 79}
662	1.11	-0.61	4.98	254	37	18	2891.31	280.09	161.15	67	62	89	1.827	2.86308	{'ott_len': 63, 'ott_percent': 170, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 91}
667	1.15	4.64	4.08	244	30	15	2737.03	293.31	129.16	61	77	80	3.29	1.87433	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 147, 'tps_qty_index': 84, 'max_risk_long': 91}
670	1.06	2.8	3.79	738	115	66	9518.22	1161.5	596.3	50	51	65	2.55	1.38206	{'ott_len': 31, 'ott_percent': 129, 'ott_bw_up': 116, 'tps_qty_index': 93, 'max_risk_long': 82}
671	1.15	5.53	3.79	139	10	12	1334.27	86.33	102.83	50	80	83	3.49	2.20536	{'ott_len': 35, 'ott_percent': 78, 'ott_bw_up': 138, 'tps_qty_index': 64, 'max_risk_long': 52}
673	1.11	-0.11	2.28	95	12	10	1009.54	94.17	84.48	49	42	70	1.093	1.19509	{'ott_len': 59, 'ott_percent': 82, 'ott_bw_up': 121, 'tps_qty_index': 64, 'max_risk_long': 52}
678	1.23	2.14	3.03	151	18	14	1807.11	156.63	122.62	55	67	86	2.133	0.90002	{'ott_len': 66, 'ott_percent': 78, 'ott_bw_up': 111, 'tps_qty_index': 37, 'max_risk_long': 65}
683	1.44	0.87	4.23	367	43	29	5083.93	384.66	274.34	53	49	66	2.18	1.79808	{'ott_len': 63, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 10, 'max_risk_long': 52}
686	1.51	-0.15	2.13	763	114	82	13599.14	975.17	747.88	53	46	54	1.163	1.17887	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 111, 'tps_qty_index': 37, 'max_risk_long': 65}
698	1.07	3.22	3.78	345	36	28	4351.53	356.66	248.17	49	53	71	2.69	1.43063	{'ott_len': 33, 'ott_percent': 141, 'ott_bw_up': 147, 'tps_qty_index': 59, 'max_risk_long': 59}
711	1.62	1.05	3.38	870	141	80	17401.44	1305.16	790.39	50	47	56	2.017	1.21459	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 108, 'tps_qty_index': 59, 'max_risk_long': 79}
713	1.26	3.08	3.52	337	36	28	4168.75	319.74	248.75	61	69	71	2.62	1.19817	{'ott_len': 31, 'ott_percent': 141, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 54}
719	1.01	2.7	3.88	419	49	32	6094.48	476.66	295.58	54	55	72	2.53	1.44253	{'ott_len': 31, 'ott_percent': 129, 'ott_bw_up': 136, 'tps_qty_index': 17, 'max_risk_long': 65}
728	1.68	3.29	3.87	264	23	20	4420.51	192.75	176.13	58	70	75	2.947	1.13465	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 98, 'max_risk_long': 61}
730	1.39	4.42	4.0	209	19	13	2512.88	174.03	113.22	62	79	92	3.27	1.64162	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 149, 'tps_qty_index': 84, 'max_risk_long': 67}
731	1.7	-0.31	4.71	252	28	21	4344.75	221.59	196.1	59	54	86	2.033	2.52655	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 140, 'tps_qty_index': 65, 'max_risk_long': 65}
734	1.27	5.25	4.46	233	24	14	2639.43	224.74	120.42	65	75	86	3.66	2.10715	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 149, 'tps_qty_index': 110, 'max_risk_long': 91}
