iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_ma_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_bandwidth
100,A>SRF,0.22728606047285446,42,71,47.25,46,13,10.27,816,2892,2089,732,1959
100,A8XV),0.2173514056532978,44,93,48.68,50,14,2.28,816,2513,2215,782,1225
100,N6G`-,0.2162294496202638,44,86,47.45,61,13,7.63,981,2386,1785,909,1327
100,?;`-;,0.21383989986573013,44,104,38.8,35,14,-2.82,791,2703,2418,263,1681
100,C7p+I,0.21351008970233562,46,90,37.54,41,12,6.26,842,2449,2823,238,2035
100,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
100,t[.Fe,0.20818544277429477,69,26,37.99,50,6,4.23,1462,4728,1152,580,2744
100,7@(cF,0.20812800612122476,40,91,42.77,37,16,16.75,690,3019,1000,947,1959
100,",BNj,",0.20610909486914578,40,112,37.52,42,19,14.72,551,3146,1962,1035,1301
100,J+<SH,0.2024900444171723,39,96,40.08,37,16,11.65,930,1690,1506,744,2010
100,m(Pc\,0.1937861909920666,50,59,38.2,55,9,14.55,1373,1500,2013,947,2516
100,A<JTE,0.18964203913185412,41,81,40.89,46,15,15.92,816,2766,1861,757,1934
100,A8KVC,0.18585889890716178,42,80,42.35,36,11,6.66,816,2513,1886,782,1884
100,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
100,A8KV+,0.18010332935781945,40,93,33.72,42,14,5.23,816,2513,1886,782,1276
100,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
100,B3Q[J,0.178757229514763,48,82,39.8,18,11,-4.83,829,2196,2038,846,2061
100,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
100,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
100,O1]8I,0.1761777879171167,50,79,37.49,75,12,25.38,994,2070,2342,403,2035
100,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
100,G@mQO,0.17048805068862635,44,69,45.98,50,12,2.87,892,3019,2747,719,2187
100,E-wF:,0.16878565538466173,44,100,28.37,43,16,9.99,867,1816,3000,580,1656
100,@8JJe,0.16737054869385073,42,56,23.05,44,9,6.45,804,2513,1861,630,2744
100,775PD,0.16551635591333397,44,103,28.56,40,20,21.48,690,2449,1329,706,1909
200,L._59,0.32635997428831015,43,106,83.79,55,18,19.91,956,1880,2392,365,1630
200,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
200,)9S@Z,0.25981163878926794,42,98,41.31,33,12,2.3,513,2576,2089,504,2466
200,?8ZV7,0.2566125225801494,41,89,58.21,57,14,10.51,791,2513,2266,782,1580
200,w`7X8,0.2296525654573813,55,38,59.15,33,6,-10.57,1500,5044,1380,808,1605
200,A>SRF,0.22728606047285446,42,71,47.25,46,13,10.27,816,2892,2089,732,1959
200,A8YV5,0.2169724640194426,45,88,47.62,38,13,-1.95,816,2513,2241,782,1529
200,N6G`-,0.2162294496202638,44,86,47.45,61,13,7.63,981,2386,1785,909,1327
200,?;`-;,0.21383989986573013,44,104,38.8,35,14,-2.82,791,2703,2418,263,1681
200,C7p+I,0.21351008970233562,46,90,37.54,41,12,6.26,842,2449,2823,238,2035
200,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
200,A8XVf,0.21117575881173098,48,54,38.79,62,8,10.56,816,2513,2215,782,2770
200,A8XVe,0.21117575881173098,48,54,38.79,62,8,10.56,816,2513,2215,782,2744
200,t[.Fe,0.20818544277429477,69,26,37.99,50,6,4.23,1462,4728,1152,580,2744
200,7@(cF,0.20812800612122476,40,91,42.77,37,16,16.75,690,3019,1000,947,1959
200,",BNj,",0.20610909486914578,40,112,37.52,42,19,14.72,551,3146,1962,1035,1301
200,J+<SH,0.2024900444171723,39,96,40.08,37,16,11.65,930,1690,1506,744,2010
200,A8XVN,0.1985082361587674,47,72,48.91,60,10,13.42,816,2513,2215,782,2162
200,A8YVQ,0.19305964464111766,46,71,46.59,60,10,13.42,816,2513,2241,782,2238
200,@8XVq,0.19138823356081144,39,38,28.19,37,8,3.96,804,2513,2215,782,3048
200,A<JTE,0.18964203913185412,41,81,40.89,46,15,15.92,816,2766,1861,757,1934
200,A8KVC,0.18585889890716178,42,80,42.35,36,11,6.66,816,2513,1886,782,1884
200,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
200,A8XVE,0.18582622820999575,44,77,45.5,36,11,5.25,816,2513,2215,782,1934
200,A8KVL,0.18487940793919022,45,75,42.08,60,10,14.93,816,2513,1886,782,2111
200,A8KV+,0.18010332935781945,40,93,33.72,42,14,5.23,816,2513,1886,782,1276
200,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
200,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
200,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
200,A8XV0,0.1776972530173369,43,90,33.62,64,14,11.43,816,2513,2215,782,1403
300,L._59,0.32635997428831015,43,106,83.79,55,18,19.91,956,1880,2392,365,1630
300,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
300,)9S@Z,0.25981163878926794,42,98,41.31,33,12,2.3,513,2576,2089,504,2466
300,?8ZV7,0.2566125225801494,41,89,58.21,57,14,10.51,791,2513,2266,782,1580
300,A8KB.,0.25062678040683106,43,97,53.42,47,17,16.13,816,2513,1886,529,1352
300,A>SRF,0.22728606047285446,42,71,47.25,46,13,10.27,816,2892,2089,732,1959
300,A8K5.,0.2253892367148903,47,103,46.24,50,18,16.57,816,2513,1886,365,1352
300,N6G`-,0.2162294496202638,44,86,47.45,61,13,7.63,981,2386,1785,909,1327
300,?;`-;,0.21383989986573013,44,104,38.8,35,14,-2.82,791,2703,2418,263,1681
300,C7p+I,0.21351008970233562,46,90,37.54,41,12,6.26,842,2449,2823,238,2035
300,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
300,A8XVe,0.21117575881173098,48,54,38.79,62,8,10.56,816,2513,2215,782,2744
300,t[.Fe,0.20818544277429477,69,26,37.99,50,6,4.23,1462,4728,1152,580,2744
300,7@(cF,0.20812800612122476,40,91,42.77,37,16,16.75,690,3019,1000,947,1959
300,",BNj,",0.20610909486914578,40,112,37.52,42,19,14.72,551,3146,1962,1035,1301
300,J+<SH,0.2024900444171723,39,96,40.08,37,16,11.65,930,1690,1506,744,2010
300,A8K4.,0.20193439626483045,47,103,38.84,50,18,15.49,816,2513,1886,352,1352
300,A8YVQ,0.19305964464111766,46,71,46.59,60,10,13.42,816,2513,2241,782,2238
300,@8XVq,0.19138823356081144,39,38,28.19,37,8,3.96,804,2513,2215,782,3048
300,A8KVC,0.18585889890716178,42,80,42.35,36,11,6.66,816,2513,1886,782,1884
300,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
300,A8KVL,0.18487940793919022,45,75,42.08,60,10,14.93,816,2513,1886,782,2111
300,A8KV+,0.18010332935781945,40,93,33.72,42,14,5.23,816,2513,1886,782,1276
300,A8KVB,0.17999952460664764,41,81,40.33,27,11,-3.71,816,2513,1886,782,1858
300,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
300,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
300,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
300,A8XV0,0.1776972530173369,43,90,33.62,64,14,11.43,816,2513,2215,782,1403
300,A4KVn,0.17640335891240536,47,44,23.72,55,9,13.14,816,2259,1886,782,2972
300,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
400,L._59,0.32635997428831015,43,106,83.79,55,18,19.91,956,1880,2392,365,1630
400,.9KV.,0.30126480986321375,36,128,63.07,41,17,-1.07,576,2576,1886,782,1352
400,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
400,)9S@Z,0.25981163878926794,42,98,41.31,33,12,2.3,513,2576,2089,504,2466
400,?8ZV7,0.2566125225801494,41,89,58.21,57,14,10.51,791,2513,2266,782,1580
400,A8KB.,0.25062678040683106,43,97,53.42,47,17,16.13,816,2513,1886,529,1352
400,A>SRF,0.22728606047285446,42,71,47.25,46,13,10.27,816,2892,2089,732,1959
400,A8K5.,0.2253892367148903,47,103,46.24,50,18,16.57,816,2513,1886,365,1352
400,N6G`-,0.2162294496202638,44,86,47.45,61,13,7.63,981,2386,1785,909,1327
400,?;`-;,0.21383989986573013,44,104,38.8,35,14,-2.82,791,2703,2418,263,1681
400,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
400,A8XVe,0.21117575881173098,48,54,38.79,62,8,10.56,816,2513,2215,782,2744
400,t[.Fe,0.20818544277429477,69,26,37.99,50,6,4.23,1462,4728,1152,580,2744
400,I8KV.,0.20730196138400409,43,88,41.65,35,14,9.63,918,2513,1886,782,1352
400,J+<SH,0.2024900444171723,39,96,40.08,37,16,11.65,930,1690,1506,744,2010
400,A8K4.,0.20193439626483045,47,103,38.84,50,18,15.49,816,2513,1886,352,1352
400,@8XVq,0.19138823356081144,39,38,28.19,37,8,3.96,804,2513,2215,782,3048
400,H9K@.,0.19114880205471635,45,95,87.89,40,15,15.61,905,2576,1886,504,1352
400,.8KV_,0.1862560054703782,31,80,26.35,46,13,6.37,576,2513,1886,782,2592
400,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
400,A8KVL,0.18487940793919022,45,75,42.08,60,10,14.93,816,2513,1886,782,2111
400,A8KV+,0.18010332935781945,40,93,33.72,42,14,5.23,816,2513,1886,782,1276
400,A8KVB,0.17999952460664764,41,81,40.33,27,11,-3.71,816,2513,1886,782,1858
400,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
400,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
400,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
400,A8XV0,0.1776972530173369,43,90,33.62,64,14,11.43,816,2513,2215,782,1403
400,A4KVn,0.17640335891240536,47,44,23.72,55,9,13.14,816,2259,1886,782,2972
400,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
400,E-wF:,0.16878565538466173,44,100,28.37,43,16,9.99,867,1816,3000,580,1656
500,*9Ksn,0.3730695628582736,49,51,52.85,30,10,6.31,525,2576,1886,1149,2972
500,L._59,0.32635997428831015,43,106,83.79,55,18,19.91,956,1880,2392,365,1630
500,.9KV.,0.30126480986321375,36,128,63.07,41,17,-1.07,576,2576,1886,782,1352
500,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
500,)9S@Z,0.25981163878926794,42,98,41.31,33,12,2.3,513,2576,2089,504,2466
500,?8ZV7,0.2566125225801494,41,89,58.21,57,14,10.51,791,2513,2266,782,1580
500,*9K9n,0.2516755122436106,50,54,33.54,40,10,10.22,525,2576,1886,415,2972
500,A>SRF,0.22728606047285446,42,71,47.25,46,13,10.27,816,2892,2089,732,1959
500,N6G`-,0.2162294496202638,44,86,47.45,61,13,7.63,981,2386,1785,909,1327
500,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
500,A8XVe,0.21117575881173098,48,54,38.79,62,8,10.56,816,2513,2215,782,2744
500,t[.Fe,0.20818544277429477,69,26,37.99,50,6,4.23,1462,4728,1152,580,2744
500,J+<SH,0.2024900444171723,39,96,40.08,37,16,11.65,930,1690,1506,744,2010
500,A8K4.,0.20193439626483045,47,103,38.84,50,18,15.49,816,2513,1886,352,1352
500,H9K@.,0.19114880205471635,45,95,87.89,40,15,15.61,905,2576,1886,504,1352
500,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
500,A8KVL,0.18487940793919022,45,75,42.08,60,10,14.93,816,2513,1886,782,2111
500,A8KVB,0.17999952460664764,41,81,40.33,27,11,-3.71,816,2513,1886,782,1858
500,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
500,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
500,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
500,A4KVn,0.17640335891240536,47,44,23.72,55,9,13.14,816,2259,1886,782,2972
500,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
500,E-wF:,0.16878565538466173,44,100,28.37,43,16,9.99,867,1816,3000,580,1656
500,@8JJe,0.16737054869385073,42,56,23.05,44,9,6.45,804,2513,1861,630,2744
500,775PD,0.16551635591333397,44,103,28.56,40,20,21.48,690,2449,1329,706,1909
500,A8Kbn,0.16442751470492878,44,45,28.63,57,7,7.77,816,2513,1886,934,2972
500,A8KVj,0.15879233774463014,48,52,27.52,57,7,9.21,816,2513,1886,782,2871
500,.8KV-,0.15372884227290043,33,127,21.03,38,18,0.53,576,2513,1886,782,1327
500,*8YVq,0.15367508487365672,44,45,15.69,33,9,7.76,525,2513,2241,782,3048
600,*9Ksn,0.3730695628582736,49,51,52.85,30,10,6.31,525,2576,1886,1149,2972
600,L._59,0.32635997428831015,43,106,83.79,55,18,19.91,956,1880,2392,365,1630
600,.9KV.,0.30126480986321375,36,128,63.07,41,17,-1.07,576,2576,1886,782,1352
600,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
600,?8ZV7,0.2566125225801494,41,89,58.21,57,14,10.51,791,2513,2266,782,1580
600,*9K9n,0.2516755122436106,50,54,33.54,40,10,10.22,525,2576,1886,415,2972
600,A>SRF,0.22728606047285446,42,71,47.25,46,13,10.27,816,2892,2089,732,1959
600,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
600,t[.Fe,0.20818544277429477,69,26,37.99,50,6,4.23,1462,4728,1152,580,2744
600,J+<SH,0.2024900444171723,39,96,40.08,37,16,11.65,930,1690,1506,744,2010
600,A8K4.,0.20193439626483045,47,103,38.84,50,18,15.49,816,2513,1886,352,1352
600,H9K@.,0.19114880205471635,45,95,87.89,40,15,15.61,905,2576,1886,504,1352
600,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
600,A8KVL,0.18487940793919022,45,75,42.08,60,10,14.93,816,2513,1886,782,2111
600,QfA3;,0.18162374759271765,62,56,33.95,62,8,3.05,1019,5424,1633,339,1681
600,A8KVB,0.17999952460664764,41,81,40.33,27,11,-3.71,816,2513,1886,782,1858
600,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
600,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
600,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
600,A4KVn,0.17640335891240536,47,44,23.72,55,9,13.14,816,2259,1886,782,2972
600,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
600,QfA3l,0.1724052772789213,69,26,25.99,40,5,-0.32,1019,5424,1633,339,2922
600,E-wF:,0.16878565538466173,44,100,28.37,43,16,9.99,867,1816,3000,580,1656
600,@8JJe,0.16737054869385073,42,56,23.05,44,9,6.45,804,2513,1861,630,2744
600,775PD,0.16551635591333397,44,103,28.56,40,20,21.48,690,2449,1329,706,1909
600,A8KVj,0.15879233774463014,48,52,27.52,57,7,9.21,816,2513,1886,782,2871
600,.8KV-,0.15372884227290043,33,127,21.03,38,18,0.53,576,2513,1886,782,1327
600,*8YVq,0.15367508487365672,44,45,15.69,33,9,7.76,525,2513,2241,782,3048
600,K9K@.,0.15268133965807476,45,93,62.68,47,17,16.86,943,2576,1886,504,1352
600,A8KV:,0.1490991807292825,42,87,28.57,27,11,-3.71,816,2513,1886,782,1656
700,*9Ksn,0.3730695628582736,49,51,52.85,30,10,6.31,525,2576,1886,1149,2972
700,.=KV.,0.32725448824476305,34,119,71.82,30,20,-0.99,576,2829,1886,782,1352
700,L._59,0.32635997428831015,43,106,83.79,55,18,19.91,956,1880,2392,365,1630
700,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
700,?8ZV7,0.2566125225801494,41,89,58.21,57,14,10.51,791,2513,2266,782,1580
700,*9K9n,0.2516755122436106,50,54,33.54,40,10,10.22,525,2576,1886,415,2972
700,J8^V@,0.22806904066058867,46,79,67.64,45,11,1.23,930,2513,2367,782,1808
700,A>SRF,0.22728606047285446,42,71,47.25,46,13,10.27,816,2892,2089,732,1959
700,F8fL2,0.2195294810788182,44,84,55.36,46,13,4.81,880,2513,2570,656,1453
700,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
700,J+<SH,0.2024900444171723,39,96,40.08,37,16,11.65,930,1690,1506,744,2010
700,A8K4.,0.20193439626483045,47,103,38.84,50,18,15.49,816,2513,1886,352,1352
700,H9K@.,0.19114880205471635,45,95,87.89,40,15,15.61,905,2576,1886,504,1352
700,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
700,FFfV2,0.18562433933429967,45,75,41.9,36,11,-2.46,880,3399,2570,782,1453
700,A8KVL,0.18487940793919022,45,75,42.08,60,10,14.93,816,2513,1886,782,2111
700,.8?V.,0.18443247630035695,33,129,28.18,38,18,0.53,576,2513,1582,782,1352
700,A8KVB,0.17999952460664764,41,81,40.33,27,11,-3.71,816,2513,1886,782,1858
700,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
700,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
700,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
700,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
700,Q8pV2,0.17228454526739548,45,81,32.65,64,14,8.47,1019,2513,2823,782,1453
700,E-wF:,0.16878565538466173,44,100,28.37,43,16,9.99,867,1816,3000,580,1656
700,.:KV.,0.1680602131027954,38,120,26.28,35,17,2.07,576,2639,1886,782,1352
700,@8JJe,0.16737054869385073,42,56,23.05,44,9,6.45,804,2513,1861,630,2744
700,Q8nV2,0.16661960779742202,45,81,31.01,64,14,8.47,1019,2513,2772,782,1453
700,775PD,0.16551635591333397,44,103,28.56,40,20,21.48,690,2449,1329,706,1909
700,A8KVj,0.15879233774463014,48,52,27.52,57,7,9.21,816,2513,1886,782,2871
700,.8KV-,0.15372884227290043,33,127,21.03,38,18,0.53,576,2513,1886,782,1327
800,*9Ksn,0.3730695628582736,49,51,52.85,30,10,6.31,525,2576,1886,1149,2972
800,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
800,*9K9n,0.2516755122436106,50,54,33.54,40,10,10.22,525,2576,1886,415,2972
800,J8^V@,0.22806904066058867,46,79,67.64,45,11,1.23,930,2513,2367,782,1808
800,F8fL2,0.2195294810788182,44,84,55.36,46,13,4.81,880,2513,2570,656,1453
800,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
800,B9K9J,0.20607591697119382,41,84,33.78,38,13,7.43,829,2576,1886,415,2061
800,A3XVq,0.20413205421855546,47,40,30.94,55,9,11.65,816,2196,2215,782,3048
800,A8K4.,0.20193439626483045,47,103,38.84,50,18,15.49,816,2513,1886,352,1352
800,A8XVJ,0.20103679958390963,46,76,52.03,50,10,9.33,816,2513,2215,782,2061
800,B9K9/,0.19985907011410836,43,100,42.9,43,16,4.14,829,2576,1886,415,1377
800,"B9K9,",0.19547388867860635,43,102,41.9,43,16,4.14,829,2576,1886,415,1301
800,A8XVK,0.19410503453185302,45,74,48.37,50,10,9.33,816,2513,2215,782,2086
800,H9K@.,0.19114880205471635,45,95,87.89,40,15,15.61,905,2576,1886,504,1352
800,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
800,FFfV2,0.18562433933429967,45,75,41.9,36,11,-2.46,880,3399,2570,782,1453
800,A8KVL,0.18487940793919022,45,75,42.08,60,10,14.93,816,2513,1886,782,2111
800,.8?V.,0.18443247630035695,33,129,28.18,38,18,0.53,576,2513,1582,782,1352
800,A8KVB,0.17999952460664764,41,81,40.33,27,11,-3.71,816,2513,1886,782,1858
800,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
800,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
800,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
800,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
800,Q.f32,0.17364860870969281,46,108,84.76,42,14,3.7,1019,1880,2570,339,1453
800,Q8pV2,0.17228454526739548,45,81,32.65,64,14,8.47,1019,2513,2823,782,1453
800,B9K96,0.1688963080626309,42,96,30.99,56,16,18.44,829,2576,1886,415,1554
800,E-wF:,0.16878565538466173,44,100,28.37,43,16,9.99,867,1816,3000,580,1656
800,.:KV.,0.1680602131027954,38,120,26.28,35,17,2.07,576,2639,1886,782,1352
800,@8JJe,0.16737054869385073,42,56,23.05,44,9,6.45,804,2513,1861,630,2744
800,Q8nV2,0.16661960779742202,45,81,31.01,64,14,8.47,1019,2513,2772,782,1453
900,*9Ksn,0.3730695628582736,49,51,52.85,30,10,6.31,525,2576,1886,1149,2972
900,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
900,*9K9n,0.2516755122436106,50,54,33.54,40,10,10.22,525,2576,1886,415,2972
900,F8fL2,0.2195294810788182,44,84,55.36,46,13,4.81,880,2513,2570,656,1453
900,A8YVi,0.21260751347323847,48,52,41.3,57,7,7.77,816,2513,2241,782,2846
900,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
900,B9K9J,0.20607591697119382,41,84,33.78,38,13,7.43,829,2576,1886,415,2061
900,A3XVq,0.20413205421855546,47,40,30.94,55,9,11.65,816,2196,2215,782,3048
900,A8XVJ,0.20103679958390963,46,76,52.03,50,10,9.33,816,2513,2215,782,2061
900,B9K9/,0.19985907011410836,43,100,42.9,43,16,4.14,829,2576,1886,415,1377
900,"B9K9,",0.19547388867860635,43,102,41.9,43,16,4.14,829,2576,1886,415,1301
900,A8XVK,0.19410503453185302,45,74,48.37,50,10,9.33,816,2513,2215,782,2086
900,A8YVE,0.18951184234810958,44,77,46.89,36,11,5.25,816,2513,2241,782,1934
900,A8YV+,0.18767941865706575,42,91,38.0,64,14,11.43,816,2513,2241,782,1276
900,A8YVD,0.18626224430480443,43,78,45.54,36,11,5.25,816,2513,2241,782,1909
900,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
900,A8KVL,0.18487940793919022,45,75,42.08,60,10,14.93,816,2513,1886,782,2111
900,.8?V.,0.18443247630035695,33,129,28.18,38,18,0.53,576,2513,1582,782,1352
900,A8KVB,0.17999952460664764,41,81,40.33,27,11,-3.71,816,2513,1886,782,1858
900,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
900,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
900,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
900,Q.f32,0.17364860870969281,46,108,84.76,42,14,3.7,1019,1880,2570,339,1453
900,E8^V_,0.17172317028838288,42,59,35.41,40,10,2.61,867,2513,2367,782,2592
900,B9K96,0.1688963080626309,42,96,30.99,56,16,18.44,829,2576,1886,415,1554
900,.:KV.,0.1680602131027954,38,120,26.28,35,17,2.07,576,2639,1886,782,1352
