['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-04-01', '2021-11-18', '341', '-15.27', '-18.88', -23, '28', '-0.07', '-1.03', '-1.22', '4', '14', 220, -185, '96', '245', '2.52']
['ETH-USDT', '5m', 'ETH-USDT', '2021-04-01', '2021-11-18', '418', '51.55', '-12.54', 92, '33', '2.0', '2.31', '7.36', '4', '15', 336, -297, '140', '278', '121.61']
['SOL-USDT', '5m', 'SOL-USDT', '2021-04-01', '2021-11-18', '565', '8.62', '-23.68', 14, '35', '0.06', '0.52', '0.59', '5', '14', 283, -406, '199', '366', '1026.8']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-04-01', '2021-11-18', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-04-01', '2021-11-18', '615', '-47.16', '-49.83', -63, '32', '-0.08', '-1.95', '-1.27', '5', '14', 237, -415, '197', '418', '405.36']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-04-01', '2021-11-18', '564', '-28.44', '-41.09', -41, '34', '-0.06', '-1.01', '-1.0', '5', '9', 248, -319, '193', '371', '273.08']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-04-01', '2021-11-18', '534', '34.29', '-17.94', 59, '38', '0.61', '1.34', '3.29', '8', '12', 322, -408, '201', '333', '130.76']
['FIL-USDT', '5m', 'FIL-USDT', '2021-04-01', '2021-11-18', '506', '-50.94', '-55.81', -67, '26', '-0.04', '-3.08', '-1.21', '4', '12', 249, -217, '134', '372', '-70.83']
['ADA-USDT', '5m', 'ADA-USDT', '2021-04-01', '2021-11-18', '474', '-21.29', '-29.37', -31, '29', '-0.08', '-1.0', '-1.07', '3', '10', 247, -266, '139', '335', '56.85']
['COTI-USDT', '5m', 'COTI-USDT', '2021-04-01', '2021-11-18', '603', '-8.36', '-34.22', -13, '33', '-0.05', '-0.08', '-0.37', '5', '9', 249, -318, '202', '401', '2.7']
['XRP-USDT', '5m', 'XRP-USDT', '2021-04-01', '2021-11-18', '473', '-10.3', '-23.43', -16, '32', '-0.07', '-0.3', '-0.67', '4', '11', 262, -249, '153', '320', '91.41']
['UNI-USDT', '5m', 'UNI-USDT', '2021-04-01', '2021-11-18', '485', '-11.3', '-22.51', -17, '32', '-0.08', '-0.4', '-0.76', '5', '17', 245, -186, '156', '329', '-22.71']
['DOT-USDT', '5m', 'DOT-USDT', '2021-04-01', '2021-11-18', '526', '12.61', '-16.7', 21, '34', '0.22', '0.69', '1.23', '6', '13', 263, -274, '180', '346', '15.26']
['BNB-USDT', '5m', 'BNB-USDT', '2021-04-01', '2021-11-18', '432', '36.15', '-13.34', 62, '35', '1.82', '1.75', '4.68', '3', '8', 312, -228, '150', '282', '90.46']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-04-01', '2021-11-18', '562', '18.16', '-18.03', 30, '35', '0.28', '0.82', '1.67', '6', '13', 301, -313, '195', '367', '53.53']
['CELR-USDT', '5m', 'CELR-USDT', '2021-04-01', '2021-11-18', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-04-01', '2021-11-18', '536', '-38.99', '-47.0', -54, '30', '-0.07', '-1.91', '-1.15', '5', '19', 256, -245, '160', '376', '7.77']
['LINK-USDT', '5m', 'LINK-USDT', '2021-04-01', '2021-11-18', '495', '-0.83', '-21.14', -1, '31', '-0.01', '0.14', '-0.06', '4', '11', 261, -221, '154', '341', '-1.78']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-04-01', '2021-11-18', '540', '19.34', '-17.55', 32, '33', '0.48', '0.85', '1.83', '7', '15', 299, -365, '179', '361', '-34.43']
['LTC-USDT', '5m', 'LTC-USDT', '2021-04-01', '2021-11-18', '470', '-10.25', '-24.86', -16, '32', '-0.05', '-0.33', '-0.63', '4', '10', 255, -382, '149', '321', '16.02']
['EOS-USDT', '5m', 'EOS-USDT', '2021-04-01', '2021-11-18', '460', '-10.09', '-19.05', -15, '33', '-0.09', '-0.33', '-0.81', '5', '10', 248, -542, '152', '308', '-9.75']
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-04-01', '2021-11-18', '540', '-29.57', '-36.01', -42, '33', '-0.1', '-1.22', '-1.18', '5', '13', 245, -309, '178', '362', '20.86']
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-04-01', '2021-11-18', '511', '-30.63', '-47.02', -44, '30', '-0.05', '-1.12', '-0.93', '6', '12', 295, -402, '155', '356', '339.4']
['CRV-USDT', '5m', 'CRV-USDT', '2021-04-01', '2021-11-18', '573', '-34.38', '-53.16', -48, '33', '-0.04', '-1.47', '-0.91', '7', '10', 226, -237, '190', '383', '27.06']
