iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_rsi_len,parameters.chop_bandwidth
60,>1*;GS,0.9924774036512575,72,121,32.73,47,19,-3.98,22,180,59,27,31,195
60,j4LV)a,0.9338031964602368,50,73,54.73,66,12,15.43,63,206,209,51,3,255
60,O6oK6R,0.7685998860855174,45,112,69.41,28,14,-2.44,38,224,365,41,15,191
60,2DAeSP,0.6867829719782418,44,68,60.97,25,12,3.56,11,348,161,64,42,182
60,P>2j;Y,0.665187570176399,47,102,45.89,47,17,9.68,39,295,94,68,20,221
60,"-,QRJ-",0.5727489355599364,34,431,46.54,20,77,-17.6,7,135,232,47,33,32
60,929SnH,0.5566914625964255,45,87,31.62,31,16,0.35,18,189,125,48,67,148
60,.<AQs?,0.5246203536688758,33,239,56.94,30,36,7.9,8,277,161,46,71,109
60,RKFv>;,0.50324828749468,35,104,38.95,50,14,16.68,41,410,183,79,22,92
60,I>)um4,0.48895840529267465,43,205,49.76,37,24,4.13,32,295,54,78,66,62
60,L7bUJ6,0.48683001147525307,40,126,48.37,37,16,6.19,35,233,307,50,33,70
60,\NjC1],0.4320156147264996,38,59,42.67,46,13,7.62,50,437,342,34,10,238
60,1M-^`+,0.42727097857663965,36,271,34.56,28,45,-5.7,10,428,72,58,54,23
60,H+AUgN,0.4097356621845135,59,37,20.75,42,7,-3.25,32,127,161,50,60,174
60,LIqHHF,0.3853919936219196,37,94,58.17,30,13,2.03,35,392,373,38,32,139
60,.JbLkN,0.3668096589025031,40,27,20.83,33,6,8.44,8,401,307,42,64,174
60,MDtnuL,0.3653709329524636,51,37,38.12,66,6,10.71,36,348,387,72,73,165
60,-UG\@e,0.3439672858441626,36,33,21.11,50,6,7.81,7,499,187,56,24,273
60,E?H./q,0.34042899696448436,64,90,33.21,62,16,4.68,29,304,192,15,8,324
60,0PCju;,0.338006558637256,31,173,36.43,28,25,0.73,9,454,170,68,73,92
60,9<Bv.6,0.3250844540378439,41,178,45.36,37,29,3.93,18,277,165,79,8,70
60,2;CqqE,0.3232682830525003,41,123,24.02,20,24,-0.58,11,268,170,75,69,135
60,O@oa\4,0.32152442726046154,38,102,42.42,53,13,6.4,38,313,365,61,50,62
60,N6q)3n,0.3045044560663461,52,68,29.31,33,9,-0.35,37,224,373,11,12,311
60,d<CI/],0.2988775278149692,40,83,28.05,46,13,7.49,57,277,170,39,8,238
60,7;[R@S,0.28126251332411395,40,120,18.75,36,19,5.44,16,268,276,47,24,195
60,q;=iLC,0.27035650543030804,39,111,29.94,47,17,16.37,69,268,143,68,35,126
60,7C<seP,0.2690147367137586,45,37,24.62,40,5,6.15,16,339,139,76,58,182
60,H>dbH(,0.2640242990281516,40,115,35.85,46,13,7.9,32,295,316,61,32,10
60,h)N\7t,0.2622231612512772,65,26,18.02,50,2,5.35,61,109,218,56,16,337
60,>1*;GS,0.9924774036512575,72,121,32.73,47,19,-3.98,22,180,59,27,31,195
60,j4LV)a,0.9338031964602368,50,73,54.73,66,12,15.43,63,206,209,51,3,255
60,O6oK6R,0.7685998860855174,45,112,69.41,28,14,-2.44,38,224,365,41,15,191
60,2DAeSP,0.6867829719782418,44,68,60.97,25,12,3.56,11,348,161,64,42,182
60,P>2j;Y,0.665187570176399,47,102,45.89,47,17,9.68,39,295,94,68,20,221
60,"-,QRJ-",0.5727489355599364,34,431,46.54,20,77,-17.6,7,135,232,47,33,32
60,929SnH,0.5566914625964255,45,87,31.62,31,16,0.35,18,189,125,48,67,148
60,.<AQs?,0.5246203536688758,33,239,56.94,30,36,7.9,8,277,161,46,71,109
60,RKFv>;,0.50324828749468,35,104,38.95,50,14,16.68,41,410,183,79,22,92
60,I>)um4,0.48895840529267465,43,205,49.76,37,24,4.13,32,295,54,78,66,62
60,L7bUJ6,0.48683001147525307,40,126,48.37,37,16,6.19,35,233,307,50,33,70
60,\NjC1],0.4320156147264996,38,59,42.67,46,13,7.62,50,437,342,34,10,238
60,1M-^`+,0.42727097857663965,36,271,34.56,28,45,-5.7,10,428,72,58,54,23
60,H+AUgN,0.4097356621845135,59,37,20.75,42,7,-3.25,32,127,161,50,60,174
60,LIqHHF,0.3853919936219196,37,94,58.17,30,13,2.03,35,392,373,38,32,139
60,.JbLkN,0.3668096589025031,40,27,20.83,33,6,8.44,8,401,307,42,64,174
60,MDtnuL,0.3653709329524636,51,37,38.12,66,6,10.71,36,348,387,72,73,165
60,-UG\@e,0.3439672858441626,36,33,21.11,50,6,7.81,7,499,187,56,24,273
60,E?H./q,0.34042899696448436,64,90,33.21,62,16,4.68,29,304,192,15,8,324
60,0PCju;,0.338006558637256,31,173,36.43,28,25,0.73,9,454,170,68,73,92
60,9<Bv.6,0.3250844540378439,41,178,45.36,37,29,3.93,18,277,165,79,8,70
60,2;CqqE,0.3232682830525003,41,123,24.02,20,24,-0.58,11,268,170,75,69,135
60,O@oa\4,0.32152442726046154,38,102,42.42,53,13,6.4,38,313,365,61,50,62
60,N6q)3n,0.3045044560663461,52,68,29.31,33,9,-0.35,37,224,373,11,12,311
60,d<CI/],0.2988775278149692,40,83,28.05,46,13,7.49,57,277,170,39,8,238
60,7;[R@S,0.28126251332411395,40,120,18.75,36,19,5.44,16,268,276,47,24,195
60,q;=iLC,0.27035650543030804,39,111,29.94,47,17,16.37,69,268,143,68,35,126
60,7C<seP,0.2690147367137586,45,37,24.62,40,5,6.15,16,339,139,76,58,182
60,H>dbH(,0.2640242990281516,40,115,35.85,46,13,7.9,32,295,316,61,32,10
60,h)N\7t,0.2622231612512772,65,26,18.02,50,2,5.35,61,109,218,56,16,337
120,>1*;GS,0.9924774036512575,72,121,32.73,47,19,-3.98,22,180,59,27,31,195
120,j4LV)a,0.9338031964602368,50,73,54.73,66,12,15.43,63,206,209,51,3,255
120,O6oK6R,0.7685998860855174,45,112,69.41,28,14,-2.44,38,224,365,41,15,191
120,2DAeSP,0.6867829719782418,44,68,60.97,25,12,3.56,11,348,161,64,42,182
120,P>2j;Y,0.665187570176399,47,102,45.89,47,17,9.68,39,295,94,68,20,221
120,929SnH,0.5566914625964255,45,87,31.62,31,16,0.35,18,189,125,48,67,148
120,.<AQs?,0.5246203536688758,33,239,56.94,30,36,7.9,8,277,161,46,71,109
120,RKFv>;,0.50324828749468,35,104,38.95,50,14,16.68,41,410,183,79,22,92
120,I>)um4,0.48895840529267465,43,205,49.76,37,24,4.13,32,295,54,78,66,62
120,L7bUJ6,0.48683001147525307,40,126,48.37,37,16,6.19,35,233,307,50,33,70
120,\NjC1],0.4320156147264996,38,59,42.67,46,13,7.62,50,437,342,34,10,238
120,1M-^`+,0.42727097857663965,36,271,34.56,28,45,-5.7,10,428,72,58,54,23
120,H+AUgN,0.4097356621845135,59,37,20.75,42,7,-3.25,32,127,161,50,60,174
120,LIqHHF,0.3853919936219196,37,94,58.17,30,13,2.03,35,392,373,38,32,139
120,.JbLkN,0.3668096589025031,40,27,20.83,33,6,8.44,8,401,307,42,64,174
120,MDtnuL,0.3653709329524636,51,37,38.12,66,6,10.71,36,348,387,72,73,165
120,-UG\@e,0.3439672858441626,36,33,21.11,50,6,7.81,7,499,187,56,24,273
120,E?H./q,0.34042899696448436,64,90,33.21,62,16,4.68,29,304,192,15,8,324
120,0PCju;,0.338006558637256,31,173,36.43,28,25,0.73,9,454,170,68,73,92
120,9<Bv.6,0.3250844540378439,41,178,45.36,37,29,3.93,18,277,165,79,8,70
120,2;CqqE,0.3232682830525003,41,123,24.02,20,24,-0.58,11,268,170,75,69,135
