['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Serenity', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['REEF-USDT', '5m', 'REEF-USDT', '2021-04-01', '2021-12-19', '57', '-49.74', '-36.34', -41, '46', '-0.08', '-1.8', '-1.12', '5', '5', 379, -755, '26', '31', '-57.49']
['HNT-USDT', '5m', 'HNT-USDT', '2021-04-01', '2021-12-19', '76', '-22.79', '-26.2', 0, '49', '-0.0', '0.15', '-0.01', '6', '11', 378, -778, '37', '39', '207.72']
['TRB-USDT', '5m', 'TRB-USDT', '2021-04-01', '2021-12-19', '85', '-57.09', '-37.28', -22, '45', '-0.04', '-0.73', '-0.6', '8', '7', 401, -637, '38', '47', '-58.46']
['FLM-USDT', '5m', 'FLM-USDT', '2021-04-01', '2021-12-19', '63', '3.46', '-21.61', 28, '62', '0.18', '1.05', '1.31', '7', '3', 419, -1745, '39', '24', '-59.41']
['BTS-USDT', '5m', 'BTS-USDT', '2021-04-01', '2021-12-19', '82', '-61.77', '-48.09', -38, '39', '-0.03', '-1.33', '-0.8', '3', '6', 400, -699, '32', '50', '-67.25']
['MTL-USDT', '5m', 'MTL-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RVN-USDT', '5m', 'RVN-USDT', '2021-04-01', '2021-12-19', '63', '0.34', '-9.88', 34, '59', '1.07', '1.24', '3.42', '6', '3', 450, -991, '37', '26', '-56.58']
['ZIL-USDT', '5m', 'ZIL-USDT', '2021-04-01', '2021-12-19', '74', '-20.64', '-26.95', 0, '53', '0.0', '0.14', '0.0', '6', '5', 462, -985, '39', '35', '-64.65']
['YFII-USDT', '5m', 'YFII-USDT', '2021-04-01', '2021-12-19', '46', '26.35', '-9.96', 71, '63', '2.64', '2.31', '7.12', '6', '3', 526, -946, '29', '17', '42.02']
['ZRX-USDT', '5m', 'ZRX-USDT', '2021-04-01', '2021-12-19', '71', '-17.45', '-20.0', 20, '56', '0.12', '0.82', '1.0', '8', '6', 406, -749, '40', '31', '-58.68']
['LRC-USDT', '5m', 'LRC-USDT', '2021-04-01', '2021-12-19', '84', '-10.39', '-26.67', 33, '54', '0.11', '1.12', '1.24', '8', '5', 530, -1237, '45', '39', '274.6']
['RSR-USDT', '5m', 'RSR-USDT', '2021-04-01', '2021-12-19', '74', '-10.44', '-14.49', 28, '55', '0.48', '0.92', '1.94', '5', '3', 418, -1048, '41', '33', '-65.34']
['NKN-USDT', '5m', 'NKN-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SC-USDT', '5m', 'SC-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAT-USDT', '5m', 'BAT-USDT', '2021-04-01', '2021-12-19', '77', '-38.21', '-30.29', -12, '45', '-0.02', '-0.33', '-0.4', '6', '6', 390, -762, '35', '42', '2.04']
['ATA-USDT', '5m', 'ATA-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GTC-USDT', '5m', 'GTC-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KNC-USDT', '5m', 'KNC-USDT', '2021-04-01', '2021-12-19', '63', '2.21', '-16.91', 44, '57', '0.63', '1.6', '2.59', '7', '4', 426, -613, '36', '27', '-52.01']
['XEM-USDT', '5m', 'XEM-USDT', '2021-04-01', '2021-12-19', '45', '-9.42', '-14.96', 15, '53', '0.11', '0.72', '0.99', '6', '4', 402, -832, '24', '21', '-64.92']
['OCEAN-USDT', '5m', 'OCEAN-USDT', '2021-04-01', '2021-12-19', '81', '-40.42', '-27.62', -17, '48', '-0.04', '-0.47', '-0.61', '5', '4', 378, -775, '39', '42', '-45.59']
['CELO-USDT', '5m', 'CELO-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UNFI-USDT', '5m', 'UNFI-USDT', '2021-04-01', '2021-12-19', '90', '-19.39', '-15.24', 29, '57', '0.37', '0.97', '1.89', '7', '4', 482, -1355, '51', '39', '-70.36']
['ANKR-USDT', '5m', 'ANKR-USDT', '2021-04-01', '2021-12-19', '66', '-11.63', '-11.92', 26, '56', '0.91', '1.09', '2.17', '3', '4', 490, -750, '37', '29', '-35.75']
['DGB-USDT', '5m', 'DGB-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DEFI-USDT', '5m', 'DEFI-USDT', '2021-04-01', '2021-12-19', '52', '50.68', '-5.64', 109, '65', '18.4', '3.94', '19.38', '5', '3', 582, -585, '34', '18', '-15.33']
['BTCDOM-USDT', '5m', 'BTCDOM-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
