['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Serenity', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-08-01', '2021-12-30', '8', '5.41', '-1.36', 17, '75', '1.41', '2.88', '12.36', '3', '1', 4, -3, '6', '2', '12.08']
['ETH-USDT', '5m', 'ETH-USDT', '2021-08-01', '2021-12-30', '13', '23.35', '-14.86', 86, '62', '0.58', '2.54', '5.82', '5', '3', 16, -14, '8', '5', '43.36']
['SOL-USDT', '5m', 'SOL-USDT', '2021-08-01', '2021-12-30', '28', '85.76', '-12.61', 374, '64', '6.13', '3.52', '29.64', '7', '4', 26, -31, '18', '10', '364.87']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-08-01', '2021-12-30', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-08-01', '2021-12-30', '38', '-30.87', '-37.04', -51, '47', '-0.13', '-0.66', '-1.37', '5', '4', 13, -18, '18', '20', '733.68']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-08-01', '2021-12-30', '35', '-22.83', '-30.08', -27, '49', '-0.07', '-0.31', '-0.9', '3', '2', 14, -21, '17', '18', '659.46']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-08-01', '2021-12-30', '37', '-36.77', '-38.93', -35, '46', '-0.06', '-0.42', '-0.9', '5', '5', 15, -21, '17', '20', '696.73']
['FIL-USDT', '5m', 'FIL-USDT', '2021-08-01', '2021-12-30', '21', '21.49', '-18.92', 86, '57', '0.41', '1.67', '4.56', '3', '2', 21, -25, '12', '9', '-34.15']
['ADA-USDT', '5m', 'ADA-USDT', '2021-08-01', '2021-12-30', '24', '11.25', '-26.53', 61, '54', '0.34', '1.24', '2.3', '4', '3', 21, -27, '13', '11', '0.99']
['COTI-USDT', '5m', 'COTI-USDT', '2021-08-01', '2021-12-30', '31', '-20.55', '-25.38', -5, '45', '-0.02', '0.17', '-0.2', '3', '4', 14, -22, '14', '17', '173.48']
['XRP-USDT', '5m', 'XRP-USDT', '2021-08-01', '2021-12-30', '21', '-35.72', '-39.59', -61, '43', '-0.06', '-1.85', '-1.54', '2', '3', 13, -19, '9', '12', '9.43']
['UNI-USDT', '5m', 'UNI-USDT', '2021-08-01', '2021-12-30', '26', '-20.08', '-39.35', -41, '42', '-0.04', '-0.86', '-1.03', '3', '4', 16, -18, '11', '15', '-21.11']
