iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_bandwidth
100,LTgU\,0.3065841171908714,46,110,83.79,50,24,17.38,64,197,218,58,265
100,JB@Aa,0.297681161071641,45,116,66.52,44,27,19.25,64,190,163,46,275
100,Apktf,0.2932170032936231,48,94,76.46,45,20,11.78,61,207,223,78,286
100,"EC??,",0.2815917099102235,38,236,89.91,51,39,35.67,62,190,162,45,168
100,",vqTh",0.2740191315307478,48,96,64.36,45,22,19.3,56,210,232,58,290
100,Ja*hk,0.2700617965192972,46,86,64.54,55,20,23.54,64,202,133,71,296
100,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
100,FJsrU,0.2647351934741188,44,129,103.85,48,27,20.57,63,193,234,77,251
100,G`@79,0.26411331642861197,41,198,65.52,48,37,27.19,63,201,163,39,194
100,m3)6h,0.24927626151142826,50,92,51.58,54,22,18.83,72,184,131,39,290
100,JYO(s,0.24817055931869653,54,73,49.77,55,20,16.82,64,199,184,30,312
100,UWV]K,0.2476441447337412,38,149,73.56,43,30,23.83,66,198,194,64,231
100,GTNZ^,0.2463890883540453,46,113,60.32,41,24,18.71,63,197,183,62,269
100,CCZ4i,0.2443230079546222,44,99,62.65,54,22,24.92,62,190,200,38,292
100,:k[qk,0.24236913021038045,50,86,64.28,50,20,21.84,60,205,201,76,296
100,OWvpZ,0.2372216133925216,46,115,63.79,47,23,14.11,65,198,239,76,261
100,V2.TA,0.23648250922030906,40,191,85.56,55,34,36.15,67,184,138,58,211
100,1uRG],0.2313024249752624,41,125,68.09,44,27,27.31,57,209,188,50,267
100,Maepo,0.22774963390952777,51,70,62.21,44,18,11.23,64,202,215,76,304
100,GFQ`S,0.21786934860274051,38,143,79.62,40,27,18.05,63,191,187,65,247
200,BoCvk,0.5393843499080208,55,81,102.46,45,22,15.63,62,207,168,79,296
200,CM=D^,0.5150894079059095,46,125,99.35,40,27,17.94,62,194,159,48,269
200,4Z[Sl,0.509637559140026,49,87,74.62,52,21,27.5,58,199,201,57,298
200,PWlt@,0.46787377006884046,42,165,127.36,45,31,22.46,65,198,225,78,209
200,IHhmd,0.4325656039978914,49,99,96.96,45,22,19.85,63,192,219,74,282
200,FGU/e,0.40931131054802444,50,106,82.88,48,25,21.83,63,192,193,34,284
200,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
200,@F1pe,0.32049949962581614,42,109,60.82,54,22,25.67,61,191,143,76,284
200,LTgU\,0.3065841171908714,46,110,83.79,50,24,17.38,64,197,218,58,265
200,JB@Aa,0.297681161071641,45,116,66.52,44,27,19.25,64,190,163,46,275
200,"EC??,",0.2815917099102235,38,236,89.91,51,39,35.67,62,190,162,45,168
200,",vqTh",0.2740191315307478,48,96,64.36,45,22,19.3,56,210,232,58,290
200,@FQ`e,0.2684916926615998,42,107,61.89,54,22,26.22,61,191,187,65,284
200,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
200,FJsrU,0.2647351934741188,44,129,103.85,48,27,20.57,63,193,234,77,251
200,G`@79,0.26411331642861197,41,198,65.52,48,37,27.19,63,201,163,39,194
200,m3)6h,0.24927626151142826,50,92,51.58,54,22,18.83,72,184,131,39,290
200,JYO(s,0.24817055931869653,54,73,49.77,55,20,16.82,64,199,184,30,312
200,UWV]K,0.2476441447337412,38,149,73.56,43,30,23.83,66,198,194,64,231
200,CCZ4i,0.2443230079546222,44,99,62.65,54,22,24.92,62,190,200,38,292
200,:k[qk,0.24236913021038045,50,86,64.28,50,20,21.84,60,205,201,76,296
200,OWvpZ,0.2372216133925216,46,115,63.79,47,23,14.11,65,198,239,76,261
200,V2.TA,0.23648250922030906,40,191,85.56,55,34,36.15,67,184,138,58,211
200,1uRG],0.2313024249752624,41,125,68.09,44,27,27.31,57,209,188,50,267
200,@F_`e,0.22909280954855643,43,104,54.92,54,22,24.73,61,191,207,65,284
200,Maepo,0.22774963390952777,51,70,62.21,44,18,11.23,64,202,215,76,304
200,GFQ`S,0.21786934860274051,38,143,79.62,40,27,18.05,63,191,187,65,247
200,@FY`e,0.21652946671775775,42,105,50.67,54,22,24.06,61,191,198,65,284
200,Cp/)G,0.21265776174914824,48,182,47.12,62,40,41.93,62,207,140,31,223
200,3U*Mq,0.2102041031077471,48,80,40.88,47,21,16.89,58,197,133,53,308
300,FFU\e,0.6889766949185321,49,103,146.86,39,23,19.54,63,191,193,63,284
300,IFhYd,0.5685382006997418,49,106,125.99,39,23,18.68,63,191,219,61,282
300,BoCvk,0.5393843499080208,55,81,102.46,45,22,15.63,62,207,168,79,296
300,CM=D^,0.5150894079059095,46,125,99.35,40,27,17.94,62,194,159,48,269
300,4Z[Sl,0.509637559140026,49,87,74.62,52,21,27.5,58,199,201,57,298
300,PWlt@,0.46787377006884046,42,165,127.36,45,31,22.46,65,198,225,78,209
300,IHhmd,0.4325656039978914,49,99,96.96,45,22,19.85,63,192,219,74,282
300,FGU/e,0.40931131054802444,50,106,82.88,48,25,21.83,63,192,193,34,284
300,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
300,@F1pe,0.32049949962581614,42,109,60.82,54,22,25.67,61,191,143,76,284
300,LTgU\,0.3065841171908714,46,110,83.79,50,24,17.38,64,197,218,58,265
300,IFh`p,0.30513804050281795,50,72,82.22,45,20,23.56,63,191,219,65,306
300,JB@Aa,0.297681161071641,45,116,66.52,44,27,19.25,64,190,163,46,275
300,"EC??,",0.2815917099102235,38,236,89.91,51,39,35.67,62,190,162,45,168
300,",vqTh",0.2740191315307478,48,96,64.36,45,22,19.3,56,210,232,58,290
300,@FQ`e,0.2684916926615998,42,107,61.89,54,22,26.22,61,191,187,65,284
300,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
300,FJsrU,0.2647351934741188,44,129,103.85,48,27,20.57,63,193,234,77,251
300,G`@79,0.26411331642861197,41,198,65.52,48,37,27.19,63,201,163,39,194
300,m3)6h,0.24927626151142826,50,92,51.58,54,22,18.83,72,184,131,39,290
300,JYO(s,0.24817055931869653,54,73,49.77,55,20,16.82,64,199,184,30,312
300,FbU`e,0.24390521636293264,51,94,60.77,47,23,24.83,63,202,193,65,284
300,:k[qk,0.24236913021038045,50,86,64.28,50,20,21.84,60,205,201,76,296
300,OWvpZ,0.2372216133925216,46,115,63.79,47,23,14.11,65,198,239,76,261
300,V2.TA,0.23648250922030906,40,191,85.56,55,34,36.15,67,184,138,58,211
300,1uRG],0.2313024249752624,41,125,68.09,44,27,27.31,57,209,188,50,267
300,@F_`e,0.22909280954855643,43,104,54.92,54,22,24.73,61,191,207,65,284
300,Maepo,0.22774963390952777,51,70,62.21,44,18,11.23,64,202,215,76,304
300,IVh`d,0.22516607618484616,51,91,73.54,43,23,18.11,63,197,219,65,282
300,GFQ`S,0.21786934860274051,38,143,79.62,40,27,18.05,63,191,187,65,247
400,FFU\e,0.6889766949185321,49,103,146.86,39,23,19.54,63,191,193,63,284
400,IFhYd,0.5685382006997418,49,106,125.99,39,23,18.68,63,191,219,61,282
400,BoCvk,0.5393843499080208,55,81,102.46,45,22,15.63,62,207,168,79,296
400,4Z[Sl,0.509637559140026,49,87,74.62,52,21,27.5,58,199,201,57,298
400,PWlt@,0.46787377006884046,42,165,127.36,45,31,22.46,65,198,225,78,209
400,IHhmd,0.4325656039978914,49,99,96.96,45,22,19.85,63,192,219,74,282
400,FGU/e,0.40931131054802444,50,106,82.88,48,25,21.83,63,192,193,34,284
400,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
400,@F1pe,0.32049949962581614,42,109,60.82,54,22,25.67,61,191,143,76,284
400,LTgU\,0.3065841171908714,46,110,83.79,50,24,17.38,64,197,218,58,265
400,IFh`p,0.30513804050281795,50,72,82.22,45,20,23.56,63,191,219,65,306
400,JB@Aa,0.297681161071641,45,116,66.52,44,27,19.25,64,190,163,46,275
400,",vqTh",0.2740191315307478,48,96,64.36,45,22,19.3,56,210,232,58,290
400,@FQ`e,0.2684916926615998,42,107,61.89,54,22,26.22,61,191,187,65,284
400,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
400,FJsrU,0.2647351934741188,44,129,103.85,48,27,20.57,63,193,234,77,251
400,G`@79,0.26411331642861197,41,198,65.52,48,37,27.19,63,201,163,39,194
400,m3)6h,0.24927626151142826,50,92,51.58,54,22,18.83,72,184,131,39,290
400,JYO(s,0.24817055931869653,54,73,49.77,55,20,16.82,64,199,184,30,312
400,FbU`e,0.24390521636293264,51,94,60.77,47,23,24.83,63,202,193,65,284
400,:k[qk,0.24236913021038045,50,86,64.28,50,20,21.84,60,205,201,76,296
400,OWvpZ,0.2372216133925216,46,115,63.79,47,23,14.11,65,198,239,76,261
400,V2.TA,0.23648250922030906,40,191,85.56,55,34,36.15,67,184,138,58,211
400,1uRG],0.2313024249752624,41,125,68.09,44,27,27.31,57,209,188,50,267
400,@F_`e,0.22909280954855643,43,104,54.92,54,22,24.73,61,191,207,65,284
400,Maepo,0.22774963390952777,51,70,62.21,44,18,11.23,64,202,215,76,304
400,IVh`d,0.22516607618484616,51,91,73.54,43,23,18.11,63,197,219,65,282
400,GFQ`S,0.21786934860274051,38,143,79.62,40,27,18.05,63,191,187,65,247
400,3U*Mq,0.2102041031077471,48,80,40.88,47,21,16.89,58,197,133,53,308
400,Fs@6_,0.20694425060149232,45,113,46.92,61,26,29.85,63,208,163,39,271
500,FFU\e,0.6889766949185321,49,103,146.86,39,23,19.54,63,191,193,63,284
500,IFhYd,0.5685382006997418,49,106,125.99,39,23,18.68,63,191,219,61,282
500,BoCvk,0.5393843499080208,55,81,102.46,45,22,15.63,62,207,168,79,296
500,4Z[Sl,0.509637559140026,49,87,74.62,52,21,27.5,58,199,201,57,298
500,PWlt@,0.46787377006884046,42,165,127.36,45,31,22.46,65,198,225,78,209
500,IUhpc,0.45047810128602195,52,95,107.08,43,23,14.14,63,197,219,76,279
500,IFhbd,0.4433963494882238,49,103,112.92,39,23,20.15,63,191,219,67,282
500,IHhmd,0.4325656039978914,49,99,96.96,45,22,19.85,63,192,219,74,282
500,IVh`i,0.39632801301382814,53,81,94.31,43,23,18.11,63,197,219,65,292
500,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
500,Dahpd,0.3723524512034887,54,98,106.88,47,21,17.34,62,202,219,76,282
500,IFh+d,0.32962859001756883,49,112,98.1,40,25,17.47,63,191,219,32,282
500,@F1pe,0.32049949962581614,42,109,60.82,54,22,25.67,61,191,143,76,284
500,LTgU\,0.3065841171908714,46,110,83.79,50,24,17.38,64,197,218,58,265
500,IFh`p,0.30513804050281795,50,72,82.22,45,20,23.56,63,191,219,65,306
500,JB@Aa,0.297681161071641,45,116,66.52,44,27,19.25,64,190,163,46,275
500,IahQf,0.2948145112257617,50,95,68.38,45,22,22.39,63,202,219,56,286
500,@FQ`e,0.2684916926615998,42,107,61.89,54,22,26.22,61,191,187,65,284
500,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
500,FJsrU,0.2647351934741188,44,129,103.85,48,27,20.57,63,193,234,77,251
500,G`@79,0.26411331642861197,41,198,65.52,48,37,27.19,63,201,163,39,194
500,m3)6h,0.24927626151142826,50,92,51.58,54,22,18.83,72,184,131,39,290
500,JYO(s,0.24817055931869653,54,73,49.77,55,20,16.82,64,199,184,30,312
500,FbU`e,0.24390521636293264,51,94,60.77,47,23,24.83,63,202,193,65,284
500,:k[qk,0.24236913021038045,50,86,64.28,50,20,21.84,60,205,201,76,296
500,IUhpd,0.24219757496785047,52,90,79.6,43,23,14.14,63,197,219,76,282
500,OWvpZ,0.2372216133925216,46,115,63.79,47,23,14.11,65,198,239,76,261
500,V2.TA,0.23648250922030906,40,191,85.56,55,34,36.15,67,184,138,58,211
500,IUYpd,0.23625335431484945,52,90,74.56,43,23,15.19,63,197,198,76,282
500,IUhad,0.23034301497298137,51,91,75.32,43,23,18.35,63,197,219,66,282
600,FFU\e,0.6889766949185321,49,103,146.86,39,23,19.54,63,191,193,63,284
600,IFhYd,0.5685382006997418,49,106,125.99,39,23,18.68,63,191,219,61,282
600,PWlt@,0.46787377006884046,42,165,127.36,45,31,22.46,65,198,225,78,209
600,IUhpc,0.45047810128602195,52,95,107.08,43,23,14.14,63,197,219,76,279
600,IUhtc,0.4478796996161321,52,95,106.46,43,23,14.14,63,197,219,78,279
600,IFhbd,0.4433963494882238,49,103,112.92,39,23,20.15,63,191,219,67,282
600,IUh_c,0.4039986342158951,52,96,95.66,43,23,18.11,63,197,219,65,279
600,IUhcc,0.3986817974855549,52,95,94.58,43,23,15.63,63,197,219,67,279
600,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
600,Dahpd,0.3723524512034887,54,98,106.88,47,21,17.34,62,202,219,76,282
600,IUh5c,0.33802585658937334,50,101,80.11,43,23,17.16,63,197,219,38,279
600,@F1pe,0.32049949962581614,42,109,60.82,54,22,25.67,61,191,143,76,284
600,IUhpf,0.31799183589991553,52,85,85.72,43,23,14.14,63,197,219,76,286
600,IUhBc,0.31083804520035757,50,99,72.58,39,23,17.99,63,197,219,46,279
600,LTgU\,0.3065841171908714,46,110,83.79,50,24,17.38,64,197,218,58,265
600,IFh`p,0.30513804050281795,50,72,82.22,45,20,23.56,63,191,219,65,306
600,JB@Aa,0.297681161071641,45,116,66.52,44,27,19.25,64,190,163,46,275
600,IahQf,0.2948145112257617,50,95,68.38,45,22,22.39,63,202,219,56,286
600,@FQ`e,0.2684916926615998,42,107,61.89,54,22,26.22,61,191,187,65,284
600,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
600,FJsrU,0.2647351934741188,44,129,103.85,48,27,20.57,63,193,234,77,251
600,G`@79,0.26411331642861197,41,198,65.52,48,37,27.19,63,201,163,39,194
600,IUhpQ,0.25378079159183176,42,130,65.29,46,28,23.01,63,197,219,76,243
600,JYO(s,0.24817055931869653,54,73,49.77,55,20,16.82,64,199,184,30,312
600,FbU`e,0.24390521636293264,51,94,60.77,47,23,24.83,63,202,193,65,284
600,IUhpd,0.24219757496785047,52,90,79.6,43,23,14.14,63,197,219,76,282
600,IUhpd,0.24219757496785047,52,90,79.6,43,23,14.14,63,197,219,76,282
600,OWvpZ,0.2372216133925216,46,115,63.79,47,23,14.11,65,198,239,76,261
600,IU5pd,0.23677058557186126,48,95,67.78,45,24,20.19,63,197,148,76,282
600,V2.TA,0.23648250922030906,40,191,85.56,55,34,36.15,67,184,138,58,211
700,FFU\e,0.6889766949185321,49,103,146.86,39,23,19.54,63,191,193,63,284
700,IFhYd,0.5685382006997418,49,106,125.99,39,23,18.68,63,191,219,61,282
700,I`h(c,0.5499035077008867,52,108,95.31,42,26,11.81,63,201,219,30,279
700,IPhpc,0.4720240063234941,51,100,105.88,43,23,14.72,63,195,219,76,279
700,IMh.c,0.469264833245021,47,113,102.5,45,22,16.47,63,194,219,34,279
700,IFhtd,0.4650103634827304,50,102,118.74,39,23,15.75,63,191,219,78,282
700,IUhpc,0.45047810128602195,52,95,107.08,43,23,14.14,63,197,219,76,279
700,IFhbd,0.4433963494882238,49,103,112.92,39,23,20.15,63,191,219,67,282
700,IUh_c,0.4039986342158951,52,96,95.66,43,23,18.11,63,197,219,65,279
700,IU;pc,0.4010946066222705,50,100,96.47,45,24,21.48,63,197,156,76,279
700,IUhcc,0.3986817974855549,52,95,94.58,43,23,15.63,63,197,219,67,279
700,IUwpc,0.38069914632987706,52,95,93.26,43,23,14.14,63,197,240,76,279
700,IUvpc,0.37982627615647463,52,95,92.9,43,23,14.14,63,197,239,76,279
700,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
700,Dahpd,0.3723524512034887,54,98,106.88,47,21,17.34,62,202,219,76,282
700,IUhpa,0.371772408091375,48,101,86.88,41,24,14.04,63,197,219,76,275
700,ILhpd,0.3510191840178367,47,98,88.34,45,22,16.66,63,194,219,76,282
700,IFh-d,0.35053809675157827,49,112,101.97,40,25,18.59,63,191,219,33,282
700,IUh5c,0.33802585658937334,50,101,80.11,43,23,17.16,63,197,219,38,279
700,IPh7c,0.32622455718590043,48,107,71.51,43,23,18.77,63,195,219,39,279
700,@F1pe,0.32049949962581614,42,109,60.82,54,22,25.67,61,191,143,76,284
700,IUhBc,0.31083804520035757,50,99,72.58,39,23,17.99,63,197,219,46,279
700,LTgU\,0.3065841171908714,46,110,83.79,50,24,17.38,64,197,218,58,265
700,IahQf,0.2948145112257617,50,95,68.38,45,22,22.39,63,202,219,56,286
700,I@hpd,0.2835550931644561,50,98,69.99,39,23,15.87,63,189,219,76,282
700,IMh7c,0.2815767259871785,46,110,69.4,45,22,20.84,63,194,219,39,279
700,I`h]c,0.2758930528342678,50,100,72.34,44,25,17.73,63,201,219,64,279
700,@FQ`e,0.2684916926615998,42,107,61.89,54,22,26.22,61,191,187,65,284
700,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
700,FJsrU,0.2647351934741188,44,129,103.85,48,27,20.57,63,193,234,77,251
800,FFU\e,0.6889766949185321,49,103,146.86,39,23,19.54,63,191,193,63,284
800,IFhYd,0.5685382006997418,49,106,125.99,39,23,18.68,63,191,219,61,282
800,IPhpc,0.4720240063234941,51,100,105.88,43,23,14.72,63,195,219,76,279
800,IMh.c,0.469264833245021,47,113,102.5,45,22,16.47,63,194,219,34,279
800,IFhtd,0.4650103634827304,50,102,118.74,39,23,15.75,63,191,219,78,282
800,IUhpc,0.45047810128602195,52,95,107.08,43,23,14.14,63,197,219,76,279
800,IFhbd,0.4433963494882238,49,103,112.92,39,23,20.15,63,191,219,67,282
800,IahQU,0.4168903712357879,45,131,92.47,45,24,18.15,63,202,219,56,251
800,IahQU,0.4168903712357879,45,131,92.47,45,24,18.15,63,202,219,56,251
800,IUh_c,0.4039986342158951,52,96,95.66,43,23,18.11,63,197,219,65,279
800,IU;pc,0.4010946066222705,50,100,96.47,45,24,21.48,63,197,156,76,279
800,IUhcc,0.3986817974855549,52,95,94.58,43,23,15.63,63,197,219,67,279
800,IUwpc,0.38069914632987706,52,95,93.26,43,23,14.14,63,197,240,76,279
800,IUvpc,0.37982627615647463,52,95,92.9,43,23,14.14,63,197,239,76,279
800,1fT-h,0.3783631154255365,48,94,66.25,47,23,15.96,57,204,191,33,290
800,Dahpd,0.3723524512034887,54,98,106.88,47,21,17.34,62,202,219,76,282
800,IUhpa,0.371772408091375,48,101,86.88,41,24,14.04,63,197,219,76,275
800,I@hei,0.3586876781882857,48,90,78.12,39,23,17.33,63,189,219,69,292
800,ILhpd,0.3510191840178367,47,98,88.34,45,22,16.66,63,194,219,76,282
800,IFh-d,0.35053809675157827,49,112,101.97,40,25,18.59,63,191,219,33,282
800,I@hpk,0.3201787177710422,48,86,70.24,40,22,17.2,63,189,219,76,296
800,IUhBc,0.31083804520035757,50,99,72.58,39,23,17.99,63,197,219,46,279
800,I@hed,0.29149676577608347,49,99,71.8,39,23,17.33,63,189,219,69,282
800,G@hed,0.29149676577608347,49,99,71.8,39,23,17.33,63,189,219,69,282
800,I@lpd,0.28860232293748167,50,98,71.92,39,23,15.87,63,189,225,76,282
800,I@hpd,0.2835550931644561,50,98,69.99,39,23,15.87,63,189,219,76,282
800,IMh7c,0.2815767259871785,46,110,69.4,45,22,20.84,63,194,219,39,279
800,I`h]c,0.2758930528342678,50,100,72.34,44,25,17.73,63,201,219,64,279
800,@FQ`e,0.2684916926615998,42,107,61.89,54,22,26.22,61,191,187,65,284
800,rwKNA,0.2658568897974148,43,149,74.08,58,31,46.44,74,210,179,54,211
900,FFU\e,0.6889766949185321,49,103,146.86,39,23,19.54,63,191,193,63,284
900,IFhYd,0.5685382006997418,49,106,125.99,39,23,18.68,63,191,219,61,282
900,IPhpc,0.4720240063234941,51,100,105.88,43,23,14.72,63,195,219,76,279
900,IOhpc,0.4720240063234941,51,100,105.88,43,23,14.72,63,195,219,76,279
900,IMh.c,0.469264833245021,47,113,102.5,45,22,16.47,63,194,219,34,279
900,IFhtd,0.4650103634827304,50,102,118.74,39,23,15.75,63,191,219,78,282
900,IUhpc,0.45047810128602195,52,95,107.08,43,23,14.14,63,197,219,76,279
900,IThpc,0.45047810128602195,52,95,107.08,43,23,14.14,63,197,219,76,279
900,IUhpc,0.45047810128602195,52,95,107.08,43,23,14.14,63,197,219,76,279
900,IFhbd,0.4433963494882238,49,103,112.92,39,23,20.15,63,191,219,67,282
900,I@Wed,0.4308473196408205,49,102,87.67,39,23,17.95,63,189,195,69,282
900,IahQU,0.4168903712357879,45,131,92.47,45,24,18.15,63,202,219,56,251
900,IahQU,0.4168903712357879,45,131,92.47,45,24,18.15,63,202,219,56,251
900,IUh_c,0.4039986342158951,52,96,95.66,43,23,18.11,63,197,219,65,279
900,I@Oed,0.40333311055339915,48,103,80.11,39,23,20.32,63,189,184,69,282
900,IU;pc,0.4010946066222705,50,100,96.47,45,24,21.48,63,197,156,76,279
900,IUhcc,0.3986817974855549,52,95,94.58,43,23,15.63,63,197,219,67,279
900,IUwpc,0.38069914632987706,52,95,93.26,43,23,14.14,63,197,240,76,279
900,IUvpc,0.37982627615647463,52,95,92.9,43,23,14.14,63,197,239,76,279
900,IMhpc,0.373644130720322,48,103,93.14,45,22,16.66,63,194,219,76,279
900,IUhpa,0.371772408091375,48,101,86.88,41,24,14.04,63,197,219,76,275
900,I@5pc,0.3527721321736128,46,110,83.64,44,25,23.53,63,189,148,76,279
900,ILhpd,0.3510191840178367,47,98,88.34,45,22,16.66,63,194,219,76,282
900,IFh-d,0.35053809675157827,49,112,101.97,40,25,18.59,63,191,219,33,282
900,I@hpk,0.3201787177710422,48,86,70.24,40,22,17.2,63,189,219,76,296
900,IUhBc,0.31083804520035757,50,99,72.58,39,23,17.99,63,197,219,46,279
900,I@hwd,0.3025226958827315,50,98,74.87,39,23,15.87,63,189,219,80,282
900,I@hed,0.29149676577608347,49,99,71.8,39,23,17.33,63,189,219,69,282
900,G@hed,0.29149676577608347,49,99,71.8,39,23,17.33,63,189,219,69,282
900,I@hpd,0.2835550931644561,50,98,69.99,39,23,15.87,63,189,219,76,282
