['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-06-01', '2021-09-27', '19', '56.59', '-9.38', 296, '53', '2.88', '31.52', '4', '3', 4511, -462, '10', '9', '16.28']
['ETH-USDT', '5m', 'ETH-USDT', '2021-06-01', '2021-09-27', '20', '58.89', '-11.11', 314, '60', '3.18', '28.24', '4', '2', 2090, -684, '12', '8', '13.62']
['SOL-USDT', '5m', 'SOL-USDT', '2021-06-01', '2021-09-27', '6', '10.92', '-12.1', 37, '50', '0.96', '3.09', '2', '2', 2050, -482, '3', '3', '316.74']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-06-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-06-01', '2021-09-27', '9', '-45.43', '-58.51', -84, '33', '-1.36', '-1.44', '3', '5', 1636, -5644, '3', '6', '269.98']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-06-01', '2021-09-27', '6', '51.93', '-10.27', 261, '67', '3.18', '25.38', '4', '2', 2285, -772, '4', '2', '270.98']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-06-01', '2021-09-27', '10', '20.38', '-13.27', 77, '50', '1.31', '5.78', '3', '2', 1613, -856, '5', '5', '433.28']
['FIL-USDT', '5m', 'FIL-USDT', '2021-06-01', '2021-09-27', '7', '26.07', '-10.75', 104, '43', '2.3', '9.63', '1', '2', 1924, -525, '3', '4', '-22.78']
['ADA-USDT', '5m', 'ADA-USDT', '2021-06-01', '2021-09-27', '13', '16.41', '-14.85', 59, '46', '1.17', '4.0', '3', '3', 1614, -723, '6', '7', '27.71']
['COTI-USDT', '5m', 'COTI-USDT', '2021-06-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XRP-USDT', '5m', 'XRP-USDT', '2021-06-01', '2021-09-27', '15', '-18.18', '-19.43', -46, '27', '-1.27', '-2.36', '2', '4', 1139, -686, '4', '11', '-8.63']
