['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USD', '5m', 'BTC-USD', '2021-08-01', '2021-09-26', '10', '0.05', '-5.19', 0, '40', '0.11', '0.06', '3', '4', 292, -137, '4', '6', '2.93']
['ETH-USD', '5m', 'ETH-USD', '2021-08-01', '2021-09-26', '10', '17.1', '-3.71', 175, '50', '4.13', '47.17', '2', '2', 1072, -208, '5', '5', '15.37']
['SOL-USD', '5m', 'SOL-USD', '2021-08-01', '2021-09-26', '11', '3.63', '-7.16', 26, '36', '0.82', '3.59', '2', '2', 1100, -344, '4', '7', '270.31']
['AVAX-USD', '5m', 'AVAX-USD', '2021-08-01', '2021-09-26', '13', '10.47', '-16.6', 89, '38', '1.56', '5.37', '3', '3', 2260, -709, '5', '8', '402.64']
['FTT-USD', '5m', 'FTT-USD', '2021-08-01', '2021-09-26', '32', '-6.37', '-25.84', -34, '25', '-0.76', '-1.33', '1', '12', 1191, -330, '8', '24', '55.68']
['ATOM-USD', '5m', 'ATOM-USD', '2021-08-01', '2021-09-26', '13', '11.01', '-11.02', 95, '62', '1.62', '8.64', '5', '3', 693, -486, '8', '5', '212.87']
['LUNA-USD', '5m', 'LUNA-USD', '2021-08-01', '2021-09-26', '19', '-1.06', '-13.8', -7, '32', '0.08', '-0.48', '2', '3', 1279, -472, '6', '13', '258.16']
['ADA-USD', '5m', 'ADA-USD', '2021-08-01', '2021-09-26', '14', '1.28', '-7.46', 8, '43', '0.4', '1.13', '4', '3', 695, -344, '6', '8', '74.32']
['DOT-USD', '5m', 'DOT-USD', '2021-08-01', '2021-09-26', '6', '15.53', '-2.7', 152, '67', '4.12', '56.36', '4', '2', 751, -177, '4', '2', '77.95']
['MATIC-USD', '5m', 'MATIC-USD', '2021-08-01', '2021-09-26', '16', '-17.67', '-17.67', -71, '19', '-3.08', '-4.03', '2', '7', 652, -397, '3', '13', '3.85']
['XRP-USD', '5m', 'XRP-USD', '2021-08-01', '2021-09-26', '13', '-17.48', '-17.48', -71, '15', '-4.27', '-4.05', '1', '5', 154, -349, '2', '11', '25.94']
['LINK-USD', '5m', 'LINK-USD', '2021-08-01', '2021-09-26', '15', '-3.73', '-7.42', -22, '20', '-0.81', '-2.91', '1', '5', 749, -254, '3', '12', '7.93']
['ALGO-USD', '5m', 'ALGO-USD', '2021-08-01', '2021-09-26', '17', '4.95', '-7.93', 36, '47', '0.98', '4.57', '3', '3', 738, -416, '8', '9', '105.99']
['XTZ-USD', '5m', 'XTZ-USD', '2021-08-01', '2021-09-26', '21', '-10.33', '-11.39', -50, '24', '-1.49', '-4.41', '2', '8', 866, -369, '5', '16', '124.59']
['FTM-USD', '5m', 'FTM-USD', '2021-08-01', '2021-09-26', '23', '-34.53', '-39.43', -93, '35', '-2.92', '-2.37', '1', '3', 445, -2161, '8', '15', '385.12']
['SRM-USD', '5m', 'SRM-USD', '2021-08-01', '2021-09-26', '14', '-2.28', '-13.97', -14, '36', '-0.25', '-0.98', '2', '5', 750, -314, '5', '9', '87.06']
['AXS-USD', '5m', 'AXS-USD', '2021-08-01', '2021-09-26', '9', '-2.26', '-12.25', -14, '33', '-0.34', '-1.11', '1', '4', 633, -369, '3', '6', '53.96']
['DOGE-USD', '5m', 'DOGE-USD', '2021-08-01', '2021-09-26', '13', '-13.88', '-13.88', -62, '23', '-3.95', '-4.44', '1', '4', 336, -368, '3', '10', '0.43']
