['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-08-01', '2021-09-27', '71', '-9.71', '-21.45', -47, '28', '-0.77', '-2.21', '2', '10', 1237, -451, '20', '51', '4.15']
['ETH-USDT', '5m', 'ETH-USDT', '2021-08-01', '2021-09-27', '79', '31.86', '-15.24', 470, '41', '2.6', '30.84', '4', '6', 1217, -537, '32', '47', '20.81']
['SOL-USDT', '5m', 'SOL-USDT', '2021-08-01', '2021-09-27', '99', '-15.11', '-36.19', -64, '37', '-0.46', '-1.78', '4', '7', 1202, -493, '37', '62', '269.42']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-08-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-08-01', '2021-09-27', '131', '-58.69', '-63.99', -100, '38', '-3.82', '-1.56', '4', '8', 1275, -887, '50', '81', '359.71']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-08-01', '2021-09-27', '133', '-54.52', '-59.98', -99, '38', '-2.97', '-1.66', '5', '8', 1311, -876, '51', '82', '391.9']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-08-01', '2021-09-27', '121', '-39.84', '-50.88', -96, '38', '-2.2', '-1.89', '4', '7', 1420, -898, '46', '75', '228.1']
['FIL-USDT', '5m', 'FIL-USDT', '2021-08-01', '2021-09-27', '82', '1.73', '-25.9', 11, '38', '0.55', '0.44', '3', '6', 1372, -543, '31', '51', '7.38']
['ADA-USDT', '5m', 'ADA-USDT', '2021-08-01', '2021-09-27', '98', '5.82', '-16.02', 43, '38', '0.84', '2.67', '4', '7', 1488, -679, '37', '61', '67.23']
['COTI-USDT', '5m', 'COTI-USDT', '2021-08-01', '2021-09-27', '134', '-53.73', '-63.12', -99, '35', '-1.75', '-1.57', '3', '9', 1354, -497, '47', '87', '277.98']
['XRP-USDT', '5m', 'XRP-USDT', '2021-08-01', '2021-09-27', '95', '11.07', '-34.74', 94, '40', '1.16', '2.69', '4', '7', 1446, -648, '38', '57', '26.36']
