['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USD', '5m', 'BTC-USD', '2021-06-01', '2021-09-01', '21', '5.69', '-6.43', 24, '38', '1.35', '3.77', '2', '4', 984, -189, '8', '13', '26.9']
['ETH-USD', '5m', 'ETH-USD', '2021-06-01', '2021-09-01', '23', '25.83', '-8.09', 146, '43', '3.68', '18.09', '2', '2', 1458, -255, '10', '13', '27.43']
['SOL-USD', '5m', 'SOL-USD', '2021-06-01', '2021-09-01', '22', '26.88', '-16.25', 155, '41', '2.49', '9.51', '3', '7', 1618, -381, '9', '13', '232.53']
['AVAX-USD', '5m', 'AVAX-USD', '2021-06-01', '2021-09-01', '25', '28.08', '-9.32', 164, '32', '2.72', '17.62', '3', '5', 2185, -331, '8', '17', '119.11']
['FTT-USD', '5m', 'FTT-USD', '2021-06-01', '2021-09-01', '50', '-5.18', '-25.76', -19, '32', '-0.43', '-0.73', '6', '12', 1082, -341, '16', '34', '43.32']
['ATOM-USD', '5m', 'ATOM-USD', '2021-06-01', '2021-09-01', '19', '12.49', '-9.6', 59, '47', '1.53', '6.12', '5', '4', 718, -268, '9', '10', '64.54']
['LUNA-USD', '5m', 'LUNA-USD', '2021-06-01', '2021-09-01', '32', '-6.49', '-20.56', -23, '28', '-0.38', '-1.13', '2', '5', 1123, -384, '9', '23', '387.26']
['ADA-USD', '5m', 'ADA-USD', '2021-06-01', '2021-09-01', '22', '4.9', '-8.13', 21, '32', '0.77', '2.54', '2', '5', 800, -189, '7', '15', '60.18']
['DOT-USD', '5m', 'DOT-USD', '2021-06-01', '2021-09-01', '20', '23.51', '-9.65', 129, '45', '2.38', '13.38', '4', '6', 1252, -290, '9', '11', '35.27']
['MATIC-USD', '5m', 'MATIC-USD', '2021-06-01', '2021-09-01', '26', '10.07', '-14.0', 46, '46', '1.35', '3.27', '4', '7', 999, -411, '12', '14', '-28.02']
['XRP-USD', '5m', 'XRP-USD', '2021-06-01', '2021-09-01', '24', '-6.22', '-16.97', -22, '29', '-0.54', '-1.31', '3', '6', 637, -383, '7', '17', '14.84']
['LINK-USD', '5m', 'LINK-USD', '2021-06-01', '2021-09-01', '31', '3.63', '-9.74', 15, '39', '0.59', '1.54', '3', '5', 557, -318, '12', '19', '-16.05']
['ALGO-USD', '5m', 'ALGO-USD', '2021-06-01', '2021-09-01', '27', '5.64', '-10.55', 24, '33', '0.84', '2.28', '2', '4', 737, -295, '9', '18', '19.98']
['XTZ-USD', '5m', 'XTZ-USD', '2021-06-01', '2021-09-01', '27', '7.22', '-9.44', 31, '26', '1.02', '3.34', '2', '8', 1837, -272, '7', '20', '44.29']
['FTM-USD', '5m', 'FTM-USD', '2021-06-01', '2021-09-01', '29', '-11.02', '-23.43', -37, '34', '-1.01', '-1.57', '1', '5', 787, -527, '10', '19', '126.03']
['SRM-USD', '5m', 'SRM-USD', '2021-06-01', '2021-09-01', '27', '26.1', '-13.8', 148, '52', '2.92', '10.76', '5', '5', 1407, -420, '14', '13', '76.48']
['AXS-USD', '5m', 'AXS-USD', '2021-06-01', '2021-09-01', '26', '47.41', '-19.88', 359, '42', '2.82', '18.04', '5', '4', 4088, -708, '11', '15', '1375.64']
['DOGE-USD', '5m', 'DOGE-USD', '2021-06-01', '2021-09-01', '24', '4.64', '-13.37', 20, '33', '0.62', '1.46', '3', '4', 1444, -430, '8', '16', '-14.21']
['DYDX-USD', '5m', 'DYDX-USD', '2021-06-01', '2021-09-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BNB-USD', '5m', 'BNB-USD', '2021-06-01', '2021-09-01', '26', '5.47', '-8.63', 23, '38', '0.86', '2.69', '5', '5', 668, -265, '10', '16', '32.1']
['SUSHI-USD', '5m', 'SUSHI-USD', '2021-06-01', '2021-09-01', '30', '11.55', '-9.78', 54, '37', '1.31', '5.47', '3', '3', 1006, -474, '11', '19', '-2.72']
['LTC-USD', '5m', 'LTC-USD', '2021-06-01', '2021-09-01', '27', '12.72', '-14.13', 60, '37', '1.85', '4.24', '2', '9', 859, -256, '10', '17', '-8.32']
['EOS-USD', '5m', 'EOS-USD', '2021-06-01', '2021-09-01', '26', '25.09', '-6.7', 141, '50', '2.75', '21.02', '4', '3', 817, -336, '13', '13', '-23.39']
['NEAR-USD', '5m', 'NEAR-USD', '2021-06-01', '2021-09-01', '26', '18.29', '-12.27', 93, '42', '1.53', '7.6', '3', '4', 2130, -458, '11', '15', '58.65']
['SLP-USD', '5m', 'SLP-USD', '2021-06-01', '2021-09-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BCH-USD', '5m', 'BCH-USD', '2021-06-01', '2021-09-01', '31', '18.01', '-11.43', 92, '42', '2.23', '8.0', '3', '6', 1363, -357, '13', '18', '-8.98']
['OMG-USD', '5m', 'OMG-USD', '2021-06-01', '2021-09-01', '20', '6.37', '-11.78', 27, '35', '0.96', '2.33', '2', '3', 954, -464, '7', '13', '-3.4']
['UNI-USD', '5m', 'UNI-USD', '2021-06-01', '2021-09-01', '30', '2.76', '-11.67', 11, '27', '0.48', '0.97', '2', '6', 1062, -446, '8', '22', '4.59']
['CRV-USD', '5m', 'CRV-USD', '2021-06-01', '2021-09-01', '31', '7.08', '-11.86', 31, '45', '0.88', '2.6', '2', '3', 783, -410, '14', '17', '14.6']
['RUNE-USD', '5m', 'RUNE-USD', '2021-06-01', '2021-09-01', '31', '11.62', '-22.22', 54, '42', '1.17', '2.43', '4', '4', 1766, -477, '13', '18', '-21.04']
['AAVE-USD', '5m', 'AAVE-USD', '2021-06-01', '2021-09-01', '38', '9.49', '-13.92', 43, '32', '1.14', '3.07', '2', '5', 1220, -351, '12', '26', '3.04']
['FIL-USD', '5m', 'FIL-USD', '2021-06-01', '2021-09-01', '16', '56.41', '-5.43', 479, '56', '4.56', '88.13', '2', '2', 1559, -289, '9', '7', '5.25']
['RAY-USD', '5m', 'RAY-USD', '2021-06-01', '2021-09-01', '36', '23.69', '-19.25', 130, '33', '1.77', '6.77', '3', '8', 2909, -668, '12', '24', '132.04']
['EGLD-USD', '5m', 'EGLD-USD', '2021-06-01', '2021-09-01', '18', '-0.94', '-12.65', -4, '39', '-0.04', '-0.29', '3', '6', 544, -320, '7', '11', '64.23']
['AR-USD', '5m', 'AR-USD', '2021-06-01', '2021-09-01', '34', '28.67', '-16.96', 169, '35', '1.88', '9.96', '2', '7', 1794, -420, '12', '22', '333.09']
['VET-USD', '5m', 'VET-USD', '2021-06-01', '2021-09-01', '24', '-5.97', '-12.26', -21, '29', '-0.73', '-1.75', '2', '7', 680, -277, '7', '17', '-1.05']
['HBAR-USD', '5m', 'HBAR-USD', '2021-06-01', '2021-09-01', '20', '3.78', '-12.34', 16, '45', '0.62', '1.27', '4', '4', 756, -278, '9', '11', '8.6']
['XLM-USD', '5m', 'XLM-USD', '2021-06-01', '2021-09-01', '34', '-3.63', '-12.17', -14, '26', '-0.21', '-1.11', '3', '7', 884, -252, '9', '25', '-15.26']
['TRX-USD', '5m', 'TRX-USD', '2021-06-01', '2021-09-01', '23', '-1.89', '-10.15', -7, '13', '-0.14', '-0.71', '1', '7', 850, -197, '3', '20', '16.33']
['THETA-USD', '5m', 'THETA-USD', '2021-06-01', '2021-09-01', '24', '-6.36', '-13.84', -23, '38', '-1.23', '-1.64', '2', '9', 346, -256, '9', '15', '-5.25']
['DEFI-USD', '5m', 'DEFI-USD', '2021-06-01', '2021-09-01', '31', '9.23', '-11.29', 41, '35', '1.15', '3.67', '2', '6', 637, -424, '11', '20', '15.3']
['GRT-USD', '5m', 'GRT-USD', '2021-06-01', '2021-09-01', '34', '11.14', '-9.57', 51, '44', '1.25', '5.37', '4', '4', 1160, -409, '15', '19', '8.67']
['1INCH-USD', '5m', '1INCH-USD', '2021-06-01', '2021-09-01', '29', '-6.08', '-10.02', -22, '34', '-0.7', '-2.18', '2', '5', 617, -334, '10', '19', '-4.28']
['FLOW-USD', '5m', 'FLOW-USD', '2021-06-01', '2021-09-01', '39', '50.65', '-10.52', 399, '38', '2.97', '37.97', '3', '4', 2992, -941, '15', '24', '80.23']
['SAND-USD', '5m', 'SAND-USD', '2021-06-01', '2021-09-01', '14', '37.9', '-13.72', 253, '50', '2.98', '18.44', '6', '5', 2318, -432, '7', '7', '187.79']
['COMP-USD', '5m', 'COMP-USD', '2021-06-01', '2021-09-01', '33', '20.96', '-15.59', 111, '42', '1.92', '7.12', '3', '6', 2235, -440, '14', '19', '2.08']
['SNX-USD', '5m', 'SNX-USD', '2021-06-01', '2021-09-01', '25', '17.89', '-8.75', 91, '40', '1.92', '10.37', '3', '3', 1933, -310, '10', '15', '-12.59']
['ALT-USD', '5m', 'ALT-USD', '2021-06-01', '2021-09-01', '25', '9.47', '-11.01', 43, '32', '1.41', '3.88', '4', '6', 866, -317, '8', '17', '27.49']
['CHZ-USD', '5m', 'CHZ-USD', '2021-06-01', '2021-09-01', '24', '-16.08', '-19.75', -50, '33', '-1.9', '-2.52', '3', '8', 485, -452, '8', '16', '30.44']
['ICP-USD', '5m', 'ICP-USD', '2021-06-01', '2021-09-01', '28', '-17.5', '-21.69', -53, '29', '-1.59', '-2.44', '2', '6', 828, -442, '8', '20', '-44.95']
['KSM-USD', '5m', 'KSM-USD', '2021-06-01', '2021-09-01', '21', '11.02', '-8.7', 51, '24', '1.12', '5.83', '1', '6', 1714, -438, '5', '16', '7.78']
['STEP-USD', '5m', 'STEP-USD', '2021-06-01', '2021-09-01', '41', '58.61', '-21.92', 511, '44', '3.21', '23.33', '4', '6', 3430, -1235, '18', '23', '-49.8']
