['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-09-01', '2021-09-27', '37', '-12.03', '-18.76', -82, '24', '-2.67', '-4.39', '2', '10', 707, -276, '9', '28', '-8.39']
['ETH-USDT', '5m', 'ETH-USDT', '2021-09-01', '2021-09-27', '34', '40.78', '-6.82', 10089, '41', '6.45', '1480.24', '3', '6', 1304, -564, '14', '20', '-10.57']
['SOL-USDT', '5m', 'SOL-USDT', '2021-09-01', '2021-09-27', '47', '-4.03', '-23.61', -43, '36', '-0.09', '-1.81', '3', '6', 1416, -569, '17', '30', '26.24']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-09-01', '2021-09-27', '62', '-41.41', '-51.62', -100, '37', '-4.31', '-1.94', '2', '5', 1628, -1289, '23', '39', '64.93']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-09-01', '2021-09-27', '69', '-51.41', '-54.25', -100, '33', '-6.95', '-1.84', '4', '8', 987, -639, '23', '46', '69.73']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-09-01', '2021-09-27', '62', '-47.98', '-47.98', -100, '31', '-7.67', '-2.08', '3', '6', 1110, -795, '19', '43', '10.14']
['FIL-USDT', '5m', 'FIL-USDT', '2021-09-01', '2021-09-27', '38', '23.24', '-21.92', 1586, '39', '3.17', '72.36', '3', '5', 1696, -651, '15', '23', '-26.45']
['ADA-USDT', '5m', 'ADA-USDT', '2021-09-01', '2021-09-27', '44', '7.69', '-15.83', 172, '43', '1.51', '10.87', '4', '7', 1363, -691, '19', '25', '-20.25']
['COTI-USDT', '5m', 'COTI-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XRP-USDT', '5m', 'XRP-USDT', '2021-09-01', '2021-09-27', '39', '28.81', '-9.37', 2965, '41', '4.16', '316.27', '3', '4', 1624, -425, '16', '23', '-20.28']
['UNI-USDT', '5m', 'UNI-USDT', '2021-09-01', '2021-09-27', '45', '19.49', '-26.11', 1011, '42', '2.54', '38.71', '2', '4', 1453, -444, '19', '26', '-17.95']
['DOT-USDT', '5m', 'DOT-USDT', '2021-09-01', '2021-09-27', '52', '-9.47', '-34.65', -74, '35', '-0.57', '-2.13', '4', '6', 1812, -485, '18', '34', '-7.33']
['BNB-USDT', '5m', 'BNB-USDT', '2021-09-01', '2021-09-27', '41', '11.92', '-13.02', 358, '37', '2.37', '27.52', '2', '6', 1461, -294, '15', '26', '-25.71']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-09-01', '2021-09-27', '60', '-23.87', '-40.95', -97, '37', '-1.05', '-2.38', '4', '7', 2605, -900, '22', '38', '73.86']
['CELR-USDT', '5m', 'CELR-USDT', '2021-09-01', '2021-09-27', '59', '49.54', '-25.86', 22934, '42', '4.54', '887.0', '4', '5', 2851, -1186, '25', '34', '251.05']
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-09-01', '2021-09-27', '50', '-36.37', '-41.33', -100, '36', '-3.6', '-2.41', '3', '6', 998, -705, '18', '32', '26.46']
['LINK-USDT', '5m', 'LINK-USDT', '2021-09-01', '2021-09-27', '40', '16.97', '-17.1', 733, '45', '2.67', '42.85', '3', '4', 1298, -785, '18', '22', '-7.65']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LTC-USDT', '5m', 'LTC-USDT', '2021-09-01', '2021-09-27', '40', '16.08', '-24.4', 650, '40', '2.36', '26.65', '6', '7', 1917, -639, '16', '24', '-12.04']
['EOS-USDT', '5m', 'EOS-USDT', '2021-09-01', '2021-09-27', '44', '0.47', '-20.37', 6, '34', '0.54', '0.32', '2', '6', 1176, -710, '15', '29', '-20.98']
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-09-01', '2021-09-27', '53', '-6.32', '-23.71', -59, '43', '-0.14', '-2.47', '4', '5', 2281, -908, '23', '30', '59.8']
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-09-01', '2021-09-27', '53', '-26.4', '-31.57', -98, '25', '-3.49', '-3.12', '2', '9', 1644, -399, '13', '40', '-26.17']
['CRV-USDT', '5m', 'CRV-USDT', '2021-09-01', '2021-09-27', '50', '27.33', '-22.84', 2522, '44', '3.39', '110.46', '3', '4', 1353, -470, '22', '28', '13.95']
['MATIC-USDT', '5m', 'MATIC-USDT', '2021-09-01', '2021-09-27', '48', '-8.09', '-37.62', -68, '33', '-0.12', '-1.81', '5', '12', 2032, -733, '16', '32', '-15.85']
['AXS-USDT', '5m', 'AXS-USDT', '2021-09-01', '2021-09-27', '50', '-19.49', '-36.92', -95, '34', '-1.92', '-2.56', '2', '5', 1887, -824, '17', '33', '-11.7']
['SRM-USDT', '5m', 'SRM-USDT', '2021-09-01', '2021-09-27', '58', '-10.12', '-44.93', -76, '40', '0.06', '-1.7', '3', '5', 1983, -1029, '23', '35', '-8.27']
['REN-USDT', '5m', 'REN-USDT', '2021-09-01', '2021-09-27', '51', '28.67', '-18.5', 2918, '43', '3.23', '157.76', '3', '8', 1666, -1191, '22', '29', '50.75']
['ONE-USDT', '5m', 'ONE-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ETC-USDT', '5m', 'ETC-USDT', '2021-09-01', '2021-09-27', '43', '21.44', '-24.69', 1282, '37', '2.89', '51.95', '3', '9', 2260, -573, '16', '27', '-25.97']
['BCH-USDT', '5m', 'BCH-USDT', '2021-09-01', '2021-09-27', '35', '6.3', '-18.27', 128, '37', '1.5', '7.02', '2', '5', 996, -728, '13', '22', '-20.83']
['ICP-USDT', '5m', 'ICP-USDT', '2021-09-01', '2021-09-27', '51', '-8.47', '-24.31', -70, '41', '-0.57', '-2.87', '3', '5', 1299, -631, '21', '30', '-30.17']
['AAVE-USDT', '5m', 'AAVE-USDT', '2021-09-01', '2021-09-27', '43', '-3.5', '-17.89', -38, '33', '0.03', '-2.14', '2', '9', 1537, -381, '14', '29', '-24.98']
['1INCH-USDT', '5m', '1INCH-USDT', '2021-09-01', '2021-09-27', '50', '5.98', '-23.15', 119, '36', '1.24', '5.15', '3', '6', 1192, -482, '18', '32', '-12.08']
['ALICE-USDT', '5m', 'ALICE-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEAR-USDT', '5m', 'NEAR-USDT', '2021-09-01', '2021-09-27', '48', '-23.33', '-53.89', -97, '46', '-1.22', '-1.8', '2', '4', 1028, -4077, '22', '26', '38.84']
['BZRX-USDT', '5m', 'BZRX-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OMG-USDT', '5m', 'OMG-USDT', '2021-09-01', '2021-09-27', '59', '-18.78', '-31.01', -94, '34', '-1.44', '-3.03', '3', '5', 1508, -724, '20', '39', '43.52']
['TRX-USDT', '5m', 'TRX-USDT', '2021-09-01', '2021-09-27', '50', '-30.16', '-40.09', -99, '26', '-4.8', '-2.48', '2', '9', 623, -392, '13', '37', '-1.07']
['BAKE-USDT', '5m', 'BAKE-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GALA-USDT', '5m', 'GALA-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '5m', 'THETA-USDT', '2021-09-01', '2021-09-27', '41', '31.05', '-20.06', 3770, '39', '3.28', '187.92', '2', '5', 3475, -819, '16', '25', '-23.21']
['EGLD-USDT', '5m', 'EGLD-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RUNE-USDT', '5m', 'RUNE-USDT', '2021-09-01', '2021-09-27', '44', '11.74', '-14.06', 349, '48', '1.94', '24.78', '4', '3', 1369, -786, '21', '23', '-26.44']
['IOTX-USDT', '5m', 'IOTX-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['C98-USDT', '5m', 'C98-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TLM-USDT', '5m', 'TLM-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['IOST-USDT', '5m', 'IOST-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KSM-USDT', '5m', 'KSM-USDT', '2021-09-01', '2021-09-27', '61', '-36.61', '-46.2', -100, '38', '-3.98', '-2.16', '5', '8', 1043, -446, '23', '38', '-17.62']
['SXP-USDT', '5m', 'SXP-USDT', '2021-09-01', '2021-09-27', '49', '-19.32', '-40.69', -95, '31', '-1.63', '-2.32', '2', '7', 1970, -704, '15', '34', '-40.35']
['VET-USDT', '5m', 'VET-USDT', '2021-09-01', '2021-09-27', '40', '15.16', '-19.02', 574, '40', '2.23', '30.2', '2', '4', 1771, -708, '16', '24', '-25.27']
['XLM-USDT', '5m', 'XLM-USDT', '2021-09-01', '2021-09-27', '48', '2.34', '-17.73', 37, '35', '0.79', '2.07', '2', '5', 1423, -411, '17', '31', '-18.61']
['RAY-USDT', '5m', 'RAY-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GRT-USDT', '5m', 'GRT-USDT', '2021-09-01', '2021-09-27', '53', '-25.84', '-33.97', -98, '36', '-3.43', '-2.89', '2', '5', 1234, -1245, '19', '34', '-21.21']
['KAVA-USDT', '5m', 'KAVA-USDT', '2021-09-01', '2021-09-27', '42', '-14.64', '-37.64', -88, '31', '-1.52', '-2.34', '4', '9', 851, -502, '13', '29', '-25.09']
['MASK-USDT', '5m', 'MASK-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DODO-USDT', '5m', 'DODO-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RLC-USDT', '5m', 'RLC-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1000SHIB-USDT', '5m', '1000SHIB-USDT', '2021-09-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['COMP-USDT', '5m', 'COMP-USDT', '2021-09-01', '2021-09-27', '47', '-1.62', '-29.5', -20, '34', '0.4', '-0.67', '2', '7', 1342, -633, '16', '31', '-19.66']
['WAVES-USDT', '5m', 'WAVES-USDT', '2021-09-01', '2021-09-27', '50', '-23.4', '-27.02', -97, '38', '-2.46', '-3.6', '3', '8', 870, -956, '19', '31', '-15.71']
['CHR-USDT', '5m', 'CHR-USDT', '2021-09-01', '2021-09-27', '51', '-42.13', '-48.43', -100, '29', '-4.52', '-2.06', '3', '8', 1562, -539, '15', '36', '-39.35']
