['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USD', '5m', 'BTC-USD', '2021-09-01', '2021-09-26', '24', '3.43', '-8.49', 61, '38', '1.71', '7.14', '4', '8', 575, -196, '9', '15', '-9.37']
['ETH-USD', '5m', 'ETH-USD', '2021-09-01', '2021-09-26', '26', '9.57', '-4.69', 261, '38', '3.41', '55.58', '2', '5', 715, -263, '10', '16', '-14.55']
['SOL-USD', '5m', 'SOL-USD', '2021-09-01', '2021-09-26', '31', '-2.04', '-12.73', -25, '39', '-0.36', '-1.97', '4', '7', 454, -363, '12', '19', '26.64']
['AVAX-USD', '5m', 'AVAX-USD', '2021-09-01', '2021-09-26', '32', '-8.88', '-18.49', -73, '47', '-1.71', '-3.94', '3', '7', 646, -661, '15', '17', '73.71']
['FTT-USD', '5m', 'FTT-USD', '2021-09-01', '2021-09-26', '43', '9.66', '-12.91', 265, '51', '2.7', '20.51', '5', '4', 695, -327, '22', '21', '13.37']
['ATOM-USD', '5m', 'ATOM-USD', '2021-09-01', '2021-09-26', '30', '-15.81', '-20.35', -91, '30', '-3.89', '-4.48', '5', '7', 522, -273, '9', '21', '72.58']
['LUNA-USD', '5m', 'LUNA-USD', '2021-09-01', '2021-09-26', '41', '-25.73', '-26.62', -98, '29', '-9.82', '-3.7', '4', '7', 338, -398, '12', '29', '20.36']
['ADA-USD', '5m', 'ADA-USD', '2021-09-01', '2021-09-26', '27', '5.32', '-6.86', 107, '37', '2.26', '15.59', '2', '7', 636, -215, '10', '17', '-16.75']
['DOT-USD', '5m', 'DOT-USD', '2021-09-01', '2021-09-26', '35', '-3.94', '-15.07', -43, '40', '-1.07', '-2.86', '5', '4', 820, -272, '14', '21', '-4.01']
['MATIC-USD', '5m', 'MATIC-USD', '2021-09-01', '2021-09-26', '27', '-8.67', '-17.76', -72, '37', '-3.4', '-4.05', '4', '7', 496, -325, '10', '17', '-15.92']
['XRP-USD', '5m', 'XRP-USD', '2021-09-01', '2021-09-26', '27', '-2.69', '-13.41', -32, '26', '-0.9', '-2.37', '2', '8', 743, -248, '7', '20', '-20.55']
['LINK-USD', '5m', 'LINK-USD', '2021-09-01', '2021-09-26', '24', '3.37', '-9.38', 59, '33', '1.26', '6.3', '2', '4', 855, -344, '8', '16', '-7.83']
['ALGO-USD', '5m', 'ALGO-USD', '2021-09-01', '2021-09-26', '29', '-14.27', '-17.37', -88, '41', '-4.81', '-5.09', '3', '4', 339, -326, '12', '17', '55.74']
['XTZ-USD', '5m', 'XTZ-USD', '2021-09-01', '2021-09-26', '34', '-9.43', '-12.35', -75, '38', '-2.64', '-6.08', '2', '5', 740, -667, '13', '21', '32.57']
['FTM-USD', '5m', 'FTM-USD', '2021-09-01', '2021-09-26', '31', '-13.17', '-23.2', -86, '42', '-3.49', '-3.72', '2', '4', 865, -1192, '13', '18', '74.28']
['SRM-USD', '5m', 'SRM-USD', '2021-09-01', '2021-09-26', '29', '-7.56', '-13.32', -67, '34', '-2.21', '-5.02', '2', '4', 655, -537, '10', '19', '-8.96']
['AXS-USD', '5m', 'AXS-USD', '2021-09-01', '2021-09-26', '33', '-14.51', '-26.2', -89, '27', '-3.36', '-3.39', '3', '10', 958, -329, '9', '24', '-9.35']
['DOGE-USD', '5m', 'DOGE-USD', '2021-09-01', '2021-09-26', '29', '-3.37', '-12.71', -38, '28', '-0.8', '-3.01', '3', '7', 731, -246, '8', '21', '-24.82']
['DYDX-USD', '5m', 'DYDX-USD', '2021-09-01', '2021-09-26', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BNB-USD', '5m', 'BNB-USD', '2021-09-01', '2021-09-26', '29', '5.14', '-7.76', 102, '31', '2.06', '13.16', '2', '6', 552, -177, '9', '20', '-24.5']
['SUSHI-USD', '5m', 'SUSHI-USD', '2021-09-01', '2021-09-26', '34', '-12.83', '-18.49', -85, '29', '-3.3', '-4.62', '2', '7', 1080, -295, '10', '24', '-20.8']
['LTC-USD', '5m', 'LTC-USD', '2021-09-01', '2021-09-26', '27', '7.13', '-11.62', 163, '30', '2.08', '14.04', '2', '8', 953, -267, '8', '19', '-11.87']
['EOS-USD', '5m', 'EOS-USD', '2021-09-01', '2021-09-26', '31', '-3.63', '-11.43', -40, '26', '-0.62', '-3.54', '2', '5', 949, -273, '8', '23', '-20.13']
['NEAR-USD', '5m', 'NEAR-USD', '2021-09-01', '2021-09-26', '26', '7.65', '-12.96', 181, '50', '1.81', '13.99', '4', '3', 826, -932, '13', '13', '45.09']
['SLP-USD', '5m', 'SLP-USD', '2021-09-01', '2021-09-26', '24', '8.61', '-7.64', 219, '42', '2.4', '28.63', '2', '5', 1046, -366, '10', '14', '-38.77']
['BCH-USD', '5m', 'BCH-USD', '2021-09-01', '2021-09-26', '26', '13.73', '-6.68', 509, '42', '4.19', '76.11', '2', '5', 887, -375, '11', '15', '-18.61']
