['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-08-01', '2021-09-27', '61', '-5.48', '-22.04', -30, '36', '-0.2', '-1.35', '4', '7', 1461, -366, '22', '39', '4.15']
['ETH-USDT', '5m', 'ETH-USDT', '2021-08-01', '2021-09-27', '51', '50.93', '-9.95', 1233, '51', '3.52', '124.02', '7', '3', 2157, -653, '26', '25', '20.81']
['SOL-USDT', '5m', 'SOL-USDT', '2021-08-01', '2021-09-27', '75', '41.2', '-30.16', 777, '41', '2.46', '25.77', '3', '4', 1883, -771, '31', '44', '269.42']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-08-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-08-01', '2021-09-27', '78', '-0.37', '-43.78', -2, '47', '0.8', '-0.05', '3', '4', 1653, -2521, '37', '41', '359.71']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-08-01', '2021-09-27', '79', '21.67', '-33.95', 244, '49', '1.58', '7.18', '8', '4', 1934, -870, '39', '40', '391.9']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-08-01', '2021-09-27', '89', '-21.94', '-52.06', -79, '44', '-0.86', '-1.52', '6', '6', 1468, -1067, '39', '50', '228.1']
['FIL-USDT', '5m', 'FIL-USDT', '2021-08-01', '2021-09-27', '60', '31.23', '-15.59', 453, '45', '2.39', '29.07', '3', '5', 1243, -847, '27', '33', '7.38']
['ADA-USDT', '5m', 'ADA-USDT', '2021-08-01', '2021-09-27', '71', '15.67', '-23.87', 150, '41', '1.45', '6.28', '4', '6', 1457, -635, '29', '42', '67.23']
['COTI-USDT', '5m', 'COTI-USDT', '2021-08-01', '2021-09-27', '103', '1.1', '-46.25', 7, '44', '0.93', '0.15', '5', '7', 2411, -800, '45', '58', '277.98']
['XRP-USDT', '5m', 'XRP-USDT', '2021-08-01', '2021-09-27', '61', '16.68', '-15.14', 164, '39', '1.55', '10.84', '4', '5', 2185, -614, '24', '37', '26.36']
['UNI-USDT', '5m', 'UNI-USDT', '2021-08-01', '2021-09-27', '81', '21.85', '-34.12', 247, '41', '1.68', '7.23', '3', '5', 1406, -469, '33', '48', '10.75']
['DOT-USDT', '5m', 'DOT-USDT', '2021-08-01', '2021-09-27', '76', '-37.25', '-44.06', -95, '36', '-1.93', '-2.15', '3', '5', 1588, -636, '27', '49', '72.08']
['BNB-USDT', '5m', 'BNB-USDT', '2021-08-01', '2021-09-27', '53', '13.52', '-14.08', 122, '42', '1.39', '8.67', '3', '4', 1556, -391, '22', '31', '3.46']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-08-01', '2021-09-27', '99', '-42.2', '-60.56', -97, '40', '-1.61', '-1.6', '5', '8', 1309, -664, '40', '59', '215.45']
['CELR-USDT', '5m', 'CELR-USDT', '2021-08-01', '2021-09-27', '81', '187.78', '-18.42', 77331, '51', '5.78', '4199.14', '8', '4', 5104, -1317, '41', '40', '412.92']
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-08-01', '2021-09-27', '83', '-29.73', '-51.22', -89, '41', '-1.0', '-1.74', '4', '6', 2260, -1414, '34', '49', '114.29']
['LINK-USDT', '5m', 'LINK-USDT', '2021-08-01', '2021-09-27', '77', '31.48', '-28.31', 460, '42', '2.07', '16.24', '3', '6', 1944, -944, '32', '45', '8.31']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-08-01', '2021-09-27', '87', '-18.29', '-46.29', -72, '44', '-0.42', '-1.55', '4', '5', 1369, -650, '38', '49', '28.64']
['LTC-USDT', '5m', 'LTC-USDT', '2021-08-01', '2021-09-27', '67', '-7.65', '-28.72', -39, '39', '-0.13', '-1.37', '3', '8', 1899, -612, '26', '41', '4.37']
['EOS-USDT', '5m', 'EOS-USDT', '2021-08-01', '2021-09-27', '68', '11.64', '-22.96', 100, '44', '1.18', '4.35', '4', '9', 2208, -844, '30', '38', '-2.48']
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-08-01', '2021-09-27', '81', '38.93', '-39.66', 692, '46', '2.26', '17.44', '7', '6', 2015, -756, '37', '44', '111.04']
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-08-01', '2021-09-27', '58', '-4.57', '-26.59', -25, '43', '0.2', '-0.96', '3', '4', 1925, -884, '25', '33', '-1.31']
['CRV-USDT', '5m', 'CRV-USDT', '2021-08-01', '2021-09-27', '82', '18.48', '-28.67', 191, '46', '1.51', '6.65', '5', '6', 1954, -790, '38', '44', '48.86']
['MATIC-USDT', '5m', 'MATIC-USDT', '2021-08-01', '2021-09-27', '70', '1.34', '-32.57', 9, '43', '0.58', '0.27', '5', '6', 1491, -638, '30', '40', '3.98']
['AXS-USDT', '5m', 'AXS-USDT', '2021-08-01', '2021-09-27', '79', '-44.34', '-44.64', -98, '32', '-3.17', '-2.18', '3', '9', 1635, -751, '25', '54', '50.09']
['SRM-USDT', '5m', 'SRM-USDT', '2021-08-01', '2021-09-27', '92', '-20.65', '-40.3', -77, '41', '-0.34', '-1.9', '3', '5', 1268, -606, '38', '54', '89.07']
['REN-USDT', '5m', 'REN-USDT', '2021-08-01', '2021-09-27', '74', '47.19', '-21.85', 1039, '50', '2.79', '47.54', '4', '7', 2426, -1292, '37', '37', '163.33']
