iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_rsi_len,parameters.chop_bandwidth,parameters.tps_index
120,=8Fo72),0.20258064516129032,40,140,79.67,43,23,0.02,23,301,158,92,14,4,2
120,2JIGMAD,0.19806451612903225,40,155,66.8,44,18,0.82,12,415,173,51,32,9,60
120,75KOP[D,0.1896774193548387,43,116,44.67,45,22,0.12,17,282,183,59,34,16,60
120,q:XRt(^,0.18873210589541792,51,74,40.23,54,11,2.85,74,314,247,63,63,1,116
120,+5DfvJI,0.1761290322580645,36,265,53.39,22,45,-1.36,5,282,148,83,64,11,71
120,0L]a<_P,0.17290322580645162,45,122,45.93,55,18,8.79,10,428,272,78,18,18,86
120,*3Xto_P,0.16844661903894273,60,15,8.67,0,2,-1.97,4,270,247,97,59,18,86
120,]])<Bw;,0.16218594058721733,64,39,-15.41,100,14,3.78,54,535,15,40,23,25,41
120,v;6A/-K,0.155144542547745,58,99,10.11,68,16,12.18,79,320,79,45,8,3,75
180,.2D9Vno,1.124467060316727,88,9,11.0,0,3,-3.18,8,263,148,37,39,22,153
180,3?t61]B,1.0238709677419355,48,137,151.85,36,22,0.53,13,346,385,34,9,17,56
180,(^;[jZ(,0.7380311793817043,40,65,61.18,37,16,3.18,2,542,104,72,55,16,0
180,3:NfJV-,0.6290322580645161,43,132,99.92,39,23,2.37,13,314,198,83,29,15,11
180,0>NtWwn,0.49625968451885916,83,6,11.81,50,2,-0.1,10,339,198,97,39,25,151
180,uYkSlpO,0.4923297025859305,62,8,27.29,100,4,2.87,78,510,341,64,56,23,84
180,5Uqf*]Z,0.4676359363473308,51,95,75.66,75,12,12.6,15,485,370,83,4,17,108
180,.^ar.lD,0.37483870967741933,42,125,121.06,47,17,5.81,8,542,291,95,7,22,60
180,4?a=t`l,0.3464758143642209,68,16,33.21,44,9,0.92,14,346,291,41,63,18,146
180,=-^=1:9,0.3251612903225806,43,136,103.09,40,22,2.65,23,232,277,41,9,6,37
180,:5TX0UA,0.30580645161290326,45,135,102.9,45,20,-2.1,20,282,227,69,8,15,54
180,"N,pgE0i",0.27612903225806446,55,101,80.18,47,17,5.86,40,225,365,84,25,3,140
180,-Hg<;@E,0.2587096774193548,38,171,76.64,42,21,6.16,7,403,321,40,17,8,62
180,\0:b[+1,0.2503225806451613,43,132,51.85,45,22,-4.52,53,251,99,79,43,2,19
180,qAJQ/bS,0.2432011903938873,47,63,48.25,40,10,-1.42,74,358,178,62,8,19,93
180,MP]EMqa,0.2306814906363192,58,29,35.31,62,8,1.34,39,453,272,49,32,23,123
180,)\FDnR/,0.22580645161290322,37,111,61.12,33,18,3.29,3,529,158,48,58,14,15
180,1`Mru+I,0.22129032258064518,36,127,54.68,53,15,7.22,11,554,193,95,63,2,71
180,=8Fo72),0.20258064516129032,40,140,79.67,43,23,0.02,23,301,158,92,14,4,2
180,2JIGMAD,0.19806451612903225,40,155,66.8,44,18,0.82,12,415,173,51,32,9,60
180,75KOP[D,0.1896774193548387,43,116,44.67,45,22,0.12,17,282,183,59,34,16,60
180,q:XRt(^,0.18873210589541792,51,74,40.23,54,11,2.85,74,314,247,63,63,1,116
180,+5DfvJI,0.1761290322580645,36,265,53.39,22,45,-1.36,5,282,148,83,64,11,71
180,0L]a<_P,0.17290322580645162,45,122,45.93,55,18,8.79,10,428,272,78,18,18,86
180,*3Xto_P,0.16844661903894273,60,15,8.67,0,2,-1.97,4,270,247,97,59,18,86
180,]])<Bw;,0.16218594058721733,64,39,-15.41,100,14,3.78,54,535,15,40,23,25,41
180,v;6A/-K,0.155144542547745,58,99,10.11,68,16,12.18,79,320,79,45,8,3,75
180,"*:l,FP;",0.15483870967741936,30,273,53.76,28,39,17.06,4,314,346,24,26,13,41
180,"Z,McYkh",0.1511717898757839,67,34,27.38,71,7,1.02,51,225,193,80,41,21,138
180,.*cNbGv,0.14903225806451614,40,247,47.71,34,35,6.86,8,213,301,58,48,10,168
240,.2D9Vno,1.124467060316727,88,9,11.0,0,3,-3.18,8,263,148,37,39,22,153
240,(^;[jZ(,0.7380311793817043,40,65,61.18,37,16,3.18,2,542,104,72,55,16,0
240,0>NtWwn,0.49625968451885916,83,6,11.81,50,2,-0.1,10,339,198,97,39,25,151
240,uYkSlpO,0.4923297025859305,62,8,27.29,100,4,2.87,78,510,341,64,56,23,84
240,5Uqf*]Z,0.4676359363473308,51,95,75.66,75,12,12.6,15,485,370,83,4,17,108
240,.^ar.lD,0.37483870967741933,42,125,121.06,47,17,5.81,8,542,291,95,7,22,60
240,4?a=t`l,0.3464758143642209,68,16,33.21,44,9,0.92,14,346,291,41,63,18,146
240,=-^=1:9,0.3251612903225806,43,136,103.09,40,22,2.65,23,232,277,41,9,6,37
240,:5TX0UA,0.30580645161290326,45,135,102.9,45,20,-2.1,20,282,227,69,8,15,54
240,"N,pgE0i",0.27612903225806446,55,101,80.18,47,17,5.86,40,225,365,84,25,3,140
240,-Hg<;@E,0.2587096774193548,38,171,76.64,42,21,6.16,7,403,321,40,17,8,62
240,\0:b[+1,0.2503225806451613,43,132,51.85,45,22,-4.52,53,251,99,79,43,2,19
240,qAJQ/bS,0.2432011903938873,47,63,48.25,40,10,-1.42,74,358,178,62,8,19,93
240,MP]EMqa,0.2306814906363192,58,29,35.31,62,8,1.34,39,453,272,49,32,23,123
240,)\FDnR/,0.22580645161290322,37,111,61.12,33,18,3.29,3,529,158,48,58,14,15
240,1`Mru+I,0.22129032258064518,36,127,54.68,53,15,7.22,11,554,193,95,63,2,71
240,=8Fo72),0.20258064516129032,40,140,79.67,43,23,0.02,23,301,158,92,14,4,2
240,2JIGMAD,0.19806451612903225,40,155,66.8,44,18,0.82,12,415,173,51,32,9,60
240,q:XRt(^,0.18873210589541792,51,74,40.23,54,11,2.85,74,314,247,63,63,1,116
240,+5DfvJI,0.1761290322580645,36,265,53.39,22,45,-1.36,5,282,148,83,64,11,71
240,0L]a<_P,0.17290322580645162,45,122,45.93,55,18,8.79,10,428,272,78,18,18,86
240,]])<Bw;,0.16218594058721733,64,39,-15.41,100,14,3.78,54,535,15,40,23,25,41
240,v;6A/-K,0.155144542547745,58,99,10.11,68,16,12.18,79,320,79,45,8,3,75
240,"*:l,FP;",0.15483870967741936,30,273,53.76,28,39,17.06,4,314,346,24,26,13,41
240,"Z,McYkh",0.1511717898757839,67,34,27.38,71,7,1.02,51,225,193,80,41,21,138
240,.*cNbGv,0.14903225806451614,40,247,47.71,34,35,6.86,8,213,301,58,48,10,168
240,^GD*qaY,0.14832828110666396,64,39,17.34,58,12,7.56,55,396,148,22,60,18,105
240,"L3S,Jc,",0.1458743903364596,50,78,38.32,40,15,2.58,38,270,222,24,29,19,9
240,[Ua\997,0.14255164588825806,40,67,64.76,50,10,6.56,52,485,291,73,16,6,32
240,(\v[8.G,0.13806451612903223,32,227,77.55,35,28,12.76,2,529,395,72,15,3,67
300,.2D9Vno,1.124467060316727,88,9,11.0,0,3,-3.18,8,263,148,37,39,22,153
300,(^;[jZ(,0.7380311793817043,40,65,61.18,37,16,3.18,2,542,104,72,55,16,0
300,0>NtWwn,0.49625968451885916,83,6,11.81,50,2,-0.1,10,339,198,97,39,25,151
300,5Uqf*]Z,0.4676359363473308,51,95,75.66,75,12,12.6,15,485,370,83,4,17,108
300,.^ar.lD,0.37483870967741933,42,125,121.06,47,17,5.81,8,542,291,95,7,22,60
300,4?a=t`l,0.3464758143642209,68,16,33.21,44,9,0.92,14,346,291,41,63,18,146
300,=-^=1:9,0.3251612903225806,43,136,103.09,40,22,2.65,23,232,277,41,9,6,37
300,:5TX0UA,0.30580645161290326,45,135,102.9,45,20,-2.1,20,282,227,69,8,15,54
300,"N,pgE0i",0.27612903225806446,55,101,80.18,47,17,5.86,40,225,365,84,25,3,140
300,-Hg<;@E,0.2587096774193548,38,171,76.64,42,21,6.16,7,403,321,40,17,8,62
300,\0:b[+1,0.2503225806451613,43,132,51.85,45,22,-4.52,53,251,99,79,43,2,19
300,qAJQ/bS,0.2432011903938873,47,63,48.25,40,10,-1.42,74,358,178,62,8,19,93
300,MP]EMqa,0.2306814906363192,58,29,35.31,62,8,1.34,39,453,272,49,32,23,123
300,)\FDnR/,0.22580645161290322,37,111,61.12,33,18,3.29,3,529,158,48,58,14,15
300,1`Mru+I,0.22129032258064518,36,127,54.68,53,15,7.22,11,554,193,95,63,2,71
300,=8Fo72),0.20258064516129032,40,140,79.67,43,23,0.02,23,301,158,92,14,4,2
300,q:XRt(^,0.18873210589541792,51,74,40.23,54,11,2.85,74,314,247,63,63,1,116
300,+5DfvJI,0.1761290322580645,36,265,53.39,22,45,-1.36,5,282,148,83,64,11,71
300,0L]a<_P,0.17290322580645162,45,122,45.93,55,18,8.79,10,428,272,78,18,18,86
300,]])<Bw;,0.16218594058721733,64,39,-15.41,100,14,3.78,54,535,15,40,23,25,41
300,v;6A/-K,0.155144542547745,58,99,10.11,68,16,12.18,79,320,79,45,8,3,75
300,:MqI*X^,0.15393562646611933,55,92,74.68,64,14,10.57,20,434,370,53,4,16,116
300,:MuI*X^,0.15229966953205923,53,91,74.14,64,14,11.24,20,434,390,53,4,16,116
300,"Z,McYkh",0.1511717898757839,67,34,27.38,71,7,1.02,51,225,193,80,41,21,138
300,.*cNbGv,0.14903225806451614,40,247,47.71,34,35,6.86,8,213,301,58,48,10,168
300,^GD*qaY,0.14832828110666396,64,39,17.34,58,12,7.56,55,396,148,22,60,18,105
300,"L3S,Jc,",0.1458743903364596,50,78,38.32,40,15,2.58,38,270,222,24,29,19,9
300,[Ua\997,0.14255164588825806,40,67,64.76,50,10,6.56,52,485,291,73,16,6,32
300,0jVbK>a,0.13741935483870968,49,100,43.81,60,10,5.6,10,618,237,79,30,8,123
300,u:4-g1D,0.13032258064516128,66,107,-0.72,76,17,7.53,78,314,69,25,52,4,60
360,.2D9Vno,1.124467060316727,88,9,11.0,0,3,-3.18,8,263,148,37,39,22,153
360,(^;[jZ(,0.7380311793817043,40,65,61.18,37,16,3.18,2,542,104,72,55,16,0
360,0>NtWwn,0.49625968451885916,83,6,11.81,50,2,-0.1,10,339,198,97,39,25,151
360,5Uqf*]Z,0.4676359363473308,51,95,75.66,75,12,12.6,15,485,370,83,4,17,108
360,.^ar.lD,0.37483870967741933,42,125,121.06,47,17,5.81,8,542,291,95,7,22,60
360,4?a=t`l,0.3464758143642209,68,16,33.21,44,9,0.92,14,346,291,41,63,18,146
360,=-^=1:9,0.3251612903225806,43,136,103.09,40,22,2.65,23,232,277,41,9,6,37
360,:5TX0UA,0.30580645161290326,45,135,102.9,45,20,-2.1,20,282,227,69,8,15,54
360,"N,pgE0i",0.27612903225806446,55,101,80.18,47,17,5.86,40,225,365,84,25,3,140
360,-Hg<;@E,0.2587096774193548,38,171,76.64,42,21,6.16,7,403,321,40,17,8,62
360,\0:b[+1,0.2503225806451613,43,132,51.85,45,22,-4.52,53,251,99,79,43,2,19
360,qAJQ/bS,0.2432011903938873,47,63,48.25,40,10,-1.42,74,358,178,62,8,19,93
360,MP]EMqa,0.2306814906363192,58,29,35.31,62,8,1.34,39,453,272,49,32,23,123
360,)\FDnR/,0.22580645161290322,37,111,61.12,33,18,3.29,3,529,158,48,58,14,15
360,1`Mru+I,0.22129032258064518,36,127,54.68,53,15,7.22,11,554,193,95,63,2,71
360,=8Fo72),0.20258064516129032,40,140,79.67,43,23,0.02,23,301,158,92,14,4,2
360,q:XRt(^,0.18873210589541792,51,74,40.23,54,11,2.85,74,314,247,63,63,1,116
360,+5DfvJI,0.1761290322580645,36,265,53.39,22,45,-1.36,5,282,148,83,64,11,71
360,0L]a<_P,0.17290322580645162,45,122,45.93,55,18,8.79,10,428,272,78,18,18,86
360,]])<Bw;,0.16218594058721733,64,39,-15.41,100,14,3.78,54,535,15,40,23,25,41
360,v;6A/-K,0.155144542547745,58,99,10.11,68,16,12.18,79,320,79,45,8,3,75
360,:MqI*X^,0.15393562646611933,55,92,74.68,64,14,10.57,20,434,370,53,4,16,116
360,:MuI*X^,0.15229966953205923,53,91,74.14,64,14,11.24,20,434,390,53,4,16,116
360,"Z,McYkh",0.1511717898757839,67,34,27.38,71,7,1.02,51,225,193,80,41,21,138
360,.*cNbGv,0.14903225806451614,40,247,47.71,34,35,6.86,8,213,301,58,48,10,168
360,^GD*qaY,0.14832828110666396,64,39,17.34,58,12,7.56,55,396,148,22,60,18,105
360,"L3S,Jc,",0.1458743903364596,50,78,38.32,40,15,2.58,38,270,222,24,29,19,9
360,[Ua\997,0.14255164588825806,40,67,64.76,50,10,6.56,52,485,291,73,16,6,32
360,0jVbK>a,0.13741935483870968,49,100,43.81,60,10,5.6,10,618,237,79,30,8,123
360,u:4-g1D,0.13032258064516128,66,107,-0.72,76,17,7.53,78,314,69,25,52,4,60
420,.2D9Vno,1.124467060316727,88,9,11.0,0,3,-3.18,8,263,148,37,39,22,153
420,(^;[jZ(,0.7380311793817043,40,65,61.18,37,16,3.18,2,542,104,72,55,16,0
420,0>NtWwn,0.49625968451885916,83,6,11.81,50,2,-0.1,10,339,198,97,39,25,151
420,5Uqf*]Z,0.4676359363473308,51,95,75.66,75,12,12.6,15,485,370,83,4,17,108
420,.^ar.lD,0.37483870967741933,42,125,121.06,47,17,5.81,8,542,291,95,7,22,60
420,=-^=1:9,0.3251612903225806,43,136,103.09,40,22,2.65,23,232,277,41,9,6,37
420,:5TX0UA,0.30580645161290326,45,135,102.9,45,20,-2.1,20,282,227,69,8,15,54
420,"N,pgE0i",0.27612903225806446,55,101,80.18,47,17,5.86,40,225,365,84,25,3,140
420,-Hg<;@E,0.2587096774193548,38,171,76.64,42,21,6.16,7,403,321,40,17,8,62
420,\0:b[+1,0.2503225806451613,43,132,51.85,45,22,-4.52,53,251,99,79,43,2,19
420,qAJQ/bS,0.2432011903938873,47,63,48.25,40,10,-1.42,74,358,178,62,8,19,93
420,MP]EMqa,0.2306814906363192,58,29,35.31,62,8,1.34,39,453,272,49,32,23,123
420,)\FDnR/,0.22580645161290322,37,111,61.12,33,18,3.29,3,529,158,48,58,14,15
420,1`Mru+I,0.22129032258064518,36,127,54.68,53,15,7.22,11,554,193,95,63,2,71
420,=8Fo72),0.20258064516129032,40,140,79.67,43,23,0.02,23,301,158,92,14,4,2
420,q:XRt(^,0.18873210589541792,51,74,40.23,54,11,2.85,74,314,247,63,63,1,116
420,+5DfvJI,0.1761290322580645,36,265,53.39,22,45,-1.36,5,282,148,83,64,11,71
420,0L]a<_P,0.17290322580645162,45,122,45.93,55,18,8.79,10,428,272,78,18,18,86
420,]])<Bw;,0.16218594058721733,64,39,-15.41,100,14,3.78,54,535,15,40,23,25,41
420,v;6A/-K,0.155144542547745,58,99,10.11,68,16,12.18,79,320,79,45,8,3,75
420,:MqI*X^,0.15393562646611933,55,92,74.68,64,14,10.57,20,434,370,53,4,16,116
420,:MuI*X^,0.15229966953205923,53,91,74.14,64,14,11.24,20,434,390,53,4,16,116
420,"Z,McYkh",0.1511717898757839,67,34,27.38,71,7,1.02,51,225,193,80,41,21,138
420,.*cNbGv,0.14903225806451614,40,247,47.71,34,35,6.86,8,213,301,58,48,10,168
420,^GD*qaY,0.14832828110666396,64,39,17.34,58,12,7.56,55,396,148,22,60,18,105
420,"L3S,Jc,",0.1458743903364596,50,78,38.32,40,15,2.58,38,270,222,24,29,19,9
420,[Ua\997,0.14255164588825806,40,67,64.76,50,10,6.56,52,485,291,73,16,6,32
420,0jVbK>a,0.13741935483870968,49,100,43.81,60,10,5.6,10,618,237,79,30,8,123
420,WA9r3l\,0.12795950487697885,46,88,20.6,60,15,5.3,48,358,94,95,11,22,112
420,5-F3EA:,0.12451612903225806,43,208,40.68,36,33,4.36,15,232,158,31,25,9,39
480,.2D9Vno,1.124467060316727,88,9,11.0,0,3,-3.18,8,263,148,37,39,22,153
480,(^;[jZ(,0.7380311793817043,40,65,61.18,37,16,3.18,2,542,104,72,55,16,0
480,0>NtWwn,0.49625968451885916,83,6,11.81,50,2,-0.1,10,339,198,97,39,25,151
480,5Uqf*]Z,0.4676359363473308,51,95,75.66,75,12,12.6,15,485,370,83,4,17,108
480,.^ar.lD,0.37483870967741933,42,125,121.06,47,17,5.81,8,542,291,95,7,22,60
480,=-^=1:9,0.3251612903225806,43,136,103.09,40,22,2.65,23,232,277,41,9,6,37
480,:5TX0UA,0.30580645161290326,45,135,102.9,45,20,-2.1,20,282,227,69,8,15,54
480,"N,pgE0i",0.27612903225806446,55,101,80.18,47,17,5.86,40,225,365,84,25,3,140
480,-Hg<;@E,0.2587096774193548,38,171,76.64,42,21,6.16,7,403,321,40,17,8,62
480,\0:b[+1,0.2503225806451613,43,132,51.85,45,22,-4.52,53,251,99,79,43,2,19
480,qAJQ/bS,0.2432011903938873,47,63,48.25,40,10,-1.42,74,358,178,62,8,19,93
480,MP]EMqa,0.2306814906363192,58,29,35.31,62,8,1.34,39,453,272,49,32,23,123
480,)\FDnR/,0.22580645161290322,37,111,61.12,33,18,3.29,3,529,158,48,58,14,15
480,1`Mru+I,0.22129032258064518,36,127,54.68,53,15,7.22,11,554,193,95,63,2,71
480,=8Fo72),0.20258064516129032,40,140,79.67,43,23,0.02,23,301,158,92,14,4,2
480,q:XRt(^,0.18873210589541792,51,74,40.23,54,11,2.85,74,314,247,63,63,1,116
480,+5DfvJI,0.1761290322580645,36,265,53.39,22,45,-1.36,5,282,148,83,64,11,71
480,0L]a<_P,0.17290322580645162,45,122,45.93,55,18,8.79,10,428,272,78,18,18,86
480,v;6A/-K,0.155144542547745,58,99,10.11,68,16,12.18,79,320,79,45,8,3,75
480,:MqI*X^,0.15393562646611933,55,92,74.68,64,14,10.57,20,434,370,53,4,16,116
480,:MuI*X^,0.15229966953205923,53,91,74.14,64,14,11.24,20,434,390,53,4,16,116
480,"Z,McYkh",0.1511717898757839,67,34,27.38,71,7,1.02,51,225,193,80,41,21,138
480,.*cNbGv,0.14903225806451614,40,247,47.71,34,35,6.86,8,213,301,58,48,10,168
480,^GD*qaY,0.14832828110666396,64,39,17.34,58,12,7.56,55,396,148,22,60,18,105
480,"L3S,Jc,",0.1458743903364596,50,78,38.32,40,15,2.58,38,270,222,24,29,19,9
480,[Ua\997,0.14255164588825806,40,67,64.76,50,10,6.56,52,485,291,73,16,6,32
480,",dfh*RS",0.14129032258064517,44,132,118.5,64,17,9.55,6,580,316,85,4,14,93
480,0jVbK>a,0.13741935483870968,49,100,43.81,60,10,5.6,10,618,237,79,30,8,123
480,WA9r3l\,0.12795950487697885,46,88,20.6,60,15,5.3,48,358,94,95,11,22,112
480,5-F3EA:,0.12451612903225806,43,208,40.68,36,33,4.36,15,232,158,31,25,9,39
540,.2D9Vno,1.124467060316727,88,9,11.0,0,3,-3.18,8,263,148,37,39,22,153
540,(^;[jZ(,0.7380311793817043,40,65,61.18,37,16,3.18,2,542,104,72,55,16,0
540,0>NtWwn,0.49625968451885916,83,6,11.81,50,2,-0.1,10,339,198,97,39,25,151
540,.^ar.lD,0.37483870967741933,42,125,121.06,47,17,5.81,8,542,291,95,7,22,60
540,=-^=1:9,0.3251612903225806,43,136,103.09,40,22,2.65,23,232,277,41,9,6,37
540,:5TX0UA,0.30580645161290326,45,135,102.9,45,20,-2.1,20,282,227,69,8,15,54
540,"N,pgE0i",0.27612903225806446,55,101,80.18,47,17,5.86,40,225,365,84,25,3,140
