['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['BTC-USDT', '30m', 'G<BDiiv', '2021-01-01', '2021-10-09', '163', '72.04', '-17.31', 117, '57', '2.14', '2.38', '6.76', '9', '5', 672, -754, '93', '70', '86.18']
['BTC-USDT', '30m', 'F<@D?iv', '2021-01-01', '2021-10-09', '170', '71.88', '-19.06', 112, '55', '1.83', '2.27', '5.9', '11', '5', 690, -737, '94', '76', '86.18']
['BTC-USDT', '30m', ']<;D>in', '2021-01-01', '2021-10-09', '109', '80.17', '-13.26', 123, '60', '2.88', '2.88', '9.31', '9', '6', 746, -607, '65', '44', '86.18']
['BTC-USDT', '30m', '^<;D>in', '2021-01-01', '2021-10-09', '109', '80.17', '-13.26', 123, '60', '2.88', '2.88', '9.31', '9', '6', 746, -607, '65', '44', '86.18']
['BTC-USDT', '30m', '^<;D8in', '2021-01-01', '2021-10-09', '109', '80.17', '-13.26', 123, '60', '2.88', '2.88', '9.31', '9', '6', 746, -607, '65', '44', '86.18']
['BTC-USDT', '30m', 'Y<=D?iq', '2021-01-01', '2021-10-09', '122', '78.19', '-14.27', 125, '58', '3.32', '2.83', '8.74', '9', '6', 658, -633, '71', '51', '86.18']
['BTC-USDT', '30m', 'X<BD<in', '2021-01-01', '2021-10-09', '115', '85.75', '-12.26', 136, '59', '4.36', '3.05', '11.09', '9', '6', 711, -605, '68', '47', '86.18']
['BTC-USDT', '30m', 'X<BD?in', '2021-01-01', '2021-10-09', '115', '85.75', '-12.26', 136, '59', '4.36', '3.05', '11.09', '9', '6', 711, -605, '68', '47', '86.18']
['BTC-USDT', '30m', 'X<)D3in', '2021-01-01', '2021-10-09', '115', '89.06', '-14.35', 138, '58', '3.23', '2.83', '9.64', '9', '6', 944, -592, '67', '48', '86.18']
['BTC-USDT', '30m', 'X<)D<in', '2021-01-01', '2021-10-09', '115', '89.06', '-14.35', 138, '58', '3.23', '2.83', '9.64', '9', '6', 944, -592, '67', '48', '86.18']
['BTC-USDT', '30m', 'U<9D?ia', '2021-01-01', '2021-10-09', '104', '85.93', '-15.01', 131, '61', '2.09', '3.1', '8.73', '17', '4', 800, -579, '63', '41', '86.18']
['BTC-USDT', '30m', 'T<MD+i_', '2021-01-01', '2021-10-09', '105', '85.45', '-18.3', 131, '59', '1.36', '3.05', '7.16', '17', '7', 763, -605, '62', '43', '86.18']
['BTC-USDT', '30m', 'Z<9Dqir', '2021-01-01', '2021-10-09', '109', '82.16', '-17.58', 135, '57', '1.95', '3.08', '7.67', '10', '6', 800, -618, '62', '47', '86.18']
['BTC-USDT', '30m', '6<MDai_', '2021-01-01', '2021-10-09', '183', '82.11', '-19.25', 139, '51', '1.78', '2.71', '7.24', '7', '5', 805, -605, '94', '89', '86.18']
['BTC-USDT', '30m', '`</D?iq', '2021-01-01', '2021-10-09', '111', '79.29', '-12.64', 124, '59', '3.45', '2.82', '9.77', '10', '6', 852, -618, '65', '46', '86.18']
['BTC-USDT', '30m', '^<BD?in', '2021-01-01', '2021-10-09', '109', '77.67', '-12.95', 119, '60', '2.86', '2.85', '9.21', '9', '6', 658, -595, '65', '44', '86.18']
['BTC-USDT', '30m', 'S<+D<in', '2021-01-01', '2021-10-09', '123', '85.72', '-11.56', 132, '59', '4.17', '2.86', '11.44', '9', '4', 781, -607, '73', '50', '86.18']
['BTC-USDT', '30m', 'r4)D3in', '2021-01-01', '2021-10-09', '119', '65.61', '-14.33', 113, '54', '3.08', '2.63', '7.89', '6', '5', 610, -632, '64', '55', '86.18']
