['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['BTC-USDT', '30m', 'T<BD?iv', '2021-01-01', '2021-10-09', '128', '122.36', '-8.69', 193, '62', '10.64', '3.74', '22.23', '10', '4', 829, -696, '80', '48', '86.18']
['BTC-USDT', '30m', '[<5D?iq', '2021-01-01', '2021-10-09', '115', '106.96', '-13.24', 169, '58', '5.48', '3.26', '12.75', '10', '6', 1057, -697, '67', '48', '86.18']
['BTC-USDT', '30m', '\\</D?iq', '2021-01-01', '2021-10-09', '116', '104.37', '-13.68', 165, '59', '5.01', '3.22', '12.03', '11', '6', 955, -697, '69', '47', '86.18']
['BTC-USDT', '30m', 'S<BD?iv', '2021-01-01', '2021-10-09', '129', '109.33', '-8.75', 174, '61', '8.37', '3.52', '19.92', '10', '4', 790, -696, '79', '50', '86.18']
['BTC-USDT', '30m', 'W<HD?iv', '2021-01-01', '2021-10-09', '124', '109.69', '-9.38', 176, '62', '8.37', '3.63', '18.71', '9', '4', 660, -709, '77', '47', '86.18']
['BTC-USDT', '30m', 'U<@D?iv', '2021-01-01', '2021-10-09', '126', '113.62', '-8.97', 178, '61', '9.65', '3.53', '19.87', '8', '4', 831, -696, '77', '49', '86.18']
['BTC-USDT', '30m', 'X<BD?iv', '2021-01-01', '2021-10-09', '124', '108.59', '-10.41', 176, '60', '7.65', '3.48', '16.95', '9', '4', 790, -696, '75', '49', '86.18']
['BTC-USDT', '30m', 'U<BD?iv', '2021-01-01', '2021-10-09', '127', '108.65', '-8.66', 172, '61', '9.88', '3.51', '19.84', '9', '4', 790, -696, '78', '49', '86.18']
['BTC-USDT', '30m', 'W<=D?iq', '2021-01-01', '2021-10-09', '121', '104.58', '-10.9', 164, '61', '6.68', '3.36', '15.06', '9', '5', 750, -696, '74', '47', '86.18']
['BTC-USDT', '30m', '\\<)D3in', '2021-01-01', '2021-10-09', '111', '99.73', '-13.22', 155, '59', '3.69', '3.12', '11.7', '18', '6', 1012, -658, '65', '46', '86.18']
['BTC-USDT', '30m', '\\<)D.in', '2021-01-01', '2021-10-09', '111', '99.73', '-13.22', 155, '59', '3.69', '3.12', '11.7', '18', '6', 1012, -658, '65', '46', '86.18']
['BTC-USDT', '30m', '[<)D.in', '2021-01-01', '2021-10-09', '113', '99.09', '-13.03', 154, '58', '3.75', '3.11', '11.8', '10', '6', 1012, -658, '66', '47', '86.18']
['BTC-USDT', '30m', ']<HD?iv', '2021-01-01', '2021-10-09', '115', '94.55', '-10.79', 148, '63', '4.86', '3.24', '13.72', '10', '4', 628, -645, '72', '43', '86.18']
['BTC-USDT', '30m', '[<)D8in', '2021-01-01', '2021-10-09', '113', '99.09', '-13.03', 154, '58', '3.75', '3.11', '11.8', '10', '6', 1012, -658, '66', '47', '86.18']
['BTC-USDT', '30m', '[<)D>in', '2021-01-01', '2021-10-09', '113', '99.09', '-13.03', 154, '58', '3.75', '3.11', '11.8', '10', '6', 1012, -658, '66', '47', '86.18']
['BTC-USDT', '30m', '[<)D.im', '2021-01-01', '2021-10-09', '113', '99.09', '-13.03', 154, '58', '3.75', '3.11', '11.8', '10', '6', 1012, -658, '66', '47', '86.18']
['BTC-USDT', '30m', 'V<HD?iq', '2021-01-01', '2021-10-09', '122', '99.13', '-9.36', 154, '61', '8.8', '3.39', '16.46', '9', '3', 628, -683, '75', '47', '86.18']
['BTC-USDT', '30m', '\\<9D=in', '2021-01-01', '2021-10-09', '111', '94.96', '-12.83', 147, '59', '3.73', '3.15', '11.46', '18', '6', 838, -645, '65', '46', '86.18']
['BTC-USDT', '30m', '\\<9D4in', '2021-01-01', '2021-10-09', '111', '94.96', '-12.83', 147, '59', '3.73', '3.15', '11.46', '18', '6', 838, -645, '65', '46', '86.18']
['BTC-USDT', '30m', 'W<HD?iq', '2021-01-01', '2021-10-09', '121', '98.33', '-10.76', 155, '61', '6.53', '3.38', '14.41', '9', '5', 628, -683, '74', '47', '86.18']
['BTC-USDT', '30m', 'U<BD<in', '2021-01-01', '2021-10-09', '117', '101.94', '-10.3', 158, '62', '7.14', '3.44', '15.38', '10', '3', 750, -658, '72', '45', '86.18']
['BTC-USDT', '30m', 'U<;D?in', '2021-01-01', '2021-10-09', '117', '102.83', '-10.15', 160, '62', '7.33', '3.4', '15.73', '10', '3', 829, -658, '73', '44', '86.18']
['BTC-USDT', '30m', 'V<9D4in', '2021-01-01', '2021-10-09', '118', '99.31', '-10.68', 154, '60', '5.75', '3.26', '14.41', '9', '4', 845, -633, '71', '47', '86.18']
