['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['BTC-USDT', '30m', 'T<BD?iv', '2021-08-01', '2021-10-10', '25', '13.36', '-6.4', 106, '52', '1.63', '2.84', '16.5', '3', '3', 415, -339, '13', '12', '32.66']
['BTC-USDT', '30m', '[<5D?iq', '2021-08-01', '2021-10-10', '22', '6.12', '-8.02', 46, '45', '0.51', '1.63', '5.79', '3', '5', 517, -326, '10', '12', '32.66']
['BTC-USDT', '30m', '\\</D?iq', '2021-08-01', '2021-10-10', '22', '5.2', '-8.31', 40, '45', '0.37', '1.47', '4.81', '3', '5', 478, -326, '10', '12', '32.66']
['BTC-USDT', '30m', 'S<BD?iv', '2021-08-01', '2021-10-10', '26', '10.85', '-8.06', 84, '50', '0.77', '2.39', '10.36', '3', '3', 395, -339, '13', '13', '32.66']
['BTC-USDT', '30m', 'W<HD?iv', '2021-08-01', '2021-10-10', '24', '9.45', '-7.38', 72, '50', '0.76', '2.28', '9.71', '3', '4', 330, -339, '12', '12', '32.66']
['BTC-USDT', '30m', 'U<@D?iv', '2021-08-01', '2021-10-10', '25', '13.92', '-6.63', 111, '52', '1.68', '2.88', '16.74', '3', '3', 436, -339, '13', '12', '32.66']
['BTC-USDT', '30m', 'X<BD?iv', '2021-08-01', '2021-10-10', '24', '11.52', '-7.74', 89, '50', '0.94', '2.52', '11.51', '3', '4', 415, -339, '12', '12', '32.66']
['BTC-USDT', '30m', 'U<BD?iv', '2021-08-01', '2021-10-10', '25', '13.36', '-6.4', 106, '52', '1.63', '2.84', '16.51', '3', '3', 415, -339, '13', '12', '32.66']
['BTC-USDT', '30m', 'W<=D?iq', '2021-08-01', '2021-10-10', '23', '8.01', '-8.02', 60, '48', '0.58', '1.96', '7.53', '3', '5', 385, -326, '11', '12', '32.66']
['BTC-USDT', '30m', '\\<)D3in', '2021-08-01', '2021-10-10', '22', '5.96', '-8.31', 45, '45', '0.46', '1.59', '5.46', '3', '5', 517, -326, '10', '12', '32.66']
