'Time','TRX','BTC','ETH','BNB','ADA','NEO','QTUM','LTC','XRP','Mean','TRXdev','BTCdev','ETHdev','BNBdev','ADAdev','NEOdev','QTUMdev','LTCdev','XRPdev','TRXndev','BTCndev','ETHndev','BNBndev','ADAndev','NEOndev','QTUMndev','LTCndev','XRPndev','SumNorm.Dev.'
'01/10/2018',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
'02/10/2018',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
'03/10/2018',0.0,0.0,-4.65,0.0,0.0,0.0,0.0,0.0,0.0,-0.517,0.517,0.517,-4.133,0.517,0.517,0.517,0.517,0.517,0.517,5.65,5.65,1.0,5.65,5.65,5.65,5.65,5.65,5.65,46.2
'04/10/2018',-4.65,-4.65,-4.65,-4.65,-4.65,0.0,0.0,-4.65,0.0,-3.103,-1.547,-1.547,-1.547,-1.547,-1.547,3.103,3.103,-1.547,3.103,1.0,1.0,1.0,1.0,1.0,5.65,5.65,1.0,5.65,22.95
'05/10/2018',-4.65,-4.65,-2.23,5.24,-4.65,0.0,0.0,-4.65,0.0,-1.735,-2.915,-2.915,-0.495,6.975,-2.915,1.735,1.735,-2.915,1.735,1.0,1.0,3.42,10.89,1.0,5.65,5.65,1.0,5.65,35.26
'06/10/2018',-2.23,-2.23,0.18,-2.23,-4.65,0.0,0.0,-4.65,0.0,-1.758,-0.472,-0.472,1.938,-0.472,-2.892,1.758,1.758,-2.892,1.758,3.42,3.42,5.83,3.42,1.0,5.65,5.65,1.0,5.65,35.04
'07/10/2018',-2.23,-2.23,-0.05,0.18,0.18,0.0,0.0,-4.65,0.0,-0.979,-1.251,-1.251,0.929,1.159,1.159,0.979,0.979,-3.671,0.979,3.42,3.42,5.6,5.83,5.83,5.65,5.65,1.0,5.65,42.05
'08/10/2018',-2.23,-2.23,3.21,-0.05,-0.05,-0.05,0.0,-0.05,0.0,-0.16,-2.07,-2.07,3.37,0.11,0.11,0.11,0.16,0.11,0.16,1.0,1.0,6.44,3.18,3.18,3.18,3.23,3.18,3.23,27.62
'09/10/2018',-2.23,3.21,3.21,3.21,3.21,3.21,0.0,-0.05,0.0,1.529,-3.759,1.681,1.681,1.681,1.681,1.681,-1.529,-1.579,-1.529,1.0,6.44,6.44,6.44,6.44,6.44,3.23,3.18,3.23,42.84
'10/10/2018',-2.23,3.21,0.99,3.21,3.21,3.21,0.0,5.65,0.0,1.916,-4.146,1.294,-0.926,1.294,1.294,1.294,-1.916,3.734,-1.916,1.0,6.44,4.22,6.44,6.44,6.44,3.23,8.88,3.23,46.32
'11/10/2018',-2.23,3.21,-1.77,0.99,3.21,0.99,0.0,5.65,0.0,1.116,-3.346,2.094,-2.886,-0.126,2.094,-0.126,-1.116,4.534,-1.116,1.0,6.44,1.46,4.22,6.44,4.22,3.23,8.88,3.23,39.12
'12/10/2018',-1.77,-1.77,-1.77,-1.77,-1.77,-1.77,0.0,-1.77,0.0,-1.378,-0.392,-0.392,-0.392,-0.392,-0.392,-0.392,1.378,-0.392,1.378,1.0,1.0,1.0,1.0,1.0,1.0,2.77,1.0,2.77,12.54
'13/10/2018',2.75,-1.77,-1.77,2.75,-1.77,2.75,2.75,-1.77,0.0,0.436,2.314,-2.206,-2.206,2.314,-2.206,2.314,2.314,-2.206,-0.436,5.52,1.0,1.0,5.52,1.0,5.52,5.52,1.0,2.77,28.85
'14/10/2018',2.75,-1.77,0.7,1.11,-1.77,2.75,2.75,-1.77,0.0,0.528,2.222,-2.298,0.172,0.582,-2.298,2.222,2.222,-2.298,-0.528,5.52,1.0,3.47,3.88,1.0,5.52,5.52,1.0,2.77,29.68
'15/10/2018',2.75,-1.77,0.75,0.7,-1.77,2.75,2.75,-1.77,0.0,0.489,2.261,-2.259,0.261,0.211,-2.259,2.261,2.261,-2.259,-0.489,5.52,1.0,3.52,3.47,1.0,5.52,5.52,1.0,2.77,29.32
'16/10/2018',2.75,0.75,1.9,0.75,-1.77,2.75,2.75,-1.77,0.0,0.902,1.848,-0.152,0.998,-0.152,-2.672,1.848,1.848,-2.672,-0.902,5.52,3.52,4.67,3.52,1.0,5.52,5.52,1.0,2.77,33.04
'17/10/2018',2.75,1.9,0.17,1.9,-1.77,2.75,2.75,1.9,1.9,1.583,1.167,0.317,-1.413,0.317,-3.353,1.167,1.167,0.317,0.317,5.52,4.67,2.94,4.67,1.0,5.52,5.52,4.67,4.67,39.18
'18/10/2018',2.75,1.9,-0.87,0.17,-1.77,2.75,2.75,1.9,1.9,1.275,1.475,0.625,-2.145,-1.105,-3.045,1.475,1.475,0.625,0.625,5.52,4.67,1.9,2.94,1.0,5.52,5.52,4.67,4.67,36.41
'19/10/2018',2.75,1.9,-0.89,-0.87,-1.77,2.75,2.75,-0.87,1.9,0.85,1.9,1.05,-1.74,-1.72,-2.62,1.9,1.9,-1.72,1.05,5.52,4.67,1.88,1.9,1.0,5.52,5.52,1.9,4.67,32.58
'20/10/2018',-0.89,1.9,-0.89,-0.89,-1.77,2.75,2.75,-0.87,1.9,0.444,-1.334,1.456,-1.334,-1.334,-2.214,2.306,2.306,-1.314,1.456,1.88,4.67,1.88,1.88,1.0,5.52,5.52,1.9,4.67,28.92
'21/10/2018',-0.89,1.9,-1.14,-0.89,-1.77,2.75,2.75,-0.87,1.9,0.416,-1.306,1.484,-1.556,-1.306,-2.186,2.334,2.334,-1.286,1.484,1.88,4.67,1.63,1.88,1.0,5.52,5.52,1.9,4.67,28.67
'22/10/2018',-0.89,1.9,-1.29,-1.14,-1.77,-1.14,2.75,-1.14,1.9,-0.091,-0.799,1.991,-1.199,-1.049,-1.679,-1.049,2.841,-1.049,1.991,1.88,4.67,1.48,1.63,1.0,1.63,5.52,1.63,4.67,24.11
'23/10/2018',-1.29,-1.29,-1.27,-1.29,-1.77,-1.29,2.75,-1.29,-1.29,-0.893,-0.397,-0.397,-0.377,-0.397,-0.877,-0.397,3.643,-0.397,-0.397,1.48,1.48,1.5,1.48,1.0,1.48,5.52,1.48,1.48,16.9
'24/10/2018',-1.27,-1.27,-1.32,-1.27,-1.27,-1.27,2.75,-1.29,-1.29,-0.833,-0.437,-0.437,-0.487,-0.437,-0.437,-0.437,3.583,-0.457,-0.457,1.05,1.05,1.0,1.05,1.05,1.05,5.07,1.03,1.03,13.38
'25/10/2018',-1.27,-1.27,-1.56,-1.32,-1.27,-1.32,2.75,-1.29,-1.29,-0.871,-0.399,-0.399,-0.689,-0.449,-0.399,-0.449,3.621,-0.419,-0.419,1.29,1.29,1.0,1.24,1.29,1.24,5.31,1.27,1.27,15.2
'26/10/2018',-1.27,-1.56,-1.63,-1.56,-1.27,-1.56,2.75,-1.56,-1.56,-1.026,-0.244,-0.534,-0.604,-0.534,-0.244,-0.534,3.776,-0.534,-0.534,1.36,1.07,1.0,1.07,1.36,1.07,5.38,1.07,1.07,14.45
'27/10/2018',-1.27,-1.56,-1.94,-1.56,-1.27,-1.63,2.75,-1.56,-1.63,-1.075,-0.195,-0.485,-0.865,-0.485,-0.195,-0.555,3.825,-0.485,-0.555,1.67,1.38,1.0,1.38,1.67,1.31,5.69,1.38,1.31,16.79
'28/10/2018',-1.27,-1.56,-1.78,-1.94,-1.27,-1.63,2.75,-1.56,-1.94,-1.134,-0.136,-0.426,-0.646,-0.806,-0.136,-0.496,3.884,-0.426,-0.806,1.67,1.38,1.16,1.0,1.67,1.31,5.69,1.38,1.0,16.26
'29/10/2018',-1.78,-1.56,-1.89,-1.78,-1.27,-1.63,2.75,-1.56,-1.78,-1.166,-0.614,-0.394,-0.724,-0.614,-0.104,-0.464,3.916,-0.394,-0.614,1.11,1.33,1.0,1.11,1.62,1.26,5.64,1.33,1.11,15.51
'30/10/2018',-1.78,-1.56,0.07,-1.78,-1.27,-1.63,2.75,-1.56,-1.78,-0.948,-0.832,-0.612,1.018,-0.832,-0.322,-0.682,3.698,-0.612,-0.832,1.0,1.22,2.85,1.0,1.51,1.15,5.53,1.22,1.0,16.48
'31/10/2018',-1.78,-1.56,0.07,0.07,-1.27,-1.63,2.75,-1.56,0.07,-0.537,-1.243,-1.023,0.607,0.607,-0.733,-1.093,3.287,-1.023,0.607,1.0,1.22,2.85,2.85,1.51,1.15,5.53,1.22,2.85,20.18
'01/11/2018',-1.78,-1.56,-0.35,0.07,-1.27,-1.63,2.75,-1.56,0.07,-0.584,-1.196,-0.976,0.234,0.654,-0.686,-1.046,3.334,-0.976,0.654,1.0,1.22,2.43,2.85,1.51,1.15,5.53,1.22,2.85,19.76
'02/11/2018',-1.78,-1.56,-0.35,-0.35,-1.27,-1.63,2.75,-1.56,-0.35,-0.678,-1.102,-0.882,0.328,0.328,-0.592,-0.952,3.428,-0.882,0.328,1.0,1.22,2.43,2.43,1.51,1.15,5.53,1.22,2.43,18.92
'03/11/2018',-1.78,-0.39,-0.35,-0.35,-0.39,-0.39,2.75,-0.39,-0.39,-0.188,-1.592,-0.202,-0.162,-0.162,-0.202,-0.202,2.938,-0.202,-0.202,1.0,2.39,2.43,2.43,2.39,2.39,5.53,2.39,2.39,23.34
'04/11/2018',-0.42,-0.39,-0.96,-0.42,-0.39,-0.39,-0.42,-0.39,-0.39,-0.466,0.046,0.076,-0.494,0.046,0.076,0.076,0.046,0.076,0.076,1.54,1.57,1.0,1.54,1.57,1.57,1.54,1.57,1.57,13.47
'05/11/2018',-0.42,-0.96,-0.22,-0.96,-0.39,-0.39,-0.96,-0.39,-0.96,-0.63,0.21,-0.33,0.41,-0.33,0.24,0.24,-0.33,0.24,-0.33,1.54,1.0,1.74,1.0,1.57,1.57,1.0,1.57,1.0,11.99
'06/11/2018',-0.22,-0.22,-0.48,-0.22,-0.39,-0.39,-0.22,-0.39,-0.22,-0.309,0.089,0.089,-0.171,0.089,-0.081,-0.081,0.089,-0.081,0.089,1.26,1.26,1.0,1.26,1.09,1.09,1.26,1.09,1.26,10.57
'07/11/2018',-0.22,-0.22,-0.48,-0.48,-0.39,-0.39,-0.48,-0.39,-0.22,-0.366,0.146,0.146,-0.114,-0.114,-0.024,-0.024,-0.114,-0.024,0.146,1.26,1.26,1.0,1.0,1.09,1.09,1.0,1.09,1.26,10.05
'08/11/2018',-0.22,-0.22,0.54,0.67,0.67,-0.39,0.67,-0.39,-0.22,0.122,-0.342,-0.342,0.418,0.548,0.548,-0.512,0.548,-0.512,-0.342,1.17,1.17,1.93,2.06,2.06,1.0,2.06,1.0,1.17,13.62
'09/11/2018',-0.22,-0.22,-0.05,0.54,0.67,-0.39,0.67,-0.39,-0.22,0.042,-0.262,-0.262,-0.092,0.498,0.628,-0.432,0.628,-0.432,-0.262,1.17,1.17,1.34,1.93,2.06,1.0,2.06,1.0,1.17,12.9
'10/11/2018',-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.67,-0.05,-0.05,0.031,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,0.639,-0.081,-0.081,1.0,1.0,1.0,1.0,1.0,1.0,1.72,1.0,1.0,9.72
'11/11/2018',-0.05,-0.05,-0.3,-0.05,-0.05,-0.05,0.1,-0.05,-0.05,-0.061,0.011,0.011,-0.239,0.011,0.011,0.011,0.161,0.011,0.011,1.25,1.25,1.0,1.25,1.25,1.25,1.4,1.25,1.25,11.15
'12/11/2018',-0.05,-0.05,-0.55,-0.3,-0.05,-0.05,0.1,-0.05,-0.3,-0.145,0.095,0.095,-0.405,-0.155,0.095,0.095,0.245,0.095,-0.155,1.5,1.5,1.0,1.25,1.5,1.5,1.65,1.5,1.25,12.65
'13/11/2018',-0.05,-0.05,-0.58,-0.3,-0.55,-0.05,0.1,-0.05,-0.55,-0.231,0.181,0.181,-0.349,-0.069,-0.319,0.181,0.331,0.181,-0.319,1.53,1.53,1.0,1.28,1.03,1.53,1.68,1.53,1.03,12.14
'14/11/2018',-0.05,-0.58,-0.85,-0.58,-0.58,-0.05,0.1,-0.05,-0.58,-0.357,0.307,-0.223,-0.493,-0.223,-0.223,0.307,0.457,0.307,-0.223,1.8,1.27,1.0,1.27,1.27,1.8,1.95,1.8,1.27,13.43
