['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', 'b68[<)', '2021-06-01', '2021-10-01', '134', '77.01', '-14.0', 452, '43', '4.31', '2.9', '33.13', '5', '5', 1191, -742, '57', '77', '11.36']
['ETH-USD', '5m', 'F@bj<H', '2021-06-01', '2021-10-01', '142', '63.92', '-31.0', 339, '42', '1.21', '2.09', '11.01', '4', '8', 2533, -954, '59', '83', '11.36']
['ETH-USD', '5m', 'n0RT.>', '2021-06-01', '2021-10-01', '122', '78.21', '-25.0', 463, '44', '1.48', '2.63', '18.66', '4', '5', 1808, -922, '54', '68', '11.36']
['ETH-USD', '5m', 'G@VH5H', '2021-06-01', '2021-10-01', '143', '149.21', '-26.0', 1436, '40', '3.43', '3.72', '56.1', '5', '8', 2495, -1571, '57', '86', '11.36']
['ETH-USD', '5m', 'N8bH(Z', '2021-06-01', '2021-10-01', '113', '139.61', '-15.0', 1266, '42', '10.68', '3.87', '84.84', '3', '6', 2710, -1106, '47', '66', '11.36']
['ETH-USD', '5m', 'E@b=KH', '2021-06-01', '2021-10-01', '136', '91.36', '-34.0', 597, '42', '0.77', '2.79', '17.36', '5', '6', 1712, -1222, '57', '79', '11.36']
['ETH-USD', '5m', '@Z7(5H', '2021-06-01', '2021-10-01', '119', '46.79', '-8.0', 215, '77', '6.47', '4.77', '28.57', '13', '3', 153, -587, '92', '27', '11.36']
['ETH-USD', '5m', 'i-a0;b', '2021-06-01', '2021-10-01', '56', '52.84', '-9.0', 256, '50', '5.2', '3.26', '27.82', '5', '4', 748, -753, '28', '28', '11.36']
['ETH-USD', '5m', 'F=w(49', '2021-06-01', '2021-10-01', '165', '130.54', '-12.0', 1117, '45', '12.12', '4.71', '97.0', '6', '6', 887, -1112, '74', '91', '11.36']
['ETH-USD', '5m', 'F@bC<H', '2021-06-01', '2021-10-01', '142', '109.0', '-29.0', 807, '42', '1.95', '3.03', '28.17', '4', '8', 2239, -1217, '59', '83', '11.36']
['ETH-USD', '5m', '-Efr5X', '2021-06-01', '2021-10-01', '227', '38.57', '-25.0', 165, '31', '0.65', '1.68', '6.63', '5', '14', 1979, -654, '71', '156', '11.36']
['ETH-USD', '5m', '7J]d<H', '2021-06-01', '2021-10-01', '183', '31.04', '-22.0', 125, '36', '0.86', '1.38', '5.6', '5', '7', 1948, -629, '66', '117', '11.36']
['ETH-USD', '5m', ':D<fRR', '2021-06-01', '2021-10-01', '70', '89.35', '-24.0', 575, '40', '1.02', '3.83', '23.88', '4', '9', 1608, -645, '28', '42', '11.36']
['ETH-USD', '5m', 'F=v(49', '2021-06-01', '2021-10-01', '165', '143.11', '-12.0', 1326, '46', '12.75', '4.9', '112.41', '6', '6', 925, -1166, '76', '89', '11.36']
['ETH-USD', '5m', 'F=b\\49', '2021-06-01', '2021-10-01', '165', '75.12', '-25.0', 435, '39', '2.01', '2.4', '17.29', '6', '8', 2557, -822, '65', '100', '11.36']
['ETH-USD', '5m', '?@Rr9.', '2021-06-01', '2021-10-01', '184', '28.43', '-28.0', 111, '39', '0.53', '1.29', '3.97', '5', '8', 1943, -566, '71', '113', '11.36']
['ETH-USD', '5m', '2NOe,-', '2021-06-01', '2021-10-01', '212', '41.71', '-24.0', 184, '33', '0.75', '1.71', '7.52', '5', '8', 1721, -618, '71', '141', '11.36']
['ETH-USD', '5m', 'F@bQ<H', '2021-06-01', '2021-10-01', '142', '82.43', '-28.0', 504, '42', '1.96', '2.48', '18.23', '4', '8', 2338, -1059, '59', '83', '11.36']
['ETH-USD', '5m', 'S<Rr9.', '2021-06-01', '2021-10-01', '145', '47.85', '-23.0', 222, '40', '2.05', '1.76', '9.81', '5', '6', 2401, -938, '58', '87', '11.36']
['ETH-USD', '5m', '@5KHlH', '2021-06-01', '2021-10-01', '88', '81.28', '-15.0', 493, '47', '5.19', '3.52', '32.38', '4', '4', 1304, -888, '41', '47', '11.36']
['ETH-USD', '5m', '0gv;,,', '2021-06-01', '2021-10-01', '154', '101.05', '-21.0', 708, '32', '5.13', '3.06', '34.37', '3', '10', 1989, -1065, '49', '105', '11.36']
['ETH-USD', '5m', '6<EH5H', '2021-06-01', '2021-10-01', '251', '96.61', '-30.0', 656, '37', '1.28', '3.09', '21.69', '7', '8', 1290, -836, '92', '159', '11.36']
['ETH-USD', '5m', '@@Qr([', '2021-06-01', '2021-10-01', '132', '63.66', '-26.0', 337, '41', '1.39', '2.28', '12.88', '4', '8', 2282, -692, '54', '78', '11.36']
['ETH-USD', '5m', '6Ib]=.', '2021-06-01', '2021-10-01', '195', '10.61', '-25.0', 35, '33', '0.15', '0.77', '1.38', '5', '8', 1579, -561, '65', '130', '11.36']
['ETH-USD', '5m', 'F@bH9H', '2021-06-01', '2021-10-01', '144', '105.26', '-29.0', 760, '42', '1.94', '2.93', '26.09', '4', '8', 2229, -1266, '60', '84', '11.36']
['ETH-USD', '5m', 'F@bH<>', '2021-06-01', '2021-10-01', '146', '100.3', '-29.0', 699, '41', '1.85', '2.85', '24.01', '4', '8', 2174, -1236, '60', '86', '11.36']
['ETH-USD', '5m', 'F@bH<8', '2021-06-01', '2021-10-01', '146', '100.3', '-29.0', 699, '41', '1.85', '2.85', '24.01', '4', '8', 2174, -1236, '60', '86', '11.36']
['ETH-USD', '5m', 'F@bH<+', '2021-06-01', '2021-10-01', '146', '100.3', '-29.0', 699, '41', '1.85', '2.85', '24.01', '4', '8', 2174, -1236, '60', '86', '11.36']
['ETH-USD', '5m', 'F@bH?H', '2021-06-01', '2021-10-01', '139', '79.2', '-35.0', 473, '41', '0.78', '2.48', '13.38', '4', '8', 2129, -1213, '57', '82', '11.36']
['ETH-USD', '5m', 'F@bH(H', '2021-06-01', '2021-10-01', '110', '89.48', '-30.0', 577, '44', '1.13', '2.82', '19.45', '4', '6', 2196, -1250, '48', '62', '11.36']
['ETH-USD', '5m', 'F@bM<H', '2021-06-01', '2021-10-01', '142', '72.44', '-28.0', 410, '42', '1.52', '2.33', '14.56', '4', '8', 2077, -1033, '59', '83', '11.36']
['ETH-USD', '5m', '@5KW,H', '2021-06-01', '2021-10-01', '221', '27.1', '-24.0', 105, '37', '0.67', '1.3', '4.39', '5', '10', 1330, -560, '82', '139', '11.36']
['ETH-USD', '5m', '@5KT,H', '2021-06-01', '2021-10-01', '221', '34.63', '-25.0', 143, '37', '0.76', '1.54', '5.7', '5', '10', 1332, -586, '82', '139', '11.36']
